ParlaMint-FR_2020-07-31-E1030.u1	The next item is the continuation of the discussion of the bioethics bill (No. 2658, 3181).
ParlaMint-FR_2020-07-31-E1030.u2	This afternoon, the Assembly continued its discussion of the articles of the bill, ending with clause 19.
ParlaMint-FR_2020-07-31-E1030.u3	Mrs Marie-Noëlle Battistel has the floor to support Amendment No. 521.
ParlaMint-FR_2020-07-31-E1030.u4	By this amendment, we propose to delete the words "of particular gravity" in paragraph 4, because we consider it too restrictive, given the reality of current practices in the field of fetal medicine, to limit it to conditions of particular gravity. The president of the French Federation of Multidisciplinary Prenatal Diagnostic Centres made it clear, before the special commission, that anemia in the foetus did not represent a "special gravity" but that it could constitute a peril if nothing was done. In this case, an umbilical cord transfusion is required. By deleting the words "of particular gravity", this type of intervention is possible.
ParlaMint-FR_2020-07-31-E1030.u5	Mr Jean-François Eliaou, rapporteur of the special committee, has the floor to give the committee's opinion.
ParlaMint-FR_2020-07-31-E1030.u6	I do not agree with you, Mrs Battistel, because even a transfusion in utero is a very invasive act. The words "of particular gravity" must be retained, even in the case of a serious but curable anomaly. If they were removed, it would first be possible to see more invasive acts that could lead to pregnancy failure, thus the loss of the child. On the other hand, such an enlargement would ultimately lead to the offer of these tests to a greater number of pregnant women instead of targeting at-risk pregnancies. The opinion is therefore unfavourable.
ParlaMint-FR_2020-07-31-E1030.u7	The Minister for Solidarity and Health has the floor to give the Government's opinion.
ParlaMint-FR_2020-07-31-E1030.u8	Unfavorable.
ParlaMint-FR_2020-07-31-E1030.u9	Identical amendments Nos 107 by Mr Xavier Breton, 282 by Mr Patrick Hetzel and 1623 by Mr Marc Le Fur are being defended. What is the opinion of the committee?
ParlaMint-FR_2020-07-31-E1030.u10	Still unfavorable, because what you are proposing is already doubly satisfied, on the one hand, with article L. 2131-1 of the Public Health Code, concerning prenatal diagnosis, on the other hand with article L. 1111-4 of the same Code, which contains the general principles of free and informed consent.
ParlaMint-FR_2020-07-31-E1030.u11	Amendments Nos 758 and 761 by Mrs Emmanuelle Ménard are defended.
ParlaMint-FR_2020-07-31-E1030.u12	Amendment No 1427 by Mr Pierre Dharréville is being defended. What is the opinion of the committee?
ParlaMint-FR_2020-07-31-E1030.u13	This is an important point, which we will come back to in the rest of the discussion. The woman and her spouse, if any, are only referred, and not a little authoritarianly directed, to a prenatal diagnostic centre. They may or may not act on this proposal. The right to remain unaware of diagnosis is also part of the general principles of health law. That is why I give an unfavorable opinion.
ParlaMint-FR_2020-07-31-E1030.u14	Amendment No 2195 by Mr Jean-François Eliaou, rapporteur, is drafting.
ParlaMint-FR_2020-07-31-E1030.u15	Amendment No 1195 by Mrs Emmanuelle Ménard is being defended.
ParlaMint-FR_2020-07-31-E1030.u16	Amendment No 643 by Mrs Emmanuelle Ménard is being defended. What is the opinion of the committee?
ParlaMint-FR_2020-07-31-E1030.u17	The objective of fetal medicine is to limit the number of disabilities. That is why I am asking for withdrawal; If not, the opinion will be unfavourable.
ParlaMint-FR_2020-07-31-E1030.u18	I have before me several identical amendments, Nos 106, 280, 1622, 1715 and 2057. Amendments Nos 106 by Mr Xavier Breton, 280 by Mr Patrick Hetzel, 1622 by Mr Marc Le Fur and 1715 by Mrs Annie Genevard are defended. I call Mr Perrut to support Amendment No. 2057.
ParlaMint-FR_2020-07-31-E1030.u19	Disability should not only be considered an anomaly for the child and a burden for the family. We must be at the parents' side in the difficult times they are going through and make every effort to empower them and allow them to meet with professionals so that they can get answers to their questions and make an informed choice.
ParlaMint-FR_2020-07-31-E1030.u20	What is the opinion of the committee?
ParlaMint-FR_2020-07-31-E1030.u21	Colleagues, I share your willingness to promote an inclusive society. However, the current wording of the article already provides that parents are informed as best as possible during the various stages. Unless opposed by them, they shall be provided with information on the characteristics of the suspected disease, as well as on the possibilities for appropriate prevention, care or care, and the list of associations specialised and approved in the accompaniment of patients with the suspected disease and their families. It is the associations that must fulfil this mission. By the way, we can pay tribute to them for their excellent work in this area. In addition, your amendments avoid parental consent to benefit from this information. Again, it must be taken into account. Finally, I repeat that the objective of fetal medicine is precisely to prevent disability, because this branch is part of a logic of medical progress. The opinion is therefore unfavourable.
ParlaMint-FR_2020-07-31-E1030.u22	Amendments Nos 431 and 432 by Mrs Marie-France Lorho are defended.
ParlaMint-FR_2020-07-31-E1030.u23	I have before me three amendments, Nos 283, 1624 and 1115, which can be discussed jointly. Mr Patrick Hetzel's identical amendments No 283 and Mr Marc Le Fur's amendments No 1624 were defended. I call Mr Thibault Bazin to support Amendment No. 1115.
ParlaMint-FR_2020-07-31-E1030.u24	Since we are all concerned about defending women's rights, we must give them the opportunity to have a period of reflection if they so wish. My amendment differs from those of my colleagues because, following our discussions in committee, I understood that this deadline should not be mandatory but should be optional. I therefore propose, with this amendment, a much more balanced wording: "After the results of these examinations have been announced, the pregnant woman is offered a period of reflection of one week before deciding to discontinue or continue her pregnancy. »
ParlaMint-FR_2020-07-31-E1030.u25	What is the committee's opinion on these amendments?
ParlaMint-FR_2020-07-31-E1030.u26	This important issue has been the source of many debates in committee, including at first reading. We will be able to discuss this when we consider the following article. For now, unfavorable opinion.
ParlaMint-FR_2020-07-31-E1030.u27	Amendment No 437 by Mrs Marie-France Lorho is being defended.
ParlaMint-FR_2020-07-31-E1030.u28	Mr Thibault Bazin has the floor for a point of order.
ParlaMint-FR_2020-07-31-E1030.u29	Under our Rules of Procedure, I would like to have a thought for our soldier Andy Fila, who has just died in an accident in Chad. If you agree, it seems to me important that we observe a minute of silence in his memory.
ParlaMint-FR_2020-07-31-E1030.u30	[[Mrs. and Mr. Members rise and observe a moment of silence]] [[Mrs. and Mr. Members applaud]] Ladies and gentlemen, only the President of the House, Mr Richard Ferrand, can organise such a moment of recollection. However, in the circumstances, I propose that you stand up This gesture demonstrates the solidarity of the nation with our troops and our gratitude to all families facing pain.
ParlaMint-FR_2020-07-31-E1030.u31	Identical amendments Nos 438 by Mrs Marie-France Lorho and 645 by Mrs Emmanuelle Ménard are defended.
ParlaMint-FR_2020-07-31-E1030.u32	Amendment No 762 by Mrs Emmanuelle Ménard is being defended.
ParlaMint-FR_2020-07-31-E1030.u33	Identical amendments Nos 109 by Mr Xavier Breton, 284 by Mr Patrick Hetzel, 1116 by Mr Thibault Bazin and 1716 by Mrs Annie Genevard are being defended. What is the opinion of the committee on this series of identical amendments?
ParlaMint-FR_2020-07-31-E1030.u34	I will not teach you anything by pointing out that the Public Health Code already provides for a number of authorisation schemes for the use of heavy equipment and the arrangements for the management of new techniques by social security. Most importantly, medical research and exploration techniques advance a little more every day. I would say that imposing a legislative visa – a legislative imprimatur – for every new method of validated paraclinic biodiagnosis seems irrelevant to me: should we decide on each new machine? Is this really our role as legislator? Thus, according to this logic, for the covid -19 tests – virological as serological – we should have convened the Assembly, which is not feasible. I therefore give an unfavorable opinion.
ParlaMint-FR_2020-07-31-E1030.u35	I have before me eight identical amendments, Nos 110, 286, 676, 763, 1056, 1117, 1283 and 1626. On these identical amendments, I have a request from the Group of the European People's Party for a public vote. The vote is announced in the National Assembly. Amendments Nos 110 by Mr Xavier Breton, 286 by Mr Patrick Hetzel, 676 by Mrs Marie-France Lorho, 763 by Mrs Emmanuelle Ménard and 1056 by Mrs Annie Genevard are defended. I call Mr Thibault Bazin to support Amendment No. 1117.
ParlaMint-FR_2020-07-31-E1030.u36	It seeks to restore Article 19 bis A as adopted by the Assembly on first reading, which should be agreed by the majority as it pursues the same objective as the Prime Minister. The collection and storage of placental blood units should be better understood and the state of progress on this research should therefore be made known. That is one of the concerns that our colleague Genevard has raised before.
ParlaMint-FR_2020-07-31-E1030.u37	Mrs Blandine Brocard has the floor to support Amendment No. 1283.
ParlaMint-FR_2020-07-31-E1030.u38	I fully agree with Mr Bazin's remarks. There had been a consensus between the two chambers. However, at second reading, the special committee returned to this abolition of the technique of pre-implantation diagnosis coupled with the antigen typing of human leukocytes – DPI-HLA. The practice discussed here is that commonly referred to as the baby medicine. It consists of sorting embryos in order to select one that is free from a pathology affecting an eldest child in the family and to give birth to the child from that embryo with the aim of taking from him the cells necessary for treatment: a child is programmed to come into the world for the purpose of treating his ill elder by means of the stem cells of the placental blood taken from the umbilical cord or, later, from the bone marrow. The use of this child's body may later extend to a transplant. Even if the subject is painful, and one can only be sensitive to the distress of a family that has to deal with her child's illness, this practice must be considered in itself for what it is. It is questionable from a scientific point of view because, for many years, the cord blood bank network and the diversity of units stored are such that all patients undergoing cord blood transplants find a compatible graft. This is shown by an information report by Marie-Thérèse Hermange, written on behalf of the Social Affairs Committee of the Senate. The challenge to this practice is also of a legal nature, since it raises the question of the status of the child thus conceived. If the embryo did not have the qualities required to hope to treat the eldest child, this embryo would not be implanted and the baby medicine would not be born: it is no longer considered as a subject of right in its own right, but as an object of law since it is designed to care for another child. [[Applause on several benches of the LaREM group and on the benches of the LR group]] I have two last questions, ladies and gentlemen: how would the family react if the child rebelled for being so used, and if the eldest died, what responsibility would be borne by his brother or sister designed to heal him?
ParlaMint-FR_2020-07-31-E1030.u39	Amendment No 1626 by Mr Le Fur is being defended. What is the opinion of the committee on this series of identical amendments?
ParlaMint-FR_2020-07-31-E1030.u40	We need to dwell for a moment on this very important issue,...
ParlaMint-FR_2020-07-31-E1030.u41	We agree.
ParlaMint-FR_2020-07-31-E1030.u42	...even if it's the third or fourth time we've discussed it. Your amendments propose to re-establish the Article, adopted in the House against my opinion, which completely removed the technique of the DPI-HLA. For the record – and I ask you in advance to apologize if I repeat things that I have already said – this technique, which exists in the current law, is already very regulated and the law provides that it can only be implemented under very exceptional conditions. First, the applicant couple must have given birth to a child with incurable genetic disease leading to death in the early years. Next, all other therapeutic options must have been exhausted. Third, the vital prognosis could be significantly improved by the transplantation of hematopoietic stem cells, which are always taken from cord blood, and not from the marrow later, because hematopoietic stem cells taken from the placenta side can be frozen without harming the child's body. Finally, the final condition is that the diagnosis only concerns the genetic disease in question. At the end of our hearings and after our many discussions at first reading, I am convinced that the current legislative framework must be maintained for certain diseases: anemia of Fanconi, sickle cell disease or thalassemia – that's almost all. In these circumstances, contrary to what you are suggesting, Mrs. Brocard, finding an unmatched donor, whose HLA typing is identical – the tissue group is identical – is very difficult, especially since these children do not necessarily have a so-called "caucasian" donor in the hematopoietic stem cell graft file. Second, for these pathologies, it has been shown that a donor with the same unrelated tissue group had a lower prognosis after transplantation than if hematopoietic stem cells were used in the brother or sister. The Antoine-Béclère hospital, the only one to have practised this technique in France, has ceased this activity since 2014. Although there is no longer a team that practices this type of technique, the preservation of the current legislative framework allows patients and their families to be cared for when they are going to receive a transplant abroad – in practice, in Belgium. If we delete this legislative framework tonight and the Senate does not return to it, there will be no social security coverage for transportation and registry abroad. I let you imagine the social consequences of such a removal. Currently, a provision of the Public Health Code prohibits couples from resorting to new ovarian stimulation if they have "healthy" embryos, i.e. not affected by the genetic mutation of Fanconi's disease, sickle cell disease or thalassemia, even if these embryos are not HLA compatible. If we do not amend this provision of the Public Health Code, we will have to implant embryos which, of course, will not present genetic tare, but which will not be HLA compatible. Pregnancy will multiply until we find an embryo that would be HLA compatible and devoid of genetic tare. This is why, in 2014, the Antoine-Béclère centre put an end to this type of practice. [[Applause on several benches of the LaREM and FI groups]] I therefore ask you for your full attention. Of course it is difficult to understand the practice of the baby medicine. Of course parents are currently making babies under the duvet to find the little brother or sister who will be HLA compatible and free from genetic tare – for the rest without necessarily resorting to prenatal diagnosis. We're here. If we remove this framework, think about the consequences I've exposed to you. For all these reasons, of course, I give an opinion against this series of amendments.
ParlaMint-FR_2020-07-31-E1030.u43	What is the Government's opinion?
ParlaMint-FR_2020-07-31-E1030.u44	Since the rapporteur had explained everything technically, medically and scientifically, there was nothing to add, except that the Government was against this series of amendments and hoped that couples and children in need could continue to benefit from the practice of the DPI-HLA.
ParlaMint-FR_2020-07-31-E1030.u45	On Article 19 bis A, I am seized by the Republican Group of a request for a public ballot. The vote is announced in the National Assembly. Mrs Blandine Brocard has the floor.
ParlaMint-FR_2020-07-31-E1030.u46	[[Applause on some of the banks of the LR Group. – Mrs AgnesThillapplauditedalso]] I humbly admit that I did not follow all the scientific and medical explanations given by the rapporteur – I do not have the required level. However, I have a question: do we conceive a child for himself or for someone else?
ParlaMint-FR_2020-07-31-E1030.u47	Mrs Annie Genevard has the floor.
