ParlaMint-FR_2020-06-30-O1252.u1	The next item is the oral questions without debate.
ParlaMint-FR_2020-06-30-O1252.u2	The next speaker is Mr Xavier Paluszkiewicz, to put his question, No. 1093, concerning telework by border workers in Luxembourg.
ParlaMint-FR_2020-06-30-O1252.u3	I would like to ask the Minister for Economic Affairs and Finance about the development of telework, which has imposed itself on the 107 000 French frontier workers who cross the border every day, and the necessary adaptation of the tax rules which result therefrom. France and Luxembourg agreed last Wednesday on the extension until 31 August 2020 of the amicable agreement on telework for border workers, and that is a very good thing. While the covid-19 pandemic forced all European governments to take unprecedented steps, many French borderers stayed at home and discovered the use of telework. This unprecedented situation raises many social and fiscal issues, particularly with regard to the last convention, which entered into force this year. In my capacity as Special Rapporteur for European Affairs of the Committee on Finance, I welcomed the application of the new twenty-nine-day telework threshold, the first step forward for the borderliners of the High Countries on which I had committed myself. Already at the time, I had called for the threshold to be exceeded in order to be closer to that laid down in the future tax convention between Luxembourg and Belgium, i.e. 48 days of authorised telework. The current crisis must free us from the twenty-nine-day glass ceiling and allow us to talk about the threshold that should be of interest to us all: the one provided for in European regulations. This ceiling allows borderers to retain their Luxembourg rights while working in France. Luxembourg is ready to reconsider things, with a view to co-development – but not only. His Prime Minister, Xavier Bettel, and his Minister for the Greater Region, Corinne Cahen, stressed the vital importance of border workers to the national economy and discussed the possibility of considering one day of telework a week. Telework is part of the solution. See all the positive externalities caused by its massive use in our territory! As far as transport is concerned, whether it is car or public transport, it is three hours of life found every day. As far as road traffic is concerned, this translates into a drop in pressure on infrastructure – the future development of the A31 bis already showing its limits and traffic on the national 52 posing major problems, although the minister responsible for transport says. And I'm not talking about the benefits to the climate! Having travelled Luxembourg for 18 years, I am talking about it with knowledge. I am convinced that this win-win solution will change the lives of the borderers and partly solve certain mobility problems. I have three questions to ask. Is the Government in favour of promoting telework? Is he prepared to change the tax treaty in order to raise the threshold from twenty-nine to about fifty days, which would correspond to the ceiling of 25% of working time? Can you confirm to me that this question will be included in the programme of the next Franco-Luxembourg intergovernmental seminar, scheduled for the autumn? I know that the borderers of the High Country who look at us are waiting for answers – me the first.
ParlaMint-FR_2020-06-30-O1252.u4	The Secretary of State to the Minister for Solidarity and Health has the floor.
ParlaMint-FR_2020-06-30-O1252.u5	Mr President, the Minister of Economy and Finance has asked me to answer your question. These are the things he gave me. A new tax convention linking France and Luxembourg has been ratified; it shall apply from 1 January 2020. It does not provide for any specific arrangements for border workers, which is in line with the wishes of both States as well as that of the border workers themselves. Therefore, for the distribution of the right to impose remuneration, the rule that applies is the standard rule followed by all conventions, in accordance with the OECD model, the Organisation for Economic Co-operation and Development: income from activity is taxed at the place where this activity is carried out. However, the new Convention contains an additional provision on teleworking, which allows a French resident teleworking from his domicile in France on behalf of an undertaking situated in Luxembourg to have the corresponding remuneration imposed on Luxembourg, within the limit of a twenty-nine day per year package. Beyond this, the treaty rule of common law applies again and telework days in France are imposed in France. This particular clause is not reflected in any other agreement signed by France. The number of days provided for in this package is similar to that set out in the Treaties linking Luxembourg to its neighbours. The authorities in both states considered the covid-19 epidemic to be a case of force majeure suffered by workers. An amicable agreement was therefore reached to allow, if the taxpayer so wishes, not to take telework days at home into account because of the health situation in the count of the twenty-nine-day package. This exceptional agreement is, by its nature, temporary. Since the current convention had entered into force for six months, it was not possible to negotiate a new agreement today to increase the package by twenty-nine days on a permanent basis. On the one hand, this would lead to a permanent loss of tax revenue for France, which would give up its right to impose more widely than today. On the other hand, this would not necessarily be in favour of all the taxpayers concerned because, while Luxembourg's taxation may be beneficial for certain categories of households, modest households and families with children who are entitled to the family quotient in France may, with the application of French legislation, benefit from more advantages. In general, it would be less appropriate to consider taxation as a determining factor in the choice of employees to use this form of work.
ParlaMint-FR_2020-06-30-O1252.u6	Mr Xavier Paluszkiewicz has the floor.
ParlaMint-FR_2020-06-30-O1252.u7	Madam Secretary of State, thank you for that answer. We had the opportunity to talk about it just before the session began. Do not doubt that I will come back to the burden, because clarification will certainly be necessary on this issue.
ParlaMint-FR_2020-06-30-O1252.u8	Mrs Michèle Victory has the floor to raise her question, No. 1115, on the recognition of the work of healthcare workers.
ParlaMint-FR_2020-06-30-O1252.u9	Madam Secretary of State to the Minister for Solidarity and Health, I would like to ask you about the situation in my department, the Ardèche, with regard to the carers' premium and the premium for staff in medical and social establishments. On the first point, my colleague Hervé Saulignac and I still do not explain that our department, which paid a heavy toll to the covid -19, with a high circulation of the virus and a unfortunately very high death rate, has not been retained in its entirety for the payment of the "covid premium", unlike the neighbouring department of Drôme, whose indicators that guided the choice of the Government showed, however, that it was less affected. For example, only the three reference centres in the department were awarded the bonus, while the local institutions in my constituency, the hospital in Tournon or the hospital in Moze in Saint-Agrève, for example, received patients from neighbouring departments and intensified their efforts to accommodate patients and manage patients and residents already hospitalized, were ignored and did not benefit from this gesture of recognition, which they are particularly affected and bitter. We share this arbitrariness. These choices are not worthy of the consideration that we owe to all caregivers. During the crisis, the social and medico-social sector was also able to respond present and face, in order to support the most fragile. Like caregivers, home helpers have played a key role. They have helped save lives, including by making home containment possible. For the 5 million elderly and disabled people living alone in their homes, all over France, these workers have been very useful and have often been the only link with the outside world. This premium, which will have to be paid by the departments, competes with the territories on the basis of their wealth and the number of home helpers. That's not acceptable. In addition, there are inequalities in treatment between EHPAD in the same department, and even differences in taking into account the work of caregivers between the hospital and EHPAD living in the same building. We will also regret the lack of recognition of the work of caregivers in psychiatric institutions, which have been mobilized like the others during this period. It is time to correct these injustices. The bonus system was already raising important issues of social justice, but the way you have implemented it increases an anger that is only too legitimate.
ParlaMint-FR_2020-06-30-O1252.u10	The Secretary of State to the Minister for Solidarity and Health has the floor.
ParlaMint-FR_2020-06-30-O1252.u11	In order to fully recognize the mobilization of professionals in the medical and social sector and their participation in the management of the health crisis, the Government has announced an exceptional premium, financed by health insurance, for professionals in medical and social institutions and services financed or co-financed by health insurance, regardless of their status, and therefore without any distinction between EHPADs. In order to take account of the remarkable investment made by professionals working at home with vulnerable audiences, we have ensured that the exemption scheme for the new exceptional premium created in the context of the health crisis can be applied to home support and accompaniment services for the elderly and disabled. Thus, each department, depending on the specificities of its territory and the financial resources it considers appropriate to mobilize, will have the opportunity to provide such compensation to the employers it otherwise finances and who have chosen a payment. The Government is also working, within the framework of the reform relating to old age and autonomy, on concrete responses to the structural difficulties of the older age sector, particularly with regard to home support. It is important to recognize, support and value the daily engagement of these professionals with our seniors or people with disabilities. In order to meet the sector's expectations in the long term, work will be started very soon, following the recommendations of Mrs Myriam El Khomri's report in favour of the attractiveness of older occupations. In addition to the central question of the evolution of remuneration, which will be the subject of specific exchanges with all the players in the sector, other levers exist, which relate to the evolution of skills, the construction of a logic of career paths, the reduction of occupational risks and the increase of entry into training. With a view to achieving concrete measures, the issues related to the attractiveness of these trades are currently the subject of exchanges with all the partners involved; The aim is to bring about a shared plan, integrated into the broader reflection of the reform on the old age and autonomy that we are carrying out.
