ParlaMint-NO_2005-06-15.ana.ud2566e113	The representative Heikki Holmås has asked for the word to withdraw a private proposal.
ParlaMint-NO_2005-06-15.ana.ud2566e116	I made a proposal here yesterday. However, on the basis of the fact that it does not seem possible to obtain treatment under paragraph 28 of the third paragraph of Article 28(c), I would like to draw the proposal from Ågot Valle and myself, Document No. 8:102 for 2004-2005, and rather promote it on an appropriate basis during the debate tomorrow.
ParlaMint-NO_2005-06-15.ana.ud2566e121	Heikki Holmås’ notice that this proposal has now been withdrawn is taken into account. The representative Trond Giske will make a private proposal.
ParlaMint-NO_2005-06-15.ana.ud2566e126	I would like to make a proposal that lottery activities on board Norwegian ships on a route between Norwegian and foreign ports remain lawful.
ParlaMint-NO_2005-06-15.ana.ud2566e131	Of course, the proposal will be dealt with in a regulatory manner. However, the President makes it clear that all Document No. Eight proposals which will not be discussed before 17 June will be deleted. The President is uncertain whether there is any particular intention to submit proposals to various committees at this time of the Storting session. But, but! [[Laughter]] Before the matters on today's map are dealt with, the President will propose that the morning meeting, if necessary, continue beyond the regulatory time, at 9 p.m. 15 until today's map has been processed. No objection has been raised against the President's proposal. – It shall be deemed to have been adopted.
ParlaMint-NO_2005-06-15.ana.ud2566e149	Over the past two weeks, there has been a number of debate on the significant debt cancellation mechanism in place, which includes many of the poorest countries, amounting to EUR 45 billion. Both our own development minister and several analysts have pointed out the danger of this debt reduction at the expense of other development aid that is often aimed at the world's poorest. As an example of what has been said, I can refer to a leader in the Financial Times the other day, where one says that the strong concern can be what this debt loss will mean for future development contributions. Giving up IMF loans will weaken the fund's balance sheet and thus weaken the capacity for new loans. This is a real cost and is likely to have to be borne by the medium-income borrowers rather than by the poorest countries. In this way, a short term might say that there is extra money for the poorest. But the real problem can remain with the World Bank and the African Development Bank, for these institutions depend on the repayment to finance parts of new loans to poor countries. One simple way to think about it is that one dollar can be repaid one dollar less at the disposal of loans. So far the Financial Times. It is worrying that some of the largest and richest countries have limited themselves to relatively short-term commitments to cover this compensation. The more important is that in this case, as in the next two cases on today's map, we follow up our obligations. I would like to take the opportunity to say that I then assume that the Minister for Development, in his annual statement through the presentation of the budget, will be briefing on how this situation develops. It will also be of particular interest to follow-up on whether the debt gap leads to the desired effects in the recipient countries and their management of an improved economic situation, for the benefit of those who need it the most.
ParlaMint-NO_2005-06-15.ana.ud2566e160	Just a brief comment on this and the next matter in the light of the statements by the representative Vallersnes. I think it is also important in this context to point out the positive in the first instance that the G8 is now putting the fight against poverty at an even greater focus than at the previous G8 meetings, and that they have agreed on a solution to cancel multilateral debt. That's positive, and we have to take note of that. And Norway has also contributed here. But the representative Vallersnes is quite right in saying that the key to the whole credibility of this initiative will be in funding and in where the money is taken from. It is important to stress that at the G8 meeting between the finance ministers last Friday and Saturday, it was agreed that the principle of additionality should be based. So it's going to have to use additional resources. However, it is clear that there will be a great temptation on the part of donor countries to redispatch – from other ODA funds to payment in relation to debt obligations. So you'll be in a situation where you might be equidistant. That is why I would like to stress two points. One is that we want to welcome this on our part, but stress the importance of additional resources. We have also said in our comments that we want them to work with a monitoring mechanism – i.e. a monitoring mechanism – internationally, so that we can monitor whether there are actually additional resources coming. The second is that of course this benefits HIP/C country. The usual requirements for a genuine and credible economic policy will then be underpinned. So when the debt is released and money is released, it does not go to other purposes that we have less faith in – to countries that have poor economic policies – but it will be a policy monitoring, as has been the case with HIP/C countries in general. I just want to make these two comments in connection with the debt cancellation initiative: from the Norwegian side we should welcome it, while at the same time taking good care of how it is implemented, and ensuring that the final result is for the benefit of the poorest, and not that they are involved in paying the bill.
ParlaMint-NO_2005-06-15.ana.ud2566e175	At first I would like to express my joy at hearing both the Vallersnes and the Council of State talk about the cancellation of debt, and not relief. So the problem is, will this go beyond other, regular assistance? There is every reason to fear, because in the work to reach the 0.7 target, a number of countries have found more. to cancel debts. It can be done in any case. What's worse is that one tries to include in the 0.7 measure, for example. that residents send money home to relatives in developing countries. What may be even worse is that one tries to pull out what's going on in the DAC committee and tries to deploy military forces, that is, where there's a fight. The government must support their efforts. But we don't have to go so far as to believe that the cancellation of debt will prevent anything. We know that it actually goes nine times more efficient capital northwards than it goes southwards. The worst thing that happens here is that among the peoples of the rich countries, we make the impression that we give a lot – of course we do, not least Norway. But we should also be aware that it's a very big fuelling of debt, and that parts of that debt are recorded under conditions that I'll at least be able to define as illegitimate. This is a good start, not least because there are so many powerful forces that are now taking the initiative – we are actually talking about the G8. We in Norway must do everything we can to support those initiatives. I have not received any signal here today that the government council or the government party has intended to slow down when this is the case. They only came with an adjacent index finger – I saw it. But let's back up on what's going on in the G8! It must be Norway's policy.
ParlaMint-NO_2005-06-15.ana.ud2566e186	Several have not asked for the floor on case No. 1st@item: inlistbox [[Fotation, see page 2945]]
ParlaMint-NO_2005-06-15.ana.ud2566e202	No one has asked for the floor. [[Fotation, see page 2945]]
ParlaMint-NO_2005-06-15.ana.ud2566e218	No one has asked for the floor. [[See page 2946]]
