ParlaMint-NO_2005-06-10.ana.ud1319e122	The representative, Jan Simonsen, will make a private proposal.
ParlaMint-NO_2005-06-10.ana.ud1319e125	I am delighted to make a proposal to ask the Government to move the Norwegian Embassy in Israel from Tel Aviv to the capital of Israel, Jerusalem.
ParlaMint-NO_2005-06-10.ana.ud1319e130	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2005-06-10.ana.ud1319e144	St. Report. No 24 deals with «a dark spot» in the history of Norwegian Child Protection. This is a bad cause for the matters involved. Much pain and great injustice have led to the destruction of many both their childhood and their adult life. This is a serious matter for a group of committees to deal with. So who were these kids? According to the Mapping Selection, children tended to come to orphanages because they needed protection, usually against harmful home conditions, and because they lack care. It was also more and more common in the 1945–1980 review period that harmful conditions could be poverty, or that mother was sick or worn out – even so-called reprehensible moral conduct could be a cause for care. Ideological assessments were also made. On the one hand, harmful factors were that growing conditions were characterised by insecurity, understimulation and poverty, and on the other hand ideological and moral assessments could be the basis for taking care. In the case of a special ball, the location was based on gender-specific grounds. Girls were often placed due to malpractice, while boys were placed due to nocturnal and profit-criminalism. I would like to stress that according to the selection, very few of these guys had committed very serious or dangerous criminal acts. The survey also states that, in addition to care failure, there were serious physical, mental and sexual violations in the orphanages. Example of this is stuff, mistreatment, suffocation, punching with a stick, shut-out in the naked state in winter cold, locking in dark cellar spaces and iron burning. The central element was the use of painful methods and various forms of liberation. When it comes to sexual assault, these injuries were done by both adding and older elephants. When the range is concerned, the selection is based on an estimate. There is a basis for believing that care failure occurred in most orphanages and special schools. It is also likely that physical and criminal offences of various kinds have occurred frequently. When it comes to sexual assault, a so-called conservative estimate shows that 2 pst. by boys and 4 pst. The girls were exposed to this, while a radical estimate is significantly higher: 12 pst. for the boys and 24 pst. when it applies to the girls. Despite large differences in these estimates, however, the Monitoring Selection concludes that during the period 1945–1980 there has been a significant occurrence of sexual abuse in children’s institutions, and that the vast majority of the offences have been committed. So to the setting itself: In the setting, a collective committee determines that many former orphans and children from special schools were subjected to serious care failure and abuse. This is very well documented in the mapping selection report. The unworthy conditions that have been uncovered in orphanages and special schools in the period 1945-1980 should never have occurred, and the Committee stresses that in the future one cannot allow this to happen. A large group of children have had their childhood ruined and suffered a lot of pain throughout their lives because of the injustice and abuse they were subjected to. I allow myself to ask all these children for cause on behalf of the great community. The Committee agrees that there is a special responsibility on the State in this matter. There were interventions from the public that led to these children being placed in institutions and special schools with the aim that children should have a better life situation. The public thus plays an active role in children being removed from their homes, and for children's homes and special schools to take on the responsibility of care. In many cases, there were public representatives who were at a disadvantage, and the public has also been responsible for the fact that in many cases there is lack of evidence or complete absence of evidence. Accordingly, the Committee is in favour of the Stortinge awarding compensation under an extended and adapted legal compensation scheme for former orphans and special schoolchildren of up to DKK 300000. The fact that the Stortinget thus increases the maximum amount of the legal compensation scheme by 50 p.m., from 200 000 kroner to 300000 kroner, indicates that the Stortinget wishes to underline the unacceptable fact that public placement in the institution in many cases resulted in abuse and care failure. The Committee acknowledges that it may be difficult to document care failures and physical and sexual abuses that are often decades behind schedule. To this end, the Committee notes that there is a need to reduce the burden of proof and to attach great importance to own-initiative opinions. The Committee considers that the self-declaration shall be decisive in the application for compensation. In addition to its own declaration, the Committee believes that it should be accompanied by a confirmation stating each and every time that the person concerned had resided in a children's home or special school. I would also like to note that children of Kinderheim who have previously applied for legal compensation may rescan search under the adapted and extended compensation scheme, regardless of whether they have received support in the past or not. The Committee acknowledges that an extended judicial remedy is not intended to cover the financial loss suffered by the applicant. The point is to give some financial compensation for the gross injustice that has been done. Once again, I would like to make it clear that the Committee acknowledges that the State can unquestionably be blamed for the injustice that has occurred. The state has also, in many respects, been involved in the maculating of evidence of what has happened. The Committee has therefore underlined the importance of ensuring that all relevant documentation and all public papers comply with the rules laid down in the Code of Conduct for 80 years. The Committee has assessed national responsibilities. It is up to the municipalities themselves to decide whether they will initiate municipal investigations. In this case, the Ministry will develop national guidelines. It is also up to the municipalities to decide how to claim compensation. The Committee emphasises that even if an extended judicial remedy is adopted, it will not deter the individual in this group from going to the action for damages on the basis of the same circumstances. In this context, the Committee has stressed that aging should not be involved in matters relating to this group. Finally, the Committee urges that children who were placed by the public in foster homes should also be included in this scheme. I would like to suggest the setting that a co-ordinate's committee is standing again.
ParlaMint-NO_2005-06-10.ana.ud1319e178	Several have not asked for the floor on case No. 1st@item: inlistbox [[Fotation, see page 2773]]
ParlaMint-NO_2005-06-10.ana.ud1319e194	At the request of the Committee on Family, Cultural and Administrative Affairs, the President will propose that speaking time be limited to 5 minutes to each group and 5 minutes to the Council of State. Furthermore, the President will propose that five lines of response be given to comments by members of the Government within the allocated speaking time. In addition, the President will propose that those who sign up to the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2005-06-10.ana.ud1319e203	As the rapporteur, I am pleased that the Committee has united unanimously in its comments on the evaluation of the maximum price. Evaluation of the maximum price in kindergartens is largely enjoyable reading. Kindergartens are built as never before. Many children have had kindergartens, and they have had them at a lower price. There has been no such commitment and positive development in the kindergarten sector in the past. It's an expression that the elements of the Greatness Agreement have worked. I am also pleased that a unanimous committee once again stresses in the setting that the objectives and choice of instruments, as laid down in the kindergarten agreement, are firm. The Committee also notes that we will only know the need for kindergartens once the maximum price of Stage 2 has been introduced, and the Committee expects the need for full-time facilities and new places to increase further. That being said, we can't say that we're satisfied that we're not in the goal. Many parents feel that they have failed around the municipalities that have far from full coverage. I understand that they believe that we have not kept our promises. Let me take a short flashback: Before the kindergarten reform, there were more than $4,000 for a kindergarten. There were large price differences around the country, not least between municipal and private kindergartens. The extension was stopped, and kindergartens were closed. Many young children's parents wanted kindergarten, but they didn't get it, because there was not enough room. A lot of people couldn't afford a place either. There is no doubt that the kindergarten agreement has reversed the negative development we have had in kindergarten development. Five times more full-time jobs are built in 2004 than in 2000. Prices have been reduced and sibling moderation has also been introduced in almost all private kindergartens. In the kindergarten agreement, it was agreed that a maximum price of DKK 1750 would be introduced from 1 August 2005, assuming that almost full demand coverage was reached in 2005. I am disappointed that the Government believes that the maximum price step 2 should be pushed out on time, without time fixing when you intend to introduce step 2. The government now says that full needs will be met with a maximum price of NOK 2 750 during 2006. The signals we have received indicate that it will be built approx. 17 000 new places in 2005, and we know that there were 15 000 children in kindergarten queues at the turn of the year. I will describe this as an almost full coverage in 2005. SV will therefore introduce stage 2 maximum price from 1 August 2005. There's a link between price and demand. The lower the price, the greater the demand. We now have this experience with the introduction of the maximum price step 1. A postponement of stage 2 will lead to a postponement of the implementation of the kindergarten reform. We do not want to know the need for kindergarten places until the maximum price step 2 has been in place for a while in this country. The introduction of the maximum price was part of the nursery arrangement, and it was supported by a unanimous increase. It was a promise we gave to young children’s parents with children in kindergarten. SV will guarantee that we will introduce the maximum price step 2. We're going to have full babysitting, and we're going to give children a legal right to babysitting. This is what we'll give the highest priority if we get into government. In the absence of kindergartens, a number of family farms have been established. SV believes it should be easier for small family farms to merge into a qualitatively good offer. This must be followed up in regulations for approval and operation as a result of the Children's Court Act and the Framework Plan. It should also be considered to establish childcare facilities in the municipalities with a guidance offer and a public quality assurance and an overview of the overall offer. It has been a problem to get the municipality to maintain the nominal level of kindergartens, as provided for in the childcare arrangement. The SV has therefore proposed that the Government in the 2006 budget should make ‘what instruments it would be appropriate to use in relation to municipalities that do not implement the financing of kindergartens as determined by the Stortinget’. I'm taking up our suggestions here.
ParlaMint-NO_2005-06-10.ana.ud1319e237	The representative of May Hansen has taken up the suggestions she referred to.
ParlaMint-NO_2005-06-10.ana.ud1319e240	There is no doubt that the nursery arrangement has led to a violent uplift for the kindergartens and for the parents, who are dependent on getting good care for their children. There has been a strong growth in the number of kindergartens. Very many parents have experienced a severe price drop, and the bet on kindergartens across the country has shot speed. Nevertheless, we have not come as far as we had as ambition when we entered the kindergarten agreement here in Stortinget. A large majority agreed with the objective of achieving full child-care coverage during 2005. The goal of full child care coverage has been a repetition of Norwegian policy. In the 1990s, we talked about getting through by 2000. We know what happened. In 1997, cash support came, and kindergarten expansion fell into the cellar. It was very late, and when the government parties – the current ones – took over in 2001, the Sem Declaration had the ambition to have full child care coverage in 2003. You couldn't do that either. The kindergarten agreement took the consequences and set the stage for 2005. But we have to see in our eyes that once again we are going to meet the voters in a big elections without having achieved the goal. It could probably be discussed up and down why we didn't achieve that goal, but I think one of the reasons was that the information about the various support schemes was too late. It was too slow before municipalities and private developers realized that what they invested in new kindergartens was fully covered in operation, that this was not a burden on them. But luckily, it seems that many have understood, and the preliminary figures for 2005, as we hear, indicate that now it's really happening. So we said in the kindergarten agreement that in spring 2005 we would make the final decision as to whether to introduce the maximum price step 2 from 1 August, as the nursery agreement described. Here, the different parties had slightly different views. Some people claim that we actually agreed that the prerequisite for introducing the maximum price step 2 was that it had become full child care coverage. That's not right. We should take that assessment on a free basis in spring 2005. From the Workers' Party we believe that the maximum price should have been introduced from 1 August. We note that government parties argue that a maximum price of step 2 could delay the development of kindergartens. We do not agree with such a description. There's two reasons for that. One is that the assumption is that the government is going to cover the loss of income suffered by kindergartens by reducing the price by NOK 1000. You lose 1000 kroner from your parents, but you get 1000 kroner from the state. It was going to go straight up, and it wasn't going to affect the kindergarten development to an appreciable extent. But the second and most important reason is that in a majority of municipalities there is now full child care coverage. There is not a single nursery until a new need is revealed, and it is only revealed when you get the price down. So a postponement of the maximum price step 2 will actually in very many municipalities lead to the postponement of kindergarten expansion and actually a slower kindergarten expansion than we would otherwise have. So, in the kindergarten agreement, we agreed that when we introduce the maximum price step 2, we also need to have a different code for which things it is possible to get more payment for. It could be food, it could be extra pedagogic, and it could be particularly nice outdoor areas, etc. These rules are, in fact, impossible to put in place until 1 August. To imagine that thousands of kindergartens are going to be able to deal with a whole new code and implement it in 1 1/2 months, and where one of those months is likely to be vacation, is simply unrealistic, and throwing the kindergarten sector into new, fast transitions we don't think is right. That is why we say from the Labour Party that we want to introduce the maximum price step 2 from 1 January 2006. That's what we want to do, because then we'll have time to convert the legislation while we get the maximum price of step 2 so fast that kindergarten development goes on. Finally, I would also like the Council of State to note that the Committee points out that some kindergartens still do not follow the rules on sibling moderation, as stated in the proposal. It must be obvious that all kindergartens receiving public support follow the legislation and regulations that exist and must be followed up.
ParlaMint-NO_2005-06-10.ana.ud1319e261	We are now in the final stage of the kindergarten reform. The goal of the Right and Government is clear: kindergarten for everyone who wants it. It is essential to ensure genuine freedom of choice for parents. The ability to choose between kindergarten and cash support, or a combination of these two schemes for the smallest children, is an important part of the Right Growth Policy. Both the main objectives of the Government and the Storting are full child care coverage. I am therefore pleased that the government's kindergarten expansion must be said to stand at the dice throw six. During this ageing period, 25 000 more children have been offered nursery services. There is every reason to give homage to both municipal and private nursery owners and builders and to congratulate them on their efforts. Ensuring full child-care coverage will always be a moveable objective influenced by changes in state framework conditions, population changes and changes in other social conditions. It is a challenge to target moving goals, and it has been interesting to see how the Government’s instruments have influenced development and triggered new needs. In particular, I think it has been interesting to see the large increase in demand for full-time kindergartens after the introduction of step 1 of the max. price reform. Many parents wanted to extend the period of residence in the nursery when prices were reduced, and this has meant that it has taken longer than provided that full needs are met. The government assumes that the most realistic thing is to assume that the full coverage target will be achieved in 2006. Stable framework conditions are and have been important to ensure that full needs are met. The evaluation shows that the reform has been properly funded so far. So it hasn't been on money. But even though the goal of full kindergarten coverage is closer than ever, it is important to keep pace up. There are still many children who do not have the childcare space they need, and it is therefore very important that work on expanding the sector continues with unrestricted strength. I believe that this is a good solution The government has chosen, when it has now informed the municipalities in the municipality proposal that the operating and investment grants for the kindergartens should be earmarked in 2006. In doing so, the Government has granted a new deadline for those municipalities that have not reached the target to reach full childcare coverage. The right is concerned about making babysitting available to everyone who wants it, before we put down the price of the places further. If we don't, we quickly get into the same unfortunate situation as before, where only those who have been given room benefit from state subsidies. It thinks the Right is both unfair and unsocial. There is still a great deal of uncertainty about when we approach almost full child care coverage, and it would therefore be unfortunate, in my opinion, to fix an introduction of the maximum price step 2 now. In line with the kindergarten agreement, the job is no. 1 to give full priority to childcare. I am pleased that the Progress Party supports the government parties in that it is more important to provide room for everyone who wants it than to give up the price for those who already have room. Another important element of the childcare arrangement is the equal treatment of daycare facilities in relation to government grants. The past decade’s formidable development in the nursery sector is due to a very good interaction between private and public owners and builders. The kindergarten sector has benefited from the private founding and commitment shown by private actors, and it has created greater diversity and is a greater freedom of choice for young children’s parents. The kindergarten agreement requires that equivalent treatment be phased in. All the parties agree on this. I am pleased that one of the main objectives of the first phase of the phase-in phase has been achieved, namely that both municipal and non-municipal kindergartens have been able to comply with the maximum price rules, to the delight of many parents. The decline in private kindergarten rates was much more pronounced than in the municipalities and has reduced the difference between municipal and private kindergarten rates. The aim of the size was to ensure maximum price and moderation arrangements in all kindergartens, and the Right is satisfied with the results we have now achieved. While there is some disagreement as to the models to be used for non-discrimination in the future, the Right considers that it is now important to complete phase-in of equivalent treatment and that the principle of unity should then be applied. Although the objective of full childcare coverage has not been achieved, very many young children’s parents are in a better position today than at the beginning of this ageing period. Substantially improved child care coverage, increased diversity of childcare facilities and cash support for those who want to do so have given parents valuable freedom so that they can choose the care solution that best suits the family. I think the parents really appreciate that.
ParlaMint-NO_2005-06-10.ana.ud1319e287	The election campaign has begun. We hear that SV wants a maximum price step 2 introduced from 1 August, and that the Workers' Party wants a maximum price step 2 from 1 January 2006, despite the fact that we do not have an approach to full kindergarten coverage. So we've got cheaper places. We've done that. And we've been able to offer full-time places to far more than we really thought. It is significant when we hear SV talking, but they must remember that in order for one new child to have a place, 1.43 new full-time places must be built. It's done a formidable job, but I don't have the conscience to leave anyone on the outside of the fence. I also have to take a little distance from what the representative Sjøli said, for Objective No. 1 and top priority is not full kindergarten coverage, but it is one of the premises that we should be able to introduce the maximum price step 2. So the goal is full non-discrimination and maximum price step 2. The kindergarten agreement has led to a very positive development in the kindergarten sector. The broad agreement was intended to provide political peace around a major and important welfare reform in Norway. The most important thing for the Progress Party, in addition to the maximum price, was that we decided that there should be equal treatment between private and public kindergartens. For the Progress Party, two factors are very important in relation to the introduction of the maximum price step 2. Firstly, there must be almost full child-care coverage before step 2. What does that mean? For the Progress Party, it means that those who want it have a real opportunity to have a kindergarten. Then – and only then – it is right to introduce the maximum price step 2. It's very difficult for us to leave thousands of kindergarten children on the outside of the fence and look into those who get a very reasonable nursery place. It would be a gross discrimination against Norwegian citizens on which we cannot participate. Now both the SV and the Workers' Party will probably claim that discrimination will always be. Yes, she can. But when we introduce the maximum price step 2, there comes a new wave of parents who want kindergarten, who have waited until the price was low – so they have chosen another solution in the past. There will be no discrimination. We have to assume that there may be a new wave of applicants after the maximum price step 2 has been introduced. Therefore, it is important not to remove all incentives for the construction of kindergartens immediately. We're going to have to take this into a budget debate since then. Another point is that if the cash support disappears, even more children will need nursery facilities. The SV and the Workers' Party have not taken into account in their alternative state budgets. What are they going to do with these kids? They have only budgeted the savings by cutting the cash support, not the cost increase by having to finance the increased demand for nursery facilities that the cut will entail. When you remove an offer, there should almost be a substitute for this. It'll hardly do if the Working Party and SV get it as they like. For the Progress Party, the cash support and affordable priced babysitting are two sides of the same case, namely the possibility for parents to make real choices. If you remove one, you really lose the option. Then all children will end up in the nursery, and the public will be fully responsible for your child from the age of eight months. It's a development that worries me a lot, but it certainly fits well for the socialists. The essential thing for the Progress Party is that you have approximated full child care coverage before introducing a maximum price, which is completely in line with the kindergarten agreement. Finally, SV is talking about political contempt, but I have to warn SV. It is not the Progress Party that creates unrealistic expectations among the families of young children and the disquiet among the kindergarten owners. We are on the verge of full coverage before introducing the maximum price step 2. The fact that SV plays with numbers and makes it sound as if it is already full child care coverage cannot and will not take responsibility for the Advance Party. If there is created political contempt, the jam will take its share of that responsibility.
