ParlaMint-NO_2005-12-13.ana.ud1051e57	The representative of Bjørg Tørresdal will make a private proposal.
ParlaMint-NO_2005-12-13.ana.ud1051e60	On behalf of May-Helen Molvær Grimstad, Hans Olav Syversen and myself, I will put forward a proposal on enhanced legislation against pornography.
ParlaMint-NO_2005-12-13.ana.ud1051e65	The proposal will be dealt with in a regulatory manner. The President will inform you that if the debates on the matters listed are to be completed before 1 p.m. 15, however, voting will not take place until the evening meeting for the support of John I. Alvheim today, so that everyone who is there can reach the vote. The President hopes that the Storting will agree with that. – It shall be deemed to have been adopted.
ParlaMint-NO_2005-12-13.ana.ud1051e83	No one has asked for the floor. [[See page 841]]
ParlaMint-NO_2005-12-13.ana.ud1051e99	No one has asked for the floor. [[See page 842]]
ParlaMint-NO_2005-12-13.ana.ud1051e115	No one has asked for the floor. [[See page 842]]
ParlaMint-NO_2005-12-13.ana.ud1051e131	At the request of the Committee on Family Affairs and Culture, the President will propose that the debate on the budgetary position be divided into two parts, so as to deal first with the framework area 3, the Ministry of Culture and the Ministry of Churches, and then with the framework area 2, the Ministry of Children and Gender Equality. At the request of the Committee on Family Affairs and Culture, the President will propose that each of the debates be limited to 85 minutes and that speaking time be allocated as follows: Work Party 30 minutes, Progress Party 20 minutes, Right 10 minutes, Socialist Left Party 10 minutes, Christian People's Party 5 minutes, Center Party 5 minutes and Left 5 minutes. Furthermore, the President will propose that there be an opportunity for a replacement of up to five lines with replies from members of the Government and up to three lines with replies from the main speakers of each group within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – This is deemed to be adopted.
ParlaMint-NO_2005-12-13.ana.ud1051e144	I would first like to thank the Committee on Budgetary Control and for its excellent cooperation. I think it's the first time in history that all committee meetings in connection with the budget work of the family and culture committee have been held in the daytime, and that one has not used his night hours to help in the budget work. That's great, and all the honors of the committee for that. I expect the various parties to present their views and suggestions to the state budget, so I will concentrate on the Christian People's Party's views in my contribution. The Christian People's Party wants a cultural life that gives new impetus and stimulates creativity and innovation, while cultural policy helps to strengthen our cultural roots. Art and culture have a self-esteem. It is important to provide a rich and diverse cultural offer to the whole population. I would like to congratulate the Minister of Government and the Minister of Culture and the Church on a good budget for culture, which includes extra grants for many good purposes. The Christian People's Party is not satisfied with, is that many of the extra cultural crowns are taken from church purposes. It is particularly unfortunate at a time when these two purposes should not be set against each other. The Church has recently presented a cultural message, and the entire Committee feels that it is very positive that the Church focuses on its role as a cultural bearer. When there is then a great deal of agreement that diversity and freedom of belief are important, it is disappointing that the Minister of Culture and the Church cut in support of everything from Buddhist temples to church houses, as well as that the Government cuts significantly in support of the church councils. Since our alternative budget will not be adopted, we have chosen to make visible how the Christian People's Party wants to prioritise within the framework proposed by the new government – and have proposals along with the Right and Left in the vote. Here, the Christian People's Party has prioritised additional funding for the coordination of archives, libraries and museums, for skills building actions for the culture of the people, for the Norwegian Theatre Council, for the Audio and Picture Foundation, for multicultural activities, for the Norwegian Sculptor Centre and for the follow-up to the Church's own cultural message, "The Art of Being a Church". The Christian People's Party is occupied by the institutions that manage society's cultural heritage: archives, libraries and museums. These institutions represent a collective memory of society which, alongside the language as a social phenomenon, forms much of the basis for all technological and social development, for all human-made culture. They are important sources of understanding our common history and culture. It is an important political goal to create a so-called seamless library where knowledge and information flow freely throughout the library network. It is important that the consolidation of museums can continue, and it is important that archives are given the opportunity to secure their material in the future. The archives have special challenges, not least in connection with the transition to electronic archiving, but also with the need to take care of the large amount of private archive material that has been subject to too little consideration. Follow-up to the ABM reform is the most important cultural policy reform in the last decade. The reform has both helped to improve resource use and, above all, increased the quality of services and the provision to the public. Voluntary organisations are the very foundation of an active cultural life in most communities. Voluntary organisations are important value and tradition intermediaries, not least to children and young people. Good framework conditions are essential if they are to continue to be able to play this key role in society. Improved conditions for voluntary organisations have therefore long been an important issue for the Christian People's Party. We have strengthened the revenue base of the voluntary sector through the tax exemption scheme for gifts to non-governmental organisations and the VAT compensation scheme, and we have given the Ministry of Culture and the Church overall responsibility for voluntary policy. Otherwise, I find it a pity that voluntary organisations will not benefit from an increase in the tax exemption for gifts – from NOK 12 000 to NOK 15 000 – a proposal that is not adopted. There are several challenges in the media field. One of them is to maintain the good press support system to help maintain the diversity of newspaper publications in terms of both value anchoring, geography and content. Another is linked to an increasing interest in creating and producing films around the country. Several new film environments are under construction in different regions. The Norwegian film policy has, as you know, been in the cast for a long time. The conversion of the film policy that has been implemented in recent years has undoubtedly contributed to the vitalisation of the film industry, which has once again produced better Norwegian films, increased public awareness and increased self-financing. Norway has two written languages that are formally equivalent, yet are under constant pressure such as languages of use and professional languages in key social areas. It is important that work is strengthened in the field of neo-Nordic language, literature and culture. Then I would like to make those suggestions in the position where the Christian People's Party is co-sponsored.
ParlaMint-NO_2005-12-13.ana.ud1051e172	The representative May-Helen Molvær Grimstad has taken up the suggestions she referred to. It's going to be line change.
ParlaMint-NO_2005-12-13.ana.ud1051e177	In the context of the Culture Communication, most people now know that the Red-Green parties made proposals on the Cultural Promise. In this regard, when the Council of State of the Christian People's Party and the representatives of the Christian People's Party commented that there was no particular difference between what the Bondevik II government meant and what the red-green felt. It is repeatedly stated in the Culture Communication that a monthly increase was desired in most purposes, but that it would take ‘ahold’ of the economic stand. In the election campaign, we were repeatedly told how sparkly it was in the Norwegian economy, and we agree with that. What, then, is the reason why the Christian People's Party in Bondevik II's draft budget did not find room for 'a monthly increase'? What is going to happen in the economic situation and what changes are going to be made to ‘a monthly increase’ in the field of culture?
ParlaMint-NO_2005-12-13.ana.ud1051e184	The cultural message of the previous government showed offensive efforts in the field of culture. During the Cooperation Government there was also a significant increase within the cultural field. There was more money, more money, for culture. Then the new government has come with an additional increase. It's great that there's even more money for culture, but what you also have to look at is the impact on these things. It's also so that the new government has cut a number of areas that would be negative. When e.g. This is due to gifts to voluntary teams and organizations, we had added up to an increase, but the new government has not opted for an increase. We know that it would have given billions to voluntary teams and organizations, because people had been taxed for their gifts. Even when it comes to the other things that the new government has cut, in relation to the church purposes, we think it's unfortunate. But I look forward to a still good and offensive cultural debate.
ParlaMint-NO_2005-12-13.ana.ud1051e189	In the last four years, many municipalities have been able to reduce their supply of culture and leisure. This has meant that many children and young people have had a poorer cultural and leisure supply. 50 youth clubs were laid down only in the last year of the Christian People's Party in government. The question to the representative Molvær Grimstad is: Is she satisfied with the efforts of the Christian People's Party in government in this area, and what is the Christian People's Party going to do to improve the leisure provision for children and young people?
ParlaMint-NO_2005-12-13.ana.ud1051e196	I share Sande's commitment to children and young people and this to youth clubs. The Christian People's Party has been involved in increasing bets when it comes to big cities – compared to young people in the largest cities. It has been focused on different measures, but one of them is how the municipalities manage their funds, and what they prioritise within the framework of their approach. While it is important to have a liberal local economy, it is also important to pursue an industrial policy that gives one a business life that creates jobs and gives tax revenue to the municipality. I thought the center part would put a one-sided emphasis on just distributing. We also have to create, and the best way we can get good growth conditions in the municipality is to have a business that goes, and that we have a tax policy that facilitates it. By creating jobs, there is also a tax revenue that is involved and increases the well-being and cultural provision of the municipality.
ParlaMint-NO_2005-12-13.ana.ud1051e203	The opposition says that now there's going to be a new form of cultural debate, and in the evening post we could read that in the future we're not going to have a discussion about plus and minus in the case of crowns, but we're going to have an ideological settlement between the opposition and the new red-green government partners. But I have to say that when I read the attitude of the cultural budget, it's hard to see where the ideological divisions go. The ideological debate we're going to have in the next few years is not, as I see it, between, for example. The Workers' Party and the Christian People's Party, but internally between the former government parties Christian People's Party and the Right. Because it's really somewhere you're going to have an ideological settlement, it's on the press, and I could imagine getting a comment from the representative Molvær Grimstad, whether or not she's really going to take an ideological settlement with the Right now on whether or not you want to have meaningful newspapers in this country.
ParlaMint-NO_2005-12-13.ana.ud1051e208	There is a great deal of agreement about many of the things in the budget setting. Where I think that an ideological discussion can be more likely, when it comes to the money that is devoted to culture, which is the cultural committee's responsibility, and the money that is devoted to church and education, which another committee has as its responsibility. What is a bit alarming is that when the minister of the Church and of culture increases the privileges of culture, he cuts so heavily for church purposes. It seems like it's easier to get money if you plan a rally race than if you're going to have a building for church purposes. Here we're kind of adding up to discussions, and we'll follow closely how the new government wants to prioritize these purposes in the future. In the case of press support, I share the Gjul's commitment with the representative. It's important to have a frequent and emerging press.
ParlaMint-NO_2005-12-13.ana.ud1051e215	Replication cord shift is over.
