ParlaMint-NO_2005-05-25.ana.ud521e28	The representative of Jørund Leknes will make a private proposal.
ParlaMint-NO_2005-05-25.ana.ud521e31	On behalf of the representatives of Øystein Djupedal, Siri Hall Arnøy and myself, I would like to make a proposal to establish software policy guidelines for Norway, with a view to improving technological solutions and increasing democracy.
ParlaMint-NO_2005-05-25.ana.ud521e36	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2005-05-25.ana.ud521e60	On Monday and Tuesday, the Storting received notices from the Prime Minister's office that the following members of the Government will meet for oral Question Time: Prime Minister Kjell Magne Bondevik Council Ansgar Gabrielsen Councillor Thorhild Widvey The advertised members of the government are present, and we are ready to start the oral question procedure. The representatives who, in addition to the pre-announced representatives, would like to ask questions of substance. – We then start with the first main questions, from the representative Bjarne Håkon Hanssen.
ParlaMint-NO_2005-05-25.ana.ud521e79	I have a question for the Minister of Health. Following the last Legionnella outbreak, in Stavanger in the summer of 2001, the Government promised to take stringent measures to prevent similar situations in the future. All indications suggest that the measures taken were not good enough. It is claimed that the rules on supervision and control are good enough, but it is obvious that the rules are not being complied with and that this is not revealed by proper control. The new outbreak in Eastfold has claimed more lives. Unfortunately, we can't do anything about that. Once again, we have to aim to prevent it from happening again. What will the Government do now? And what kind of action does the Government plan to take?
ParlaMint-NO_2005-05-25.ana.ud521e88	Let me first say that there is a serious situation that has arisen in Eastfold, by the fact that 100 people have been hospitalized, 35 of whom have tested positive for legionella, and five unfortunately have gone away. Following the outbreak in Stavanger in 2001, a major effort was made to look at what measures should be taken to clean the cooling tower. New regulations were put in place, and the current health manager of Stavanger, Bjørlow, who was at the Institute of Public Health, was at the head of making such a guide. If all the cooling towers in this country were cleaned as shown by this, I don't think we would have had the situation in Eastfold. So, as the representative says, there is a lot of evidence to suggest that the control of these has not been sufficient. My assessment per year today is that given that this supervisor had been followed, we had not had these problems. Then we're on control and supervision. We're now working on an alternative regime to what we have. I take as my starting point: when we have 600-700 such installations in Norway, I ask a question as to whether it is appropriate that there are 433 municipalities that are to be technical inspectors in relation to this. We must never deprive the municipalities of responsibility for environmental health measures, but technical installations that require a high degree of competence, we know that in other areas it is left to others than the municipality to check. This concerns explosion protection, chemicals, electricity, steam, autoclaves, air tanks or whatever it may be. I therefore see that in the longer term we must have a regime that has a different kind of control, and we must have another kind of reaction to those who do not follow this. We can do that in many different ways. We're working very intensively on that. We are also working on possible emergency measures in the current situation, so that the country’s cooling tower will be in a different ‘shape’ when we go into the summer season, which is the most dangerous time of year for the blooming of legionella.
ParlaMint-NO_2005-05-25.ana.ud521e97	I thank you for your answer. I understand that there are a lot of things to think about when deciding how to organise a new system. But the important thing now may be to focus on what a new system needs to contain of important individual elements. I believe at least that we need to put in place a system in which the owners of the cooling tower must be able to prove that their installation is clean and in order, and that there is a requirement for such documentation to be available, so that, by means of an enquiry, one can easily demonstrate that it has been checked and found in order. It is also necessary to put in place a system in which regular checks are carried out that the owners have actually done what they are supposed to do. If the owners have not done what they are to do, the installation must be capable of immediate closure. There must also be clear rules, strict follow-up, and it must immediately be broken. Does the Council agree with me on that?
ParlaMint-NO_2005-05-25.ana.ud521e106	With regard to what the representative here outlines as an overall strategy for future legislation, I must say that I actually share every word. This is the starting point for what we're now working on. We must have arrangements similar to what we otherwise have in the industry, an area I know quite well. There are certification schemes and there are control systems. If you do not have order in the case of a pressure tank with a high damage potential, you are not allowed to use that pressure tank, and then there is immediate action by those responsible for the control measure. This should also be the case in relation to this, and I consider that there is a lack of proportionality between the possible reactions in this area in the case of a technical installation with a high potential for damage and the possibilities available. The second is the fact that spot checks now show that the inspector, i.e. the municipality, which may not have had the necessary attention. I think it would be wise to centralize this in a different way than to have 433 controllers.
ParlaMint-NO_2005-05-25.ana.ud521e113	There will be four follow-up questions – first Trond Giske.
ParlaMint-NO_2005-05-25.ana.ud521e116	There can hardly be any more important task we have as politicians than taking care of people's lives, health and security. This not only affects those who get sick, and the families of those who die, but it also affects an entire society, which is affected by fear, and whose freedom of movement is restricted. Professor at the University of Stavanger Terje Aven, a specialist in risk management and social security, says that there is a scandal that this should continue, and that the safety thinking in Norway is too much influenced by the reaction when something happens, rather than being in the forefront. The worst thing about this case is that this has happened before. In 2001, seven people lost their lives in a similar outbreak in Stavanger. And the question is, why has it not been ensured that not only the rules are in place, but also the control of compliance? That is essential in terms of safety and security. And question No. 2: When will such control be in place, and how will the Council of State report back to the Storting that the systems are in order?
ParlaMint-NO_2005-05-25.ana.ud521e125	It's absolutely definitely that everyone involved in damage prevention wants to get ahead of any crisis. That is why, unfortunately, most of the legislation we have related to the prevention of injuries and crises is the result of a previous crisis, whether it be maritime legislation or what it might be. Last time, what was recommended from all these environments to which it is now referred was done. The current Minister of Health, Højbråten, made a point and pointed out in the form of a change in regulations and imposed what was of professional recommendation. Now it turns out that those who were supposed to control, namely the municipalities, have not done the bit that was perhaps the most important. It's probably a complex responsibility to, but what's important is that we do this in a different way now. As demonstrated by the answer given to the representative Hanssen, we have quite clear thoughts about that.
ParlaMint-NO_2005-05-25.ana.ud521e133	John I. Alvheim – for follow-up questions.
ParlaMint-NO_2005-05-25.ana.ud521e136	Tragedy in Fredrikstad is bad. There are many different bodies involved that should take responsibility when that time comes. On the other hand, I don't think the time is now – when we have four seriously ill patients lying in the ventilator – to look for scapegoats. We have to get back to that when this situation is resolved. My specific question to the Minister of Health in this way: Can the Minister of Health guarantee that many of the patients who now have this disease and who need a short or long-term follow-up of their lung disease will not bear the financial loss of this? Does the Government fully cover the costs incurred to the individual patient over a shorter or longer period of time?
ParlaMint-NO_2005-05-25.ana.ud521e143	I very much agree with the representative Alvheim that what is priority one is the treatment of those who have symptoms, not least of those who have a positive diagnosis, and then of course it is to find the source of the infection. But of course, we've spent most of our energy getting to the patients who are going to treatment. I was in Fredrikstad myself yesterday. I have had a meeting with Health East this morning, and there is no indication that the handling of the individual patient is absolutely satisfactory. We have lowered the threshold in relation to making recommendations to come in to check this out. Now, luckily, it seems that the number of cases is on the verge. Many might suggest that this was a point release sometime in the first half of May, and that the number of people infected is now on the way back. Of course, as regards the individual patient and the economic situation related to the treatment to be administered, this is the result of health legislation. You get that for free in this country.
ParlaMint-NO_2005-05-25.ana.ud521e152	Sigbjørn Molvik – for follow-up questions.
ParlaMint-NO_2005-05-25.ana.ud521e155	It may well be discussed – after what happened in Stavanger, and the tragedy we now see in Østfold – whether the supervisors are good enough in terms of supervision and control. Now I hear the Minister of Health and Health says that in the longer term he will consider a new regime for this, but it will obviously have to take time. The question is then: what will the Minister of Health do in the short term to ensure that both supervisors, competences and resources of today's control regime, i.e. the municipalities, are in a much better position to follow up the owners and the cooling towers?
ParlaMint-NO_2005-05-25.ana.ud521e162	We're working in parallel with four things: 1. to take care of the patient2. to find the source of the infection3. to assess interim measures4. assessing what permanent arrangements we are going to have As far as temporary measures are concerned, I have now in the morning had a meeting with the Institute of Public Health, the Directorate of Social Affairs and Health and Health to look at possible measures that should be put in place, perhaps even before the summer. The legislation on infectious diseases allows us to intervene also in advance, in order to help prevent outbreaks of a similar nature. The legislation on infectious diseases and related legal sources very clearly states that there is an opportunity we have. We now have an assessment of that. I see it as probable that action will be taken to ensure that when we get to summer, everyone who has a tower has an obligation to have carried out the cleaning required by this regulation and this guidance. I can say that the order has already gone out to all build the property of companies under the Ministry of Health.
ParlaMint-NO_2005-05-25.ana.ud521e182	Magnhild Melting Group Kleppa – for follow-up questions.
ParlaMint-NO_2005-05-25.ana.ud521e185	There are enough people who are surprised that this could happen again, with the seriousness that was above Stavanger in 2001, and also with the many promises given in relation to everything that was to be done. I would like to commend the Council of State for having so constructively grasped this. He stresses that the patient is now focus No. 1 and that finding the source of infection is focus No. 2nd@item: inlistbox So I also understand that he now realizes that working out a guide is not enough. I think it's a blind lead to focus on the fact that there are 433 municipalities, because this happens in two large municipalities. But I think it's very important to focus on playing on teams and working together to find the right legislation and the right control mechanisms, rather than spending a little more time on debtting each other. I ask the Council of State to confirm it.
ParlaMint-NO_2005-05-25.ana.ud521e192	First, I want to completely distance myself from what might be trying to emphasize that you owe each other. It hasn't been part of the picture that we drew of this. We have clear legislation on the liability of these things. And I know where the cork is sitting on the bottle, it's sitting on the top. There's no doubt about it. With regard to promises and not promises, I would also like to stress that all the measures proposed have been implemented. The regulations that were made were not – nor in this room – that meant anyone else. There was quite a lot of attention related to this. If everyone had followed this guide, we wouldn't have had this problem. But what's important in the future is that we cooperate with all of them that it's relevant to cooperate with, in order to get input into what we're going to do in the future, in the light of the animal-bought experience we now have. Among other things, I have contacted Veritas, as I know is a major global actor in the certification of many that have great damage potential, in order to get their eyesight. I feel quite certain that in a relatively short time we will be able to conclude with the main lines of a new regime, which I think is definitely better to take care of the health aspect that lies in this.
ParlaMint-NO_2005-05-25.ana.ud521e199	Let's move on to the next main question.
ParlaMint-NO_2005-05-25.ana.ud521e202	I have a question for the Prime Minister. The elections on 12 September are approaching, and it is probably the last time the Prime Minister is in spontaneous Question Time before the elections. In the public debate on the election campaign, which has begun, the government issue is of considerable interest after the red-green parties have joined forces, and there is nothing similar on the non-socialist side. I would like to ask the Prime Minister what consequences and conclusions he will draw from an election result where the Right and Advance Party get about 18-20 p.m., the Christian People's Party 7-8 p.m., and the Left is above the barrier, i.e. a still non-socialist majority in the Stortinget, but with significant changes the non-socialist parties among themselves. My question therefore relates to conclusions and measures: How does the Prime Minister, if necessary, act to deal with and deal with such an election result?
ParlaMint-NO_2005-05-25.ana.ud521e212	First, I want to say that we are faced with two clear government options at the forthcoming big shot, the current cooperative government, which has a good balance between center and right, and what I don't want to call a red-green government, because there's going to be a pale green in it, but a red government. These are the two clear options, and that is an advantage for people. Of course, I will not begin to speculate in certain accidents of the election result, what percentage of membership the various parties will need, and what action the Prime Minister will then take. It would be to play off all the cards in advance, and even if I'm not an experienced card player, I know so much that I don't intend to do that. I hope that the elections will provide the basis for a continued non-socialist cooperation regime. I believe that the option we now have is the best. We hope, of course, that the Progress Party also believes, as they did in 2001, after having received an answer to a good number of questions that were asked. I think the kind of clarification we had then stands out well. We have had the pleasure of working with the Progress Party in many cases this four-year period, among other things. several budgets. But as the representative Hagen well knows, we have also seen it as important and necessary to be able to cooperate with other parties on other important issues where the Progress Party has opposed the policy of the Cooperation Government, in fact on some important issues of value. We can't cut off that opportunity if we get a basis to keep going. But if the red -- parentheses green, parentheses end -- the games get a majority in the fall's elections, then the co-operation government sees it so that we can continue until something else is proven.
ParlaMint-NO_2005-05-25.ana.ud521e221	Does it really mean that the Prime Minister intends to follow a little bit of the line that Prime Minister Kåre Willoch had in 1985, when the pure majority of the Right Party, the Christian People's Party and the Central Party were gone, but the Progress Party came into a so-called tilting position? Prime Minister Willoch did not do anything — no conversations, no consultations at all — despite the fact that the basis of the Government had changed through the decision to raise a stake. Does what the Prime Minister has now said mean that he considers it to be that significant changes made by the electorate in the event of elections in the composition of the Storting, changes in the non-socialist parties, and, if necessary, the fact that the Prime Minister's own party should be halved, because the Prime Minister will not have any consequences? Is it so to understand that the Prime Minister believes that this is completely insignificant when it comes to government issues?
ParlaMint-NO_2005-05-25.ana.ud521e228	First of all, I don't think we should prescribe the election result today. In the last Gallup, actually, the Christian People's Party has had clearly better results than Hagen now suggested, even though many like to present it just as Hagen did now. In fact, I think we're on our way up, and there's been major changes in connection earlier in the time we now have up to the election, than what is needed to achieve our goal of a two-digit accession. No post-election situation is without further comparison, nor will it be possible to compare what happened after the 2005 elections with what happened after the election 20 years ago, when the Prime Minister was Kåre Willoch. If the Advance Party were to enter a tilt position after the autumn elections, that is not new compared to the current period. In order to use this concept, the party of progress is also in a tilt position now, and I think that the kind of contact we had with the party of progress after the 2001 elections is a good model for 2005.
ParlaMint-NO_2005-05-25.ana.ud521e235	There will be two follow-up questions – first Siv Jensen.
ParlaMint-NO_2005-05-25.ana.ud521e238	What's new in that case is that the red-green parties have gathered together as a government alternative, which will probably make it harder for the sitting government to have this case for the case- collaboration that they're talking about. It means, in fact, to have a government out of non-socialist parties, it depends on cooperation between the parties that form a majority. I thought the whole main point of choice was that the voters would have decisive and democratic influence over the governance of Norway. As I interpret the Prime Minister now, it may sound as if almost unemployed what the voters will, the Prime Minister will be determined not to take it into account, if it were to be so that there is a large progress party that will be decisive for whether there will be a non-socialist majority in this Chamber after the elections. I would like to ask the Prime Minister to confirm or confirm his opinion.
ParlaMint-NO_2005-05-25.ana.ud521e243	Yes, through an election result, the parties may have greater or lesser influence, and it shall be respected. But it is not the case that the largest party, for example, automatically receives government power, because the Workers' Party should have had it in the current period. So it's not automatic and math this is all about. If there are large shifts in the autumn elections, the Prime Minister and the Government will, of course, consider the situation that has arisen. It's not like that, for example. My party rules at any cost if we feel that we don't get enough influence. But if there is a basis for the co-operation government to continue, and if the Progress Party does not say that they want a red government instead, then I see nothing crucial that we should immediately step back. The fact that the red parties – I think, as I said, that the green colour is very pale – have gathered around a government alternative hardly means that if they get into a minority, they will cut off influence over the next four years and not cooperate with the Cooperation Administration in individual cases. I think they'll definitely do that.
ParlaMint-NO_2005-05-25.ana.ud521e248	Øystein Djupedal – for follow-up questions.
ParlaMint-NO_2005-05-25.ana.ud521e251	This line change was quite interesting: the fact that Hagen lodges to get into the heat at any price, and the way it is possible for the Prime Minister to reject the Progress Party. If you look at what has happened in this period, this government has been supported by the Progress Party, and the Progress Party has actually been a very loyal support for the Bondevik government. That means that all those who voted for Hagen in this period have got Bondevik and the Højbrätt, and that's what they're going to get in the next period. It is interesting to see that the Prime Minister can reject the Progress Party and take them for granted. And there's every reason to take the Advance Party for granted, because despite the fact that the Advance Party promises in the East and West and has country meetings where you go for free ferries and free school food, they are, and have been, when it comes to reality, loyal, cheap supporters of the Government. It's interesting to see this, because it gives perspective to the choice. That means that all those who want to vote the Advance Party for the autumn, they know for sure that they get Bondevik on the purchase, and that might not be what they were thinking.
ParlaMint-NO_2005-05-25.ana.ud521e258	I understand that it is a lovely sport now at the Reds to frighten with Bondevik, Høybräten and Haugland. Of course, you have to try it out if you want to play on disgruntled progress contestants. But what Djupedal then adds is to play on a dissatisfaction that we're increasing the aid to the world's poor, that we're pursuing a tough economic policy that has contributed to a record low interest rate, that unemployment is going down, that the waiting time at the hospitals is getting closer to half. So if this is Djupedal's review melodi, that by personifying this policy he's going to try to scare, he's going to have to try to do it, but we're actually upright on our policy. We have a more offensive environmental policy than the workers' party government did, so when the Workers' Party is going to outrun SV on such issues, the green color becomes pale. But I understand that SV wants to enter, and with the economic policy and security policy SV stands for, there will be considerable uncertainty in central parts of Norwegian policy.
ParlaMint-NO_2005-05-25.ana.ud521e263	Let's move on to the next main question.
ParlaMint-NO_2005-05-25.ana.ud521e266	I have a question for the Prime Minister. First of all, a little comment: it shouldn't cost a lot of calories to get greener than this government right here. But we have bigger ambitions than that. What I was going to ask the Prime Minister is poverty in Norway. New figures from the Central Statistical Office show that Bondevik is becoming more poor and that poverty has increased by 24 p.m., in one of the world’s richest countries, from 2001 to 2003. At the national meeting of the Christian People's Party in 2003, Kjell Magne Bondevik said: Yes, we have a poverty problem in Norway too – I decided that if I were to lead a government again, I would address this problem. So now it turns out that the Christian People's Party is going the opposite way in the fight against poverty – poverty is not being reduced, it is being increased. My question to Prime Minister Kjell Magne Bondevik is: Will it be this government's and his most personal defeat that poverty has actually increased and not declined when this downturn is over?
ParlaMint-NO_2005-05-25.ana.ud521e276	Of course I have to answer that question. But since Kristin Halvorsen started with something quite different, namely environmental policy, I would say that it is not SV's environmental policy that I have asked questions about, but what is the result of a red government's environmental policy. One knows how the Working Party is doing for polluting gas power plants, and the Center Party will have a protective break. It is this policy that the Kristin Halvorsen must be confronted with, and these are the ones that she is going to cooperate with. Then I would also have said, that no misunderstandings should arise, that I take no parties for granted, nor the Advance Party. We have respect for it, and we want respect for the agreement that the party might have. But as I said, we haven't seen the basis for permanent organized cooperation. So to the poverty problem. The poverty problem has not been solved. That is why, among other things: the revised national budget introduces a new 100 million. NOK, plus 50 million. kr in the rural environment. This is why, as the first Norwegian government, the Cooperation Government presented an action plan. The measures are starting to work. More homeless people receive offers, more addicts receive offers, more poor people receive offers of housing support. So I think that Kristin Halvorsen makes sense to go a little bit behind the statistics. That's how many are below 50 pst. of the so-called median income. The median income is: if one takes a hundred people who are a cross-section of the Norwegian people, the median income is the income of person number. 50, that's in the middle. In fact, the situation is that if all, including the poorest, for example. would double its income, there would be as many or more poor as this definition. Students are also included, and those who only live on loans are in the definition poor. The number of students has increased – and we're glad that that number has increased. Things now indicate that the trend has turned around. This was a statistic until 2003. Then the unemployment rate was quite high, the increase in income was high, and it caused more people to fall below the median income. The trends are now turning around, and things indicate that the numbers are also turning around.
ParlaMint-NO_2005-05-25.ana.ud521e287	I think it's a considerable spatter prime minister, with a significantly lower level of ambition compared to combating poverty than what we've seen in the past, and than what we saw in the Bondevik I government. Then the tone from this prime minister was a completely different and the level of ambition was much higher. I have some questions that I ask the Prime Minister to go into. One is: is there any international example of the fact that a country and a government that has conducted a systematic right-wing policy in economic policy, which has issued tax reliefs at the top and has drawn on social security payments at the bottom, has managed to combat poverty? So I'd like to repeat the question I asked you at the beginning. This is a prime minister who has said that he has high targets for combating poverty, and regardless of whether the definitions may be a bit demanding, all the material we have now shows that the difference is increasing and poverty is increasing. Will it be the Prime Minister's greatest defeat?
ParlaMint-NO_2005-05-25.ana.ud521e294	The last one's not right. Kristin Halvorsen must gladly turn himself up rhetorical, but I ask that she stick to the facts. In fact, many of the poorest in Norway are now receiving better help. We inserted the 2002 action plan. This is a statistical one that runs until 2003. These measures are now beginning to work. I'm asking Kristin Halvorsen to stick to the facts. More homeless people get help, more addicts get help, and more of those at the bottom of the ladder get help. There are not statistics, but there are targeted actions to help them. When the general level of income increases, the median income also increases. In fact, a few more could fall below 50 pst. of the median income, even though they have gotten it better. That's the truth. But I'm not satisfied. We're not there. We have the same ambitions and the same commitment that we had before, if Kristin Halvorsen were to cheat on it. The current policy provides more jobs — almost 20,000 more employed in the last year. It's the most important thing to get people out of poverty.
ParlaMint-NO_2005-05-25.ana.ud521e303	There will be follow-up questions – first Karin Andersen.
ParlaMint-NO_2005-05-25.ana.ud521e306	The government is constantly pointing to the poverty package when it comes to showing that they have done something for the poor. But the reality is that the unsocial cuts that this government has stood for, those that hit people who are out of work or who are ill, amount to more than twice the poverty package. In addition, the government has provided tax relief of SEK 19 billion, mostly to high-income families. This year, the poverty package contains 255 million. kr, and only three of the cuts on the unemployed and the reintroduction 0. One hundred million. kr i revised, says the Prime Minister. Yes, in the municipal committee we are now dealing with a matter of new cuts in the daily allowance, which for the year amounts to 90 million. kr. So this is simply not true. Does not the Prime Minister now realize that poverty is increasing, that right-wing policy is taking from the sick and the unemployed and giving to the rich and healthy, is the wrong medicine if you really want to fight poverty?
ParlaMint-NO_2005-05-25.ana.ud521e313	If we are to help the poor, we must help the poor. In fact, tax policy for those with high incomes is not crucial for how the poor are doing. Therefore, I would like to maintain that several of the poorest in Norway have improved. But we're not there. So this prime minister, if he continues, will continue to fight for targeted action to the poorest in Norway. And this government was the first to put forward a plan for it. Red governments have not done so in the past. Poverty increased, and then not only in an average, for which we've now got numbers, but for the really poor. I'm not saying this as an excuse, but the truth is that when unemployment increases and more people leave the labour market, which tended to be until 2003, there are more people who fall below the median income. And when the general income level rises sharply, you also get more under, even though many of those sitting at the bottom of the table are getting better. But we're not satisfied. The tax burden has largely gone to businesses to increase employment, and therefore the Workers' Party has voted for well over half of it. The cut-offs the representative refers to, they are to strengthen the line of work to get more people into work.
ParlaMint-NO_2005-05-25.ana.ud521e320	Bjarne Håkon Hanssen – for follow-up questions.
ParlaMint-NO_2005-05-25.ana.ud521e323	It is true that the Government has got the whole of the Storting to take new measures for people who have been on social assistance for a long time, for drug addicts and for homeless people, for example. But the interesting thing is to look at how the Government finances these new measures. That's when we see that the government quite systematically finances actions for the very poor by taking from those who have the next least. Then we see that those who pay for new measures for people who have been on social assistance for a long time are those who are unemployed. Those with the second least, who have lost a lot of income and are on leave leave, will get even less. My question to the Prime Minister must be: does the Prime Minister understand that we are actually getting more poor people in Norway, when the Government is pursuing a policy of taking away the unemployed, who have a small unemployment premium, and giving them even less? Does the Prime Minister think it is surprising that this leads to an increase in the number of poor people?
