ParlaMint-NO_2005-03-02.ana.ud817e28	The called alternate of the Hordaland County, Pål Berberfjord, has taken the seat.
ParlaMint-NO_2005-03-02.ana.ud817e37	The President will propose the election of a President-in-Office of the European Parliament today – and consider it adopted. The President will propose Øyvind Halleraker. – Other proposals are not available, and Øyvind Halleraker is unanimously elected president of the Stortinget meeting today. The representative of John I. Alvheim will make a private proposal.
ParlaMint-NO_2005-03-02.ana.ud817e44	On behalf of Harald T. Nesvik and myself, I propose to ensure that pregnant women who want to do so, by means of maternity wards/health companies, will be able to have blood from the umbilical cord drained, frozen and stored in a quality-proof manner, with a view to the possible future use of stem cells in the treatment of disease.
ParlaMint-NO_2005-03-02.ana.ud817e49	The representative of Mr Øystein Djupedal will make a private proposal.
ParlaMint-NO_2005-03-02.ana.ud817e52	On behalf of the representative Kristin Halvorsen and myself, I would like to make a proposal to set up a solidarity fund of DKK 10 billion to deal with humanitarian disasters.
ParlaMint-NO_2005-03-02.ana.ud817e57	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2005-03-02.ana.ud817e81	On Monday the Stortingen received notice from the Prime Minister's office that the following members of the Government would meet for oral Question Time: Prime Minister Kjell Magne Bondevik Council Odd Einar Dørum The advertised members of the government are present, and we are ready to start the oral question procedure. The representatives who, in addition to the pre-announced representatives, would like to ask questions of substance. – We then start with the first main questions, from the representative Jens Stoltenberg.
ParlaMint-NO_2005-03-02.ana.ud817e97	I have a question for the Prime Minister, a question about the economic situation of a large state enterprise, about the situation in our hospitals. The starting point is that during the budget procedure last autumn we had a discussion about how much money the hospitals needed. The Labour Party believes that it is possible to introduce and implement conversion measures and saving measures in hospitals, but we believe that the Government is exaggerating the possibilities of saving money. Therefore, the Government and the Advance Party have underfunded the hospitals for 2005. We now have this image confirmed by many announcements about plans to reduce and shut down emergency services, which will weaken the provision of health services in many communities. There are uncertainties and concerns in hospitals and in all those who are dependent on hospitals. My question is whether the Prime Minister now sees that the Progress Party and the government parties have given too little money to the hospitals last autumn, and if you now want to open up something to do with it, so that hospitals can get a safer and better economy than they have today.
ParlaMint-NO_2005-03-02.ana.ud817e104	We always tend to come back to the economic situation, including for health businesses, in the revised national budget. The description expressed by the representative Stoltenberg has very often been present. Either Stoltenberg himself ruled or made budgetary settlements with the Cooperation Government, it was the same announcements and designations as he now expressed, at the same time. Regional health enterprises will receive about DKK 65 billion in 2005. To this end, they must provide quality treatment for all. During this government period, the appropriations allocated to health care businesses have actually grown by around NOK 4.5 billion. We still have problems, we're still missing, but there's been a lot of positive, not least in terms of waiting time for those in line, who are now in fact more than halved, from 200 days in the third tertiary in 2001 to less than 100 days in the third tertiary in 2004. The total number of people who have been waiting for more than one year has also fallen by close to 85pst from the first quarter of 2002. This is part of the overall picture. Patients receive more treatment. More people get treatment. The 2004 United Nations Development Report has also established that the Norwegian health system is the best in the world. That doesn't mean we don't have any problems. The working party itself has been involved in a migration target for health businesses, in order to balance them at the end of 2005, except for Health South, which has been in a special situation and is given a little more time. But of course, we always come back to an assessment of the situation, as usual, in the revised national budget.
ParlaMint-NO_2005-03-02.ana.ud817e113	All parties at Stortinget believe that it is possible to carry out health care transformations, and we also believe that the hospital reform has provided better use of resources in the hospital system. At the same time, we believe that it is impossible to demand that hospitals cover the entire deficit they have had from previous years, in 2005. We therefore believe that this is underfinancing in 2005. We believe that both the Advance Party and the government parties are responsible for the uncertainty that is now in the hospitals, and it will be a clear advantage if it was made clear as early as possible from the Government and from the majority of the Stortinget that one was actually willing to do something about it, so that the hospitals did not live in the kind of uncertainty they are currently doing. It is true that there have been problems in hospitals in the past, but in previous years hospitals have been able to cope with deficits. Now the Storting has ordered them to balance, and therefore the savings requirements are becoming more brutal, more absolute. This is why it is important to provide both predictability and the necessary funding, and therefore I am also concerned that the government signals as early as possible that it is willing to do something about the hospital economy.
ParlaMint-NO_2005-03-02.ana.ud817e120	I understand that the representative Stoltenberg is concerned about pushing away from himself the responsibility for what is happening in the hospital sector, a reform he otherwise himself promoted and excited very strongly about, and like other of us here in the hall at the time. We have previously pushed on the balance sheet requirement, and I think one should be careful to keep pushing on the balance sheet requirement, because it is important that health care establishments gradually come on a financial balance sheet. There has also been a significant increase in the 2005 budget, and we have thought that it is possible to balance with the budget we agreed on here before Christmas. We always tend to come back to revision with an assessment of the situation, but the Prime Minister does not stand and give money over the Stortings pulpit in a spontaneous question hour.
ParlaMint-NO_2005-03-02.ana.ud817e125	There will be four follow-up questions – first Asmund Kristoffersen.
ParlaMint-NO_2005-03-02.ana.ud817e128	Yes, as the Prime Minister said, there has always been too little money in hospitals. But the hospitals are now in a new situation, which he also had in mind in his answer. The situation is such that a balance between income and expenditure is required, and deficits can then only be settled by cut. Therefore, it is imperative that there is not deliberately too little money, as the Government actually does, and as Stoltenberg said. Nor has the government been willing to propose appropriations for new buildings and equipment that preserve current values, and this also goes beyond operations. The consequences of this are not least seen in our own state, sir. Prime Minister, where the Molde hospital is ready for fall and does not receive necessary renewal. Does the Prime Minister worry that equipment and buildings, not only in our own country, are due because of lack of funds?
ParlaMint-NO_2005-03-02.ana.ud817e133	The President will assume that with "our own state" it will be addressed to More and Romesdal?
ParlaMint-NO_2005-03-02.ana.ud817e137	Yes.
ParlaMint-NO_2005-03-02.ana.ud817e142	It probably does, and I know the hospital there pretty well. It is clear that in several hospitals, our own county included, it would have been desirable with even more money. However, health businesses have plans for further development both in this health region and in other health regions, and there is no doubt that we have had a sharp increase in the appropriations of health businesses during this ageing period, actually on average over DKK 1 billion per year. years, through a reform for which the Workers' Party has been very keen. That's not what Asmund Kristoffersen now said, that we deliberately grant too little money – that's what he used. Of course, the government and the majority of the population have not. We have granted the money we thought was good for balance, except for Health South, during 2005. There will always be an almost insatiable need in this area. We always come back to revision with an assessment of the situation.
ParlaMint-NO_2005-03-02.ana.ud817e149	Olav Gunnar Ballo – for follow-up questions.
ParlaMint-NO_2005-03-02.ana.ud817e152	De Factore has completed the investigation mission on the hospital reform of the Trade Union, and the final result is now presented in the report ‘Low money — Too little democracy, status in the hospital reform January 2005’. In its comments on the report, the Trade Union has made an important premise that ‘the hospital reform needs to be evaluated and no new market-stimulating measures are launched until a thorough evaluation has been carried out’. When the hospital reform was debated at the main hall on 6 June 2001, then opposition politicians Bondevik said among other things.\t\t You can change the settings of the grid. \t\t \t ‘I believe, however, in this case today that we are wise to have a thorough review and an evaluation of the experience and results of the new ownership and the new organisational model after some time. No one can be afraid of that.’ Bondevik fixed it at the time until 2004, but some review and evaluation have not yet been carried out. Will the Prime Minister now contribute to a thorough evaluation, not least in terms of the economic situation and market adaptation of the health system in the implementation of the reform?
ParlaMint-NO_2005-03-02.ana.ud817e164	Yes, it would be natural to evaluate how this has worked, and I would also believe that there could be a debate on the ownership and governance of health businesses in the context of the debate we will have on the levels of government. It is no secret that in my time I was opposed to this reform. It was adopted by the Workers' Party, the Advance Party and the Right, who strongly advocated it. We had to manage this reform as best we could, primarily for the benefit of patients, when we took over the government responsibility, first with the central government and later with the co-operation government. There is no doubt that for many patients there has been a clearly better situation in terms of reduced waiting time and partly reduced queues. But we have some challenges. There will now be close contact between the Ministry of Health and businesses to address the challenges we face, and an evaluation will come in time.
ParlaMint-NO_2005-03-02.ana.ud817e169	Åslauga Haga – for follow-up questions.
ParlaMint-NO_2005-03-02.ana.ud817e172	Hospitals are struggling with the economy, and a disassembly of local hospitals is forced because, in a narrow hospital perspective, it is believed that you can save money by cutting down the services that are closest to people. The socio-economic perspective seems to have been completely lost, and people are not being listened to. But one also struggles with the coordination of hospitals, among other things. in Oslo, and the health minister's prescription to sort this out is that Health East and Health South should be merged, i.e. 10 counties should be included in the same health region, i.e. well and well half of the counties of the country in the same health region. My question is whether the Prime Minister can confirm that this is an organisation he supports, and whether he believes that this will remedy what is the greatest weakness in the hospital today, namely that the offerings to people in the districts disappear.
ParlaMint-NO_2005-03-02.ana.ud817e181	In the budget proposal, the Government has outlined a strategy for local hospitals. It is decided that local hospitals will continue to play a central role in the specialist health service and with new tasks in line with changes in the needs of the population. But we also know that medical development is moving towards more specialisation. So if a patient is to receive the best possible treatment, it is necessary to pool some functions to ensure the necessary competence. There is also a need for a reconversion of local hospitals, but often in order to preserve them for the future, not to put them down, and to provide greater security for patients. The current structure of local hospitals is assumed to be maintained, but there must be transparency in relation to changes in hospital tasks, including changes in emergency preparedness. As regards proposals for the aggregation of the two health regions mentioned above, the Government has not taken that position. We have a problem in Oslo, where the distinction between these regions goes across the city and distinguishes hospitals where better coordination would have been useful. There's another way to think about it.
ParlaMint-NO_2005-03-02.ana.ud817e190	Carl I. Hagen – to the last follow-up question.
ParlaMint-NO_2005-03-02.ana.ud817e193	It's interesting to notice the points of view from several here. Both the government parties, the SV and the Workers' Party have voted in favour of the Progress Party's proposal to reorganise the debt that regional health companies have, by NOK 2 billion, which would of course have helped with the situation. However, I would like to ask the Prime Minister a question as to whether the country's overall economic situation makes any impression on the Prime Minister. As far as we can see in the newspapers, the oil fund is now growing by billions more than estimated. The income of the Norwegian state is growing, and we have no money problems. Is this the moment that the Prime Minister wants to take with him when he, among other things, also assesses the hospital economy? When the country's and state's economy is actually better than expected, it would be incomprehensible for most people if you don't get necessary health care from hospitals due to lack of money.
ParlaMint-NO_2005-03-02.ana.ud817e200	Firstly, I have to remind Carl I. Hagen that he has been in favour of the budget for health businesses that is now in force. I expect Hagen to stand by what he has done, and is a credible partner in this way. The country's economic situation is getting good. This is also due to the fact that this government has led a steady economic policy, where we have had to keep up some expenditure requirements in order to get a budget that helped to lower interest rates and exchange rates. This means that there is now a new optimism on the way back to business. Employment is increasing — it has probably increased by about 10 %. 20 000 in the last year — and unemployment is falling. Now we must not prelude this development. That means that we must continue with a responsible economic policy. I also have expectations that the parties to the income statement will deliver a moderate and responsible income statement in ours. Then this positive development can continue. Revenue from the oil fund is also increasing in such a situation, and it could benefit both health and other good purposes.
ParlaMint-NO_2005-03-02.ana.ud817e210	Let's move on to the next main question.
ParlaMint-NO_2005-03-02.ana.ud817e213	I can then be allowed to follow-up. I can assure the Prime Minister that the Progress Party is a credible partner. I hope we can expect the same of the government parties in connection with keeping the agreed defence budget for this year and not making any changes there due to other circumstances. In our agreement with the government parties on the budget for this year, there are several points relating to the hospital economy. First of all, we've got input-based funding up to 60 pst. again. It strengthens the hospitals. But we have our own passport in our agreement that in the context of the revised national budget, the government parties and the government have committed themselves to coming back with their views on the study on the total funding of hospitals, and that we are going to review the economy of hospitals based on the information. It's our attitude, and it's been our attitude the whole time, that we won't accept the dismissal of doctors, nurses and the cancellation of capacity due to the lack of money. Is that a principle the Prime Minister agrees with?
ParlaMint-NO_2005-03-02.ana.ud817e220	Of course, we are at what we agreed in the budget position, namely that we should come back to the assessment of the hospitals' economy in the revised national budget. I answered that already after the first question from the representative Stoltenberg. So we're also at that part of the deal. We want the best possible health care for everyone. There are still gaps, but it must not be overshadowed that we have had clear improvements in health services, both within somatic areas and within psychiatry. There has never been as much money as now. There has never been such a sharp increase as now in the appropriations. Wait time's dropping. More people today receive treatment in the psychiatric sector than ever before, but we still have a lack of treatment there. We have a significant escalation in psychiatry, and, as the Minister of Health knows, the guide to health companies has made it clear that one should have a particularly strong increase in resource use and in the supply of psychiatry and care. We want to make a good health service even better, and we have new opportunities to discuss this in the revised national budget. When it comes to the specific question that Hagen asked about medical positions, etc., we get back to it in that regard. I don't want to take such questions over the pulpit now.
