ParlaMint-NO_2005-06-17-upper.ana.ud2189e159	There is no record available.
ParlaMint-NO_2005-06-17-upper.ana.ud2189e173	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be in accordance with the Constitution to send the King.
ParlaMint-NO_2005-06-17-upper.ana.ud2189e189	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be in accordance with the Constitution to send the King.
ParlaMint-NO_2005-06-17-upper.ana.ud2189e205	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be in accordance with the Constitution to send the King.
ParlaMint-NO_2005-06-17-upper.ana.ud2189e221	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be in accordance with the Constitution to send the King.
ParlaMint-NO_2005-06-17-upper.ana.ud2189e237	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be in accordance with the Constitution to send the King.
ParlaMint-NO_2005-06-17-upper.ana.ud2189e253	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be in accordance with the Constitution to send the King.
ParlaMint-NO_2005-06-17-upper.ana.ud2189e269	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be in accordance with the Constitution to send the King.
ParlaMint-NO_2005-06-17-upper.ana.ud2189e285	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be in accordance with the Constitution to send the King.
ParlaMint-NO_2005-06-17-upper.ana.ud2189e301	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be in accordance with the Constitution to send the King.
ParlaMint-NO_2005-06-17-upper.ana.ud2189e318	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be in accordance with the Constitution to send the King.
ParlaMint-NO_2005-06-17-upper.ana.ud2189e334	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be in accordance with the Constitution to send the King.
ParlaMint-NO_2005-06-17-upper.ana.ud2189e350	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be in accordance with the Constitution to send the King.
ParlaMint-NO_2005-06-17-upper.ana.ud2189e366	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be in accordance with the Constitution to send the King.
ParlaMint-NO_2005-06-17-upper.ana.ud2189e382	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be in accordance with the Constitution to send the King.
ParlaMint-NO_2005-06-17-upper.ana.ud2189e398	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be in accordance with the Constitution to send the King.
ParlaMint-NO_2005-06-17-upper.ana.ud2189e414	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be in accordance with the Constitution to send the King.
ParlaMint-NO_2005-06-17-upper.ana.ud2189e430	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be in accordance with the Constitution to send the King.
ParlaMint-NO_2005-06-17-upper.ana.ud2189e446	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be in accordance with the Constitution to send the King.
ParlaMint-NO_2005-06-17-upper.ana.ud2189e462	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be in accordance with the Constitution to send the King.
ParlaMint-NO_2005-06-17-upper.ana.ud2189e478	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be in accordance with the Constitution to send the King.
ParlaMint-NO_2005-06-17-upper.ana.ud2189e495	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be in accordance with the Constitution to send the King. Then today's map is finished. As this is the last meeting of this period, the President will thank the Creation for good cooperation and would like to see representatives close to whether they are going to be in the election campaign, enjoying the presence of a pensioner, or having other purposes in the future. Good summer to you all!
