ParlaMint-NO_2005-03-03.ana.ud1791e43	The representative of Øyvind Vaksdal will make a private proposal.
ParlaMint-NO_2005-03-03.ana.ud1791e46	On behalf of Øyvind Korsberg, Kenneth Svendsen, Thore A. Nistad and myself, I would like to make a proposal that the use of a carriage for the carriage of passengers be permitted in the same way as before the entry into force of the new Professional Transport Act of 21 June 2002.
ParlaMint-NO_2005-03-03.ana.ud1791e51	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2005-03-03.ana.ud1791e65	St.meld. No 4 is a government document that alerts and informs the Storting about how the Government has followed up the request and investigation decisions the Stortinget has made. What we've seen over recent periods is that the number of request and investigation decisions that the Storting is making, which in many ways is an instruction to the Government on a particular pattern of action, is growing. In the past, the Committee on Control and Constitutional Affairs has been very critical of the fact that, on the basis of Document No, in particular, the request and investigation decisions have been approved in the main hall. Eight proposals are increasing. This hampers the ability of the Storting to exercise control over the activities of the Government and the State Councils, because the Storing in advance, before the case is thoroughly investigated, actually takes a decision directing the Government to a particular pattern of action. It may deprive the Government — and it also detracts from the Storting — of the opportunity to make different choices in relation to important issues. That being said, however, it is that when the Greatness as the country's top political body makes a decision, it will be very much to do if not followed up by the Government. It is my impression that the government is looking too hard to back up the individual issues in other documents and thus avoids responding directly to the Storting decision. The Committee on Control and Constitutional Affairs has therefore stressed in this opinion the importance of the fact that when the Government asks the Government to return to the Grand Duchy with a particular issue in a particular case, this should preferably be done in a particular case. However, the Committee also recognises that it may be appropriate from time to time to consider the various issues related to other issues and that it may be useful to back them up in wider assessments and in other issues. The Committee has underlined that, if most appropriate, the Government must make visible in the document that this is a follow-up and an answer to the request decisions made by the Storting. What we can see from St.meld. No 4 for 2004–2005, it is significantly better than the St.meld. No 4 that we got in the last big one. I have understood that this is a consequence of the relatively broad and comprehensive debate we had last had on the basis of the Storing Communication on the request and investigation decisions for the 2002-2003 session. Nevertheless, some comments have been made on the part of the Committee which have not been entirely satisfied with the follow-up by the Government, but there are considerably fewer comments this time than before. After many years of membership of the Supervisory and Constitutional Committee, and even after many years as a member of the Stortinget, I have to say that there seems to be a certain attitude in the Stortinget: It is more important to have a decision taken than to follow up the decision in retrospect. This is a regrettable feature, because from the Committee on Control and Constitutional Affairs, we have had a considerable effort to communicate with the various expert committees on what they have done and how they have responded to the various answers given by the Government. It shouldn't be like that. It should be such that both the representatives and the majority behind the various request decisions should also have a special interest in observing what the Government is doing with the request and investigation decisions taken in the Stortinget. Then it must be admitted that from time to time society is changing so much that there is a certain possibility that the decisions taken by the Stortinget cannot be implemented – there are changes in the social structure that would make it unreasonable to follow the decision of the Stortinge directly. What I want to ask the Council of State is that in cases where the Government finds it impossible to implement the Resolution of the Grand Duchy, it should come back to the Grand Duchy and explain why it is impossible, instead of trying to hide the issue in other documents. There is a number of more tidy ways to deal with this, especially at a time when the government is so dependent on communication between the various political institutions, and at a time when it is important for the population to be informed about what is going on. If we get into a situation where the Stortinget takes a number of decisions that are marketed in the media as political issues such as the Stortinget have a special view of how to solve, and it turns out that nothing is done about this, the reputation of the Stortinget is weakened and the reputation of the population is weakened. Ultimately, this will relate to the confidence of the population that the Storting is able to address the important societal issues we face. It is therefore important — even in the cases where the Government, for political or other reasons, finds it unreasonable, from the Government’s point of view, to implement the request decisions — that this is made visible and explained in the document coming back to the Storting. I believe that both the Government, the Storting and the population will be served with such direct and concrete treatment. I'm not going to go into the different proposals. They may be read by the representatives of the magistrates, and they may also be brought up by the various trade committees if they wish to pursue the matters on which the Supervisory and Constitutional Committee has special comments and where it has made it clear that there is no satisfaction in the follow-up by the Government. There will be an opportunity for both the Government and the individual specialist committees to raise questions concerning documents that will be considered later. However, in Stortinget, as the Stortinget is now composed, there is always a requirement for negotiations with at least three parties before a majority decision can be taken. We see, in particular during the budgetary procedure, that part of the request and investigation decisions taken by the Stortinge disappear, that the majority behind these proposals disappears as a result of a negotiated result linked to the budget. We just have to accept that this is the case, but I think it would be reasonable that this is explained in the document presented to the Stortinget, that the Government finds that it has actually happened, and that both the Storing and the population also see that, in order to achieve a negotiated result, the parties also have to go along with some of the previous decisions. You will then get comments from what has become a minority, who want to pursue this matter, and the Storting and the Government must have special attention to these issues. Then I recommend the committee setting. We take note of the great news and the Committee's comments that have been made, and the Government is encouraged to continue working on the issues raised by the Committee in order to make the follow-up of the various decisions taken by the Government visible.
ParlaMint-NO_2005-03-03.ana.ud1791e91	First of all, I would like to say that I agree with most of what the case spokesperson said, and I am listening with great interest to his contribution today. The Christian People's Party will show that in recent years the Stortinget has made a number of request decisions. Fortunately, the figure for the period 2003–04 has been reduced over the period 2002–03, but remains above the level for 2001–02. The Christian People’s Party refers to what one has previously said when it comes to such decisions. The size is related to Document No. 14 for 2002-2003 and Innst. S. No 142 for 2003-2004, the Frøiland Committee’s recommendation, expressed fear of the scope of the request decision. It is very desirable for everyone that there be less use of instructions from the Storting, limited to matters of particular importance. The Christian People's Party, like the rest of the Committee, will fail in the decline in the number of requests decisions compared to the previous year, repeating the call for restraint in instructing the Government. The stork's right and say the possibility to instruct it at any time sitting government cannot be discussed! But excessive use of the right to instruct will easily lead to unclear responsibilities between corruption and government. This could lead to a reduction in the ability of the Storting to control and make the individual State Council responsible. It is right and important that there is order in the Storting's work. The Committee notes the follow-up of 18 decisions of the Ministries during the 2003-2004 programming period and four decisions for the 2002-2003 programming period. In addition, there are a number of issues in which Stortinget has asked for a separate case to be submitted, but where the feedback has taken the form of comments in St. prp. No 1st@item: The Committee takes the view that the individual technical committee has assessed whether such an approach would be accepted or whether the requirement for a separate case for the Storting is maintained. The majority of the committee, the members of the Labour Party, the Progress Party and the Socialist Left Party indicate that several request decisions contain a request to the Government to return to the Stortinget with a ‘own case’ or ‘one case’. In connection with this, the Christian People's Party would point out that the Government in several cases writes that the matter has been mentioned in the State budget – this is of course because many such requests are related to budgetary issues, which the case-speaker also mentions. The majority point out that the natural follow-up would be to produce a message or a proposition to the Size Based on a request decision. The majority's intention may be to agree to, that is, to order, and that it should be easy to find out where the matter is mentioned, and how it is followed up. The Christian People's Party, together with its members from the Right, will refer to the Inner East. S. No 168 for 1998-1999 and the Frøiland Selection, for which the problem has been addressed. The Christian People's Party will specifically refer to the Ministry of Modernisation's budget proposals, where the follow-up to the request and distribution decisions is made clear and clear. This is an example that's neat and easy to stick to. It will be good for the Stortinget's work that other departments also follow the same practice. It is natural, of course, that the Government follows up the Storting's decisions and the annual request decision message does well for when and how this is done.
ParlaMint-NO_2005-03-03.ana.ud1791e119	Let me first join in the main points of view expressed by the President-in-Office of the Council, Jørgen Kosmo, when it comes to how the Government should come back to the Grand Duchy with a reply or follow-up to the request decisions in particular. I also think there has been a tendency that instead of providing concrete information, there are often references to other documents. This means that they want depositors to carry out some sort of detective activity in order to find out how the government follows up decisions. This should be done in the annual report of St. No 4 stands out in concrete terms for each request decision how to follow up. The fact that you can also refer to other documents is quite correct. Then I still think there are too many examples of requests that are relatively concrete, simple and simple in form, and simple to understand, are not actually followed up as the decision sounds – nor is it commented and answered. So I think clearer speech would be fine. If the government believes that this is impossible to implement because the consequences have not been clearly explained, whether there are costs or practical consequences, it is easier to say it correctly. It is clear that the Government has full access to come back much earlier than in St. Report. No 4 if one considers that decisions cannot be implemented, or one disagrees that they will not be implemented. They can come as their own things, instead of waiting for half a year or a year to gather them in St.meld. No 4th@item: This is important, because it is part of the request decisions that are often, perhaps by proposers and others, marketed in such a way as to affect groups, organisations or businesses that the Stortninget has now taken a decision, so now it is. Then you expect something to happen, but nothing happens. So the government has come to realize that this cannot be done – it can be for plausible reasons, for political reasons – and then it drives away instead. Then it's better that the government comes back to the Storting faster, so that not many out there in society expect things that it turns out to be nothing of. Then, of course, there is also a responsibility on all representatives and party groups to make clearer and clearer decisions, not as round formulations as some of the decisions have. But that's something you get to work with in the different groups. As regards the need to follow up the decisions, I will also join the case rapporteur. It has gradually appeared — and probably as a result of an increase in the number of request decisions — that there has been a significant change in what we can call practice in the operating apparatus, and it is independent of who is in government. The first few years I was in this house, no one checked that the request decision was implemented. It was taken as a matter of course. There was no need for the Stortinge to examine whether decisions were implemented. Only the non-implementation of decisions did not strike any. We are told that social development and political development have changed this. Once we have started the system with St.meld. No 4, which tells how the Government follows up decisions, it has been found that the whole of the Biggest, all the committees, attention to follow-up after voting in this Chamber is something that the party groups must take much more seriously than they do. So that's not how you think it is, at least not how it was in the old days, that once the Storting has made a decision, it's just going to be implemented. In fact, there are now so many decisions that are not implemented that there is no longer any reason to rush and win out of the main hall after a vote on a request decision. It is only when evidence has been provided that it has been de facto implemented – either that the law has been passed by the Odelstinget and the Lamentationet and the Penalty, or that an organisational change has been implemented – that there is reason to rejoice. That is why I also believe that all wholesale representatives must take more into account the work that follows after a request decision has been taken. It has also been shown – to the extent that the government has a right and that the current government is good to use – that it is largely ignored that the request decisions have budgetary implications for the future budget. In the case of the Stortinget, the decision to request that the government in the future budget should make it and the allocation or the grant and the change in the levy or the tax and the change in the tax. Mostly, the government apparatus records it, but the government apparatus knows very well that the new budgetary system is such that 15–20–30, perhaps 40, explicit cases are being negotiated in order to obtain subsidiary membership from an opposition party. The rest of the hundreds of things that are in the budget are slipping through. For those who are very anxious to have a decision on a change in the budget, it means that they feel that they are drowning in the process of the harvest when the budget is to be adopted. That again means that we in the Storting must be better off not to take it as a saying that we have been given a decision that the Storting asks the Government in the next budget to include such and such mail, or to do so and so on. That's no victory. It is only when the final budget is adopted that it may be implemented. It's a consequence of the new system, a system that we haven't given our consent to, which the majority have, and to which everyone then obviously has to relate. These were some words a little general. So there's one decision I especially want to take for myself. It is Decision No. October 4, 2003. It says on page 4 of the setting, and it's about something that's in 2.5.1, under the Ministry of Health and Health. The Decision reads as follows: ‘The government is asking the government to assess the benefits and disadvantages of financing the costs of elderly care services in line with disability pension, sickness benefit, unemployment benefit and old-age pension as a system in which the money follows the user who chooses the approved care services and presents this issue to the Stortinget before the end of 2004.’ This is a typical decision with a clear deadline – ‘before the end of 2004’. The decision is therefore taken from October 2003. In eleven months nothing happens. So, in a letter of 13 September 2004 to the Prime Minister's office, the Ministry of Social Affairs states: ‘The conversion outlined in the proposal is complex and will represent a major shift in the financial arrangements for the municipal care services.’ Everyone knew that when the proposal was adopted. There was nothing new. This has been the subject of debate for years. In addition, it says: «The matter also raises fundamental questions of principle relating to the division of responsibilities between State and municipality.» That is quite correct – and further on: ‘On this basis, the Ministry has launched investigations to elucidate the issues posed by such funding and support has been given to municipal development projects for alternative local resource allocation models. The Government aims to respond to the Storting’s request in a new biggest message of care in an ageing society promoted during the autumn of 2005.’» – i.e. one year after the deadline laid down in the decision. As far as you can see, nothing has been done in the eleven months since the letter was written in the department until the decision was actually taken. Furthermore, the letter states: ‘The purpose of this Communication is to provide a comprehensive proposal for a new financing and payment scheme for users in the care services.’ I have allowed myself to write in a note from the Progress Party: ‘The Party of Foreign Ministers notes that the Government has had ample time to follow the decision of the Stortinget with the presentation of a separate case on this spring 2005 and wonders very much about the reason why the Government has chosen to push the matter forward after the 2005 Grand Prix.’ That you first give an answer eleven months later, and then say that you come back to it after the election, I think I show a lack of respect for the Storting. When Stortinget makes such a decision, it's just to try to solve complicated, comprehensive and fundamental issues. This is a very important issue – we are fully aware of – whether the State should finance the cost of care for the elderly or whether there should be a framework allocation to the municipalities, where there is a lack of funds to have a rights-based care service for the elderly, as you have. I think it is sad that the government has not followed this up. We should at least have received this message before the elections, so that one of the areas that will be discussed in the forthcoming election campaign could be based on some more knowledge and some more views and investigations from the Government. Instead, it will be completely lacking. I just want to express my disappointment that the government was not able to follow up this decision. It has had plenty of time to present this before the big shot for the harvest.
ParlaMint-NO_2005-03-03.ana.ud1791e178	It is an important and fundamental discussion to which the Committee on Control and Constitutional Affairs invites the Stortinget on the basis of the position that exists. I would particularly like to stress that the need for clarity in communication between the government and the magnificence is important in the democratic process, as the rapporteur said in his statement. It is the Government's clear intention that, in the course of the follow-up to the request decisions taken in the Storting, the communication back to the Storing shall be visible and clear. The rapporteur and the Committee have pointed out the need for improvement in relation to it, which the Government will follow up. We have noted the views expressed in the vote, repeated and communicated by the case rapporteur here today, that when Stortinget asks for a case, one comes back with a case, and if it is clearly more appropriate to do so in a larger and more comprehensive context, it should be made clear in the documents. We will also work to make the follow-up to the request decisions visible in the annual budget proposals, and to clarify where the Government has found it appropriate to follow up the request decisions as part of the budget. It is also timely to note that, where the Government finds it impossible to follow decisions made by the Stortinget, it is necessary to return to the Stortinget and in a neat and convincing way – and clearly – explain why it is the Government’s assessment. I am satisfied with these general comments in the confidence that the responsible state councils will take note of the Committee's position in the respective areas.
ParlaMint-NO_2005-03-03.ana.ud1791e191	Several have not asked for the floor on case No. 1st@item: inlistbox [[Fotation, see page 1717]]
ParlaMint-NO_2005-03-03.ana.ud1791e207	No one has asked for the floor. [[Fotation, see page 1717]]
ParlaMint-NO_2005-03-03.ana.ud1791e223	At the request of the Committee on Transport, the President will propose that the debate be limited to 1 hour and 15 minutes and that speaking time be allocated to the groups as follows: Working Party and Right 15 minutes, Advance Party, Socialist Left Party and Christian People's Party 10 minutes, Center Party, Left and Coast Party 5 minutes. Furthermore, the President will propose that there be an opportunity for a replacement of lines of up to three lines with replies from members of the Government within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2005-03-03.ana.ud1791e234	The Transport Committee presents its position on the activities of the NSB for the period 2004-2006. Throughout the 151-year history of the railway, the NSB has put its mark on Norwegian debate and transport in 122 of them – since 1996 separated from the Railway Agency. Railway’s father hot ‘empty’ and its mother ‘wooden load’. Even it was the birth aid during the industrial journey a hundred years ago, with Hydro and Borregaard as shining examples. This process of rapprochement will show that the anniversary of last year is at its peak, and that the virility and potency of the Jubilee are increasing, if the Right, Christian People's Party and Left continue their reform efforts in the transport sector even after the elections – other parties will undoubtedly present an alternative vision for the future. But this is a railway debate that in temperature and engagement shows a carrier that is life-created. In this way, we are in a good tradition. The NSB has been a repeater in this room. The activities of the NSB were an important point of contention in the national court case in 1884, and subsequently the Stortinget adopted the major rail compromise after long debate, such as in particular. gave us the Bergensbanen in 1909. The NSB's ever bad accounts before and after the last war as the car took its turn in Norway were heavily debated in Stortinget. NSB is a state financial problem, said Trygve Bratteli. Today's challenges are different. Centralisation, pressures on land and increased awareness of the environment give rail an important role in a multiplicity of transport services, even where it is not economically profitable. The Committee is pleased with the increase in passenger numbers on the rail, not least after the poor development over the period 2000-2003. Since then, punctuality has improved and customer satisfaction has increased. We are pleased that CargoNet's commitment to combined transport seems to meet users' needs. The Committee will commend the NSB for its ability to implement the necessary change processes in recent years. However, we in the majority believe that the cost and income trends in the NSB are far from satisfactory, and support actions by the NSB and the ministry to reduce costs and increase efficiency. It will improve the everyday lives of many users in this country. Increased train transport, satisfied users and a healthy transport economy are the railway company’s main success criteria. In the notification, market adaptation of the company is an important objective, and it is also one of the more controversial aspects of this treatment. Competition for freight transport and subsequently for passenger transport represents an exciting challenge for the NSB. I have noticed with interest that the management of the NSB presents competition as an important incentive to improve the organisation and make it stronger. Infrastructure is essential for the NSB. In modern times, there has never been any greater use of resources than under this government. The only exception is the expansion of the Gardermoban. At least as important is the government’s comprehensive reform process, which is subject to Norwegian trade. The NSB and the Railway Agency are being modernised. A new competition regime covering both passenger and freight transport represents a strong growth impulse for Norwegian railways. In its opposition to competition and to the modernisation of administration, the socialists forget that such a reform process can prove to be an existential issue for Norwegian railways as we know it. The internationalisation of the transport sector updates the need to invest in the Nordic and European rail markets, either alone or in cooperation with others. The Committee supports the Governing Board in its desire for greater freedom to adapt to the needs of travellers. Increased investment in high demand rail transport services is a proper resource and environmental strategy. There is good reason to commend the NSB for reorientation and ability to adapt to new needs and challenges. The provision of equity, return requirements and dividend rules are traditional management tools. A fair competition regime requires business-defined returns and dividend policies. It is also important for the assessment of the real need for the purchase of passenger transport services by the country. These purchases constitute 40 pst. of the total turnover of passenger transport on trains of the NSB. Furthermore, the majority believe that the sale of operationally independent assets will improve the economy of the NSB. It will contribute to the Ministry’s focus on the core activities of the NSB. Fair conditions of competition require that companies have almost equal access to the necessary infrastructure. I know that the government is in the process of assessing the management and ownership of stations and terminals. So to Nettbuss. The NSB has engaged heavily in the bus sector and currently has more than 2100 of its 8,000 buses. The majority fear that the company will develop into an overburden of buses. In it may lie the germ of a weathering line for railway operations. Less focus on rail because it is a more heavy and capital intensive mode of transport, which is also intensive in terms of planning and preparedness, can reduce rail competitiveness. The majority consider that the NSB bus operator should primarily be a complement to the railway which meets transport needs related to routes and railway operations in general. The majority fear that the NSB bus bet far exceeds this need. We believe that there is a need for a national railway company that aims first and foremost to provide good rail services and to continuously strengthen the competitive advantage of the railway. We don't want to think that a dominant market player who loses a bid on a track section drowns the competitor in heavy busses in the same corridor. Such a situation would make competition for the track entirely illusory. The majority ask the Ministry to carefully assess the size of the NSB’s bus activities and the form of involvement in the future, referring to what is mentioned above. Road freight transport is important with a view to more sustainable transport. New forms of cooperation and alliance construction between rail companies may be necessary to meet increasing internationalisation. In order to achieve this, the NSB is asking for freedom to sell into CargoNet when the need for cooperation, capital and new competences arises. The majority support NSB in this. It could strengthen the competitiveness of rail, in particular, and sustainable transport in general. Railway transport is safe transport. There is a need for targeted work on road safety. The outsourcing is subject to the assumption that the collateral shall be at least as good as before. Due to the specific position and size of the NSB, the management of safety within the NSB has a very central importance for railway safety in Norway. Traffic safety has developed positively since 2000, and the NSB deserves again flowers for safety work. I recommend the setting.
