ParlaMint-NO_2005-05-11.ana.ud1891e28	The representative of Øystein Hedstrom will make a private proposal.
ParlaMint-NO_2005-05-11.ana.ud1891e31	On behalf of Mr Solholm, Mr Sortevik and myself, I would like to make a proposal for the conclusion of the European Patent Convention.
ParlaMint-NO_2005-05-11.ana.ud1891e36	The representative of Gjermund Hageseter will make a private proposal.
ParlaMint-NO_2005-05-11.ana.ud1891e39	On behalf of the representatives of Lodve Solholm, Per Sandberg, Øystein Hedstrøm and myself, I would like to suggest that Innovation Norway's means of action is to a greater extent being made nationally aware.
ParlaMint-NO_2005-05-11.ana.ud1891e44	The representative Steinar Bastesen will make three private proposals.
ParlaMint-NO_2005-05-11.ana.ud1891e47	I want to make three proposals on behalf of myself. The first proposal is that DKK 30 billion of the year's revenue from the petroleum sector is used to complete the adopted racial protection measures and necessary road network expansions. The second proposal I am making concerns the development of a law on power company management to ensure that people are able to meet their basic need for electricity at a maximum price of consumer power within the minimum pensioners and multi-child families in their own house. The third proposal is that the fishing pension and the seafarer's pension should not be coordinated by incapacity and that fishermen and seafarers should be paid a fishing pension and a seafarer's pension regardless of coordination.
ParlaMint-NO_2005-05-11.ana.ud1891e56	On behalf of the representatives of Hallgeir H. Langeland, Heidi Grande Røys, Jørund Leknes and myself, I would like to propose an action plan for the sustainable use of protected areas in Norway.
ParlaMint-NO_2005-05-11.ana.ud1891e61	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2005-05-11.ana.ud1891e85	On Monday, the Storting received notice from the Prime Minister's office that the following government councils will meet for oral Question Time: Council of State Dagfinn Højbråten State Council Hilde Frafjord Johnson State Council Torild Skogsholm The advertised members of the government are present, and we are ready to start the oral question procedure. The representatives who, in addition to the pre-announced representatives, would like to ask questions of substance. – We then start with the first main questions, from the representative Haakon Blankenborg.
ParlaMint-NO_2005-05-11.ana.ud1891e109	I have a question for the Council of State for Development. I don't know if the Council of State has found out that the Vice President of the Progress Party, Siv Jensen, has been in Africa. I had also not known whether VG was by chance in Gulu in Uganda exactly the same day that Siv Jensen was there. Of course, it has led to some comments, and what I'm building on is the questionable assumption that what's in the paper is right. But there, Siv Jensen says that she thinks it would be quite easy for the Christian People's Party and the Progress Party to agree on a common policy in this area, that is. development cooperation, in a government. It is now possible that Siv Jensen has the same relationship with development cooperation as the Prime Minister has with the EU – he becomes more positive when he is travelling. But if this is true, is the Council of State agreed that it would be possible for the two parties to cooperate on development policy?
ParlaMint-NO_2005-05-11.ana.ud1891e116	Then we'll hear what the state council has brought with us.
ParlaMint-NO_2005-05-11.ana.ud1891e119	I believe that the starting point of the Blankenborg representative's doubts about the correctness of various newspaper headlines must be included as an important reservation. But we in the Christian People's Party noticed, of course, the statements of Siv Jensen – they took place when the Christian People's Party had its national meeting. The opinions that agreement on a common policy could be possible in this area, I believe, quickly got a slightly different turn when the day after the important representatives of the Progress Party spoke in the opposite direction, and also when Siv Jensen said in later newspaper headlines and in the media that the state-to-state aid and the view on it stood firm, namely that the Progress Party was very critical and opposed to much of the state-to-state aid that is taking place, and that it should be primarily focused on voluntary organisations. This is contrary to the Christian People's Party's development policy, which is about to succeed in the fight against poverty and to lift millions of people out of poverty, we also need to build nations that function, states and institutions that can provide services for their people. In addition, as an important complement, non-governmental organisations and actors are particularly good providers. In other words, we need to pursue both policies – development policy – on trade, on debt, on investments, we need to reform aid and provide more and better assistance both through state and through other channels, and then we need to take the responsibility we have to solve the humanitarian problems through important grassroots efforts. This development policy has been joined by the Stortingen. The progress party was the only party that, at the hearing of the Foreign Affairs Committee, refrained from much of the suspension and had a completely different view. I can't see that Siv Jensen's statements have changed on this.
ParlaMint-NO_2005-05-11.ana.ud1891e124	As the Council of State did not believe what Siv Jensen said, I go on to part 2 of the observations, which relate to the content of development policy. Siv Jensen also says in the same paper that one has to ‘make far greater demands on those receiving assistance than is the case today. The requirement must be to establish democracy and human rights’. This is particularly true of Uganda. If it is true that there is no emphasis on democracy and human rights in development policy, as this should indicate, then it is the Minister for Development who has not done his job, for that is what both the magnificence and the government have said one should do. I would also like to see a view of the situation in Uganda and Norwegian development cooperation with Uganda.
ParlaMint-NO_2005-05-11.ana.ud1891e129	Action in relation to democracy and human rights and the requirements in this way are clear and unambiguous in Norwegian development policy. It also includes Uganda, and we are following developments there very closely. The situation is that there is a desire for the introduction of multi-party systems. This has also occurred following significant influences and pressures from international donors. There will be a referendum on this. We from the donor side probably question whether this is necessary under the Ugandan Constitution. We also believe that there is cause for concern over parts of the development of the regime in Uganda. A significant international pressure is now being exerted against President Museveni both to find a solution to the problems in northern Uganda, where Norway is also contributing to the peace process, and to the governance problems in that country. Time will show if we succeed, but we are now in a very critical phase, and Norway is following developments step by step and influences from Kampala and from Oslo.
ParlaMint-NO_2005-05-11.ana.ud1891e134	There will be three follow-up questions in this round – first Marit Nybakk.
ParlaMint-NO_2005-05-11.ana.ud1891e137	I record that there is still a long way between the Christian People's Party and the Advance Party in terms of assistance. Something else was probably not waiting either. The starting point for the question by the representative of Blankenborg was the tragic conflict in Uganda with the human suffering that follows in the wake of this conflict. Uganda is one of those countries in Africa that really need assistance and support, but above all they need peace, human rights, human dignity, etc. When Norway moved to the UN Security Council in 2001 for two years, we focused on conflict resolution, conflict prevention, and we focused on Africa. The three things are very closely linked. What will the Government now do to provide Africa and possibly Uganda with more peacekeeping forces, because they need peace, conflict resolution, conflict prevention and development?
ParlaMint-NO_2005-05-11.ana.ud1891e145	Let me first say that we believe that this government too has followed up the ambitions we had in the Security Council. We have also taken a particularly active position in relation to northern Uganda, and Norway has played a role and plays a role there right at the moment in the ongoing efforts to find a solution between LRA, i.e. Kony, and the Ugandan government. It must also be taken into account in the assessment of the delivery of the Ugandan government in relation to the sets of governance, we believe, whether this process will succeed or not. Similarly, we are exercising significant involvement in other parts of Africa, and it is when the Security Council itself decides that they will give a mandate to a UN force, that Norway can assess whether we should contribute. Since this government came in, it is primarily in relation to the great and extensive efforts in Sudan this is the case. Norway will be there with forces, and there, as far as we can understand, we also have the connection of Storting to the 30 observers that we are going to send from the Norwegian side.
ParlaMint-NO_2005-05-11.ana.ud1891e152	Bjørn Jacobsen – for follow-up questions.
ParlaMint-NO_2005-05-11.ana.ud1891e155	The representative of Blankenburg asked about the relationship between the Government and the party, the Progress Party, which is the parliamentary basis for this government here in the Chamber. I must say that the experience of the SV with the Progress Party and development policy has been positive in some areas. The party of progress was, for example, to assist the Government in creating an action plan for the environment and to ask the Government to clarify the cancellation of debt, etc. So we've seen some concrete, positive results of the Progress Party's policy. But the big problem is the volume of aid, that is, how much we're going to give, and how much we're going to redistribute to the poor. What does the Council of State do to get the Progress Party, the parliamentary basis, to support if perhaps the most important thing in aid policy, namely the volume?
ParlaMint-NO_2005-05-11.ana.ud1891e162	Let me say that I agree with Mr Jacobsen's assessment that there has also been a development in the Progress Party on development policy, and that in some areas we have seen positive signals and signs. We saw some examples in the setting. We've also seen some examples of that in the past. Nevertheless, both in terms of volume and in terms of device relative to the importance of strengthening the capacity of state institutions to combat poverty for their poor – the two areas – remain a significant distance. We will insist that there is a clear difference in policy here. It's only when we get delivered also in terms of volume that we can ensure that we can lift millions of people out of poverty. At the same time, we have also seen that the Progress Party in budgetary negotiations has been involved in a significant increase in aid. This happened two years ago, among others. It shows that there is also some form of pragmatism that takes place when finding solutions in the Storting. But it doesn't tell anything about possible government cooperation. The Christian People's Party stands firm in the view we have always had.
ParlaMint-NO_2005-05-11.ana.ud1891e169	Then comes the last follow-up question, from Morten Höglund, who well in this context represents the company that was the main subject of the question, Jensen & Partner.
ParlaMint-NO_2005-05-11.ana.ud1891e172	I would like to thank you for the attention given to our development policy. It's not every day we experience it in this room. The Christian People's Party makes a point of marking a distance from the Progress Party in development policy. I'm sure both parties could be worthy of that. But nevertheless, state-of-state aid is becoming almost a principle. I thought it was the fight against poverty that was the main point. In the last answer, to the representative Bjørn Jacobsen, the Council of State just pointed out a certain form of pragmatism. Can I ask for the same pragmatism on the part of the Government, that you are willing to sit down and evaluate the results of state-to-state assistance – what is the most important? – and that the Progress Party can also be a partner in future development cooperation?
