ParlaMint-NO_2005-04-12.ana.ud487e67	The representative, Siv Jensen, will make a private proposal.
ParlaMint-NO_2005-04-12.ana.ud487e70	On behalf of Per Erik Monsen, Øyvind Korsberg, Kenneth Svendsen and myself, I would like to propose a reduction in the tax on petrol and car diesel.
ParlaMint-NO_2005-04-12.ana.ud487e75	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2005-04-12.ana.ud487e89	At the request of the Church, Education and Research Committee, the President will propose that speaking time be limited to 5 minutes for each group, 5 minutes for each independent representative and 5 minutes for the Council of State. Furthermore, the President will propose that there be an opportunity for a replacement of lines of up to five lines with replies after contributions by members of the Government within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – This is deemed to be adopted.
ParlaMint-NO_2005-04-12.ana.ud487e98	The matter we are dealing with is a proposal from the representatives of Rolf Reikvam, Lena Jensen, Karin Andersen and Sigbjørn Molvik to legislate that county councils should provide training according to the model «School at work». The Committee does not support the legislative adoption of a single model, but believes that the proposal focuses on important aspects of higher education. The majority, consisting of the Committee other than the Progress Party and the representative Simonsen, discuss in the vote the problem of organisation in higher education. Almost 90 pst. students leaving secondary school start a course of education in secondary school. The demands of an increasingly advanced working life increase the need for formal competence. When 23.7 p.m. by students who have dropped out of secondary education in the 2003–04 school year, it is necessary to consider whether the organisation of training can be improved so that more students can reach a final qualification. We know that education is important for jobseekers, and that young people without education have a lot of trouble getting a job. The majority stress that the county councils, as the responsible authority for providing a training offer to all students, have a great deal of freedom in the choice of a model to prepare individual training plans for skills as an apprentice or a professional letter. The proportion of on-the-job training will vary according to individual training plans. By developing individual training plans, a different combination of training could be offered in whole or in part at a workplace. What is important, however, is to make a thorough assessment of each individual student in order to determine what is the best course of education that can lead to final competence. The provision and quality of the training to be provided at the workplace also depend on the fact that schools have companies to cooperate with who are both able and willing to undertake the task. The majority emphasise that Aetat is an important partner in providing unemployed young people who have not completed secondary education with an offer of training up to their final qualification. The majority stress that triangular cooperation between the municipality of residence, county municipality and Aetat is well established in most counties, but that this cooperation depends on Aetat having a financial framework to follow up this work satisfactorily. Then I will refer to the comment of the Council of State on the document, where she says she will assess different ways the county municipalities can be made familiar with ‘School at work’ and other training models. The majority agree with this and stress that it is important for the Ministry to take initiatives towards municipalities and business partners so that they can engage in the training model ‘School at work’ and similar training models, and that there may be an offer for students in need of an alternative training course, and for the unemployed who lack formal competence. I would therefore ask the Council of State to say a little more about how she thinks the Department can assist the counties so that the pedagogical diversity that characterises some county councils in this area can help others to organize educational courses leading to final competence.
ParlaMint-NO_2005-04-12.ana.ud487e117	The completion of secondary education is important for subsequent courses of work and education. Those who end up go very much to leisure. It is an excessive drop-out, and it is the largest in vocational training. This is a serious problem that we must address, not only at local level, but also from the side of the Storting and from the state. We simply need to ensure a course of education and completion of secondary education that gives final competence. There are several bets that can be pointed out. In connection with St.meld. No 30 for 2003-2004 we discussed inter alia: better advice and how to ensure broad runs in higher education. Greater emphasis has been placed here on practical training. For my part I would say that although this field is of secondary education, a good part of youth could be included in the thinking of workplace practices. Today, there is a great deal of freedom for the county to organise such training courses, and there are many places. In my opinion, however, there is too little and too little systematic tailoring of training and arrangements for individual assessment. We realize, of course, that there are wide variations in the possibilities for such training courses, as there are different possibilities for the county with regard to local business and cooperation with the labour market seat. But there are many good examples, and at least we have to make sure that the good examples are spread. In the nomination, we make a mild recommendation to the Ministry to take initiatives towards county councils and social partners so that good training models can become an offer for students in need of vocational training courses, and I will also add: to unemployed people without formal qualifications. This is a consensus within the Committee. Is there anything that separates? Yes, at least I would suggest that it is a certain disclaimer of responsibility on the part of the government parties when you refer to the responsibility and freedom of the county council today, and that that freedom and responsibility should be respected. Now it's not unique in this area that you think this is just a local responsibility, which needs to be resolved locally. But we believe that also the State, and in fact the State and the Stortinget, should have the primary responsibility to ensure and develop models in cooperation with county and business to ensure that young people have a final qualification, and to prevent the great disqualification we see in high school today. After several recordings, there's also one thing that bothers me a little bit. This concerns the professional correction of the common subject in the vocational training programme. There are many ideas for us that one with the new curricula is making professional correction difficult and is helping to make professional correction less important. Now we know that there is a discussion about whether vocational correction is a method or whether there is a variety of educational material, but in my opinion, professional correction actually means that the various professional education programmes need to be organised, which must reflect in some guidelines from the central level and perhaps preferably in the curriculum. I hope this is not a result of the model that the Government wants to lay in relation to increased demands for study competence and academia of professional education programmes. It is important for us to stress that professional correction is something that many can benefit from, but it must actually take place a professional correction in relation to different educational programmes. It is essential simply for many to succeed in higher education and gain an end-of-life competence that they can use in higher education or working life.
ParlaMint-NO_2005-04-12.ana.ud487e132	Document No The 8th proposal from the SV to legislate that county councils should provide training according to the model ‘School at work’ is, in my opinion, a strange proposal, and, as I understand it, has undergone a slightly special treatment in the committee as well. In fact, it may seem that the proposers are opposed to their own proposal, as it is not promoted in the position we now have to deal with, and as I understand it, nor will it be promoted during the course of the Stortinge process. What one then wants to achieve is reasonably uncertain. However, it appears from the current majority position that SV has gradually become reasonably satisfied with how the Government and the Council of State meet the challenges of differentiated and adapted training also in the field of vocational training. Since the introduction of Reform 94, the right has raised concerns about the increased pressure of theory in vocational training and the lack of flexibility that has been practised to prevent some students from being excluded from vocational training. There is no doubt that the overall amount of theory was increased in vocational training as a result of Reform 94. It was very gratifying that in 2003, the Government took the initiative of a legislative change, which allows students to take full vocational training in the enterprise. This is completely in line with the Right Long wish and work for. The right is also in favour of the ‘School at Work’ project, which is an offer made by entrepreneurs in cooperation with Aetat. This offer is aimed at the unemployed without completion of secondary education. There is evidence that there are several models to allow people with different assumptions to complete secondary education and to receive vocational training. The right is not afraid that different models are being tested and put into system, rather on the contrary. In its letter to the Committee, the Council of State stresses that the county has a high degree of freedom of method in the alternative towards trade and labour law. This is fully in line with Røjre's intentions in the school reform The promise of knowledge, where freedom of method is an essential and fundamental element. Right, and to the extent that the rest of the Committee, cannot therefore support SV in the fact that one model is to be legalised, while others are not. On the other hand, the right is concerned that different models and different educational methods are tested and put into systems in the different counties and that their experience is spread to all school owners in the country. This ensures that schools learn from each other for the benefit of individuals and for the overall school environment. The right is therefore satisfied that the Council of State warns that it will make the project ‘School at work’ and other initiatives known to the county councils in an appropriate way. After all, the case rapporteur has already asked the Council of State to clarify how she intends this to take place. With such an dissemination of experience and knowledge, county municipalities will have the full opportunity to implement suitable solutions for the different counties, for the different school owners, for the individual school, for the individual community, but above all for the individual students. It is an overall committee that welcomes the fact that schools and school owners should have freedom of method in education. For the Right, it is an important principle that corruption and government set concrete learning goals and establish systems to make and follow up results and quality. There is a lot of competence in each school, and it's the individual teachers who know their students the best. Then it is also those who can choose the method of teaching and the organisational solution that leads to the best result for each student. Teachers have the opportunity to use the methods they think are best to provide students with a good learning outcomes. The time for central methodological directives must be over. It will seek the right to contribute to the next accumulation period as well.
ParlaMint-NO_2005-04-12.ana.ud487e160	The proposal of the SV representatives Rolf Reikvam, Lena Jensen, Karin Andersen and Sigbjørn Molvik is intended to legislate that county councils should provide training according to the «School at work» model. That's not going to happen to the Progress Party. In fact, it turns out that it does not want the proposers either. On the other hand, the progress party will take the opportunity to point out that the county municipality is something we should get rid of as soon as possible. The Progress Party will also take advantage of the opportunity to recall the currently introduced law on early school leave, which has resulted in a joyful influx of new applications to compete in higher education with the county council to the now existing school monopoly. For the Progress Party, it is therefore twice as wrong to add new special tasks to the former monopolist. On the other hand, in the opinion of the Progress Party, it will be a good opportunity to propose that all independent schools receive 100 pst. funding, i.e. full equality in funding and equal treatment of pupils in basic education in Norway, as is the case in Sweden. For the Progress Party, such non-discrimination also includes a common training law for all students, as is the case in Sweden. I take up the two proposals of the Progress Party that are included in the vote, and I would like to sum up by saying that if we want diversity in the offer – and the more of the previous speakers have stressed that we are doing – then we must ensure that it is equal to funding for all offers and that there is full freedom of choice for all students. The Progress Party also wants to facilitate upgraded and enhanced vocational education and training. Such enhanced vocational training includes choices of both a shorter duration than three years and a more practical content in the workplace than the main device of the day. In the opinion of the Progress Party, free establishment of schools could thus facilitate a greater variation in the offer also for those students who demand practical vocational education and training at secondary school level. This means that our funding model provides a good opportunity to develop such offers, not least when a student applying for adapted vocational education can be fully funded on the road, even when the student is applying for such approved education, offered by others than the county. Anyone who offers can't possibly be important, but it's important that those who demand such education get a varied offer and are guaranteed full freedom of choice. The Progress Party will also express support for the Ministry's initiative to provide secondary school students with an alternative training course following the model 'School at work' for unemployed people who lack formal competence. We assume that the social partners are encouraged to participate in different ways. Experience in this way has been different. But without doing post-processing, I find it natural to mention that one of the major actors in this field was the Minerva school, which no longer operates. Finally, let me stress that the Progress Party also requires that new curricula for professional subjects which are under development be clearly vocationalised with clear practical content.
ParlaMint-NO_2005-04-12.ana.ud487e179	The representative Arne Sortevik has taken up the suggestions he referred to.
ParlaMint-NO_2005-04-12.ana.ud487e182	It is rather disappointing to note that instead of addressing the important issues raised, the Progress Party uses this for an attack on the county council. They can do that. But this is too important a matter to be used for an attack on the county council. In addition, I also react a little to the Right, which makes this a methodological problem. This is not a methodological problem. That's not what we're talking about here. Here we are talking about a way to organise higher education, about alternative forms of organisation. That's what we're talking about, not a method for the different teachings. In the latest report from NIFU STEP, we have received new figures on high school abortion. NIFU STEP has followed approx. 10 000 students from the autumn of 2002 and looked at where these students were in the autumn of 2004, i.e. two and a half years after they started training. They say there's cause for concern. Too many people choose high school away. This applies in particular to mechanical, hotel and food subjects — almost every third student in the hotel and food sector chooses this away from two and a half years after they start training — the construction subjects and the woodworking subjects, which note this in particular with away selection. We also see that at the transition from VK I – after two years at school – and for students to sign a learning contract, there are a lot of people who fall out or choose this away. There is reason to believe that this is due to the difficulty of getting a learning contract. So we have a challenge in getting enough classrooms for students who are done with VK I. One might consider legislating the right to a place of study, just as one has legalized the right to a place of education. For those who opt out of school on the way – and thus not at the transition to VK I/VK II/VK I on the way – the answer is alternative training courses. The size has adopted the 2+2 model – we have said that the main model is 2+2. And we've also said it's going to be easier to pick an alternative race. I would also like to commend the Council of State for proposing this – after SV had submitted its Document No. Eight proposals and required the Council of State to come back with a proposal to amend the law. That's good. The size has also decided that there should be something we call an apprentice, a level under completed degrees. All this has been decided by Stortinget – Stortinget has said that this should be an offer, this should be run. Thus we can also say something about «School at work». We have the opportunity to give leadership if we want. Just as we adopt the main model, the alternative race, the apprentice, etc., we can also participate and give strong and clear leadership to the rest of the school. We're very good at evaluating here in the country. We evaluate upposts and downwalls — there are evaluation reports everywhere. But our willingness and ability to learn from the evaluation reports is very limited. There is an evaluation report on the project ‘School at work’. SINTEF has given it, and their leadership and recommendations are clear: they say that this is a model, a way of organising training that should not only include those who are unemployed – for whom it has been developed – this is something you should try to introduce into the rest of the school. I recognise that legislating this can be problematic – we have said that this is what we are dealing with. But giving strong and clear leadership to the county councils that this is a model, this is a way of organising the training, which is likely to enable more people to complete the education, it can help reduce the severance. And that's what our goal is. The purpose of having different alternative loops is precisely that as much as possible should be successful, that as much as possible should be achieved. When we have a problem with such a large selection, we should be clear and clear about giving strong leadership to the county councils that this is a way of organizing. This is a good offer. The experience is good. Sintef, who has evaluated it, recommends it and says that this should also apply to those who should have an ordinary training course – not just as now, those who are unemployed – in cooperation between Aetat, school and workplace. That's what we wanted, and I wish we could be even more clear about giving these leaders.
ParlaMint-NO_2005-04-12.ana.ud487e201	The rapporteur has given a good idea of what this matter is about. I would like to stress here that for the Christian People's Party, it is important that the secondary school can offer students both practical and theoretical training, and that the county councils have great freedom to choose which training models they want – including cooperation with businesses. Students have different needs, and the model ‘School at work’ is found to be suitable for some students, and the school as a workplace is suitable for others. It is important to underline the freedom of method which the county councils have. There is no disclaimer from the government parties in this, because with freedom there is responsibility. When we look at studies that a good part of the students end in the course of training, a question should be asked if something else should be done. We know that it is very important to be able to refer to training completed with formal competence in order to enter the labour market. It is important that as many as possible be able to complete secondary education with study or professional competence and that they have a diploma or a letter to refer to. NIFU has written a report on the 2004 project ‘Advantages and performances’ – also referred to by the representative Rikham – in which 9800 young people have been followed out of primary school and through secondary education. The project is being carried out in cooperation with the educational institutions in Eastfold, Akershus, Oslo, Hedmark, Buskerud, Telemark and Vestfold, and I would like to quote the following from the summary comments in this report: "What appears to be very clear in our analyses is the very important background of the students; what conditions have they grown up under and what influences they have been subjected to in the family. We have found that growing up with both parents is present, that parents have higher education and that they are engaged in education are conditions that greatly increase the risk of students remaining within the education system and also of doing well." Further: ‘In addition to the great importance of students’ background, there are also some issues related to the pupils in the education system that have an impact on both performance and renunciation. Aspects of importance are largely related to the student’s own actions as a student... or the student’s self-assessment.’ The report also states: ‘We believe that a strategy aimed at both compensating for the lack of assumptions related to background conditions... and trying to put some action in place in relation to students where the warning lights flash. Not all warning lights are just as easy to see, but when the students have a lot of absence, there is a clear signal that something has to be done here to avoid the next step being out of line. Also other signs that students do not master the school professionally and socially should be able to catch up with teachers and schools in order to take action to make the students become.’ This is important to take seriously and pass on to the school system. The School in Construction Site project is therefore a useful tool here. Sintef researchers have evaluated the course and the evaluation shows that the pedagogical model is considered useful by the participants. The course provides for full education for groups who do not master traditional school-based education. I therefore see it as very positive that the Council of State will make this known further in the school system. I also refer to St.meld. No 30 for 2003–04, where we dealt with something similar.
