ParlaMint-NO_2005-02-02.ana.ud299e29	The called alternate of the Troms County, Knut Werner Hansen, has taken the seat.
ParlaMint-NO_2005-02-02.ana.ud299e38	The President will propose the election of a President-in-Office of the European Parliament today - and considers it to be adopted. The President will propose Kjell Engebretsen. - Other proposals are not available, and Kjell Engebretsen is unanimously elected as chairman of the Stortinget meeting today. The representative of Heidi Sørensen will make a private proposal.
ParlaMint-NO_2005-02-02.ana.ud299e45	On behalf of the big business representative Heikki Holmås and myself, I would like to put forward proposals on trial operations with passenger train traffic on the Alnaban.
ParlaMint-NO_2005-02-02.ana.ud299e50	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2005-02-02.ana.ud299e71	On Monday the Stortingen received notice from the Prime Minister's office that the following members of the Government would meet for oral Question Time: Minister for Foreign Affairs Jan Petersen Council Per-Kristian Fossstatsrådet Torild Skogsholm The advertised members of the government are present, and we are ready to start the oral question procedure. The representatives who, in addition to the pre-announced representatives, would like to ask questions of substance. AscendingSort order for mail groups We then start with the first main questions, from the representative of Thorbjørn Jagland.
ParlaMint-NO_2005-02-02.ana.ud299e90	I have a question for the Foreign Minister about Iraq. It is clear that the Kurds and the Shia Muslims, in particular, have used the election and the ballots to rid themselves of decades of oppression. The question is what will happen now, what the majority will be used for. The problem in Iraq is that there are few civil structures. They were crushed under Saddam Hussein. The only thing that exists is probably the mosques, which were well organized, and still is, and the question is whether more religious and fundamentalist forces can now take over and use the majority to create a new constitution that can lay the foundation for the repression of minorities in the country. My question to the Minister for Foreign Affairs is whether the U.D. has analysed whether it is possible for Norway and other countries now, after the elections, to step in with more efforts and help to build up civil institutions and organisations, so that a more normal system can be created, which can lead Iraq forward against more democracy and, not least, the protection of minorities.
ParlaMint-NO_2005-02-02.ana.ud299e99	I agree with Thorbjørn Jagland that this election meant that the majority of the Shia and Kurds have now taken part in the elections in such a way that they have taken back power they should have. Here also lies some of the conflict; the suns had to give up the monopoly of power they have had so far. The elections that were, have been historic, in line with the political process that the UN Security Council has brought up. I would like to stress that the Government has laid the foundations of its policy that it is important to support the political process that the United Nations has set up, and my impression may be that there has not been as much understanding of this as I would have liked it to be. Now, however, we have a choice that is historic, which is important, and the question is what we can do in the political process further. I think we should get the final results on the table before giving a final analysis of that issue, but I would like to remind you that support for Iraq in the period 2003-2006 amounts to 550 million. kr. We spent $14 million. To assist in the organisation of the elections, it should provide us with opportunities to move closer to the political process, if it is to be desired in Norway. I see Thorbjørn Jagland's question as a wish that Norway engages more in Iraq than we have done so far, and I fully agree that it is important that the institution now becomes such that it does not marginalise the former rulers, but tries to strike a balance so that minorities too are well taken care of. Here I think some of the challenge lies. My answer is that it is a little early to give the answer to that question, but I think the question itself is extremely important, and we must, when the election results are available, be able to come back with new proposals in this area.
ParlaMint-NO_2005-02-02.ana.ud299e108	I thank you for the answer, it was positive. I don't want to draw the parallel too far, but we have to remember what happened in Iran when we had the social revolution there in 1979, where a small minority was behind a coup that turned the country into a theocratic dictatorship. I do not think that will happen in Iraq, but there is a danger that there too will be a religious institution that will be able to suppress minorities and thus lay the foundations for new conflicts. The best counterpoint to this is getting normal civil institutions, parties, trade unions and all of this that belong to a democracy, and it's very important that we look at the possibility of being able to support. I know the security situation makes it difficult, but I'm glad that the Ministry of Foreign Affairs will have an eye on this and see if it's possible to go in here with other countries, because something has happened historically. We need to put all the discussion about the war behind us, at least on this point, and rather look at what we can now contribute to the democratic process in Iraq.
ParlaMint-NO_2005-02-02.ana.ud299e113	I think it's clear that the security situation is still going to be difficult. It is therefore important that we take a clear distance from the use of violence that we have seen increasingly in Iraq. Not least now that the Iraqi people have expressed what they want, it must be even clearer that what we see now is an attack on the will of the people. I absolutely agree that there may be a danger that the institution will not come out as we wish. But I think it's hard to say what power conditions are like before we see the outcome of the election. This includes, among other things: several Shia parties that have made choices, and the outcome we do not yet know. But that this is going to be a constitution that takes care of all the groups, so that it becomes a real distribution of power, I think it's very important, so that we don't have any new problems in Iraq now.
ParlaMint-NO_2005-02-02.ana.ud299e120	There will be follow-up questions - Karin Andersen.
ParlaMint-NO_2005-02-02.ana.ud299e123	The situation in Iraq is difficult even after the elections, and it is very important that it does not develop a fundamental religious system in Iraq. One of the best antidotes for this development will be to remove the symbol of what many fundamentalist circles see as the big problem, the military presence of the United States in Iraq. Then it might be interesting to ask the Foreign Minister if he shares the view that it can strengthen the fundamentalist, religious forces that the United States is present for a long time, and how he assesses the political situation in Iraq after the elections. Does he evaluate it so that it will now be possible to withdraw the United States more quickly from Iraq, and if so, when does the Foreign Minister assess this as possible?
