Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2005-02-10-lower	ParlaMint-NO_2005-02-10-lower.ana.ud2497e37	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-02-10	2005-02-10	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-02-10	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.MMK	Kleppa, Magnhild Meltveit	F	1948	
ParlaMint-NO-en_2005-02-10-lower	ParlaMint-NO_2005-02-10-lower.ana.ud2497e58	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-02-10	2005-02-10	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-02-10	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.KAAN	Andersen, Karin	F	1952	
ParlaMint-NO-en_2005-02-10-lower	ParlaMint-NO_2005-02-10-lower.ana.ud2497e71	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-02-10	2005-02-10	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-02-10	-	Reference	English	Regular	MP	notMinister	A	Kystpartiet	-	Centre-left	person.SEBA	Bastesen, Steinar	M	1945	
ParlaMint-NO-en_2005-02-10-lower	ParlaMint-NO_2005-02-10-lower.ana.ud2497e94	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-02-10	2005-02-10	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-02-10	-	Reference	English	Regular	notMP	Minister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.DH	Høybråten, Dagfinn	M	1957	
ParlaMint-NO-en_2005-02-10-lower	ParlaMint-NO_2005-02-10-lower.ana.ud2497e120	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-02-10	2005-02-10	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-02-10	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.PES	Sandberg, Per	M	1960	
ParlaMint-NO-en_2005-02-10-lower	ParlaMint-NO_2005-02-10-lower.ana.ud2497e137	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-02-10	2005-02-10	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-02-10	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.AGV	Valle, Ågot	F	1945	
ParlaMint-NO-en_2005-02-10-lower	ParlaMint-NO_2005-02-10-lower.ana.ud2497e145	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-02-10	2005-02-10	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-02-10	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.AGV	Valle, Ågot	F	1945	
ParlaMint-NO-en_2005-02-10-lower	ParlaMint-NO_2005-02-10-lower.ana.ud2497e177	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-02-10	2005-02-10	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-02-10	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.AGV	Valle, Ågot	F	1945	
ParlaMint-NO-en_2005-02-10-lower	ParlaMint-NO_2005-02-10-lower.ana.ud2497e190	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-02-10	2005-02-10	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-02-10	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-NO-en_2005-02-10-lower	ParlaMint-NO_2005-02-10-lower.ana.ud2497e207	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-02-10	2005-02-10	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-02-10	-	Reference	English	Regular	MP	notMinister	A	Kystpartiet	-	Centre-left	person.SEBA	Bastesen, Steinar	M	1945	
ParlaMint-NO-en_2005-02-10-lower	ParlaMint-NO_2005-02-10-lower.ana.ud2497e214	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-02-10	2005-02-10	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-02-10	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.AGV	Valle, Ågot	F	1945	
