ParlaMint-NO_2005-04-14.ana.ud1391e41	The representative of Morten Højlund will make a private proposal.
ParlaMint-NO_2005-04-14.ana.ud1391e44	On behalf of Carl I. Hagen, Siv Jensen, Christopher Stensaker and myself, I would like to make a proposal on the refocusing of Norwegian foreign policy and the modernisation of the EEAS.
ParlaMint-NO_2005-04-14.ana.ud1391e49	The representative of Bjarne Håkon Hanssen will make a private proposal.
ParlaMint-NO_2005-04-14.ana.ud1391e52	I will, on behalf of myself, promote a proposal for a waiting period guarantee for the treatment of mentally ill children and young people.
ParlaMint-NO_2005-04-14.ana.ud1391e57	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2005-04-14.ana.ud1391e71	At the request of the Social Committee, the President will propose that speaking time be limited to 10 minutes to the Christian People's Party and 5 minutes to each of the other groups. Furthermore, the President will propose that three lines of reply be given to comments by members of the Government within the allocated speaking time. In addition, the President will propose that those who sign up to the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2005-04-14.ana.ud1391e80	The background to the debate we have today is a Document No. 8-proposals submitted by the representative Jan Simonsen to allow the sale of wine and spirits in shops throughout the opening hours. Now it is that the Progress Party in the Committee is the only ones who have a positive attitude to this document and who have made similar proposals, so I think that I will concentrate on arguing for the Progress Party's position, and then I expect that all the other parties who have the opposite view are able to argue for their views. I think I should leave it to them. The Progress Party is a party strongly opposed to society imposing too much restrictions on where and when adult citizens are allowed to buy legally negotiable goods. In addition, when one uses a monopolist to represent the turnover of, for example: liqueur beer and wine, while allowing beer with a lower alcoholic strength than 4,76 pst. can be sold in stores, this becomes, in the opinion of the Progress Party, a management of the consumption pattern in terms of alcohol, in a very unfortunate way. Why should it be that if a person over the age of 18 wants to buy a bottle of wine for food and does not drink mineral water or beer with a lower alcoholic strength than 4,75 % by volume, that person must contact the Vinmonopolet – yes, if there is a wine monopoly nearby, then well note. The majority of the Storting have always used the wine monopoly and argued that the wine monopoly is an important alcohol policy instrument for the very reason why a person wants to maintain the wine monopoly system today. I would assume that there are many in this room, as well as possibly also outside the country's borders, who got a wake-up alarm when the revelations related to the Vinmonopole and suspicions of lubrication came to light some time ago. This undoubtedly put the whole organisation connected with alcohol policy instruments in a strange light, especially when one sees that it is actually possible to buy space in the shelves of the Wine Monopoly. The Progress Party has the feeling that its citizens are themselves able to decide what they want to do when visiting a grocery store. This also applies if a person should consider buying a bottle of wine, or if a desired mineral water or beer. This is an attitude that one would think the Right Party also stood for, after what has been in large media outlets, where the head of the Right Programme Committee, who is also the Vice-Chairman, Jan Tore Sanner, proclaimed a great desire for wine sales in the store during the next major period. The surprise is therefore great that this party now, in fact on the first occasion, if it is correct in the vote, will vote against its own programme formulations. The wonder does not get any less when a party reads what it writes in its own programming for the current period. I'll quote from page 72 of this program: ‘Righter believes it must be the same availability for wine as for beer and will allow the sale of wine and liqueur beer in the grocery stores.’ It is still possible for the right party to show that they are actually to be trusted even after the camera lights have been switched off. But it's obvious that there's a big challenge here. Finally, I would like to put forward the proposals made by the Progress Party in the vote.
ParlaMint-NO_2005-04-14.ana.ud1391e107	The representative, Harald T. Nesvik, has made the proposals to which he referred.
ParlaMint-NO_2005-04-14.ana.ud1391e110	Obviously, it's not much to surprise the representative Harald T. Nesvik. This proposal, now promoted by Jan Simonsen, is largely similar to that promoted by the Progress Party and also by the representative Simonsen earlier in this period, who has had the same fate. It's especially point 2 that Harald T. Nesvik is surprised that the Right will vote against. That's exactly the quote he made from the Right Programme, that we went to the choice on a wish to have the opportunity to sell wine and starch in regular shops. We're also going to go to the elections for the autumn. But after the last election, we cooperated with two other parties who led the Right back to the government offices, where we have achieved a positive impact on large parts of our policies in very important areas. This is one of the points that we didn't reach out to, but it'll be the election result for the fall that decides if we reach this point, because this is probably going to be on our program this time as well. What will be my advice to the representative Nesvik, is, rather than in a way to have fun at the expense of the Right in this matter, perhaps to sit back well in the chair and learn, because I have understood that the Progress Party has strong ambitions to even occupy the government offices once. They may need to see that other parties actually have the ability to prioritize which points are important, and which points are less important in the party's policy to get through, and highlight what one has the opportunity to do, instead of what one has no opportunity to do.
ParlaMint-NO_2005-04-14.ana.ud1391e119	Yeah, it's not easy.
ParlaMint-NO_2005-04-14.ana.ud1391e122	I'm not going to take a long time. SV, and I believe most other political parties, base their policies and political decisions on knowledge and professional arguments. This is the case for SV also in the case of alcohol policy. But there is a party in this room that does not, because they say in their remarks that there are no ‘some clear and sustainable reasons’ for why one should maintain the kind of restrictive measures such as: the wine monopoly system. This goes across everything we know. Over many decades, the alcohol policy in Norway has resulted in our country having, despite having significant adverse effects on the use and abuse of alcohol, fewer adverse effects related to alcohol use, lower social costs, etc. And the two main instruments of Norwegian alcohol policy on which there has been a relatively large consensus are limited and controlled availability in terms of both outlets and outlets, as well as in terms of opening hours and a relatively high level of charges. Of course, there is a need to discuss nuances in this at all times, but this has been a basis. Then to the wine monopoly system. It's not surprising at all that the representative Nesvik uses the unfortunate events we've had in the Wine Monopoly, where it might seem that someone's been trying to buy space in the shelves. But we've seen that in many other businesses as well, and I don't expect Harald Nesvik to want to end the grocery trade because there have been similar trends there.
