ParlaMint-NO_2005-04-06.ana.ud1176e28	The representative, Jan Simonsen, will make a private proposal.
ParlaMint-NO_2005-04-06.ana.ud1176e31	I am pleased to make a proposal that the State should take over all the funding of national roadways, so that these will be free for travellers, that all toll projects started be completed, and that no new toll projects will be started.
ParlaMint-NO_2005-04-06.ana.ud1176e36	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2005-04-06.ana.ud1176e60	On Monday, the Storting received notice from the Prime Minister's office that the following government councils will meet for oral Question Time: State Council Per-Kristian Fossstaatsrådet Election City of Haugland State Council Ansgar Gabrielsen The advertised members of the government are present, and we are ready to start the oral question procedure. The representatives who, in addition to the pre-announced representatives, would like to ask questions of substance. – We then start with the first main questions, from the representative Torstein Rudihagen.
ParlaMint-NO_2005-04-06.ana.ud1176e79	I have a question for the Minister of Finance. Otherwise, the Minister of Finance and the Government would not be pointing to some positive developments in society, which were inflationary, low interest rates, and that the competitiveness of industry has been strengthened through a lower dollar rate. Many people experience very good advice and strong purchasing power. In this situation, paradoxically, there are two frightening developments. First of all, we have municipalities that have to cut into old age care, cultural services, and schools and close symmetry halls. Last night there was an item on television about missing symmetry instruction. Leisure clubs are being laid down. The second area of development that is frightening is that more and more people are being knocked out of work. There are now many figures showing that 700,000 people in working life are out of work for various reasons, but they are receiving state benefits. There is now a press release from Aetat showing that there is increasing unemployment among health and care workers. These are people the municipalities need. Does the Minister of Finance not see the need to strengthen the local economy in order to benefit these people?
ParlaMint-NO_2005-04-06.ana.ud1176e90	It is normal for the issue of the local economy to be considered in Stortinget in the course of the examination of the budget in the autumn and in the examination of the revised budget in June. Of course, we will keep reviewing the situation in the municipal sector until revised. I just record that the municipalities together have had a growth in 2004 and 2005 that is actually among the strongest in this decade and in the 1990s. The municipalities have different priorities. Some have water in the swimming pools, but lack of guards, others have no water. But I record that it varies from municipality to municipality.
ParlaMint-NO_2005-04-06.ana.ud1176e97	When I focus on the local economy, it's because this is also related to the unemployment that we're now seeing. After all, it's not going to happen that the unemployment rate under the Bondevik government has increased by 30,000 compared to what it was at the beginning of the period. When we find that there is a major shortage in municipalities, especially within health and care, but also in other areas, and this leads to unemployment among former municipal and public authorities, this has a context. Does the Minister of Finance not see a challenge when it comes to improving the local economy, just to increase employment and get them into useful production?
ParlaMint-NO_2005-04-06.ana.ud1176e104	I don't know anyone who doesn't do useful manufacturing, so I don't think I'm going to point out any special group right there. The government is committed to combating unemployment in general. Historically, unemployment increased in July 2000. We've been able to reverse this trend, so that unemployment is now on its way down. Not least employment keeps setting new records. There have never been as many employees as during this government, and we are also about to beat the record from the current period. I don't think it's appropriate to spend money on stimulating the growth of special industries or special areas in relation to the development of unemployment, but to combat unemployment in general for all groups. I also want to add that the figures for which the unemployment rate is highest vary greatly from six months to six months. The paradox has been that for a long time, the figures have shown that Oslo and Finnmark have been at the peak of unemployment, and, as is well known, the Stortinge have discussed some specific measures in relation to Finnmark.
ParlaMint-NO_2005-04-06.ana.ud1176e113	There will be three follow-up questions – first Ranveig Frøiland.
ParlaMint-NO_2005-04-06.ana.ud1176e116	It's a fact that there have been 30 000 more unemployed under this government, and the unemployed have got the harder economics, even though things are going very well in this country. That's the problem. When it comes to municipalities, it is not difficult to get a surplus in the municipal sector if only one drop in supply, so that there are fewer teachers in the school and fewer care workers. What we're now seeing is that it's in the area of health and care there's going to be more people out of work. Does the Minister of Finance not see that one could use these free hands to meet the needs of the care sector, rather than give them unemployment benefits?
ParlaMint-NO_2005-04-06.ana.ud1176e123	I have not talked about profits in the local government sector, but I have talked about the strong growth in transfers from the state to the local government sector. It is the Stortinget that decides, and we have had a very strong growth in 2004 and 2005. Any vacancy is a challenge to combat unemployment, the care sector is not exempted, but there is no specific reason to designate some areas as particularly worrying. A free hand from the private sector is just as tragic as being available in the public sector. But I am absolutely convinced that with the investment tasks facing the local government sector now, and with the funds that have been allocated over the last year and in the current year, there will also be room for increased employment gradually.
ParlaMint-NO_2005-04-06.ana.ud1176e131	Øystein Djupedal – for follow-up questions.
ParlaMint-NO_2005-04-06.ana.ud1176e134	It's a paradoxical situation, which I think a lot of people see: we have a rich state, many of us have better advice than in a long time, and then we have a municipal poverty, where we see that the decay and unemployment actually and paradoxically increase – in a situation where the Norwegian economy goes better than in many years. When you hear Per-Kristian Foss’ answers to the questions and challenges he gets about this, it can almost seem as if he is satisfied with the situation. So it's almost 90,000 people who don't have permanent work. Public sector unemployment does not decrease; it rises in some sectors. This is the big challenge: if we are not able to create full employment in a situation where the Norwegian economy is better than ever, when are we going to be able to create full employment? That's why I have to say, as a challenge to Per-Christian Foss, that he has to be something more offensive and say that we're actually going to do something about this, instead of the slightly backward style that this will do enough if we just let the market last long enough.
ParlaMint-NO_2005-04-06.ana.ud1176e143	I'm a little bit unknown about how the market is going on for a long time when we're talking about the local government sector, but it's possible it can be answered in other contexts. It is wrong that we are facing a public sector that is due. The public sector, including the municipal sector, has invested significantly in recent years. Only tabloid spectacles, selected examples, may characterise the public sector in general as under maturity. Second, the availability does not increase, the unemployment rate generally decreases. We fight unemployment all over the line – not especially in the municipal sector, not especially in the private sector, but across the whole line. I do not think it helps to reduce unemployment when the Workers' Party and SV now want to reintroduce some measures that can help keep people in the job queue, so that they will spend longer time getting a new job. I don't think there are any wise measures to reduce unemployment and increase employment.
ParlaMint-NO_2005-04-06.ana.ud1176e152	Morten Lund – for follow-up questions.
ParlaMint-NO_2005-04-06.ana.ud1176e155	Increased unemployment in the labour force is likely to become a feature of this government in retrospect. The SSB and the Ministry of Finance have calculated that the labour force is 85 pst. of our total national wealth. A decrease of 7 pst. in the workforce corresponds to the full profit of our oil business. 30 000 more have become unemployed under this government, and 100 000 have been pushed over to disembarkation, to become anonymous unemployed, or to reinstatement. This constitutes 4-5 pst. by our workforce. It's a huge loss we're talking about, it's a huge waste we're talking about. My question to the Minister of Finance is: Does the Minister of Finance at all count on what 10,000 fewer in the workforce represent of the lost value of our society?
ParlaMint-NO_2005-04-06.ana.ud1176e162	Yes, the questioner is quite right that the value of the labour force is what counts in the national wealth. For this reason, all reforms that can help to transfer people from health care to work, from disability to work, return to work, and from retirement to work – or even longer in work – are important contributions to increasing national wealth, because of the use of labour. Reforms aimed at reducing working time in the short or longer term, for example: The 6-hour day, for which there has been a call for – greater or less political influence over this – will be reforms that are definitely going in the wrong direction. The countries that have tried it are now in full return, and the few attempts we have made in Norway have not produced good results, either in terms of the working environment, sick leave or other conditions.
ParlaMint-NO_2005-04-06.ana.ud1176e167	Let's move on to the next main question.
