ParlaMint-NO_2005-11-16.ana.ud1190e26	The representative, Mr Solvik-Olsen, will make a private proposal.
ParlaMint-NO_2005-11-16.ana.ud1190e29	I wish, on behalf of the big business representatives Øyvind Korsberg, Torbjørn Andersen, Tord Lien and myself, to propose a comprehensive plan for the construction of wind power plants in Norway.
ParlaMint-NO_2005-11-16.ana.ud1190e34	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2005-11-16.ana.ud1190e49	On Monday, the Storting received notice from the Prime Minister's office that the following government councils will meet for oral Question Time: – Councillor Kristin Halvorsen – State Council Odd Roger Enoksen – State Council Sylvia Brustad, The state councils advertised are present, and we're ready to start the oral question procedure. The representatives who, in addition to the pre-announced representatives, would like to ask questions of substance. The President will draw attention to the fact that someone has aired the idea of state councils and the questioners should switch places. The President is prepared to discuss this further with the parliamentary leaders, especially the opposition parties, who are the main players in a Question Time, and come back to this for the next Question Time. That is why Stortinget continues with the last practice, with the questioners standing in front of the president's seat and the councils of state at the second pulpit. Then the Stortinget will come back later to see if an exchange is to be made, as someone has mentioned. Then we are ready to begin with the first main question, from the representative Ulf Leirstein.
ParlaMint-NO_2005-11-16.ana.ud1190e66	I want to address a question to our Minister of Finance. There's a lot you could take up in these state budgets, but a lot of this we'll probably come back to when we're going to have the finance debate in this room on 24th this month. I would like to address questions related to the taxation of rental allowances for seafarers and the free-of-charge of employees on the base. This was a matter that brought much media attention to the period from the 2005 national budget to the revised budget in June last year. NOPEF, who organizes our pedestal workers, has had very clear speech all along. The same clear speech has also been given by the government parties today in relation to this tax consolidation. The party of progress is opposed to this tightening up, and we were pleased that we were able to reverse the previous government in the revised budget, so that this tightening did not come. The question to the Minister of Finance is as follows: What has changed so that the Government now thinks this is a sensible tax tightening? What is the government's reason that what was wrong six months ago is now a good policy?
ParlaMint-NO_2005-11-16.ana.ud1190e77	I would like to thank the representative of the Progress Party for this question. It is the overall proposal for additionalproposal, i.e. the changes made by the red-green government in relation to the 2006 government budget, that have not allowed the reintroduction of tax exemptions for the cost of employees on the base and the rent supplement. It is true, as the representative of the Progress Party says, that this was first removed in a budgetary settlement between the former government of Bondevik and the Progress Party, and which was then re-established in the revised national budget, which all the parties were behind, but for which we have not found room in this round. This means that employees on the base are now treated in the same way as others who are paid food by their employers. In isolation, it means a tax tightening of NOK 3500 for these. But because many of those working in the North Sea will also be relieved by marginal tax, it will still be on average for oil workers that they will benefit from the tax changes that this budget entails. As far as the rent supplement is concerned, there is an addition to the seafarer that you get tax-free because you eat at home. It is true that we have proposed that the tax consolidation initially provided by the Bondevik II Government for 2005 be continued.
ParlaMint-NO_2005-11-16.ana.ud1190e88	I would like to thank the Council of State for the answer. There are probably some people who can argue for these tax aggressors, but before that, the Progress Party and the representatives of SV, the Workers' Party and the Centre have not been in favour of that kind of argument. NOPEF has called for a political strike tomorrow on what is now proposed by the Government. On the presentation of the State budget in this Chamber on the 10th of this month, the Council of State said: ‘This is a budget which is essentially going to go through as proposed.’ Does this mean that such markings will have no effect on the views of the Council of State and on the consideration of the proposal of the State budget by the current government parties, and that such markings are now just coming but not being listened to?
ParlaMint-NO_2005-11-16.ana.ud1190e102	As the representative of Leirstein is involved, this government will initially have a majority in Stortinget. This means that the budget – of course – has been discussed with our groups in the Great Britain before it is presented here. But now the government has submitted this budget to the Storting, and I'm going to be very careful to go into what kind of treatment the Storting should have of this. I understand the disappointment of the oil workers and the seafarers about this, but it is a whole budget that has made this not a priority.
ParlaMint-NO_2005-11-16.ana.ud1190e107	There will be one follow-up question – Ketil Solvik-Olsen.
ParlaMint-NO_2005-11-16.ana.ud1190e110	NOPEF and a number of other organisations that organise oil workers have called for a demonstration tomorrow, as we heard from the representative of Leirstein. I see this as a clear violation of the government's promises, precisely because one of the campaigners promised that no such tax atrocities would occur. In the spring, 17 000 signatures from oil workers and others were promoted against a similar sharpening, and then the government parties outside the Storting promised that if they only came to power, this sharpening would be reversed. We got it into a revised budget with the help of the Progress Party. Why can't the Council of States promise to keep their promises? Now, after all, there's a majority in Stortinget. The budget has not been completed. Do you want to put pressure, councillor, on your party traps here, so that we get to this change in the budget?
ParlaMint-NO_2005-11-16.ana.ud1190e117	The President reminds us that all speeches should be addressed to the President and not to the Council of State.
