ParlaMint-NO_2005-06-14-upper.ana.ud882e146	There is no record available.
ParlaMint-NO_2005-06-14-upper.ana.ud882e160	In this case the President will inform the following: During the management of the Odelstinget, five paragraphs of the motion for a resolution were erroneously adopted, to propose decisions that should have been rejected. Paragraphs 14-16 to 14-20 apply. Due to the short amount of time left in the deposit session, it is not possible to correct the error by a comment from the layering of new operations in Odelstinget. Storage must therefore allow Odelsting’s decision to pass with this error. The error can then be corrected to the fall by initiative from the Government in good time before the laws come into force.
ParlaMint-NO_2005-06-14-upper.ana.ud882e163	I refer to Odelsting's decision to the law on the working environment, working time and job protection, etc. § 2-4, first paragraph: «Worker is entitled to inform the public of critical circumstances in the establishment where this is not contrary to other law.» This wording has been perceived by some as merely public awareness of critical issues. Of course, the disclosure in this context also involves internal alerts. I will clarify this point on behalf of the parties that formed the plurality during Odelsting's treatment of this matter. Odelstingen has adopted a new bill on alerts, thus stating that it is important that workers have a right to inform the public about critical matters. Of course, the lot which constituted the plurality of the Odelstinget suggests that the decision under consideration should be implemented in the normal manner. The King of State Council will find a natural time for the decision to be taken. There are several points that point out that there are many challenging questions related to a right to alert. Odelsting’s decision has led to a clear and important step in the right direction, but it does not provide a definitive answer. A number of people have pointed to the work started by assessing both the legal text and other measures to strengthen the right to alert. During the debate in Odelstinget, the majority believed that there were certain limits to the right of alert, in addition to information protected by law. Clearing up the boundaries also makes alert protection stronger and more real, as it will help to make it clearer for workers what the scope of protection is. There is no doubt that there is a need for better knowledge and thorough discussion of these issues. It is also natural to see the final design of the laws in conjunction with the work that has been done and that will be done by the end of the year.
ParlaMint-NO_2005-06-14-upper.ana.ud882e181	No more words have been asked. The decision in Odelstinget has thus been accepted by Lamentationt – with the comments made by the President and the representative Reidar Sandal – and the law decision is in accordance with the Constitution to send the King.
ParlaMint-NO_2005-06-14-upper.ana.ud882e197	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be in accordance with the Constitution to send the King.
ParlaMint-NO_2005-06-14-upper.ana.ud882e213	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be in accordance with the Constitution to send the King.
ParlaMint-NO_2005-06-14-upper.ana.ud882e229	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be in accordance with the Constitution to send the King.
ParlaMint-NO_2005-06-14-upper.ana.ud882e245	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be in accordance with the Constitution to send the King.
ParlaMint-NO_2005-06-14-upper.ana.ud882e261	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be in accordance with the Constitution to send the King.
ParlaMint-NO_2005-06-14-upper.ana.ud882e277	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be in accordance with the Constitution to send the King.
ParlaMint-NO_2005-06-14-upper.ana.ud882e293	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be in accordance with the Constitution to send the King.
ParlaMint-NO_2005-06-14-upper.ana.ud882e309	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be in accordance with the Constitution to send the King.
ParlaMint-NO_2005-06-14-upper.ana.ud882e326	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be in accordance with the Constitution to send the King.
ParlaMint-NO_2005-06-14-upper.ana.ud882e342	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be in accordance with the Constitution to send the King.
ParlaMint-NO_2005-06-14-upper.ana.ud882e358	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be in accordance with the Constitution to send the King.
ParlaMint-NO_2005-06-14-upper.ana.ud882e374	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be in accordance with the Constitution to send the King.
ParlaMint-NO_2005-06-14-upper.ana.ud882e390	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be in accordance with the Constitution to send the King.
ParlaMint-NO_2005-06-14-upper.ana.ud882e406	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be in accordance with the Constitution to send the King.
ParlaMint-NO_2005-06-14-upper.ana.ud882e422	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be in accordance with the Constitution to send the King.
ParlaMint-NO_2005-06-14-upper.ana.ud882e438	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be in accordance with the Constitution to send the King.
ParlaMint-NO_2005-06-14-upper.ana.ud882e454	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be in accordance with the Constitution to send the King.
ParlaMint-NO_2005-06-14-upper.ana.ud882e470	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be in accordance with the Constitution to send the King.
