Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2005-02-28	ParlaMint-NO_2005-02-28.ana.ud2441e27	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-02-28	2005-02-28	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-02-28	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.JK	Kosmo, Jørgen	M	1947	
ParlaMint-NO-en_2005-02-28	ParlaMint-NO_2005-02-28.ana.ud2441e85	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-02-28	2005-02-28	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-02-28	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.JK	Kosmo, Jørgen	M	1947	
ParlaMint-NO-en_2005-02-28	ParlaMint-NO_2005-02-28.ana.ud2441e93	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-02-28	2005-02-28	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-02-28	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.JK	Kosmo, Jørgen	M	1947	
ParlaMint-NO-en_2005-02-28	ParlaMint-NO_2005-02-28.ana.ud2441e96	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-02-28	2005-02-28	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-02-28	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.OHE	Hedstrøm, Øystein	M	1946	
ParlaMint-NO-en_2005-02-28	ParlaMint-NO_2005-02-28.ana.ud2441e101	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-02-28	2005-02-28	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-02-28	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.JK	Kosmo, Jørgen	M	1947	
ParlaMint-NO-en_2005-02-28	ParlaMint-NO_2005-02-28.ana.ud2441e114	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-02-28	2005-02-28	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-02-28	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.JK	Kosmo, Jørgen	M	1947	
ParlaMint-NO-en_2005-02-28	ParlaMint-NO_2005-02-28.ana.ud2441e121	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-02-28	2005-02-28	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-02-28	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.RRO	Robertsen, Raymond	M	1974	
ParlaMint-NO-en_2005-02-28	ParlaMint-NO_2005-02-28.ana.ud2441e140	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-02-28	2005-02-28	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-02-28	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.EVNI	Nielsen, Eva M.	F	1950	
ParlaMint-NO-en_2005-02-28	ParlaMint-NO_2005-02-28.ana.ud2441e159	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-02-28	2005-02-28	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-02-28	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.AESO	Sortevik, Arne	M	1947	
ParlaMint-NO-en_2005-02-28	ParlaMint-NO_2005-02-28.ana.ud2441e188	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-02-28	2005-02-28	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-02-28	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.LEJ	Jensen, Lena	F	1973	
ParlaMint-NO-en_2005-02-28	ParlaMint-NO_2005-02-28.ana.ud2441e219	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2005-02-28	2005-02-28	Unicameralism	Term 2001-2005	Session 2004-2005	-	Sitting day 2005-02-28	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.JK	Kosmo, Jørgen	M	1947	
