ParlaMint-NO_2005-03-18-lower.ana.ud778e45	The representative, Torbjørn Andersen, will make a private bill.
ParlaMint-NO_2005-03-18-lower.ana.ud778e48	I would like, on behalf of the representatives of Carl I. Hagen, John I. Alvheim, Kenneth Svendsen and myself, to make proposals to amend the law on professional transport by motor vehicle and vessel, the professional transport law, so that it is permitted to drive a bus after the age of 70.
ParlaMint-NO_2005-03-18-lower.ana.ud778e53	The legislative proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2005-03-18-lower.ana.ud778e67	I will not spend a long time explaining our views on this matter, but some brief points still need to be included. As the matter arises, the Progress Party wants to vote against this change and this extension. The Progress Party is of the opinion that the Sametinget should be laid down in Karasjok, precisely because no Norwegian citizen, regardless of race, religion or ethnicity, should be accommodated with special democratic forums. We believe that there is no need for own national policies or legislation for Norwegian co-workers. We therefore believe that there is no need to extend the level of administration to include Tysfjord. Although the Basic Act § 110a states that provision should be made to enable the Sami people to secure and develop their language, culture and social life, this does not mean that an increasingly large area and an increasing number of municipalities should be added to the Sami administrative area. This is going to be an explanation of vote. The progress party wants to vote against the configuration.
ParlaMint-NO_2005-03-18-lower.ana.ud778e78	Several have not asked for the floor on case No. 1st@item: inlistbox [[See page 424]]
ParlaMint-NO_2005-03-18-lower.ana.ud778e94	The City Laws shall preserve city names as cultural memories, provide them with a practical and decent form of writing, and contribute to the knowledge and active use of the names. In the proposed proposal from the Government, emphasis is placed on changing the laws so that the proceedings are simplified, and clearer and more appropriate and functional indications are given. The Committee supports the intentions of the proposal for a simplification and improvement of the City Name Law. It is important to take care of the part of the cultural heritage that city names make up. This applies as a basis for cultural and civilisation historical research, and it is also important that city names on maps, signs, in registers and in other public contexts are provided with an appropriate form of writing. The way of writing city names in public use has often created commitment and debate. There have been many years of collecting city names. The Committee supports the Ministry that before considering the need for the collection of city names, it is necessary to provide an overview of the city names already collected. It is a good idea to assess whether the new competence centre for Norwegian languages can coordinate the tasks of eliminating the need for the collection and organisation of the site name work. From the time we got the city name promise, we have 25 pst. the complaint cases concern the use of bound or unbound form. This rule has been strictly practised, and the majority support the proposal to soften the legislation at this point. The majority also supports the clarification in the proposition that bound form is to be applied in all natural names if the bound form is in live use in the target. The bound or unbound form can be used in gardening and usernames, city names, administrative names and communication names. The bound form shall be used if it is in live use in the speech speech today. The unbound form shall be used if it is in live use in the speech speech today and is well incorporated in writing. If it is inappropriate, a great deal of emphasis should be placed on the question from the owner of the private property or municipality. The Committee further agrees that a point of purpose should be included in the laws and that the geographical scope should not be changed. The Committee also supports the proposal for new rules on the protection of names and names. The Committee does not support the proposal to amend Section 4 in such a way that the ‘localised pronunciation’ is changed to the ‘local speaking form’ of the name. A co-conspirator's committee thinks this can open up to a number of interpretations, and that assertions could stand up to assertions, which in turn could lead to several conflicts. The Committee believes that the wording of today's law takes better account of city names as protective cultural memories. Furthermore, ‘downstream opinion’ is well incorporated and is a unique term in city name review and standardisation. A collection committee is behind the setting to keep § 4 of the day. Everyone in the committee, except SV, supports the Department's proposals to amend § 6. The amendment will reduce the number of decision-making bodies to municipalities, county councils, state maps and those required by law or regulation to establish written standards. The majority believe that this could lead to simplification and better coordination. A person shall pay particular attention to the sight of owners or parties in the standardisation of city names. In the current legislation, there is no provision for reopening matters. The Committee endorses the proposal made by the Ministry to include such a rule in order to facilitate the re-examination of a case in the event of new information. The Committee also endorses the proposal for a new Section 9, which will require all bodies of state, county, municipality and company which are fully owned by the public to establish written standards. The Committee also supports the proposal that Sami and female names be used by the public if they are used by local residents or have a commercial connection with them. In the proposal, the Ministry proposes that a provision be made in Section 12, so that the Ministry can provide regulations for the payment of information from the central city name register at the Staten Kartverk. The Committee rejects this and insists that the last paragraph of Section 12 of the proposal be deleted. Otherwise, I recommend setting.
ParlaMint-NO_2005-03-18-lower.ana.ud778e132	This will probably be an explanation of vote. In the light of what I said in my previous post, that there is no need for any special arrangements in relation to the law of Norwegian co-workers, the Progress Party cannot support the second paragraph of Section 1 or the second paragraph of Section 9. This is just to explain why we're voting against these.
ParlaMint-NO_2005-03-18-lower.ana.ud778e139	Simplification and more functional legislation have long been needed in the area covered by the City Name Act. The government has a large majority for its proposals. The rapporteur has done a thorough job to which she has explained well, and it is not that much to add. That is why, from my point of view, there are only two brief comments to the points we found by the Christian People's Party that it was right to join in the rapporteur's amendment. One is what should be the starting point for the spelling of location names. Here was the original proposal to take into account the ‘local speech form’. The rapporteur went in to maintain existing legal wording, which says that it should be based on ‘the subliminal local opinion’. From the Christian People's Party it is important to stress that the language is also a link to those who lived before us. The language is the connection to our historical roots and is therefore also to be understood as an important cultural memory, and geographical names belong in this context. It's part of shaping our identity and creating belonging. In a globalized time when people move more than before, people travel from place to place and new ones come to, traditions are easily changed for modernity. That's why it's important that there is at least something that connects to the site. Sometimes we also feel the need to explain the origins of the different site names. From our point of view, we believe that the existing wording, the one used in the current law, that is to say, the ‘lower opinion’, is therefore better suited to securing this link back to the origin itself, i.e. ensuring that the place names express what they should once express or designate. The second point where we also give the case rapporteur our support is where we want to point out that obtaining information from the Central City Name Register is still free of charge. We can understand the need to be able to get paid in cases of major work requiring the extraction of comprehensive material. However, as far as we are concerned, students are largely users of these services, and in most cases they are not large amounts of material. That is why we have come to believe that we want to keep the principle of free even in this context. I just want to end by saying that this law is an important cultural policy instrument, and the area governed by the law is an important part of our cultural heritage, with which we are to care.
ParlaMint-NO_2005-03-18-lower.ana.ud778e156	Several have not asked for the floor on case No. 2nd@item: inlistbox [[See page 425]]
ParlaMint-NO_2005-03-18-lower.ana.ud778e172	At the request of the Church, Education and Research Committee, the President will propose that speaking time be limited to 10 minutes to the Christian People's Party and 5 minutes to each of the other groups. Furthermore, the President will propose that three lines of reply be given after the contributions of the main speakers from each group and five lines of reply after the contributions of members of the Government within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – This is deemed to be adopted.
ParlaMint-NO_2005-03-18-lower.ana.ud778e181	The reason for the government's proposal for changes to the church law is firstly that the church meeting in 2003 had some desire for changes, both that the Church of the Deaf should be accommodated in the Oslo Council of Bishops, and that there should also be greater room for experimentation. Our church democracy faces a number of challenges, and the government has set up a church/state selection, which is to make its conclusions before Christmas. Any distinction between the Church and the State must ensure the universal Church of the People. Therefore, there is a desire to make many different attempts to strengthen democracy within the Church. The majority of the Committee agrees that the proposals made by the Government through the Church Meeting are made into pilot schemes, both for the voting rights of 15-year-olds and elections. This means that the majority of the Committee has not taken a position on whether the test procedures that are are always the correct conclusions, but it is desirable to implement that type of test procedure. The Labour Party has also put in place a proposal to set up large-scale and community councils at the same time. This is a freedom the churches have today – they have the opportunity to do so. The majority of the Committee has therefore found that it is not appropriate to assess whether this should be carried out in all congregations in any case. This is a practical arrangement, which should be assessed from the congregation to the assembly. The second part is on the implementation of St.meld. No 7 for 2002-2003, ‘Truss training in a new time’. In this case, the Stortinget is invited to confirm in law what we came up with when we discussed the baptismal training. The first point is on the relationship between confirmation training and school. The legal paragraph adopted by the majority clearly sets out the principle that confirmation training should be distinguished from school time, but has nevertheless been chosen to address a practical solution in relation to a few individual cases where it is difficult to adapt to noise and special education. There are several people who have been quoted: if my principles are incompatible with reality, it is bad for reality. I'm not going to add it to anyone here, but what's going on is for the Storting to find a good principle attitude, a room for action locally that makes it possible to find a good practical arrangement that makes it possible for young people not to have problems with their freedom of choice. The second is to confirm the Government’s interpretation of the Storting’s observations and decisions in the Creeding Training in the case of SFO. I believe that is a sunny and simple matter. What amazes me greatly is SV's comments, which have an appeal to be totalitarian. When we adopted the SFO as a form of work in this room, the idea was that the children should not now engage in leisure activities other than the evening; it was to be spent with their family. The aim of the SFO was to put leisure activities into the SFO so that school days and leisure time were organised differently. Some of us who were critical of the feasibility, asked questions about whether all non-governmental organisations and any voluntary activity would fit into the SFO model that was added from this room. It's been moving away from it for miles. It has not only been admitted that non-governmental organisations will never fit into the SFO as it is now, but now it is actually forbidden for non-governmental organisations to have activities as long as the municipality has an open SFO. Today we have a law that allows us to have a private SFO operated by a community, but they are not allowed to mention anything that can approach belief training, as long as the municipal SFO is open. That means that as long as a municipal offer is open, volunteers are not allowed to talk about their beliefs. It gives some exciting perspectives on how we're going to organise our society, if SV's interpretation of our SFO comment is to stand firm. That's what I think is quite scary perspectives. From this I would recommend the setting of the committee.
