ParlaMint-NO_2005-02-03.ana.ud2653e48	The representative, Odd Roger Enoksen, will make a private proposal.
ParlaMint-NO_2005-02-03.ana.ud2653e51	I will, on behalf of Marit Arnstad, Magnhild Meltveit Kleppa and myself, propose the appointment of an independent sample to go through the size and number of veterinary watch areas as well as the adaptation of the staffing of the areas as necessary.
ParlaMint-NO_2005-02-03.ana.ud2653e56	The representative Rolf Rikvam will make a private proposal.
ParlaMint-NO_2005-02-03.ana.ud2653e59	On behalf of Lena Jensen, Karin Andersen, Sigbjørn Molvik and myself, I propose that the education model school at work be integrated into the county education system.
ParlaMint-NO_2005-02-03.ana.ud2653e64	The proposals will be dealt with in a regulatory manner. Today, the Storting has an official visit to a delegation from the Federal Republic of Germany, led by the Federal Vice President of the Federal Republic of Germany, Dr. Norbert Lammert. It is a pleasure to welcome our friends from the Bundestag to Norway and to the Stortinget. [[Applause from the Chamber]]
ParlaMint-NO_2005-02-03.ana.ud2653e83	When the scandal surrounding the company The 5 Percent Community broke in the fall, it had approx. 70,000 Nordics lost about $1 billion. Pyramid games and pyramidal sales are not only a problem because so many people are at risk of being robbed of large amounts of money, but also because concepts like these are based on a particular cynical form of marketing, namely that as the pyramid expands, the participants themselves are recruiting new participants, and friends and family. This is how the pyramids are based on personal knowledge and trust, and so collapse will also be able to trigger a lot of bad blood. The concept that broke in the fall is one of several so-called network concepts that have developed in recent years, with clear features of pyramidal games. However, the provisions of the Lottery Act in this area are completely obsolete. Section 16 of the Law on So-called Chains of Happiness has not been up-to-date since the 1930s. The law states that creating or participating in pyramidal games is prohibited, but does not specify what a pyramidal game is. The so-called Alpha Club case in 2001 revealed the weaknesses of the law. If the company suspected of having a pyramid activity has only some kind of good or service to offer, it may act as a shell shelter for an establishment where the actual income comes from the acquisition of new members and other things related to pure participation in the pyramid. If you have some bottles of shampoo in stock, you can go free with today's laws, even though the business obviously has the hallmark of being pyramid-based. Lotterindende stated in his decision that the Alpha Club was not subject to the Lottery Act, Section 16, that it had not assessed and did not consider it its task to assess the content or value of the services offered by the company in return for the value of the membership fee. In the wake of the fall, focus has been placed on the government's handling of the pyramid law. Among other things, in response to Lotterenenda’s decision on Alpha Club, a working group was set up across several departments to look at the possibilities of making a more effective lawmaking. This process was well initiated and had retrieved input for the design of a new law from a number of different instances. Then the group's work was suddenly interrupted, without any final legislative proposals. The government has always explained this by the fact that an EU directive to regulate this area was underway. However, there is an explanation that is difficult to understand and that it is natural to have a debate around, and an assessment that has subsequently proved to be a serious mispractice. The EU directive on the road is a so-called total harmonisation directive. However, it should not be difficult for the Norwegian working group to have a close dialogue with the EU in this area, so that at an earlier date a law that we could adopt would not have to be substantially altered by the forthcoming EU directive. Norwegian legislative changes as a result of the EEA are unfortunately, I would say, become a routine, which is a good thing. It seems strange to leave Norway unprotected and without an effective law for several years pending an EU directive to follow. It is also clear that if Norway had passed a law that proved to be stricter than the EU directive, changing that law after a few years would have been a far less burden on our society than what has arisen and may arise because we have a outdated legislation that makes Norway a haven for pyramid builders. If the Government had chosen to continue working on new legislation, this could have been in place in time for example. to intervene in relation to the situation in The 5 Percent Community last year. So the government has been terribly passive in this matter. Not only has it not been adopted, but it has actively interrupted a process that could give our society a better defense against the fraud and deception that thousands of people have been subjected to. This inactivity has had a thin justification. While foreign Norway is sitting and waiting for the EU, Denmark has adopted stricter laws a few years ago. Last year Sweden set up a working group mandated to review Swedish legislation in this area and to present an assessment of it in December this year. This is not just SV that means. The Director of the Lottery Authority said the following to the Evening Post on 21 November last year: ‘It is high time that the Norwegian authorities continued this work on an independent basis.’ He criticised that the work of the working group had been interrupted. To P4 on 19 November last year, the Consumer Ombudsman said that the Government must take responsibility for the fact that 70,000 Norwegians have lost a total of DKK 1 billion on the pyramid game The 5 Percent Community. This criticism has largely met with excuses. One example was when the prime minister last autumn went out and assured that a new law was about to come, and that this work was under way in the government. This was how the government appeared for a moment as if it had started again the legal work that had been interrupted. It turned out, however, that this force of action was only a promise of rapid implementation of the forthcoming EU directive. Another exodus came from the Minister of Culture. In reply to questions from SV, she stated that she wanted to inculcate the Lottery Authority's responsibility to enforce the ban on pyramid games and to report crimes, despite the fact that everyone knew that the current legal text was not fit to enforce this, and that the Lottery Authority had repeatedly pointed this out. I see that the Minister of Culture repeats in the evening post today that the Lottery Authority will intensify its work in this area. Then there might be reason to recall that the director of the Lottery Authority last autumn, quoted on HegnarOnline on 26 November last, stated that the supervision has been told by the Ministry of Culture to downgrade these types of reviews. So here it's obvious that there's been conflicting messages from the department. The inaction of the Christian People's Party in the fight against pyramids is also striking. Especially in view of the fact that many in Christian environments have lost their lives on pyramids, one would believe that the Christian People’s Party was interested in bringing this to life. For the credibility of the Christian People's Party, it would also be important to show that the party does not dance after the pipe of the Christian environments that serve extensively in businesses that have been considered by many to be in the grey zone of the Law. It will therefore be useful if the Minister of Culture can now guarantee that this time there has been no interference by the Christian People's Party in the process of the same kind as that revealed at the time Nature's Own was investigated by the Ministry of Justice in 1998. Of course, not all network sales are problematic. But at the same time, it is obvious that the economic and personal consequences it has for too many people in the event of a pyramid collapse are so great that as a society, we cannot put the greatest emphasis on protecting those who sit on the top of different networks. We need a law that clearly defines what is an illegal pyramid game, and to give authorities a clearer mandate and better instruments to intervene against this type of activity. On this basis, both an explanation of the Government's inaction in this matter and a review of what is now being done to rectify this matter. At the same time, of course, it is important to look ahead and have a debate on what the forthcoming EU directive will say for Norwegian legislation and practice, and what we can expect from it.
ParlaMint-NO_2005-02-03.ana.ud2653e127	Norway is not a free port for pyramid games. Norwegian legislation against such games is similar to what most other countries have, including our Nordic neighbours. The representative Lightbaking tried to disguise this in his article. The representative does not shed light on this matter through his input. He has not seen the facts well enough and is therefore mistaken when he thinks the government has not taken the field seriously. One can read in Dagbladet that he claims that the Christian People's Party is flat on this matter because of Christian people and people in the Christian People's Party. When we read in the Daily, we can expect anything, but that he also refers to it from the Storting Speech, is almost injuring, as I interpret it. The government's work in the field has continued in the last year with a view to contributing to the best possible protection against such games within the EEA as a whole. Pure pyramid games, also called closing games or chain shops where no goods or services are traded except the right to recruit new participants, have long been prohibited by Norwegian law. Paragraph 16 of Lotterilova thus prohibits: ‘to create or participate in pyramidal games, happiness chains, chain shops or similar measures where money or other values are gradually traded within an indefinite circle of persons’. What characterises such illegal pyramid gambling organisations is that participants pay money into the organisation without getting a corresponding valuable item or service in return. The goal of the payment is to get more money out of the organisation later. The goal of starting the organization is to move up a pyramid-shaped network of participants, so that those at the top of the pyramid receive large amounts of money, even if the contributions from each participant may be relatively low. When there is no more room for participation in the pyramid, the stream of entries will be stopped. Then those who are at the top of the pyramid will be left with a lot of money, and those who come into the pyramid last lose money because they have not received any good or service or other dividends that make the payments profitable. The problem with companies such as The 5 Percent Community and Alpha Club are located on the border between legal pyramid-shaped salsa networks and illegal pyramid games. The participants pay money into the pyramid, but they also get something back in the form of goods or services, sales prices, soap products or the like. The problem with these borderline cases is to determine whether the goal of the organisations and participants is to develop a healthy business with real sales of goods and services, or whether the goal is to attract participants who pay their money with the hope of getting a big profit from future participants at the bottom of the pyramid. Although the pyramid games have been around since the mid-1990s, multi-level marketing as a distribution form has increased its expansion in the last two decades. Multi-level marketing, MLM, is also based on pyramid structure, but differs among others. from the pyramidal games by the fact that this activity also has the trade of goods or services. When there are sales of goods or services and not money contributions from new entrants that generate a gain, the system is not sentenced to collapse even if the growth of new participants is decreasing. Such activity may therefore be serious commercial activity which should be lawful, but may also be attempts to conceal activities which should be prohibited. In all countries, it has proved difficult to enforce a ban which requires an assessment of what is the primary element of a pyramid scheme: the acquisition or sale of a product. A holistic assessment is required, which has been shown to address several problems. In 2003, the government set up a working group of representatives from the Ministry of Children and Family Affairs, the Ministry of Justice, the Ministry of Economic Affairs and Trade and the Ministry of Culture and the Church to address clearer boundaries between legal network games, MLM, and illegal pyramid games. While the group is working, in Brussels an EU directive was put forward prohibiting unfair commercial practices against consumers. Here it is proposed to blacklist, to ban those pyramid schemes where rejuvenation is the central one. The proposal for a directive is based on total harmonisation, i.e.: that each country cannot adopt rules with content other than that resulting from the Directive. I must also add that what the interpellant says is wrong, that we have not had any contact with the EU. Of course, through the Ministry of Children and Family Affairs, we have submitted our proposals for that directive and have had contact with them. I would like to stress that the Norwegian working group went in to influence the proposal for a directive in order to put in place clear and effective pan-European rules. The Ministry of Children and Family, which is responsible for the proposal for a directive, drew up written observations on the proposal in the light of the work of the working group. On the basis of this, the EFTA Surveillance Authority issued a joint opinion in March 2004. The proposal for a directive is now before Parliament, and everything indicates that it will be adopted in March 2005. With such a common European rule, Nordics will have a common protection against such pyramids from all EEA countries. Such a harmonisation rule will also make it necessary to build on the content of the EU directive. The government believes that common rules in this field are the right way to go. Companies such as The 5 Percent Community are international and operate in a grey zone not only in relation to lotterilova but also in relation to marketing laws and economic criminal law. Such pyramid systems are often designed in a way that makes it very resource-demanding to investigate whether they are legal. This is a problem not only in Norway, but also in many other European countries. No country now seems to have found effective protection against such systems. The other Nordic countries have no stricter rules than us. It is clear from a report published in August 2000, by the Nordic Council of Ministers, that the Nordic countries largely regulate this equally and tirelessly with the same issues. The impression is also verified on a later stage. The claim 'Norway has become a haven for pyramid game' is therefore incorrect. Norway is in no way a retard in the pyramid struggle, and the government has not ignored the warnings that have come, that Norway has become a free haven for pyramid games. Norway, on the other hand, has been actively involved in influencing the proposal for a directive in order to put in place as clear and as strict effective pan-European rules as possible. With the work currently in progress, Norway will also be one of the first to implement the new legislation because we are working on bombs to make sure that implementation is speeded up when the EU comes. The government cannot accept responsibility for the loss of 70,000 Norwegians' money on the company The 5 Percent Community. The fact that this type of enterprise appeared to be particularly widespread in Norway may also have to be seen in connection with the fact that many in Norway in recent years have had a very good private economy with room for new types of investment. It is not appropriate to impose a general legal ban on the pyramid-shaped network hall of goods and services. Such network halls can often be an appropriate way of translating products. The challenge for legislators is to have regulators that allow network halls and at the same time prevent the emergence of pyramid-like organisations where backers can secure huge profits in such a way that many others suffer. However, whatever the legislation, each participant in a pyramid-like company must also have an independent responsibility to assess the seriousness of the companies in which he or she is able to invest his or her money. Work has been started in the two most relevant departments with a view to developing clearer rules for pyramid games in Norway. The aim is to implement the new EU rules in this field immediately after the decision of the European Parliament. The preliminary legal work has been started, and I hope that the matter can be brought before Stortinget in the spring session with the aim that a law can be passed before the summer. If the EU directive in this area will provide us with a better and stricter regulation, I cannot respond to it today, but I can promise that the Government's proposal for a national regulation will be as strict as the overall harmonisation of the EU directive allows us. In any case, it will be a great advantage to have common legislation for all European countries. I've previously said that most people should show scepticism to the many speculative network companies that are currently in the market. Based on recent developments, I have also strengthened the responsibility of our administrative body, the Lottery Authority, to ensure that the current ban on pyramidal games is observed, and that clear suspicions of crime are reported to the police. This is a matter where there is actually a great deal of agreement between the interpellant and the Government, and myself as the Council of State, and then I wonder about the language that the interpellant uses in a matter where we actually have a common goal.
ParlaMint-NO_2005-02-03.ana.ud2653e168	I thank the Council of State for the answer, although I have to say that it is something special to be accused of being the closest intruder from the Parliament's pulpit, when the example I have drawn up is one that is well documented. It is not unnatural and cannot surprise the Council of State that questions are asked about the matter that has such a great resemblance to the process we have been in now. It is not unnatural that you then ask if any of the same may have happened this time. The question that the Council of State does not answer is whether it was necessary to interrupt this working group's work on a new pyramid law. Although this EU directive is on its way, we know that the normal implementation time for this type of directive is two years. This is a directive to be adopted, hopefully, in the European Parliament during the spring, which means that a normal implementation of the Directive for Norway will be by 2007. In other words, if a stricter regulation had been put in place in 2003 or 2004, we would have been able to implement the directive by means of a relatively simple legislative amendment process and amend Norwegian legislation after that, if it were consistent. If necessary, we could have had a stricter law until 2007 that would have given us good opportunities to intervene against some of the worst outcomes of this business. With regard to the term ‘free port’, I just want to repeat that it is not my words, but it is the word of the Consumer Ombudsman. It is also true that when we compare the Nordic laws, we see that the law that Denmark passed in 2000 is a law that does not do what the Norwegian law does. It goes into detail and describes what a pyramid game is, and gives some characteristics that allow the authorities to enforce the ban that we also have in Norway, but which is very difficult to enforce. This is precisely the lack of the kind of wording that is being used, for example. find it difficult to investigate and report cases where there is a suspicion of a breach of the Pyramid Law. Of course, on the SV side, we will support the rapid implementation of the directive that is coming. We are pleased that work is being done in the department to prepare for a rapid introduction of the new legislation, and we are looking forward to that matter coming to Stortinget. We will, of course, support the Government in making that process go as quickly as possible.
ParlaMint-NO_2005-02-03.ana.ud2653e181	I must admit that I was horrified when I read the newspaper today. The same debts were repeated from Stortingets Speech. It's pretty strong, because it has nothing to do with the truth of this matter in relation to the commitment I've had when it comes to the fight against pyramids. So the question is whether this working group canceled their work, or what they did. We have been working on this since this working group was reduced. What we did when we heard that there was going to be an EU directive was that we started working to influence the EU directive. In this way, we got a slightly different focus in relation to how we thought it would be most effective to implement this directive in Norway. Thus, the job was then a time to be involved and influence in Brussels. But the working group has been there all along, and it is fully devoted. She is currently working and should also be able to enable the implementation to take place as quickly as possible. I have tried in my post to say what we have done, and then I hope that Stortinget and the interpellant can believe me on it. Ein still refers to Sweden and Denmark and the law there. In Denmark, for example is prohibited from pyramidal games regulated by a law of public collection administered by the Ministry of Justice there. Like Sweden and Norway, Denmark has also had problems with the emergence of pyramid games, and they have had the same problems as us with the definition. It is illegal to offer pyramid games in Denmark, as it is in Norway. The laws are pretty similar, and we have the same problems. In Sweden, there has been a drawing of a case. It has led to a verdict, but it's a little bit of amulsifier of a few dollars that's given, so it's only symbolic. That is why I hope when we get an EU directive that it can be more effective, so that the common objective that both the interpellant and I have can also be implemented in Norway. I'm happy for the exposure to the interpellant. He's raising a very important issue, and I think it's also important to dispel people from not being blue-eyed to go into these pyramids. But we don't have to have a law like this. prohibits those who so wish to keep the Tupperware company, that this shall be prohibited in Norway. That balance is difficult. That's why we really need a legal expertise and an effort to achieve a balance, so we can turn down what we don't want to have here.
ParlaMint-NO_2005-02-03.ana.ud2653e192	It's an interesting theme that the representative Bjørlo Lyssbakken addresses in this interview. After the revelations around The 5 Percent Community, you can wonder that there are still some people who are fooled by this kind of fraud and banditting. Unfortunately, hundreds of thousands of Norwegians have invested money in pyramid-like companies, and many of them have lost large amounts. It is, of course, tempting to resort to legislation in such cases. But I think we also have to ask ourselves: do we have laws against pyramids, against fraud and against fraud in Norway, and can these not be used until further notice? Perhaps it is about people having to take greater responsibility for their own actions. It's actually that it's allowed to think for itself. We may have to focus more on this, whether we get the expected EU directive or not. I have noticed that both newspapers, magazines such as Your Money and the Lottery Authority have gone out with clear lists of which companies they are questioning. These are companies like Eurosmart, NordPortal, Owners Group International, Play Club, Prosper Club, Pure Investor, TrendGames, Upsides, WorldGames and www.worldwidealliance. Common to them are expensive memberships, games and casinos, as well as shares and suspicious financial services. Some of the companies have already come together, such as Alpha Club, Life Wealth 8, Sprinkle Network, The 5 Percent Community and TrendInvest. That being said, it should also be included, as the Council of State said, that there are multi-level marketing companies that operate in a fairly serious and good way. These include Herbalife, Lux Norway, Oriflame, Tupperware, etc. I don't want to recommend anyone to go into these companies. Like all other companies, these companies can also go bankrupt, even if they are not illegal or engage in fraud and gangster activities, such as those I mentioned earlier in my post. There are many of us who dream of being rich, probably some of us here on Stortinget, where we have a good salary. It's something that drives most people. But a wise man said something like that if something seems to be too good to be true, it's just that. I think that many of those who have joined these companies would have benefited from listening to such advice.
ParlaMint-NO_2005-02-03.ana.ud2653e207	The representative Lighthouse has taken up an important and very interesting interplay on a theme that unfortunately has not yet been illuminated enough. But first I'd like to say to the Council of State that calling an intervention for injurers has of course the Council of State opportunity to do, but this pulpit is actually a temptation for this kind of thing. Here you can actually injustify if you want to, because here you are protected by Norwegian law. If it's wise to call an article intruders, I'm more uncertain about it. The context here was quite obvious, and it's natural to ask, since the previous case was stopped by an enquiry to the ministry. This is also well documented. Asking questions about this again is, of course, wise. Of course, it's also an opportunity for the Council of State to say that she doesn't think it was an equally wise question. In September 2003, a Whitewashing Communication came to Økokrim from Nordea, which had received 160 million. NOK in an account, which was uncertain about what they were going to do. They sent a money laundering message to Ecokrim because they thought it was right to do so. About the same time, a Norwegian financial magazine had published the whole story around The 5 Percent Community and called those who invested their money in this, for idiots, so much of this was known. Why Ecokrim did not proceed with the matter, I will not speculate, but just refer to what is in the press. But I think one reason why Ecokrim is cautious about going into this is that the law was too bad. The point is that it is difficult for Ecocrime to know what is criminal activity, and what is not criminal activity. One year later, charges were brought against the men behind The 5 Percent Community. In reality, this could have been done a whole year earlier when the Whitewashing Communication came to Ecocrime. But you chose not to do that, probably because you were unsure whether you went into a legal frontier and grey zone where there was not a good enough law, although it was quite obvious that if this was not a criminal activity, it was close to criminal activity at the time the money laundering message was delivered. What we need now is a law that protects the ordinary citizen from his own stupidity. It's allowed in Norway to be an idiot. It is allowed to invest their money in things that can be tapped. That's absolutely right. But the law we have is to protect the ordinary citizen from his own stupidity and from criminal activity, which we have seen in this case. That's why we have to put in place a law that's strict enough to ensure that cynical speculators and backers can't make any profit on this. We have now had a long period of time when such a law has been lacking. We have recorded that the law has been along the way, but has been stopped. We have recorded that the EU has a work going on. I must say that I am pleased that the Council of State now confirms that there will be a law to Stortinget before the summer. We've been asking for that for a long time. There are too many cynical speculators who are able to trick naive Norwegians into investing their money in things they should not have invested their money in. The fact that you should generally use your own head when you invest is, of course, a general good rule, but the law must also be in place.
