Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SI-en_2006-11-20-SDZ4-Izredna-23	ParlaMint-SI_2006-11-20-SDZ4-Izredna-23.ana.u1	Minutes of the National Assembly of the Republic of Slovenia, Term 4, Extraordinary Session 23, (20. 11. 2006)	2006-11-20	Lower house	4. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	SDS	Slovenian Democratic Party	Coalition	Right	CukjatiFrance	Cukjati, France	M	1943	
ParlaMint-SI-en_2006-11-20-SDZ4-Izredna-23	ParlaMint-SI_2006-11-20-SDZ4-Izredna-23.ana.u2	Minutes of the National Assembly of the Republic of Slovenia, Term 4, Extraordinary Session 23, (20. 11. 2006)	2006-11-20	Lower house	4. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	SDS	Slovenian Democratic Party	Coalition	Right	CukjatiFrance	Cukjati, France	M	1943	
ParlaMint-SI-en_2006-11-20-SDZ4-Izredna-23	ParlaMint-SI_2006-11-20-SDZ4-Izredna-23.ana.u3	Minutes of the National Assembly of the Republic of Slovenia, Term 4, Extraordinary Session 23, (20. 11. 2006)	2006-11-20	Lower house	4. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	SDS	Slovenian Democratic Party	Coalition	Right	StarmanBojan	Starman, Bojan	M	1950	
ParlaMint-SI-en_2006-11-20-SDZ4-Izredna-23	ParlaMint-SI_2006-11-20-SDZ4-Izredna-23.ana.u4	Minutes of the National Assembly of the Republic of Slovenia, Term 4, Extraordinary Session 23, (20. 11. 2006)	2006-11-20	Lower house	4. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	SDS	Slovenian Democratic Party	Coalition	Right	CukjatiFrance	Cukjati, France	M	1943	
ParlaMint-SI-en_2006-11-20-SDZ4-Izredna-23	ParlaMint-SI_2006-11-20-SDZ4-Izredna-23.ana.u5	Minutes of the National Assembly of the Republic of Slovenia, Term 4, Extraordinary Session 23, (20. 11. 2006)	2006-11-20	Lower house	4. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	SDS	Slovenian Democratic Party	Coalition	Right	GrimsBranko	Grims, Branko	M	1962	
ParlaMint-SI-en_2006-11-20-SDZ4-Izredna-23	ParlaMint-SI_2006-11-20-SDZ4-Izredna-23.ana.u6	Minutes of the National Assembly of the Republic of Slovenia, Term 4, Extraordinary Session 23, (20. 11. 2006)	2006-11-20	Lower house	4. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	SDS	Slovenian Democratic Party	Coalition	Right	CukjatiFrance	Cukjati, France	M	1943	
ParlaMint-SI-en_2006-11-20-SDZ4-Izredna-23	ParlaMint-SI_2006-11-20-SDZ4-Izredna-23.ana.u7	Minutes of the National Assembly of the Republic of Slovenia, Term 4, Extraordinary Session 23, (20. 11. 2006)	2006-11-20	Lower house	4. mandat	-	Izredna	-	-	Reference	English	Regular	notMP	notMinister	NSi	New Slovenia – Christian Democrats	Coalition	Centre-right	BajukAndrej	Bajuk, Andrej	M	1943	
ParlaMint-SI-en_2006-11-20-SDZ4-Izredna-23	ParlaMint-SI_2006-11-20-SDZ4-Izredna-23.ana.u8	Minutes of the National Assembly of the Republic of Slovenia, Term 4, Extraordinary Session 23, (20. 11. 2006)	2006-11-20	Lower house	4. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	SDS	Slovenian Democratic Party	Coalition	Right	CukjatiFrance	Cukjati, France	M	1943	
ParlaMint-SI-en_2006-11-20-SDZ4-Izredna-23	ParlaMint-SI_2006-11-20-SDZ4-Izredna-23.ana.u9	Minutes of the National Assembly of the Republic of Slovenia, Term 4, Extraordinary Session 23, (20. 11. 2006)	2006-11-20	Lower house	4. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	SDS	Slovenian Democratic Party	Coalition	Right	CukjatiFrance	Cukjati, France	M	1943	
ParlaMint-SI-en_2006-11-20-SDZ4-Izredna-23	ParlaMint-SI_2006-11-20-SDZ4-Izredna-23.ana.u10	Minutes of the National Assembly of the Republic of Slovenia, Term 4, Extraordinary Session 23, (20. 11. 2006)	2006-11-20	Lower house	4. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	SDS	Slovenian Democratic Party	Coalition	Right	StarmanBojan	Starman, Bojan	M	1950	
ParlaMint-SI-en_2006-11-20-SDZ4-Izredna-23	ParlaMint-SI_2006-11-20-SDZ4-Izredna-23.ana.u11	Minutes of the National Assembly of the Republic of Slovenia, Term 4, Extraordinary Session 23, (20. 11. 2006)	2006-11-20	Lower house	4. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	SDS	Slovenian Democratic Party	Coalition	Right	CukjatiFrance	Cukjati, France	M	1943	
ParlaMint-SI-en_2006-11-20-SDZ4-Izredna-23	ParlaMint-SI_2006-11-20-SDZ4-Izredna-23.ana.u12	Minutes of the National Assembly of the Republic of Slovenia, Term 4, Extraordinary Session 23, (20. 11. 2006)	2006-11-20	Lower house	4. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	NSi	New Slovenia – Christian Democrats	Coalition	Centre-right	SokAlojz	Sok, Alojz	M	1959	
ParlaMint-SI-en_2006-11-20-SDZ4-Izredna-23	ParlaMint-SI_2006-11-20-SDZ4-Izredna-23.ana.u13	Minutes of the National Assembly of the Republic of Slovenia, Term 4, Extraordinary Session 23, (20. 11. 2006)	2006-11-20	Lower house	4. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	SDS	Slovenian Democratic Party	Coalition	Right	CukjatiFrance	Cukjati, France	M	1943	
ParlaMint-SI-en_2006-11-20-SDZ4-Izredna-23	ParlaMint-SI_2006-11-20-SDZ4-Izredna-23.ana.u14	Minutes of the National Assembly of the Republic of Slovenia, Term 4, Extraordinary Session 23, (20. 11. 2006)	2006-11-20	Lower house	4. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	SLS	Slovenian People's Party	Coalition	Centre-right	KanglerFranc	Kangler, Franc	M	1965	
ParlaMint-SI-en_2006-11-20-SDZ4-Izredna-23	ParlaMint-SI_2006-11-20-SDZ4-Izredna-23.ana.u15	Minutes of the National Assembly of the Republic of Slovenia, Term 4, Extraordinary Session 23, (20. 11. 2006)	2006-11-20	Lower house	4. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	SDS	Slovenian Democratic Party	Coalition	Right	CukjatiFrance	Cukjati, France	M	1943	
ParlaMint-SI-en_2006-11-20-SDZ4-Izredna-23	ParlaMint-SI_2006-11-20-SDZ4-Izredna-23.ana.u16	Minutes of the National Assembly of the Republic of Slovenia, Term 4, Extraordinary Session 23, (20. 11. 2006)	2006-11-20	Lower house	4. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	SNS	Slovenian National Party	Opposition	Right to far-right	PečeSašo	Peče, Sašo	M	1971	
ParlaMint-SI-en_2006-11-20-SDZ4-Izredna-23	ParlaMint-SI_2006-11-20-SDZ4-Izredna-23.ana.u17	Minutes of the National Assembly of the Republic of Slovenia, Term 4, Extraordinary Session 23, (20. 11. 2006)	2006-11-20	Lower house	4. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	SDS	Slovenian Democratic Party	Coalition	Right	CukjatiFrance	Cukjati, France	M	1943	
