Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2020-04-22-027-XXVII-NRSITZ-00025	ParlaMint-AT_2020-04-22-027-XXVII-NRSITZ-00025_d7e459	Sitting Number 25, Legislative period XXVII, Wednesday, 22. April 2020	2020-04-22	Lower house	Legislative period XXVII	-	-	Sitting 25	-	COVID	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2020-04-22-027-XXVII-NRSITZ-00025	ParlaMint-AT_2020-04-22-027-XXVII-NRSITZ-00025_d7e505	Sitting Number 25, Legislative period XXVII, Wednesday, 22. April 2020	2020-04-22	Lower house	Legislative period XXVII	-	-	Sitting 25	-	COVID	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2020-04-22-027-XXVII-NRSITZ-00025	ParlaMint-AT_2020-04-22-027-XXVII-NRSITZ-00025_d7e1097	Sitting Number 25, Legislative period XXVII, Wednesday, 22. April 2020	2020-04-22	Lower house	Legislative period XXVII	-	-	Sitting 25	-	COVID	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2020-04-22-027-XXVII-NRSITZ-00025	ParlaMint-AT_2020-04-22-027-XXVII-NRSITZ-00025_d7e1122	Sitting Number 25, Legislative period XXVII, Wednesday, 22. April 2020	2020-04-22	Lower house	Legislative period XXVII	-	-	Sitting 25	-	COVID	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2020-04-22-027-XXVII-NRSITZ-00025	ParlaMint-AT_2020-04-22-027-XXVII-NRSITZ-00025_d7e1174	Sitting Number 25, Legislative period XXVII, Wednesday, 22. April 2020	2020-04-22	Lower house	Legislative period XXVII	-	-	Sitting 25	-	COVID	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2020-04-22-027-XXVII-NRSITZ-00025	ParlaMint-AT_2020-04-22-027-XXVII-NRSITZ-00025_d7e1204	Sitting Number 25, Legislative period XXVII, Wednesday, 22. April 2020	2020-04-22	Lower house	Legislative period XXVII	-	-	Sitting 25	-	COVID	English	Regular	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	-	Centre-left	PAD_14842	Krainer, Kai Jan	M	1968	
ParlaMint-AT-en_2020-04-22-027-XXVII-NRSITZ-00025	ParlaMint-AT_2020-04-22-027-XXVII-NRSITZ-00025_d7e1280	Sitting Number 25, Legislative period XXVII, Wednesday, 22. April 2020	2020-04-22	Lower house	Legislative period XXVII	-	-	Sitting 25	-	COVID	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2020-04-22-027-XXVII-NRSITZ-00025	ParlaMint-AT_2020-04-22-027-XXVII-NRSITZ-00025_d7e1304	Sitting Number 25, Legislative period XXVII, Wednesday, 22. April 2020	2020-04-22	Lower house	Legislative period XXVII	-	-	Sitting 25	-	COVID	English	Regular	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_14795	Wöginger, August	M	1974	
ParlaMint-AT-en_2020-04-22-027-XXVII-NRSITZ-00025	ParlaMint-AT_2020-04-22-027-XXVII-NRSITZ-00025_d7e1364	Sitting Number 25, Legislative period XXVII, Wednesday, 22. April 2020	2020-04-22	Lower house	Legislative period XXVII	-	-	Sitting 25	-	COVID	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2020-04-22-027-XXVII-NRSITZ-00025	ParlaMint-AT_2020-04-22-027-XXVII-NRSITZ-00025_d7e1389	Sitting Number 25, Legislative period XXVII, Wednesday, 22. April 2020	2020-04-22	Lower house	Legislative period XXVII	-	-	Sitting 25	-	COVID	English	Regular	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_83127	Fuchs, Hubert	M	1969	
ParlaMint-AT-en_2020-04-22-027-XXVII-NRSITZ-00025	ParlaMint-AT_2020-04-22-027-XXVII-NRSITZ-00025_d7e1462	Sitting Number 25, Legislative period XXVII, Wednesday, 22. April 2020	2020-04-22	Lower house	Legislative period XXVII	-	-	Sitting 25	-	COVID	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
