Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GB-en_2017-07-18-commons	ParlaMint-GB_2017-07-18-commons.u1	Minutes of the House of Commons, Daily Session 2017-07-18	2017-07-18	Lower house	57	-	2017-07-18	2017-07-18	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-GB-en_2017-07-18-commons	ParlaMint-GB_2017-07-18-commons.u2	Minutes of the House of Commons, Daily Session 2017-07-18	2017-07-18	Lower house	57	-	2017-07-18	2017-07-18	-	Reference	English	Regular	MP	notMinister	SNP	Scottish National Party	-	Centre-left	MartynDay	Day, Martyn	M	-	
ParlaMint-GB-en_2017-07-18-commons	ParlaMint-GB_2017-07-18-commons.u3	Minutes of the House of Commons, Daily Session 2017-07-18	2017-07-18	Lower house	57	-	2017-07-18	2017-07-18	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	ElizabethTruss	Truss, Elizabeth Mary	F	-	
ParlaMint-GB-en_2017-07-18-commons	ParlaMint-GB_2017-07-18-commons.u4	Minutes of the House of Commons, Daily Session 2017-07-18	2017-07-18	Lower house	57	-	2017-07-18	2017-07-18	-	Reference	English	Regular	MP	notMinister	SNP	Scottish National Party	-	Centre-left	MartynDay	Day, Martyn	M	-	
ParlaMint-GB-en_2017-07-18-commons	ParlaMint-GB_2017-07-18-commons.u5	Minutes of the House of Commons, Daily Session 2017-07-18	2017-07-18	Lower house	57	-	2017-07-18	2017-07-18	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	ElizabethTruss	Truss, Elizabeth Mary	F	-	
ParlaMint-GB-en_2017-07-18-commons	ParlaMint-GB_2017-07-18-commons.u6	Minutes of the House of Commons, Daily Session 2017-07-18	2017-07-18	Lower house	57	-	2017-07-18	2017-07-18	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	MarkHarper	Harper, Mark James	M	-	
ParlaMint-GB-en_2017-07-18-commons	ParlaMint-GB_2017-07-18-commons.u7	Minutes of the House of Commons, Daily Session 2017-07-18	2017-07-18	Lower house	57	-	2017-07-18	2017-07-18	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	ElizabethTruss	Truss, Elizabeth Mary	F	-	
ParlaMint-GB-en_2017-07-18-commons	ParlaMint-GB_2017-07-18-commons.u8	Minutes of the House of Commons, Daily Session 2017-07-18	2017-07-18	Lower house	57	-	2017-07-18	2017-07-18	-	Reference	English	Regular	MP	notMinister	LAB	Labour	Opposition	Centre-left	LauraPidcock	Pidcock, Laura	F	-	
ParlaMint-GB-en_2017-07-18-commons	ParlaMint-GB_2017-07-18-commons.u9	Minutes of the House of Commons, Daily Session 2017-07-18	2017-07-18	Lower house	57	-	2017-07-18	2017-07-18	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	ElizabethTruss	Truss, Elizabeth Mary	F	-	
ParlaMint-GB-en_2017-07-18-commons	ParlaMint-GB_2017-07-18-commons.u10	Minutes of the House of Commons, Daily Session 2017-07-18	2017-07-18	Lower house	57	-	2017-07-18	2017-07-18	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	BrettElphicke	Elphicke, Brett Charles Anthony	M	-	
ParlaMint-GB-en_2017-07-18-commons	ParlaMint-GB_2017-07-18-commons.u11	Minutes of the House of Commons, Daily Session 2017-07-18	2017-07-18	Lower house	57	-	2017-07-18	2017-07-18	-	Reference	English	Regular	MP	notMinister	CON	Conservative	-	Centre-right	ElizabethTruss	Truss, Elizabeth Mary	F	-	
