ParlaMint-NO_2004-02-10.ana.ud2319e45	The representative Knut Storberget, who has been on leave, has once again taken his seat.
ParlaMint-NO_2004-02-10.ana.ud2319e53	The President will propose the election of a President-in-Office of the Stortinge meeting this week – and consider it adopted. The President is asking for proposals from the President-in-Office.
ParlaMint-NO_2004-02-10.ana.ud2319e56	I suggest Kjell Engebretsen.
ParlaMint-NO_2004-02-10.ana.ud2319e61	The Kjell Engretsen has been proposed as President. – Other proposals are not available, and Kjell Engebretsen is unanimously elected president of Stortinget’s meetings this week.
ParlaMint-NO_2004-02-10.ana.ud2319e75	At the request of the Municipal Committee, the President will propose that the debate be limited to 1 hour and 40 minutes and that speaking time be allocated to the groups as follows: Working Party 25 minutes, Right 20 minutes, Advance Party and Socialist Left Party 15 minutes, Christian People's Party 10 minutes, Center Party and Coastal Party 5 minutes each. Furthermore, the President will propose that there be a replication of up to three lines with replies after the speeches of the main speakers of each party group and five lines with replies after the contributions of members of the Government within the allocated speaking time. Furthermore, it will be suggested that those on the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2004-02-10.ana.ud2319e86	The major cities and district centres are important engines for the development of Norwegian business. Similarly, the largest cities will be able to provide more specialised services than other regional centres. At the same time, we find some of the biggest welfare challenges in the largest cities. Concentration of people with living conditions in the inner parts of Oslo East is in a special position. It's in the big cities we find the biggest challenges of immigration. The more eye-catching it is that the government is providing a big message about the big cities without proposing measures to meet the challenges. Once again, we see a message from this government with good analysis, but without the will and the ability to take political action. The Labour Party believes that there is a need for an action plan to meet the challenges in major cities. The involvement of the State in relation to the major cities must be strengthened as part of the overall regional policy. The Labour Party will have a less expensive housing policy — by actively using the House Bank to increase new construction, by introducing a fixed state grant for cheap youth rental housing and by increasing housing support for families with children. It is therefore disappointing that the Government will reverse the important role of the House Bank and that the Government will step down support for the construction of such rental properties. The Labour Party will improve the integration of immigrants by stressing that mastering language is the key to inclusion and participation. This is why the Workers' Party has been a driver for the establishment of a mandatory introduction programme for newly arrived refugees and asylum seekers. Therefore, we believe that there should also be training provision for immigrants who live in the country and who lack Norwegian knowledge. Better language training for mothers, extended childcare facilities and the Workers' Party's proposal for full-day school provision are important measures to strengthen language skills. Similarly, the Workers' Party wants the Action Plan to facilitate active and innovative cultural life, facilitate access through increased government funding for investment and the operation of public transport, create exciting jobs by supporting regional advantages existing in individual metropolitan areas, and increase security, inter alia. through enhanced efforts in the field of anti-drugs and child protection. In short, the working party here, as in other areas, wants the state to help solve the challenges. The metropolitan region is special – also in relation to the other major cities. In this region, there are over 1.2 million inhabitants. inhabitants, it covers about 50 municipalities and ranges over four counties. There are obvious management problems here. These challenges hardly describe the government with a line in the big city message. However, the Labour Party considers these to be fundamental challenges and has therefore taken the initiative of a specific review of the governance challenges in the Capital Region. I am therefore pleased that a unanimous enlargement has gradually joined the demand for a separate capital message. Due to its role and development, the metropolis will be a natural centre of development in the region. At the same time, all parties in the Stortinget, with the exception of the Advance Party, have determined that it is the county municipalities that are to coordinate and direct regional development work. In order to enable county councils to fulfil this role in the best possible way, it is essential that the metropolitan municipalities are key participants in the regional partnership. In order for each metropolitan region to be a driving force, it must have a strategy for its own role and development. They must grasp their advantage and create a development based on them, and they must have a conscious view of their own identity – how they appear and how they will appear. The big city cannot be seen isolated from the surrounding area. Therefore, strategies for development and identity must have the greatest impact by moving in the same direction. Therefore, it is important that the metropolitan municipality, the surrounding municipalities, the county and the districts be able to achieve the greatest possible consensus on their different roles and on the coordination of development in the region. In order for the metropolitan region to contribute to development, it is necessary, in the view of the Labour Party, to significantly strengthen the economy of the municipal sector. This is important for the municipal sector in general and not least for the larger cities. In the Communication, the Government states that a relative improvement in the situation of big cities requires reduced regional policy transfers. The Labour Party does not agree. An active metropolitan policy and an active district policy are not at odds with each other, as the Government seems to give the impression, but is contrary to mutual benefit. For this reason, the overall regional policy must contain both a targeted urban policy and a targeted rural policy. I refer to the suggestions in the setting that the Workers' Party is behind.
ParlaMint-NO_2004-02-10.ana.ud2319e116	The representative Schjøtt-Pedersen has taken up the suggestions he himself referred to. See next column for further correction It's going to be line change.
ParlaMint-NO_2004-02-10.ana.ud2319e123	I find the great difference between the Workers' Party's promises and the follow-up to its own housing policy as an essential part of this big city announcement striking. In Document No: 8:141 for 2001–2002 the party promoted a number of measures that were supposed to strengthen housing policy. In its alternative notes and alternative state budget, the Workers' Party is not even close to fulfilling its own promises from Document No. The 8th proposal. Only for 2003 and 2004 do they lack more than 500 million. kr. This policy of over-the-counter does nothing but weaken our confidence in politicians. In addition, the lot adds to an unsurpassed detailed management of the major cities in all six areas, with a lot of bombing points under which you want to control the metropolitan regions in detail. Where is the trust in local democracy?
ParlaMint-NO_2004-02-10.ana.ud2319e132	Before the representative Schjøtt-Pedersen gets a reply to that reply: the President understood it so that the representative made some proposals, but cannot find any proposals from the Workers' Party.
ParlaMint-NO_2004-02-10.ana.ud2319e135	That's right. They appear to be the position of the committee – the more pleasant it is if the majority of the Storting will also join. I note that in the course of the big cities, the local politicians of the Right have also pointed out the lack of analysis and lack of action to meet the challenges we are facing. Yes, it is true that the Labour Party wants political action to meet these challenges, including in the field of housing policy. We have put forward proposals in the UK on a more offensive housing policy to make it easier for young people and economically disadvantaged to get a good place to live. We have followed this up in the Grand Duchy, partly through proposals for measures to be stepped up over several years, but also through the proposal in the 2003 budget to increase the lending framework in the House Bank by DKK 2 billion, to increase housing support for families with children, to introduce monthly housing support payments and to increase the allocation of housing allowances. In the 2004 budget, we proposed to strengthen the Loan Framework in the House Bank by DKK 2.5 billion in relation to the Government's plans, and we proposed to increase the ceiling in order to receive housing support. The Labour Party is following up its proposals to strengthen housing policy. But it is disappointing that the government made a big message on Friday that implies a weakening of housing policy.
ParlaMint-NO_2004-02-10.ana.ud2319e146	I agree with the case rapporteur in one thing, and that is that the message we are processing bears the mark of being a message and nothing else. But I have to be allowed to say that I think the representative Schjøtt-Pedersen is going very high in relation to the Workers' Party, both in terms of what is stated in the comments, and in terms of the proposal for an action plan implicit in the Workers' Party's comments. I would like to ask: what is new with regard to the future urban policy, in the points that the Labour Party has drawn up here? Is it not true that the Labour Party has actually prioritised this for many years and has not succeeded in achieving a real and good urban policy? Where is the creativity of the Workers' Party in meeting the challenges for the big cities?
