ParlaMint-NO_2004-04-02.ana.ud1842e51	The representative of Ingvild Vaggen Malvik will make a private proposal.
ParlaMint-NO_2004-04-02.ana.ud1842e54	On behalf of the representatives of Inger S. Enger, Hallgeir H. Langeland and myself, I would like to make proposals to improve security of supply through more socio-economic optimum dry-year insurance by changing the structure of the consumer market for electricity and the disposal of multi-yearly magazines.
ParlaMint-NO_2004-04-02.ana.ud1842e59	The proposal will be dealt with in a regulatory manner. Before the matters on the current map are dealt with, the President will propose that the morning meeting – if necessary – continue beyond the scheduled time of 9 p.m. 15 until today's map has been processed. No objection has been raised against the President’s proposal – and it is deemed to have been adopted.
ParlaMint-NO_2004-04-02.ana.ud1842e77	The purpose of this study, carried out by the National Audit Office, is to assess the extent to which Kripos acts as an assistance body for the police and civil service. This is an important study, because Kripos’ primary task is to assist individual police districts in tasks they themselves do not have the capacity or competence to perform. This will in many respects be the major and serious criminal cases, which it is very important to investigate and deal with as best as possible, so that matters are quickly and effectively resolved and the culprits are held accountable for their actions. In this way, Kripos is one of the police's most important tools to combat crime of a different nature. An overall committee would therefore stress the importance of prioritising the issues raised by the Riksrevision in this report, in order to maximise the functioning of Kripos in relation to the various police districts. As the committee sees it, the most serious issue is the Riksrevision takes up, the fact that Kripos has used a different procedural tool than the police and officers' seat otherwise used. This has meant that it is very difficult — in some cases not possible — to compare data from Kripos with data from the police and civil servant seats. This has turned out to be multiple rashes. Among other things, a discrepancy can be seen in relation to the achievement of the target in drugs cases in 2001, where Kripos reported a target achievement of 98 p.p., while the Riksrevision study shows that the real target achievement was only 22 p.p. As the committee sees it, this is a serious matter. It is also particularly serious when, in commenting on this specific situation, the Department reports that the Directorate of Police has not been aware of the way in which Kripos calculates the duration of proceedings. The Committee is of the opinion that it is surprising and worrying that the department and the directorate are not aware of such a situation, as it may in some cases have given the impression that the situation has been better than it has actually been. The Committee therefore welcomes the fact that this situation is taken seriously and that it is assumed that it will be addressed. With regard to governance and reporting procedures in general, the Committee of the Regions feels that it is essential that they are good, in order to ensure the best use of resources. The report shows that this is a significant potential for improvement, which should be given priority in the Committee's view. This report also shows that Kripos provides more assistance in its neighbourhood than in other areas. The Committee is of the opinion that it is important that all police districts of the country can avail themselves of the competences and capabilities of Kripos, and therefore agrees with the National Audit Office’s assessment, that registration of assistance allocated to police districts could lead to increased awareness of the allocation of resources, so that all units receive the assistance they need. The Committee is also committed to the role of Kripos as a contributor to international cooperation in the fight against organised crime. It is important that Kripos be aware of its responsibilities in such contexts and actively use the opportunities provided by the Schengen Information System. At the same time, of course, privacy must be safeguarded by registration in such registers. In the case of Kripos as a transfer of competence to other units within the Police and National Police Departments, the Committee would stress the importance of this. It is obvious that when Kripos provides local assistance, it is important to be as conscious as possible of the fact that the police stations and the officers' offices they assist can be provided with important competences that can be useful in future cases. In conclusion, I would like to point out that the Committee is also very pleased that all actors interviewed in the study are largely very satisfied with the quality of Kripos’ treatment, although some entities are of the opinion that they could carry out the tasks themselves with satisfactory results. As I see it, this suggests that Kripos' skills are high, and you should be satisfied with that.
ParlaMint-NO_2004-04-02.ana.ud1842e98	Several have not asked for the floor on case No. 1st@item: inlistbox [[Fooding, see page 2456]]
ParlaMint-NO_2004-04-02.ana.ud1842e114	No one has asked for the floor. [[Fooding, see page 2456]]
ParlaMint-NO_2004-04-02.ana.ud1842e130	At the request of the Church, Education and Research Committee, the President will propose that speaking time be limited to 10 minutes to the Right, 10 minutes to the Advance Party, 5 minutes to each of the other groups and 5 minutes to the Representative Jan Simonsen. Furthermore, the President will propose that there be a replication of up to three lines with replies after the speeches of the main speakers from each group and up to five lines with replies after contributions from members of the Government within the allocated speaking time. In addition, the President will propose that those who sign up to the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – This is deemed to be adopted. The rapporteur, Arne Sortevik, has been appointed, and Ursula Evje is the deputy rapporteur on the matter.
ParlaMint-NO_2004-04-02.ana.ud1842e141	The representative Arne Sortevik, who is the case rapporteur for the renewal of the Loan Fund, unfortunately has a disease in his immediate family and is therefore prevented from being here today. On his behalf, I thank the Committee for its good and constructive work on this matter. First, I would like to explain the Committee's views and then the Committee's own views. There is broad consensus in the Committee on the need to modernise the Loan Fund in order to maximise the number of users and the service they require. However, there is a disparate view of the instruments that should be used to achieve this objective, and there is also some disagreement about the extent of intervention in relation to today’s organisation. Three models are provided in the message. These are the ‘Sørge-for-Lånekasse’, where the management is largely entrusted to the ordinary banking system, the ‘Total Loan Fund’, where the modernisation is carried out through a new ICT system, changed work processes and reorganisation, and the third option is the ‘Core Loan Fund’, where support functions and some user-oriented functions are left to other actors, state or private. It is an overall view that the «Core Loan Fund» – which is also the department’s choice – is preferred. This model shall be terminated by all the hearing bodies. The students who end up using this model. The Progress Party primarily wants a different model, but subsidiaryly joins the proposal based on the Core Loan Box model, as this model appears to be an improvement in relation to today’s system and in relation to the ‘Total Loan Box’. There is full support in the Committee on the boundaries chosen by the Ministry for Notification. There is also widespread dissension about continuing the form of connectivity, governance, complaints and localisation. In terms of division of tasks, there are differences in political view. An overall committee is in favour of enhanced cooperation between the Loan Fund and the Central Bank of the State, while the Workers' Party, the Socialist Left Party and the Central Party clearly express reservations regarding the transfer of tasks from the Loan Fund to the Central Bank of the State. This applies to tasks that are perceived as core tasks for the Loan Fund. The reason seems to be that the central government collection centre is another state body with a different regulatory framework. A comprehensive committee stresses in various ways that modernisation work should not lead to the loss of rights and social arrangements contained in the current Education Aid Act and its related regulations. Similarly, the Committee points out that the rules governing the activities of the Loan Fund are significant and that there is a need for regulatory simplification in order to ensure faster and cheaper processing and more automation. Greater automation means less manual processing and is therefore resource-saving. There is full agreement in the Committee that the Loan Fund must have an ICT system that ensures such modernisation. The total investment will amount to approx. 250 million. financed by own resources from several State budgets, own-funding from the Loan Fund's own budget and efficiency improvements to be made through the modernisation process. In a slightly different way, the members of the Committee indicate that the calculation needs to be clarified by better specification and that the project needs to be managed rigorously in order to avoid exceedances. The Committee has taken note of the media’s information that ICT projects in the public sector are very often cost significant and are often significantly delayed in relation to the original timetable. The Progress Party has long been committed to modernising and reorganising the Loan Fund, based, inter alia, on: three conditions: 1st@item: inlistbox User needs for service and availability.2. Government strategy for modernisation, efficiency and simplification in the public sector. Among other things, reference is made to the presentation by the State Council of 24 January 2002, from then Norman under the title ‘From Word to Action’.3. There are two investigations behind the notification: the suspension of the Solberg Committee, issued on 18 December 2001, and the report of the project group set up by the Ministry of Education and Research, issued in June 2003 on Modernisation Strategies for the Management of Study Support. In terms of content and publicity, this – a matter of politically exciting modernisation ideas in line with one’s own strategy – is not very close to what could have been expected. For this reason, the Progress Party is promoting a proposal for an alternative instrument in the modernisation process more in line with the modernisation programme, which is a programme with a good foundation in the Progress Party. It's sloppy, we don't think we can get the best solution right away, but that we're once again on a "way becomes as we go" solution. The Progress Party will therefore support the second best solution subsidiaryly. The Progress Party also has its primary view of connectivity. We want to transform into a management company, as a minority of hearing bodies do. The Progress Party wishes to see the system of its own Board wound up, and refers to opinions that have come to the effect that the Board of Directors does not have tasks and also does not act as a responsible Board of Directors. The Progress Party wishes to see the Regional Offices closed in line with the findings of the investigation that a solution with such offices does not provide an effective solution for the Loan Fund. In line with this, the Progress Party also considers that other key figures related to the activities of the Loan Fund indicate that efficiency can be significantly improved. The Progress Party wants better user information, well in line with the Government's modernisation strategy, but unfortunately it is all alone in this view. Neither the message nor previous investigations provide information on user vision. Finally, the Progress Party is pleased to see the start of a modernisation. Much of the modernisation is linked to the renewal of the ICT system. It is important that such a comprehensive project is well managed financially, and that a new solution does not become so special and with so much systemically ‘step-by-step’ that the system is soon to expire on date and again needs to be replaced. I would like to take up with this the proposal that the Progress Party is promoting in the vote.
ParlaMint-NO_2004-04-02.ana.ud1842e193	The representative of Ursula Evje has taken up the suggestions she referred to. No one has asked for the word in reply.
ParlaMint-NO_2004-04-02.ana.ud1842e198	It is essentially an overall position we have ahead of us today, with the exception of the Advance Party, i.e. I am really very uncertain about where the Progress Party is, because they are almost everywhere in the setting. However, on one day as this one, I will bring some verbal purses to the government parties, who have helped tighten up and provide clearer premises and guidelines for the further modernisation work of the Loan Fund, and ensure that the Storting can also enter where necessary. After all, there are hundreds of thousands of borrowers and hundreds of employees. Safety of driving rules in further work is important. I am pleased that the entire committee underlines the importance of the State's loan fund in our educational community. It shall continue to be a State responsibility, as a government administrative body under the Ministry of Education. There is a need to modernise and improve the services of users. First of all, it materialises through the introduction of a new ICT system. There is significant uncertainty in the estimates of costs contained in this Communication. We hope that it can be clarified until the 2005 draft budget, and we also stress that there is a particular look at this with conversion costs and any funding for it. We have also stressed that a safe re-use of what has already been invested by significant funds over the last years of the Loan Fund Information System and that the changes do not go beyond daily operations. In relation to the possible purchase or outsourcing of the operation, maintenance and development of the ICT system, we are particularly concerned that a secure Loan Fund plays a central role in further development. When it comes to discussing models, we might think it's going to be a little bit theoretical all the time the loan box today also uses more than 25 pst. of their means of operation for the purchase of services from external actors. Nor, in the case of the Core Loan Fund, is the Government's proposal in the Communication rigorously in the sense that, for example: suggests that regulatory management should also switch to other agencies. Of course, it is important that one focuses on the primary tasks of the Loan Fund, which are procedural, financial management and regulatory management. However, it is important to stress, as the Committee as a whole points out, that it must be demonstrated that the further purchase or outsourcing of services will not only provide equivalent but better services to users, and that it will be as efficient as possible for the activities as a whole. The working party together with the Center Party and the Socialist Left Party separates some layers on are a couple of points. One concerns the first line service, where we want development and improvement to take place within the task-solving of the Loan Fund today. We think it seems a bit artificial to have to separate the first-line and second-line services, because the transition from information and simple advice to any more detailed advice on the regulation should be able to improve with the competence of the loan fund today. There is a cooperation today between the Loan Fund and the Central Bank of the State, and it wants to develop further. Our opinion is that the «Core Loan Fund» or the primary tasks should continue to be concentrated in the Loan Fund, even if cooperation is extended. In any case, there are clear leads here compared to that of documenting improvements where a desired change. The capital will have submitted the question of further development in relation to the central government collection centre. If there are to be changes in the content of social schemes and in the rights under the Education Aid Act today, we will have to present the Stortinget, and even if new job solutions mean further downsizing in addition to the downsizing that is taking place in relation to the introduction of a new ICT system. With regard to the whole process of conversion, it is my advice to the Council of State that one here ensures necessary, good and close cooperation with the employees and employees' organisations in the ongoing work, and not only with regard to the formal rights attached to the law. I think it's a lot of resources to make improvements by creating security and predictability. I conclude with the main objective: we want to help us provide better services for the users from the Loan Fund.
ParlaMint-NO_2004-04-02.ana.ud1842e219	It's going to be line change.
