Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2004-06-03-lower	ParlaMint-NO_2004-06-03-lower.ana.ud17e49	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-06-03	2004-06-03	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-06-03	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.ASAE	Elvik, Åsa	F	1979	
ParlaMint-NO-en_2004-06-03-lower	ParlaMint-NO_2004-06-03-lower.ana.ud17e65	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-06-03	2004-06-03	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-06-03	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.ASAE	Elvik, Åsa	F	1979	
ParlaMint-NO-en_2004-06-03-lower	ParlaMint-NO_2004-06-03-lower.ana.ud17e81	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-06-03	2004-06-03	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-06-03	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.ASAE	Elvik, Åsa	F	1979	
ParlaMint-NO-en_2004-06-03-lower	ParlaMint-NO_2004-06-03-lower.ana.ud17e90	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-06-03	2004-06-03	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-06-03	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.HTN	Nesvik, Harald T.	M	1966	
ParlaMint-NO-en_2004-06-03-lower	ParlaMint-NO_2004-06-03-lower.ana.ud17e110	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-06-03	2004-06-03	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-06-03	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.AR	Rafiq, Afshan	F	1975	
ParlaMint-NO-en_2004-06-03-lower	ParlaMint-NO_2004-06-03-lower.ana.ud17e130	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-06-03	2004-06-03	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-06-03	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.ADV	Duesund, Åse Gunhild Woie	F	1944	
ParlaMint-NO-en_2004-06-03-lower	ParlaMint-NO_2004-06-03-lower.ana.ud17e161	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-06-03	2004-06-03	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-06-03	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.ODG	Gløtvold, Ola D.	M	1949	
ParlaMint-NO-en_2004-06-03-lower	ParlaMint-NO_2004-06-03-lower.ana.ud17e170	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-06-03	2004-06-03	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-06-03	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.ASAE	Elvik, Åsa	F	1979	
ParlaMint-NO-en_2004-06-03-lower	ParlaMint-NO_2004-06-03-lower.ana.ud17e173	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-06-03	2004-06-03	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-06-03	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.HTN	Nesvik, Harald T.	M	1966	
ParlaMint-NO-en_2004-06-03-lower	ParlaMint-NO_2004-06-03-lower.ana.ud17e178	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-06-03	2004-06-03	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-06-03	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.ASAE	Elvik, Åsa	F	1979	
ParlaMint-NO-en_2004-06-03-lower	ParlaMint-NO_2004-06-03-lower.ana.ud17e191	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-06-03	2004-06-03	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-06-03	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.GEHN	Hansen, Geir-Ketil	M	1956	
ParlaMint-NO-en_2004-06-03-lower	ParlaMint-NO_2004-06-03-lower.ana.ud17e307	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-06-03	2004-06-03	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-06-03	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.GEHN	Hansen, Geir-Ketil	M	1956	
ParlaMint-NO-en_2004-06-03-lower	ParlaMint-NO_2004-06-03-lower.ana.ud17e317	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-06-03	2004-06-03	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-06-03	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.GEHN	Hansen, Geir-Ketil	M	1956	
ParlaMint-NO-en_2004-06-03-lower	ParlaMint-NO_2004-06-03-lower.ana.ud17e362	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-06-03	2004-06-03	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-06-03	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.GEHN	Hansen, Geir-Ketil	M	1956	
