ParlaMint-NO_2004-04-28.ana.ud2420e28	The representative of Åsa Elvik will make a private proposal.
ParlaMint-NO_2004-04-28.ana.ud2420e34	On behalf of the representative, Mr Ryan and myself, I would like to make a proposal to establish a value creation programme for the fishing industry.
ParlaMint-NO_2004-04-28.ana.ud2420e39	The representative of Kenneth Svendsen will make a private proposal.
ParlaMint-NO_2004-04-28.ana.ud2420e42	On behalf of Henrik Rød, Øystein Hedstrøm, Arne Sortevik, Thore A. Nistad and myself, I propose to ask the Government to promote changes in the Road Traffic Act, so that there will be a ban on transporting schoolchildren and young people standing by school bus.
ParlaMint-NO_2004-04-28.ana.ud2420e47	The representative, Karin S. Woldseth, will make a private proposal.
ParlaMint-NO_2004-04-28.ana.ud2420e50	On behalf of Ulf Erik Knudsen and myself, I would like to propose a temporary suspension of the implementation of the monopoly on the operation of vending machines, in order to secure the revenues of the voluntary organisations until the ESA has concluded the case.
ParlaMint-NO_2004-04-28.ana.ud2420e55	The representative of Øyvind Korsberg will make a private proposal.
ParlaMint-NO_2004-04-28.ana.ud2420e59	On behalf of the representative Øyvind Vaksdal and myself, I propose to make an overall plan for the possible construction of wind turbines in Norway.
ParlaMint-NO_2004-04-28.ana.ud2420e64	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2004-04-28.ana.ud2420e87	On Monday the Stortingen received notice from the Prime Minister's office that the following members of the Government would meet for oral Question Time: State Council Per-Kristian Foss State Council Einar Steensnæs State Council Svein Ludvigsen The advertised members of the government are present, and we are ready to start the oral question procedure. The representatives who, in addition to the pre-announced representatives, wish to ask themselves the main questions asked. – We then start with the first main questions, from the representative Jens Stoltenberg.
ParlaMint-NO_2004-04-28.ana.ud2420e106	I have a question for the Minister of Finance. The government has presented a proposal for tax reform. It is a proposal that is double unsocial. It's unsocial because there's less money for pensions, for care for the elderly, for school and for other important tasks we should fund together over the years that come, and it's unsocial because the most prosperous get the most tax relief. The ministry's own figures show that the 10 pst. The richest gets 27 times more in the relief of the tax than the 10 pst. at least. It's unsocial. The Labour Party believes that money for good retirement, safe care for the elderly and good school is more important than a lower tax for those who already have the most. I was surprised at how unsocial the proposal was, until I read an interview with the State Secretary of the Ministry of Finance, who said that the profile is good, and that the Workers' Party is too preoccupied with social distribution in terms of taxes. My question is: does the Minister of Finance agree with the Secretary of State that the Workers' Party is too preoccupied with social distribution?
ParlaMint-NO_2004-04-28.ana.ud2420e117	Yeah, and in the crazy places. Tax reform that contributes to growth provides opportunities for better distribution policies and for a stronger focus on important welfare systems. I'm surprised by the Workers' Party's reaction to the tax reform, considering two things. One is that the Labour Party in Stortinget has come to terms with the need for tax reform, i.e. a recognition that today's tax system is not sufficient and not fair. Nevertheless, one is now the most important defender of today's tax system. The second is a violent response to a cautious reduction in the marginal tax rate below 50 p.p., which was where the marginal tax rate was as a result of the 1992 tax reform, where the Workers' Party was a driver. I do not recognise the working party of the 1990s in the responses to the tax reform we have presented, among other things. as a result of a proposal by the Workers' Party itself, which dates back to the 1990s.
ParlaMint-NO_2004-04-28.ana.ud2420e126	We had a much more social setup in the 1990s. We're going to vote in favour of a change in the tax system, but for a social change, not for social tax relief, as the government is now adding. Otherwise, it is typical the Right always to be for what the Workers' Party was ten years ago, but never be for what the Workers' Party is for now. One of the most unsocial aspects of the proposal is the opening of a tax, a tax, on the movement of apartments in housing laws. My question is, can the Government now rule out the imposition of a document fee on the disposal of apartments in housing laws? The fact that there is now uncertainty about what the government thinks about it, I believe is unfortunate. The government should make it clear that it is not possible to impose a document fee on the placing on the market of apartments in housing laws. Can the Minister for Finance answer yes or no?
ParlaMint-NO_2004-04-28.ana.ud2420e133	The government's proposal is for treatment in Stortinget, and from our side we say that a number of questions are unanswered when it comes to funding the reform. We want to study part of the deduction arrangements more closely, including: because some of them have unfortunate social arrangements, i.e. that they are used more by people with higher incomes than by people with lower and medium incomes. This is why it is important for the funding of the reform. So I don't want to start shooting at what answers we're going to give to different parts of the implementation of the tax reform in individual budgets in the future.
ParlaMint-NO_2004-04-28.ana.ud2420e138	The President will allow three follow-up questions – first Hill-Marta Solberg.
ParlaMint-NO_2004-04-28.ana.ud2420e141	It is quite alarming that the Minister of Finance and the Government are able to be very clear that they are promising a reform that will give $12 billion in tax bills, while they are not at all ready to tell who is going to join and pay that bill. It has now been confirmed by the Minister of Finance. I do not think it is an acceptable answer the Minister of Finance has given in this round. Does this mean that there is also a great deal of uncertainty about which tax reliefs the government is now actually promising, if it is such that you do not dare to talk out loud about who is going to be with and pay the bill, among other things. by removing important deductions?
ParlaMint-NO_2004-04-28.ana.ud2420e148	I'm also surprised, because the Workers' Party has, knowingly, been behind an assessment of all the deductions, whether they work socially and on the assumption. Prominent representatives of the Workers' Party sat in the Skauge Committee and have agreed to an assessment of all the deduction arrangements, with ex-post jubilant opinions as well. I am surprised that the Workers' Party is now protecting a tax system for which they have asked for reform. I'm still left as a big question mark in relation to what the Workers' Party will do when they have now said that the sharing model is unsocial, but still argues as if you want to maintain the sharing model in today's system.
ParlaMint-NO_2004-04-28.ana.ud2420e156	Øystein Djupedal – for follow-up questions.
ParlaMint-NO_2004-04-28.ana.ud2420e159	It's a little strange about this reform called tax reform, but it's not really a tax reform. It is a comprehensive tax package for those who have the most in Norwegian society. You only show one side of the medal. So you don't show where to cut down, you show where to give out. Of these 12 billion to be spent in tax relief, the total is 8.5 on top taxes. That means that eight out of ten women don't get to enjoy this at all. It is mainly men my age and Per-Kristian Foss who will benefit from this tax relief. If you really think what I noticed is that the State Secretary of the Ministry of Finance said, that SV and the Workers' Party are too preoccupied with distribution, the question is, what are we going to do with the tax system if we're not going to use it to redistribute wealth for the benefit of most of us? Isn't one of the main aims of the tax system actually to finance the common good in society for all of us, not just to finance the welfare state? So the 12 billion that the government will give in tax relief is going to hit them in the Norwegian society that has the most initially. Does Per-Kristian Foss really think that distribution is not an important issue in tax?
ParlaMint-NO_2004-04-28.ana.ud2420e168	Yes, the Government believes so, and I mean it. The most important thing to do in the allocation of this reform is, in fact, to correct the bias between those who have only employee income and those who have the opportunity to distribute their income so that most are taken out as capital income, at a significantly lower tax rate, for private consumption. It will come to an end after this model. I have registered that, sir. Djupedal is also a strong supporter of what is called the shareholder model, and at the same time he will not lower the tax rates on employee income so that they come in line with dividends taken out for private consumption. Then you can't remove the split model. There is still a problem that SV has not given an answer to.
ParlaMint-NO_2004-04-28.ana.ud2420e175	Morten Lund – for follow-up questions.
