Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2004-10-28-lower	ParlaMint-NO_2004-10-28-lower.ana.ud2201e40	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-10-28	2004-10-28	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-10-28	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.GEHN	Hansen, Geir-Ketil	M	1956	
ParlaMint-NO-en_2004-10-28-lower	ParlaMint-NO_2004-10-28-lower.ana.ud2201e47	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-10-28	2004-10-28	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-10-28	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.HLA	Larssen, Heidi	F	1951	
ParlaMint-NO-en_2004-10-28-lower	ParlaMint-NO_2004-10-28-lower.ana.ud2201e80	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-10-28	2004-10-28	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-10-28	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.RF	Frøiland, Ranveig	F	1945	
ParlaMint-NO-en_2004-10-28-lower	ParlaMint-NO_2004-10-28-lower.ana.ud2201e103	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-10-28	2004-10-28	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-10-28	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.GJH	Hagesæter, Gjermund	M	1960	
ParlaMint-NO-en_2004-10-28-lower	ParlaMint-NO_2004-10-28-lower.ana.ud2201e124	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-10-28	2004-10-28	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-10-28	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.GEHN	Hansen, Geir-Ketil	M	1956	
ParlaMint-NO-en_2004-10-28-lower	ParlaMint-NO_2004-10-28-lower.ana.ud2201e127	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-10-28	2004-10-28	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-10-28	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.HGR	Røys, Heidi Grande	F	1967	
ParlaMint-NO-en_2004-10-28-lower	ParlaMint-NO_2004-10-28-lower.ana.ud2201e144	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-10-28	2004-10-28	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-10-28	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.INGS	Sørfonn, Ingebrigt S.	M	1950	
ParlaMint-NO-en_2004-10-28-lower	ParlaMint-NO_2004-10-28-lower.ana.ud2201e159	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-10-28	2004-10-28	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-10-28	-	Reference	English	Regular	MP	Minister	H	Høyre	Coalition	Centre-right	person.PKF	Foss, Per-Kristian	M	1950	
ParlaMint-NO-en_2004-10-28-lower	ParlaMint-NO_2004-10-28-lower.ana.ud2201e170	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-10-28	2004-10-28	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-10-28	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.GEHN	Hansen, Geir-Ketil	M	1956	
ParlaMint-NO-en_2004-10-28-lower	ParlaMint-NO_2004-10-28-lower.ana.ud2201e173	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-10-28	2004-10-28	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-10-28	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.HLA	Larssen, Heidi	F	1951	
ParlaMint-NO-en_2004-10-28-lower	ParlaMint-NO_2004-10-28-lower.ana.ud2201e183	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-10-28	2004-10-28	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-10-28	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.GEHN	Hansen, Geir-Ketil	M	1956	
