ParlaMint-NO_2004-03-04.ana.ud1567e45	The representative of Ågot Valle, who has been licensed, has once again taken his seat.
ParlaMint-NO_2004-03-04.ana.ud1567e54	The President will propose the election of two presidents for the Storting meeting today – and consider it adopted. The President is asking for proposals from the President-in-Office.
ParlaMint-NO_2004-03-04.ana.ud1567e59	I suggest Finn Martin Vallersnes and Øyvind Halleraker.
ParlaMint-NO_2004-03-04.ana.ud1567e64	Finn Martin Vallersnes and Øyvind Halleraker are proposed as presidents. – Other proposals are not available, and Finn Martin Vallersnes and Øyvind Halleraker are unanimously elected as presidents of the Stortinget meeting today.
ParlaMint-NO_2004-03-04.ana.ud1567e82	The interpellation of quarantine and clear driving rules when transitioning from the position in the Defence to the defence providers is not a new date. In order to draw up clear boundaries in the relationship between the civil service and private social interests, the Stoltenberg government presented St.meld. No 11 for 2000–2001, which was dealt with in the United Kingdom on 5 April 2001. Unfortunately, this has not been followed up by the current government. In a living democracy, institutions and bureaucracy are the main tools for policy-making. The institutional guidelines in the relationship between politicians and bureaucrats are therefore also important. Since the introduction of parliamentaryism 120 years ago, the senior management of the office has taken its legitimacy from the Stortinget. A State Council of State must be able to rely on the knowledge and expertise given to the political leadership of the department to be based on objectivity, stability and integrity. Because the Norwegian administration has only a small element of political staff, this becomes very important. It becomes important because bureaucracy does not leave the ministry with political leadership, as it does in some other countries. Now Norway has generally seen a loyal and capable office, which is also one of the most important pillars of the legal state. The measures in the St.meld setting. No 11, was meant to prevent an unfortunate development, which could be understood by the contours. It was therefore gratifying to record at the time that Storting’s treatment showed broad political agreement on these issues. It is not the case that exchanges of personnel between the public and private sectors have only negative aspects. A transition between the public and private sectors may be problematic. Such transfers of personnel may, in turn, weaken the confidence of the public and must have, to the public authorities managing the interests of the State on behalf of the people. One such problem area is the availability of sensitive information. Knowledge acquired by a public official in his or her work situation may, for example: distort the level of information between potential suppliers. The Committee dealing with the case in 2001 considered quarantine as an appropriate instrument and therefore asked the Ministry of Labour and Administration to put in place a three- to six-month standstill system. The current State Council, Jørgen Kosmo, also stressed the broad support for the principles set out in the decision. He also stressed that if we were to maintain trust in the Norwegian government, it was important to remove what could be of uncertainty. Traditionally, Norway has had few problems with transitions from employment in the state agency to private business. The problem arises if a person who changes jobs has access to information that damages central government or that contributes to the influence of major purchases or choice of product. When Stortinget debated St.meld on 5 April 2001. No 11, it was underlined that so far there has been little labour penetration in the civil service. But this trend was thought to be turning around, and it was pointed out that it is correct and important to get a clear borderup. A relationship between public bureaucracy and commercial interests may lead to a wrong place. Defence and the Ministry of Defence are particularly vulnerable if private interests are given access to sensitive or strategically important information. For example, a development process for a product that the Defence needs, or a planning phase for strategic choice of defence investment, will need to be graduated or excluded from the public. If a person engaged in such a project ends and is headhunted into one of the groups that have financial interests in obtaining production or delivery, that enterprise would have shot the golden bird in relation to its competitors – simply by sitting on strategic information and knowing what buttons to press. When the defence committee last year dealt with organisational changes in the FLO's logistical organization, I was called up by a person who presented himself with a military degree, who said that he had recently worked in the FLO's data section and had useful information and good arguments for a different ICT structure than the Government had provided. He then came to visit – my party was as far as I know, not the only thing that was visited – and during the meeting I understood that he was actually representing a larger business in the defence industry. It was hard to get it out of him, but it turned out eventually. The management of this enterprise feared that the reorganisation of the ICT department could have negative consequences for them as providers of data equipment to the FLO. From the press, we're familiar with the story of an officer who went practically directly from project work with the Defense Helicopters to one of the multinational groups competing for future rescue helicopters. There are many applications from professional lobbyists who want to market specific pre-war supplies or special products and product ideas to members of the Committee, and of course that should be the case. But a strikingly large proportion of these are officers or former employees of the Ministry of Defence, Defence or the FLO. The defense now has two major investment projects under construction for the Maritime Defense: frigates and missile torpedo boats in the Skjold class. Large Norwegian and foreign yards and industrial establishments are involved. These shall also be equipped with sea missiles and other equipment. It again involves a number of subcontracting companies. Let me underline as much as I can, that an active and up-to-date defence industry is part of our preparedness. Securing Norwegian industrial workplaces in subcontracting or repurchase is part of an active industrial policy. The acquisition of defence equipment is exempt from EU and EEA tendering rules. That's how we still want it to be. We're not just dependent on research, development and competence to be competitive. It also requires that we have the ability to avoid unfortunate ethical and humanitarian speculations in relation to mixing roles. There is already a heated debate on future investment in defence, not least the development processes of individual products. Purchases from a single supplier may be very large. Both Norwegian and foreign enterprises are involved in the same product — this is how it will continue, and it will develop more strongly. If we take the potential flight purchase, which is well ahead of us in time, we are now in development agreements with two multinational groups, where we all want Norwegian industry to be involved. Additional two or three, including: In fact, Swedish stakeholders are starting to become ongoing towards some of us. In addition, the Defence Logistics Organisation has started with the central purchase of civil equipment, ranging from kitchen furniture to medicine, equipment previously purchased from local suppliers. The need for clear driving rules is obvious. Quarantine time for personnel transferring from the Defence to defence providers may be one that ensures continued confidence in the decisions taken. I am aware that the defense has some ethical driving rules for acquisition-related activities. In particular, special attention shall be paid to suppliers who have recently employed personnel who have been in charge of defence for the last two years. The fact that the FLO has now been divided with a separate investment unit can also help, because the competence accumulates in one place. However, the examples I have mentioned, and other events that most of us know, show that today's system is not good enough. I would like to ask the Council of State to consider quarantine provisions. Finally, I would like to refer to what the Council itself said in its reply to Mr Dybevig in Question Time on 22 October last year, about international cooperation, where several countries operate together on the same equipment. In fact, it can also contribute in the long term to enhancing the stability of procurement.
ParlaMint-NO_2004-03-04.ana.ud1567e131	It is quite right, as the representative Marit Nybakk points out, that the defense makes annual investments in equipment and materials for nearly DKK 10 billion, and that there is currently no quarantine period for former employees in the Ministry of Defence or the Defence by changing employers. However, as I expressed in the Stortinget both on 22 October 2003, on questions from the representative of Carsten Dybevig, and later on 16 December 2003, in connection with the treatment of the FLO, former defence officers should exercise great caution in engaging in the investment activities of the Defence. In order to strengthen the focus on this issue and raise the awareness of employees and suppliers, a number of different measures in the Ministry of Defence and Defence are necessary. My ministry has therefore drawn up a plan of measures relating to the question of transfers of personnel from the defence sector to the private sector. The action plan covers the most key issues raised by the representative of Marit Nybakk in the interpellation. Work on the action plan has also assessed the standard rules of the General Organisation of Industry on prohibitions of competition, or standstill obligations, in contracts of employment. The NHO rules are usually not given a duration beyond two years. As long as the prohibition on competition remains, the undertaking shall provide him with compensation proportionate to the scope and duration of the prohibition and the obstacle to his access to other work. A similar system is statutory in Denmark. As I informed in Stortinget's Question Time on 22 October last year, the Ministry of Labour and Administration is in the process of following up on St.meld. No 11 for 2000-2001, on the relationship between the civil service, the political management of departments and other social actors, the follow-up to a communication mentioned by the interpellant in his statement. As part of this work, the Ministry of Labour and Administration is now considering a quarantine code for the State sector. I have been informed that the department intends to complete the provision by the end of the first six months of 2004, i.e. the six months we are in. The Ministry of Labour and Administration is responsible for the Ministry of Trade and Industry for the national policy of employers, with the necessary competence and insight in this area. It is therefore my opinion that the Ministry of Defence should await the legislation of the Ministry of Labour and Administration before introducing a quarantine clause into the defence's employment contracts. However, as part of a plan of measures presented today, I would like to introduce a general ethical provision in all employment contracts in the Ministry of Defence and Defence. This provision will refer to the laws and guidelines in force and it will appear that the worker will pay particular attention to private operators who have been employed in the Ministry of Defence or the Defence during the last two years. The applicable laws in force in this context are, in particular, the Administrative Act, the Public Relations Act, the Civil Service Act and the Security Act. As part of the action plan, the Ministry has also further developed its basic ethical rules on, inter alia, professional secrecy, care, flexibility and loyalty. These basic rules and the general ethical provision of employment contracts will be made known in the Department and the Defence of Job Interviews, in the case of accession agreements, in the case of training for new entrants and in the case of on-the-job interviews and in the case of the final interview, in order to ensure that these provisions and the responsibilities we expect each one to take are constantly addressed. The basic ethical rules will also be made visible through the Ministry's human resources policies and principles for management and the Defence Staff Manual. In order to further ensure that the ethical principles are made known, the rules will be published on the Internet, on the Ministry of Defence’s website on ODIN and on Defence Networks. Furthermore, the rules will be applied to the intranet of the Department and the Defence. Assignments for the implementation of the actions I have now mentioned have already been given to both the Defence Staff and the Defence Building, the Defence Research Institute and the National Safety Authority. The measures have also been initiated internally in the Ministry of Defence, and the deadline for implementation is set at the end of May this spring. In defence, we have also established our own ethical guidelines for acquisition-related activities. These are today set out in what we call BAF – Provisions concerning acquisitions in the Defence. As I mentioned in the Great Britain Question Time on 22 October last year, work is being carried out on the establishment of a new Code of Procurement for Defence – ARF – and here the ethical guidelines will be continued and further elaborated. The draft ARF as it stands now sets out, inter alia: att ‘special care shall be exercised in respect of suppliers who have recently employed personnel who have been in charge of defence during the last two years.’;» The following is also stated in the additional comments on this point: ‘On the part of the defence, special consideration must be given to the procurement process in evaluating and awarding contracts. It may be appropriate to exempt defence personnel from participating in such tasks, where they have been close colleagues with the representative of one or more of the suppliers concerned.’ By taking in these clarifications, I want to gain an additional awareness of staff transitions from the Defense to the Private Business. In order to ensure compliance, the revised ethical guidelines will be implemented earlier than the new procurement legislation, and not later than the end of March, i.e. the current month. In order to focus even more on human resources transitions from defence to private business, the Ministry of Defence will also include a requirement for information to the suppliers of defence acquisitions, in line with the ethical guidelines of the procurement law. Such information to suppliers shall indicate that suppliers themselves shall not involve former defence personnel in the procurement process in such a way that there may be any instability, or that former defence personnel may be placed in a position where they may conflict with the issued taushets statement. The implementation of such information has been submitted to the Ministry of Industry and Trade, which considers that the scheme will be within the scope of the applicable public procurement legislation. With the measures and action plan I have now mentioned, in addition to the work that is expected to be presented by the Ministry of Labour and Administration during the spring, I want to achieve better compliance with the applicable laws and guidelines and to create additional awareness about the issues of staff transfers from the Ministry of Defence and the Defence of Private Business travel.
ParlaMint-NO_2004-03-04.ana.ud1567e177	I would like to thank the Council of State for its response and note that she has now taken some measures and has taken some initiatives. What is remarkable, however, is that neither the Minister of Defence nor the Minister of Labour and Administration has apparently taken any initiative since April 2001, not until this was included in the Questionnaire on 22 October 2003, and it was included in the debate on the Defence Logistics Organisation on 16 December 2003 – despite all the examples we have had in recent years, and despite Innst. S. No 175 for 2000-2001, based on St.meld. No 11 for 2000–2001, which gave clear leadership to the Government. In this setting, it says, among other things: a unanimous committee: ‘The Committee agrees that former officials and officials should not abuse contact networks in the old workplace to provide access to strategically important information for new employers, clients or stakeholders.’ Relocation of staff during the period of notice is also included in the setting: ‘The Committee considers the withdrawal period to be an appropriate instrument, and asks the Ministry to ensure that a standstill period of three to six months is put in place before a new position can be entered into or own activities in specific areas.’;» So this was a unanimous committee position, and it was addressed to the Ministry of Labour and Administration. I now register that the Council of State says that the Ministry of Labour and Administration will provide feedback to Stortinget. I now take note of that and will then wait for exactly what is said there. I also understand that, on that basis, the Council of State will await the question of quarantine for the notification or proposition – or what kind of feedback it will be – from the Ministry of Labour and Administration, if it comes in the spring. Although the original position of the Stortinget was about the entire breadth of the departments, which I believe the Bondevik government should follow up a long time ago, the Minister of Defence still has a very special responsibility, and that is what I believe my first post supports. In the interpellation text I also wrote that «The defence invests approximately annually. 10 B.C.E. kr”, and – and I think that may be the most important thing – the special feature that these investments are more closely linked to our national interests than to other investments underlines that the Ministry of Defence has a very special responsibility. And so do we, as defence politicians, in this Chamber. I think it is good to have ethical provisions now and that special care is taken in relation to the measures outlined by the Council of State in its statement.
ParlaMint-NO_2004-03-04.ana.ud1567e200	It is important to distinguish between what the Ministry of Defence can do within the existing legislation and legislation in order to ensure that we avoid conflicts of stability and a legislative work that will apply to all departments in the relationship between public employees and suppliers. I therefore think that the proposed action plan takes this into account in a good way. Thus, in the case of legislation and legislation for all departments, the Ministry of Labour and Administration has aimed at presenting a case on this during the spring of 2004, as a follow-up to the position to which the interpellant refers. Of course, the Ministry of Labour and Administration has the constitutional responsibility for the legislation that applies to everyone. My ambition has been to do what is possible within the current legal framework. I would like, among other things: drew attention to the fact that, in the measures I have launched, we are talking about having a precautionary provision for two years, it goes far beyond the period of three to six months to which the inter-pellant refers from the 2000–2001 suspension. In many areas it can therefore be said that the Ministry of Defence actually introduces further caution beyond what was in this setting. I am at least pleased that the interpellant is satisfied with the measures taken by the Ministry of Defence on its own, and I also feel confident that we will be satisfied with the legislation that the Government will present through the Ministry of Labour and Administration, relating to the entire public sector.
ParlaMint-NO_2004-03-04.ana.ud1567e211	The representative Nybakk mentioned in his main post that new rescue helicopters should be purchased. The size has also decided to buy frigates from Fridtjof Nansen-class and new MTBs from Skjold-class. It is probably the exception rather than the rule that the purchase of defence equipment takes place within the agreed framework. The usual thing is that there will be exceedances, and as far as I know, the joint striker program has taken the consequences of this to keep costs down. The JSF project has decided that the purchase of equipment for aeroplanes should be purchased as far as possible in accordance with the principle of ‘off the shelf’, i.e. picked from the shelf as a shelf product. Buying shelf goods means that the products purchased are fully developed, tested and ready for delivery. If we return to the weapons equipment for the marine vessels, the new frigates and the MTBs, I think we can confirm that the principle of buying shelf goods has not been laid down. Both the frigates and the MTB shall have different weapons equipment, but common to both classes of vessels is that they shall be equipped with the missile known as the Norwegian Maritime Target missile, NSM. NSM shall be produced by Kongsberg Defence & Aerospace at Kongsberg. Vessels, aircraft and weapon systems are often involved in complex interactions. One is often dependent on the other. This is also true between the NSM and the marine vessels. Examining the parties and persons involved in this matter is likely to reveal staff transitions and close contact between purchasers and suppliers of defence equipment. I want to add that the marine vessels are designed for a missile that, as far as I know, has not yet flown one meter. Since the class of vessels has already been adopted, the vessels are constructed in accordance with the theoretical specifications of the missiles. Let's all hope -- at least the games that were behind the project -- that the missile in reality will be just like it looked on the drawing board. But to me, there is one question that is building up: is it not time to become mature to assess whether it is right that an increasingly scarce defence budget should finance industrial development projects? Building ships around a missile also means that the billions of development can be small in relation to the price that Kongsberg can charge for the finished missiles. Is there any alternative purchase for the missiles that allows delivery of the vessels to be completed?
ParlaMint-NO_2004-03-04.ana.ud1567e224	Let me first say that I think the Minister of Defence has followed up the recommendations made by the Stortinget in an excellent way. At all, I think that the interpellation, a little mildly said, has two elements in it: initially, there are some formulations that can almost be perceived as wanting to ban the profession of former officers. In other contexts, I think we get an argument that is that it is particularly stressed that you should not leak sensitive information, classified information. This last one is of course. And I want to say for my own part, to be concrete also in relation to the treatment of the logistics organization, that now, in position, I get access to almost all the information I want. Despite that, I think it was very interesting and useful to get the information that was also given by the former officer, who could this matter, and who had a slightly different angle on how this should be arranged. I wasn't a moment in doubt about who I was dealing with. And I want to say that at that time, which unfortunately lasted a little too many years, when we were in opposition, the information I received from these outsiders was absolutely crucial in order to balance the information that often came from the ministry. We didn't have that many other possibilities. So I think in many ways that there's a problem here that, first of all, the two departments in question are about to solve, and, second, I don't think you're going to exaggerate the significance of. It's my definite impression that most people know how to "separate the snows and the bars" here, and those who don't, are completely exposed in the meetings that they have with us, and that, I think, they have with the department. I want to underline one thing. We're a little country. And as the inter-pellant referred to, we have EEA rules that to some extent protect the Norwegian defence industry. The Norwegian defence industry is not too big. So if I were to point out a problem that is as big as the information given to private companies from former officers and former ministerial staff, it's the political lobbying that we see in acquisitions. It's a problem at least as big as the information we get from individual companies and individuals. We all feel that way, and we can have our thoughts that there are sometimes very close ties and short lines between some political parties and the decision-makers in the department.
ParlaMint-NO_2004-03-04.ana.ud1567e231	Like the representative Nybakk, the party of progress is concerned with the complications that may arise from the fact that employees of the Ministry of Defence and/or the Ministry of Defence are changing sides of the customer/supplier relationship. Of course, this should not be such that these categories of employees should not be able to change their profession, but appropriate quarantine arrangements must be considered for this type of transition. This is a problem which has arisen in the past at Innst. S. No 187 for 1993-1994, assent of the Control and Constitutional Committee on Foxley's corruption conviction in relation to the exposure to Raufoss AS. In this case, it appeared that several of Raufoss AS’ representatives had previously been employed by the public administration and/or officer. This information made relevant the question of quarantine provisions for persons leaving important public purchasing positions in favour of agent representation for foreign companies with old employment as their main customer. Later this topic was discussed again in the context of Document No. 8:56 for 1995-1996 and Innst. S. No 255 for 1995-1996. In this context, a proposal was made by the Progress Party for a review of ethical guidelines for personnel responsible for procurement for state agencies and common quarantine rules. The party of progress is dissatisfied with the fact that then Minister of Defence Kosmo did not follow up on this. In Norway one today finds several companies representing the foreign defence industry. Some of these companies' representation offices have employed or linked to former members of staff of the Defence and Defence Department. Foreign defence companies have similar establishments in other European countries. The practice of companies in Norway may need to be seen as a reflection of this. In this context, it is important to focus the same search light on additions in Norwegian companies and Norwegian industry. This is a very limited market, and therefore local knowledge and contact networks are of great importance to actors. Through the media, we have been made aware that there is an unfortunate development in moving from positions in the Defence and Defence Department in terms of top officials and top officers. This should not ignore the fact that this type of issue is also widespread among lower-level employees, making the situation less visible in relation to the public search light. It is not right to focus solely on the defence industry in the context of focusing on quarantine rules. This will apply to a number of areas where there are large public acquisitions, and legislation should be adapted in this way to public employees in general.
