ParlaMint-NO_2004-03-23.ana.ud2556e41	The representative of Trine Skei Grande will make a private proposal.
ParlaMint-NO_2004-03-23.ana.ud2556e44	I want to make a proposal on behalf of myself to have the municipalities enforce parental payment in primary school.
ParlaMint-NO_2004-03-23.ana.ud2556e49	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2004-03-23.ana.ud2556e67	Since the interpellation was delivered, inflation is positive 0.1 pst. became deflator of 0,1 pst. The Bank of Norway is far from the operational objective of monetary policy; 2.5 p.m. inflation over two years. Bombs on bombs, wrote today's Business on 19 February about the Central Bank's handling of monetary policy. There are many reasons why Norway's Bank is bombing, and not everything is self-inflicted. Less developed than expected in the international economy and increased imports from low-cost countries have contributed to lower inflation. But we cannot ignore Norway's Bank's own responsibility either. At the interest rate meeting in July 2002, Norway’s Bank chose to raise interest rates by half a percentage point and it was not reduced until the end of October of the same year. But then the accident had already happened. We remember the result, and we're still living with it. The crown course rose and resulted in what Jens Petter Ekorenes called a bloodbath in Norwegian industry. We know today that this year 15 000 jobs were lost, mainly in industry, and very many in the export industry, due to the extraordinary increase in the krone price. How much of this is due to Norway’s Bank’s misassessment of the Norwegian economy, and what is due to a generally high cost level and lack of competitiveness, is difficult to say. However, with ten subsequent interest rates falling, this gives a clear indication of the fallacy of decisions in the summer of 2002. There is reason to fear that Norway’s Bank’s decision was more motivated by a salary settlement Norway’s Bank seemed to be too favourable for the employees than a cool consideration of the Norwegian economy. There is reason to believe that a more rigorous analysis, with emphasis on more conditions in the economy, not least the price of the crown related to the competitive industry, would have to result in a different conclusion. In the section on monetary policy of the National Budget, the Holden II Committee is quoted as follows: «At the same time, the sample would stress that monetary policy must take into account that sustained large-scale exchange rates may involve significant and long-term real economic costs for the competitive sector and subsequently also for the economy as a whole.» The Ministry agrees with these assessments. It can be difficult to see as anything other than a clear correction by the Bank of Norway, which is as late as in Money and Credit No. 3 for 2002 writes: ‘Money policy cannot be used to influence the extent of competitive business over time.’ In other words, the Ministry does not agree with Norway’s Bank’s assessment of its own role. But there's reason to stay a little longer by the same reasoning after the last interest rate meeting. The interest rate was set at 0.25 pst. on the basis of market expectations. It is clear, in particular at the press conference, that Norway’s Bank was not really overly enthusiastic about reducing interest rates, but since they have been instrumental in following their own formulas since the change in mandate, they have had to do so now, but the interest rate was reduced less than expected by the market. Inflation was known to be negative last month, which should have indicated a higher interest rate decrease than 0.25 pst. The bank’s press release after the last interest meeting states: ‘As an alternative, the Governing Board has considered not to change interest rates now and to keep interest rates lower than otherwise. However, the Governing Council did not find it right – after the fall we have seen in inflation – to break marked with expectations in the money and currency markets.» In other words, it was the expectations in the money market and not what was most useful to the nation, which was the decisive factor in the decision taken by the Norwegian Bank's main board of directors. It's this that's the background of this interpolation. There is reason to believe that political signal and political pressure are necessary in order for the Bank of Norway to choose a more flexible approach to its mandate. After three years of inflation targets, we have actually received lower interest rates and lower inflation, but we have also received 110 000 unemployed, large fluctuations in interest rates, exchange rates and price growth and a competitive sector that is struggling. Private consumption and housing prices have – and perhaps naturally – increased steadily, but the question is whether this was the purpose of the policy conversion. A record high unemployment rate that does not drop, deficits at lower interest rates, high private demand and fluctuations in monetary policy, was that what was meant by the conversion of the mandate? Is that what the Norwegian Bank is set to do? The answer to this is a unique no. It's only political authorities that, at the end of the day, can do something about this. It's not like the central bank, although it likes to make it like that, is independent. The central bank is still subject to the Ministry of Finance in Norway, and to remind the Ministry of Finance that the Ministry of Finance is still subject to this room. The effect of ten interest rate reductions has not been expected by the Bank of Norway. Industry is still reluctant to invest, and private consumption is increasing. The danger of a loan-funded purchase party is present, and the beginning of the 1990s is still no longer than that very many of us remember it. And those who have forgotten it should be reminded as soon as possible of what the situation was then, with the loan-funded purchase party very many tried to participate in at that time. Unfortunately, Norway’s Bank has entered an ideological trail that has not been served and therefore needs to be helped out. Norway’s Bank may feel that the relationship with inflation itself is the goal of monetary policy. But just to make it explicitly clear, it's not. It is the real economic situation that counts for the nation, not the absolute objective of inflation. It is employment, i.e. unemployment, production and wealth that are the purpose and aim of policy – not least monetary policy. This is due to the fact that Norway’s Bank still maintains that it is in line with a purely inflation target. So late in the open hearing in Stortingen last autumn in connection with the credit notification, the Governor maintained that there was section 3 of the mandate chosen by the Bank. This means that the three other aspects mentioned in the mandate explicitly – production, employment and not least the exchange rate – choose to disregard the central bank’s board of directors, at least to pay significantly less attention. There is every reason to believe that this is the reason why the major misassessments are buried. The economic horizon is becoming too sluggish, and monetary policy objectives are drowning in a united inflation focus. With a small, open economy, which Norway has — the Norwegian economy is no larger than New Jersey’s, but fortunately we still have our own currency — one cannot put one aspect of the economy alone and ignore other important real economic conditions. It is both illogical and wrong and not least unwise. If there's something that's taught us in the last few years, it's just this. It is essential that monetary, structural, financial and income policies work together, and not least that the authorities understand and emphasise this context. It's always surprising that some for ideological reasons choose to believe something else. Norway is no larger than the fact that it is quite obvious that it is essential for stability and predictability in monetary policy to be played on the ground. This is why I have to take this matter up with the Minister of Finance once again, that no matter how one tries to pretend that there is a division of responsibilities in the economy between authorities, the social partners and the Bank of Norway, the main responsibility lies with this Chamber, the National Assembly of Norway. Claiming otherwise is disclaimer, not division of liability. Norway’s Bank must reconsider its instrumental approach to what they define as an inflation target, but as a matter of fact – given that you read the mandate as it is written – is not. The objectives of inflation are first mentioned in the third paragraph. It is not new that SV believes this. That is what we have been saying since the changeover to monetary policy. I realize that the danger is great that there will not be a change, because it is we who – once again – choose to take it up, and because I know that politics is not just facts, politics is also achievement. But if the Minister of Finance does not choose to lend a loan to SV, I hope that the Minister of Finance chooses to lend a loan to the Director of the Statistical Central Bureau, who in the last economic perspective, published just a few days ago, says in the foreword: ‘When the international bonds and uncertainties related to the evolution of the factors determining price developments in the future are greater than previously assumed, it should be considered that monetary policy inflation management should be made more flexible. In practice, it also needs to be more clearly defined in relation to actual developments abroad, rather than being based on absolute targets set partial for Norway.’» In fact, it is crucial for economic stability and lower unemployment that monetary, structural, financial and income policies work together, which I assume the Minister of Finance will immediately agree with. The reality has turned to the pure inflation management objective.
ParlaMint-NO_2004-03-23.ana.ud2556e124	Then we'll hear if the Minister of Finance has any ear to borrow!
ParlaMint-NO_2004-03-23.ana.ud2556e127	The Norwegian economy has experienced a period of weak economic growth and worsening competitiveness, with higher unemployment as a result. Now, however, we see developments turning around: economic growth is on the rise, competitiveness has improved, and unemployment has stopped. Economic policy is now delivering positive results, and more people can feel secure for their jobs. This development has been made possible because the interaction between fiscal policy, monetary policy and income policy has worked well. In the national budget for this year, the Government referred to the interaction between the different areas as follows: «Budget policy and monetary policy must work together to contribute to a stable development of production and demand... The economic policy guidelines at the same time imply that monetary policy has a clear role to play in stabilising economic development. This means that if the outlook for the economy changes, one should take advantage of the scope of monetary policy action. In addition, situations may arise where an active use of budgetary policy is required either because of the low level of capacity utilisation or because the pressure in the economy is very high.» A tight labour market resulted in strong wage growth in 2002, well above what is compatible with the inflation target. This was five years in a row with a significantly higher wage growth in Norway than in the trading partners. The high wage growth led Norway’s Bank to pursue a tight monetary policy in 2002 by keeping Norwegian interest rates at a high level and clearly above interest rates internationally. Throughout 2003, the Bank of Norway put monetary policy in an expansive direction. The rationale for the reductions in interest rates was among others: related to lower growth in consumer prices than Norway’s Bank had expected, and prospects for weaker growth also in the Norwegian economy. The 2003 budgetary policy was designed to allow a person to take advantage of the scope of action in monetary policy. This has resulted, Norway’s Bank has reduced interest rates by 5 percentage points since December 2002, to 1 pst. At the same time, the crown has weakened with approx. 12 pst. Wage growth was significantly lower in 2003 than in the previous year. This was necessary to pave the way for lower interest rates and a competitive price. Norwegian enterprises live significantly better with the current level of the krone price than with the levels in 2002 and early 2003. As seen, cooperation in income policy has also been successful. The outlook for a moderate wage settlement in 2004 – i.e. the current year – seems good. As I have already pointed out, the Norwegian economy is now characterised by increased growth and optimism. Economic growth and unemployment levels are expected to be higher than when the Government presented the budget in October last year. I show you, among other things: estimates recently submitted by the Central Statistical Office and the Bank of Norway. I have also noticed that the Central Statistical Agency in economic terms said that the stabilisation policy in 2003 was successful. The interaction of economic policies has therefore contributed to a short period of weaker economic growth, compared to previous recessions since the 1970s. As the representative of Djupedal points out, price increases are now at a very low level. Twelve-month growth in consumer prices corrected for taxes and excluding energy products — which measures the underlying price increase — showed a fall of 0.1 pst in February. Inflation has for a long time been reduced, in particular, by the fall in prices of imported consumer goods, a trend such as: is to be seen in the light of the strengthening of the Norwegian krona in 2001 and 2002 and the increasing share of imports from low-cost countries, such as Norway. China. In addition, increased domestic competition has contributed to a reduction in price growth. Low price growth as a result of falling prices of goods we import, or as a result of strong productivity growth, contributes, in isolation, to real income growth and increased well-being. We have a flexible inflation target in monetary policy. This means that interest rates need to balance the stability of production and employment against low and stable inflation. Calling for flexibility in monetary policy is turning open doors. We have a flexible inflation target. Norway’s Bank has clearly underlined that they interpret the regulation as such. In the latest inflation report, they say, for example:\t\t You can change the settings of the grid. \t\t \t ‘Norges Bank has balanced the need to bring inflation back to its objective and the need to avoid that the growth of production may gradually become too strong.’;» The Ministry has also stressed several times in the Stortinget messages that the inflation target is flexible, among other things. in the national budget for the current year and in the last credit notification delivered. Monetary policy is now giving strong impetus to economic development. In this situation, a new, sharp increase in the use of oil money may lead to expectations of higher interest rates in the future, and the krona will once again be able to strengthen itself. Developments in 2001 and 2002 showed the serious consequences for the competitive part of Norwegian business, and thus for the balance of the Norwegian economy. It's important that we learn from these experiences. It is likely that fiscal policies should facilitate healthy development in the Norwegian economy, with high employment and improved competitiveness. Only in this way can we ensure tomorrow's well-being.
ParlaMint-NO_2004-03-23.ana.ud2556e159	The Minister of Finance was so far predictable, in the sense that there was a summary of the situation in the Norwegian economy from the Ministry of Finance. I think the clarification that we have a flexible monetary policy target is right. It is true that the Ministry of Finance through various publications, not least in the national budget, has stressed that this is how it is understood, as I have also repeatedly said. The problem with this is that it does not feel that way through the Bank of Norway and the way they deal with these issues in their interest rate meetings. In many ways it is a paradoxical situation that we have a mandate for monetary policy that allows for flexibility while it is being practiced orthodox, for example. in the EU has a very orthodox approach, but a flexible practice. As a result, many people with expectations for the euro bank are constantly disappointed, because the EU chooses to place greater emphasis on a whole in the economy than it actually opens up in the mandate of the euro bank. Let me also say that the reason I'm resuming this is because I fear, in particular through the signals that are also given by the Bank of Norway, that you should go further down. Because inflation will remain low over a long period of time, we know that. It was negative last month. Of course, it could be plus 0.1 pst. next time, but in any case, we are miles away from what is the goal of monetary policy. If you're going to follow the instrumental way the bank has so far handled this, you're going to cut interest even more. That would mean that we're soon down to a level of interest that's close to the level of interest Japan has been at, and if you think about Japan for the last 10 to 15 years, one could say that it was just this that was totally destructive to the Japanese economy. So what we need now is not any more interest rates, regardless of whether inflation remains low. What we need is more active use of financial policy, more active use to get out of work, more active use of the many other incentives that the economy can get, not least from Stortinget. Of course, choosing to go further down on interest rates will contribute to increasing demand. But what we're asking is an open question. We want more housing, and housing prices will rise. We will demand more consumer goods, mainly imported from China or the East, which will largely also mean that low inflation will be reinforced. It means that this isn't the instrument to get your hands out of work and make this society go around. It's our job as politicians to get hold of this. But I fear that with the signals given by the Bank of Norway, with such an instrumental approach, one will go further on this line, which will reinforce unfortunate trends in the Norwegian economy. That is why I want very clearly and unequivocally that the central bank emphasises what the Minister of Finance is now saying, because the Minister of Finance clearly says that we have a flexible objective. Saying something else is turning open doors, if I quote the Minister of Finance right. This is a clear signal to the Bank of Norway that they have to transform their practice into a more flexible understanding in line with the reality of the Norwegian economy, and in line with the reality of Norwegian society. We must not go further on this Galerie Norways Bank now has started.
ParlaMint-NO_2004-03-23.ana.ud2556e166	I understand that the interpellant is satisfied with the way in which the Government defines the mandate of the Norwegian Bank. In view of the fact that this has also been treated extensively on repeated occasions, it is not surprising. I understand that the interpellant believes that Norway's Bank does not practice in line with the Storting's assumptions. It's an opinion I totally disagree with. This may also be the background to the fact that the Storting itself has repeatedly stressed that it is not the Stortinget that maintains the regular implementation of the mandate but that it is left to the Governing Board of the Bank of Norway. I think it takes more than political rhetoric to understand how the money market works nationally and internationally, among other things. as the interpellant had in mind its observations, that expectations in the money market are not a factor relevant to the assessment of the Governing Council. I think that's just a small example among more people in the interpellant's posts that it's wisest to add the implementation to a different body than magnification and government. On previous occasions, the size has been satisfied with the way in which implementation is being tested, or the inter-pellant calls the instrumental approach, of the mandate, namely to subsequently present the assessments in the national budget and credit notification and to have the Storting deal with it appropriately. I understand that you have now chosen to deal with it, among other things. with an open hearing. I think that's very satisfactory, both because you've had an opportunity to test, and because you've had an opportunity to be open about this. I think it is wise to hold such a test model and not bring the main board's regular meetings into debate in Stortinget. I just want to end by saying that I disagree with the inter-pellant approach to using fiscal policy now to stimulate more strongly. Monetary policy gives very strong impetus to growth in economic development. In such a situation, a more expansive fiscal policy, i.e. through budgets, could lead to higher interest expectations in the future, and the krona could once again be strengthened. Past experience shows how devastating it will be for the competitiveness of the part of Norwegian business that competes at home and abroad.
ParlaMint-NO_2004-03-23.ana.ud2556e177	I would like to refer to the economic policy guidelines put forward by the government of Stoltenberg, which were widely endorsed by a majority on the Grand Duchy and which are still at the root of economic policy. Following these guidelines, the single economic policy should address the following important issues: a stable economic development without undue cyclical impact, a development that is sustainable in the long term in the efficient use of resources both in the private and public sectors; In spite of the fact that economic policy as a whole should pursue common objectives, there is still a need for a division of labour in economic policy. Financial policy shall continue to have a primary responsibility for stabilising economic development, even if monetary policy is to a certain extent to relieve fiscal policy. The guidelines for the use of oil revenues are based on the normal cyclical situation, but in a situation of high activity in the economy budgetary policy should be restrictive, while budgetary policy should help to stimulate the economy in recession. The operational objective of monetary policy is that the annual growth in the consumer price over time is close to 2.5 pst. Although the operational objective of monetary policy is stable and low inflation, monetary policy should also contribute to stable development in production and employment. Income policy cooperation shall contribute to moderate wage making to ensure that we still have a strong competitive sector. A successful economic policy depends on both financial policy, monetary policy and income policy doing their jobs. If policy in one area fails, it will affect the other areas. Disengagement of work divisions would hardly contribute to greater stability and carelessness. Øystein Djupedal is busy with flexibility, and it is important to stress to our fellow Member that the mandate also provides room for flexibility in monetary policy, or, as the Minister of Finance says, that this is to open doors. A certain division of labour in economic policy does not imply a rigid management of inflation in monetary policy. On the contrary, it follows from the monetary policy regulation that inflation management should be flexible. This means that not all emphasis should be placed on achieving the inflation target in the short term. This means that the central bank should also take account of developments in production and employment. This flexibility is also reflected in the operational objective of monetary policy. Inflation shall be close to 2,5 pst. over time, as it is called, what Norway Bank has interpreted as about two years ahead of time. It provides space for periods of deviation from the target if the purpose of stability in production and employment so requires. In addition, the regulation states that inflation should be close to 2.5 pst. It is then clarified that it represents plus/minus 1 pst. around the target. The Labour Party will stress the importance of emphasising the soundness of the monetary policy regulation in the pursuit of monetary policy.
ParlaMint-NO_2004-03-23.ana.ud2556e200	The Socialist Left Party appears to believe that the increase in unemployment in recent years is mainly a consequence of the Norwegian monetary policy regime. As with parts of the LO, the Socialist Left Party is thus trying to push under the carpet the fact that strong wage growth over many years in combination with high public consumption created major structural problems for the Norwegian economy. And the Norwegian Bank is in practice made a scapegoat when the pressure in the economy becomes so strong that interest rates have to be set up to hold back. The representative, Djupedal, indicates that the changes in inflation, interest rates and exchange rates have been significant in recent years, suggesting that monetary policy is the problem. However, it is quite obvious to most that the pressure on the labour market resulted in a wage growth in 2002 well above what was compatible with the inflation target. And 2002 was the fifth year in a row with clearly higher pay growth in Norway than in the trading partners. Thus, there were fundamental distortions in the Norwegian economy, not in monetary policy, which led to the need for tightening, with an increase in the interest rate of the Bank of Norway and a marked increase in the exchange rate. On the other hand, the development of interest rates and exchange rates over the past year is very good evidence that the interaction between fiscal policy, income policy and monetary policy has worked well. The strategy chosen by the Government in the fight against unemployment was correct. A tight budget for 2003 provided room for an expansive monetary policy. This was very effective in bringing interest rates and exchange rates back rapidly to an acceptable level for Norwegian industry. At the same time, income policy cooperation has brought wage growth down to a more competitive level. The result of the interaction between fiscal policy, monetary policy and income policy in the last year has thus increased the security of thousands of workers in the competitive sector and the return of optimism to large parts of Norwegian business. Rather, if solutions had been chosen from the left, with more expansionary fiscal policies, so-called active fiscal policies, and increased public expenditure, there is little doubt that the reversal would take longer, with serious consequences for those affected by uncertainty and unemployment. This would be a harmful strategy for business, and it has also made very clear to business in its budgetary policy input. Of course, it is important to discuss monetary policy from time to time, but it is quite clear that there are other and more fundamental issues that are crucial for the development of the Norwegian economy and the Norwegian economy. Keeping in check the use of oil money in the Norwegian mainland economy and limiting the costs of increased sick leave, disability and early retirement are major and fundamental challenges for Norwegian politicians. Public sector expenditure and welfare arrangements must be compatible with the competitiveness of business. It is therefore frightening that the left-hand side seems to believe that the problems in Norway can be solved through a firm grip on monetary policy, ignoring the important and fundamental challenges we face in Norwegian policy in the years to come.
ParlaMint-NO_2004-03-23.ana.ud2556e213	More flexible monetary policy, calls for Djupedal. But how, he says nothing about. What is it in today's practice that is not flexible enough to have inflation targets as nominal anchors, which, after all, is the monetary policy practised in large parts of the world? And what would be the consequences if the inflation target of Djupedal were to be more flexible? How does Djupedal think it would be necessary to test the Bank of Norway? The whole point of the system we now have is that you have to be able to verify the results, measure the results afterwards. The more flexible a target is, the more difficult it will be to verify its management. Norway's Bank is an ideological trail that is not served, said the interpellant. The question is, would we be more served with Øystein Djupedal's ideological trail? I think that Øystein Djupedal appears quite historyless when he claims that after three years of inflation, we have had as large a figure in the crown price as we now have. History shows that the krone price has been subjected to pressure under completely different monetary regimes, and that there are many external reasons why we have seen a lot of pressure on the krone price. I think it's a little historyless to say that one and only is due to the inflation target. Although Djupedal cannot predict monthly interest rates, it does not mean that the monetary policy mandate is unclear. The question of the interpellant must be, what would have seemed better? What kind of monetary policy would Øystein Djupedal have led as Minister of Finance in a future government consisting of the Workers' Party, the Centre Party and SV – if the Workers' Party had allowed Djupedal to be Minister of Finance with that kind of attitude? I would like to hear what is the hokuspocus formula of Øystein Djupedal in monetary policy, because it is not very clearly defined, despite the fact that Djupedal has for a long time been a strong critic of monetary policy. I also think it is a serious claim to accuse the bank of taking more account of the expectations of the money market than of what is best for the nation. The Bank practises the inflation target with the flexibility of its mandate. I fully agree with the Minister of Finance that the bank is definitely acting in line with the assumptions of the Stortinget. If Øystein Djupedal believes that the monetary policy pursued in Norway is crazy, yes, then Øystein Djupedal must promote a proposal to change monetary policy instead of making claims that the bank does not practice in line with Storting's assumptions. So no one else has been able to criticise – perhaps with the exception of the Center Party.
