Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2004-12-10-lower	ParlaMint-NO_2004-12-10-lower.ana.ud127e35	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-12-10	2004-12-10	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-12-10	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.AGV	Valle, Ågot	F	1945	
ParlaMint-NO-en_2004-12-10-lower	ParlaMint-NO_2004-12-10-lower.ana.ud127e44	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-12-10	2004-12-10	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-12-10	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OTL	Lånke, Ola T.	M	1948	
ParlaMint-NO-en_2004-12-10-lower	ParlaMint-NO_2004-12-10-lower.ana.ud127e65	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-12-10	2004-12-10	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-12-10	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.UEK	Knudsen, Ulf Erik	M	1964	
ParlaMint-NO-en_2004-12-10-lower	ParlaMint-NO_2004-12-10-lower.ana.ud127e82	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-12-10	2004-12-10	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-12-10	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.AGV	Valle, Ågot	F	1945	
ParlaMint-NO-en_2004-12-10-lower	ParlaMint-NO_2004-12-10-lower.ana.ud127e85	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-12-10	2004-12-10	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-12-10	-	Reference	English	Regular	notMP	Minister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.LD	Dåvøy, Laila	F	1948	
ParlaMint-NO-en_2004-12-10-lower	ParlaMint-NO_2004-12-10-lower.ana.ud127e102	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-12-10	2004-12-10	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-12-10	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.AGV	Valle, Ågot	F	1945	
ParlaMint-NO-en_2004-12-10-lower	ParlaMint-NO_2004-12-10-lower.ana.ud127e110	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-12-10	2004-12-10	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-12-10	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.AGV	Valle, Ågot	F	1945	
ParlaMint-NO-en_2004-12-10-lower	ParlaMint-NO_2004-12-10-lower.ana.ud127e117	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-12-10	2004-12-10	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-12-10	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.AGV	Valle, Ågot	F	1945	
ParlaMint-NO-en_2004-12-10-lower	ParlaMint-NO_2004-12-10-lower.ana.ud127e247	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-12-10	2004-12-10	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-12-10	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.AGV	Valle, Ågot	F	1945	
ParlaMint-NO-en_2004-12-10-lower	ParlaMint-NO_2004-12-10-lower.ana.ud127e257	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-12-10	2004-12-10	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-12-10	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.AGV	Valle, Ågot	F	1945	
ParlaMint-NO-en_2004-12-10-lower	ParlaMint-NO_2004-12-10-lower.ana.ud127e268	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2004-2005, Sitting day 2004-12-10	2004-12-10	Lower house	Term 2001-2005	Session 2004-2005	-	Sitting day 2004-12-10	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.AGV	Valle, Ågot	F	1945	
