ParlaMint-NO_2004-10-06.ana.ud2511e24	The representative of Øystein Hedstrom will make a private proposal.
ParlaMint-NO_2004-10-06.ana.ud2511e27	On behalf of the representative Lodve Solholm and myself, I would like to make a proposal to abolish the market regulation of eggs and poultry.
ParlaMint-NO_2004-10-06.ana.ud2511e32	The representative, Jan Simonsen, will make two private proposals.
ParlaMint-NO_2004-10-06.ana.ud2511e35	I am delighted to make two private proposals, a proposal to put in place a system of closed reception camps for asylum seekers and a proposal for a ban on the sexual use of animals.
ParlaMint-NO_2004-10-06.ana.ud2511e40	Olav Gunnar Ballo will make a private proposal.
ParlaMint-NO_2004-10-06.ana.ud2511e43	I would like to make a proposal on behalf of Sigbjørn Molvik, Ola D. Glötvold and myself on the right to acknowledgment of rehabilitation money in addition to 52 weeks following the exceptions.
ParlaMint-NO_2004-10-06.ana.ud2511e48	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2004-10-06.ana.ud2511e65	The Norwegian economy is heading up the wave valley. Economic growth is on the rise, employment is on the rise, and unemployment is on the decline. The economic policy pursued results. The government's draft budget for 2005 builds on the positive developments we are now experiencing. The basis for the welfare country shall be secured in this way. The government prioritises within a responsible framework, so that Norwegian jobs are not threatened. That is why the budget also contains some proposals for tightening up. These will probably meet criticisms from different teams, including in this room. Within a given framework, there will be scope for different priorities. Discussions and negotiations on the budget in the future will bring it to full. But even though we can disagree politically about the arrangement of a budget, and often also the framework, that does not mean that we have a society and an economy characterized by chaos and crisis, as a tabloid debate can often give the impression. We must not forget that Norway is a good country to live in. That's still the way it should be. In some important areas, of course, we face challenges. We need to increase value creation; the whole basis for well-being should be secured in this way. At the same time, we need to ensure that public welfare systems are sustainable in the long term, so that future generations can also benefit from these schemes. Norwegian businesses have been through some tough times. This has also been noted by many individuals: Some have lost their job, others have felt insecure about it. And some jobseekers have not got a job because no one has asked for their jobs. There is waste of human resources when as a society we are unable to harness the individual's abilities and knowledge. Therefore, the main goal of the Government has been to get more people to work. This policy is now producing results. The co-operation administration took over in a situation where there was a problem in the Norwegian economy: The interest rate was 7 p.m., well above the level of our trading partners.The Crown had begun to strengthen itself – and exacerbated the competitive situation of Norwegian jobs. The government’s challenge was to reverse these developments, not by panic-carded individual measures, but by addressing the basic challenges. That is why we have conducted a fiscal policy that has allowed for lower interest rates and interest rates. In this way enterprises have again been able to increase production, increase employment and increase investment in Norway. In a year and a half, interest rates have fallen by more than five percentage points. The big gap between Norwegian and foreign interest rates is gone. This has contributed to the fact that the crown has weakened sharply. The strengthening of the crown that took place in 2002 and that reached the top of several years of cost growth in business has been far reversed. In addition, the large fall in Norwegian interest rates has improved the private economy for many. In particular, they have noticed this with large loans in the start-up phase. The personal economy has been strengthened. It has also provided better well-being. The government has focused on continuing income policy cooperation with the social partners. It is positive that the social partners have contributed to ensuring good economic development. However, although wage growth has decreased in recent years, it remains higher than that of our trading partners. This remains a challenge for Norwegian business. The government has also helped to reduce the cost level of Norwegian enterprises by reducing taxes and taxes, especially on business. The government's economic policy is now producing results. Employment is increasing. After a weak first quarter, it increased by a total of 10,000 people in the second quarter. Several people now report on the labour market, as a result of the optimism of the Norwegian economy. This does not reduce unemployment as quickly as employment increases. However, the freedom is on its way down. On an annual basis, we estimate the current year's release at 4.4 pst. For next year, we're assuming that the unemployment rate is going to be 4.1 pst. Economic growth in Norway is now high. Low interest rates and high income growth stimulate domestic demand. Weaker crowns facilitate the situation of competitive enterprises. In addition, an international recovery contributes to a brightening of the outlook for the export sector. After a growth of only 0.6 pst. Last year, the GDP of mainland Norway is estimated to increase by more than 3 pst. both in the current year and in 2005. This puts us in the top of Europe in terms of economic growth. This development is good. Good economic growth is important for individuals to have a job to do, for more people to invest in the future, and for us to be able to ensure well-being. Price growth is currently very low. This is mainly due to increased domestic competition and cheap imports. Among other things, trade with China and other low-cost countries has increased. The low price growth contributes to real income growth and to increased well-being. In today's situation, it is not a sign of a weak economic development. The decline in the krona and expected good growth in the Norwegian economy in the future is moving towards a gradual rise in price growth. It is important that monetary policy over time contributes to stable price expectations, in line with the inflation target. American President Herbert Hoover said, ironically, once: Blessed are the young, for they must inherit the debt of the nation. Now, fortunately, it's not that the state debt in Norway weighs down. We differ from other countries by having large petroleum resources converted into financial assets in the Petroleum Fund. But at the same time, we build up debt to future generations. So we have to find a good balance between spending some of the money today and at the same time putting something to the future generations. The way we do this is expressed in the so-called rule of action. It gets to boast internationally. I think we can be proud of how we manage our wealth, manage it so that both we who live today, and those who come after us, enjoy this wealth. The rule of action requires us to use the expected real return of the Petroleum Fund over time, set at 4 pst. At the same time, the rule says that we need to take into account the cyclical situation, so that something more can be used in bad times or in the case of a fall in fund capital. The recession and the fall in stock exchange internationally in 2001 and 2002 have contributed to the use of more than a mechanical application of the rule of action. In the 2005 budget, the structural deficit amounts to DKK 66.4 billion. That's $24 billion more than a 4pst return of the fund. The use of oil revenues is slightly lower than in the current year. The estimates for the capital of the Petroleum Fund indicate that we will reach the 4 pst. track only towards the end of this decade. Consequently, there is no room for a significant increase in the use of oil revenues in the coming years. I think it is important to point out all the opportunities we have as a nation to be a good country to live in – also in the future. With about 1000 billion “on book”, i.e. in the Petroleum Fund, and many billion in the North Sea, we have a better starting point than most other countries. Nevertheless, our most important resource, also measured financially, is our labour force. That's why it's so important that we make good use of it. It is a fact that Norwegian labour force is relatively expensive. In return, it is competent. We have one of the highest levels of education in the world. In Norway, one out of three persons of working age has higher education, well above average in OECD countries. Moreover, the share of higher education is increasing. A number of studies suggest a ‘win-win’ effect at a higher level of education: the more we learn in the formal education system, the more we become able to learn in the workplace. It promises well for the ability to be innovative and to cope with the transformations that are a natural part of economic and industrial development. However, it is not the case that all Norwegian labour force is expensive in relation to our competitor country. In fact, studies show that we have among the cheapest knowledge workers in Norway. This gives us a good starting point for competing in the global knowledge economy. It is precisely by investing in knowledge that we are laying the foundation for the business life of the future. Norway stands out internationally in that we have very high levels of professional participation. One important explanation is that Norwegian women are more active in their professional life than women in many other countries. The fact that we have managed to keep unemployment relatively low also helps more people to see the possibility of getting a job and therefore choose to go out in the labour market. Norwegian labour force is also productive. According to OECD figures, gross domestic product was per capita. hours worked in Norway over 30 pst. higher than in the United States in 2001. Our Nordic neighbouring country Sweden and Finland were about 15 pst. in the United States. If we keep the oil sector out, the value creation would be per. hours worked in Norway still higher than in the United States. We have to remember all these positive aspects of Norwegian society and working life when, otherwise, in political debates, we are reminded of everything that works less well. In order to ensure the well-being of tomorrow, we need to be willing to carry out the necessary reforms in today's arrangements. The challenge in Norway is to get more people working. We have, as mentioned, high levels of participation in employment, but at the same time we have very many people in pre-employment who, for some reason, are out of the labour market for a short or longer time. Nearly one in five working-age Nordics today have social security as their main source of living. I'm sure that our welfare system and our working life can make it easier for some of these to work. There is a great responsibility on us as politicians, employers and individual employees to do something about this. Public welfare schemes must be designed to allow individuals to return to work whenever possible. The government has made significant changes to schemes such as unpaid pay and day-to-day pay for the unemployed. These changes will help to stimulate work. However, the effects of the changes will only be seen when the new schemes have worked for a few years. It is necessary to reform our pension system. During the harvest session, the government intends to provide a forecast of growth in this respect. The aim of the reform is to ensure that young people today and later generations feel secure about their pensions, for their safety. Today's system is unsustainable. This has been fully documented by the Pension Commission. While in 1967 there were four workers for each pensioner, in 2050 there would be fewer than two behind each pensioner. Between 1972 and 2001, the number of persons employed increased by about 650 000, while the number of age pensioners increased by about 280 000. From now on to 2050, the ratio is going to be the opposite. It is important that we address these challenges now. Some think we can borrow back because the economy is currently going well and the oil price is high. I want to warn against such a policy. It's gambling with future pensions. We must, as politicians today, pursue a policy that makes the next generation have a good foundation. In the perspective statement, which we will present later in the autumn, we will discuss these prospects in depth. If we do not reform gradually now, in the future even bitterer medicine will be needed, in the form of painful cuts in expenditure and increased taxes and taxes. It is not a better option when welfare and value creation are most important. We can only afford good welfare for everyone in our society if we make it possible to create and secure jobs in the country. Therefore, welfare can never be set up against value creation — one presupposes the other. Norwegian enterprises are increasingly facing tougher competition, both nationally and internationally. That's good because it gives us as consumers better quality and lower price. Norwegian enterprises must be able to address the opportunities and challenges posed by globalisation. This is how we facilitate jobs in the future as well. No government has ever done as much to improve the business environment as this. The future-oriented business policy of the CSR on research and knowledge facilitates innovation in business and contributes to improving competitiveness. We have now implemented reliefs in taxes and taxes of something over 19 billion kroner. A large part of these reliefs have directly benefited business. The investment tax is gone, the anti-investment dividend tax has been removed and a separate deduction has been introduced for expenditure on research and development, known as TAX FUNN. The government presented a tax reform earlier this year. It will provide a fairer and more competitive tax system. The reform will reduce the tax on ordinary employees and make it more advantageous to invest and invest in Norway. The treatment of the tax reform by the Storting before the summer provided a basis for the Government to move forward with the reform. It will be phased in gradually over three years, and we will begin in the 2005 budget. A generally accepted tax system presupposes that labour income is treated in a non-discriminatory manner, regardless of whether it is earned by an employee, an active owner or a self-employed person. It is unfair when two persons are taxed quite differently for the same amount of work. The sharing model, which would ensure non-discrimination, no longer works as intended. It has become too easy, and it has become too profitable, to camouflage real labour income as dividends. This weakens people's general trust in the tax system. In order to remove the sharing model, the difference in the marginal tax on labour income and share income needs to be greatly reduced. Therefore, the tax on high return on shares must be increased and the tax on labour income reduced. In order to improve predictability for business, legislative proposals on the shareholder model and the winding-up of the divisional model are also being promoted, but with effect from 2006. The reform will also ensure that our tax rules comply with the EEA obligations. The uncertainty surrounding today’s system will now disappear. This is absolutely necessary. By gradually removing taxes on wealth, introducing tax on dividends with protection and reducing taxes on labour, we bring Norway into line with most countries in Europe. The government proposes new tax reliefs for next year that net amount of NOK 3.3 billion incurred. Taking into account the current year’s budget decisions only next year, the total net tax relief in 2005 amounts to DKK 1.65 billion in the book. So we're going to reduce the top rate and raise the entry point to 381,000 kroner. In 2005, there will be 235 000 fewer taxpayers paying top taxes compared to 2001. We also propose to increase the minimum deduction of employee income by increasing the rate from 24 pst. until 27 pst. and the ceiling is increased to NOK 56 000. The reliefs in top taxes and the increase in the minimum deduction amount to a total of DKK 7.7 billion and ensure that all income groups receive lower taxes on labour. Overall, 1.1 million people receive a reduced marginal wage tax as proposed by the Government. This is important to stimulate work. The government also starts the slowing down of the taxes on wealth. This is done by introducing a common valuation rate for all shares, including listed shares, and units in unit trusts. We are also proposing to increase the point of entry for the property tax. The advantage of owner-occupied housing is experienced by many who are very unfair, and I understand that. The conclusion is that the Government proposes to remove this tax entirely in line with the Government's Declaration of Accession and political document. From 2002 onwards, the government introduced a separate deduction for gifts to non-governmental organisations. This is important to strengthen the economy of the many volunteers who do important work throughout the country. Today the limit of deduction is NOK 6000. Next year, we're proposing to raise the limit to $12,000. In order to simplify the tax system, the Government proposes some individual changes that together will reduce the amount of around NOK 1 billion. We propose, among other things: tightening the daily working travel allowance, abolishing the allowance for commuters and the tax exemption for the free-of-charge of employees on the base. This means that these workers are brought into line with the tax system for other workers with an equivalent free-of-charge diet. These changes will contribute to a greater degree of fiscal non-discrimination for persons with equal income. The government's priority is to reduce the tax on work. We are proposing a shift in taxation from work to consumption by increasing VAT rates by one percentage point. This generates an increase in revenues of over NOK 6 billion. With these proposals, total tax reliefs during the down payment period will amount to NOK 21.6 billion. The government will improve the Norwegian welfare community. Public welfare needs to be renewed in order to become more targeted and tailored to individual needs. Municipalities are responsible for many important welfare services. Therefore, the government is strengthening the municipal economy by nearly NOK 2.75 billion. This is more than what was announced in the municipal bill in ours. The growth of the free revenues is DKK 1 billion. Among the earmarked appropriations are the largest contributions to kindergartens, psychiatry and increased hours in primary school. The main objectives of the government's kindergarten policy are a place for everyone who wants it. We will therefore give priority to the families still in line in the budget by investing in the construction of new kindergartens. In addition to a significant increase in capacity, the government grant to private kindergartens is strengthened. In this way, we will achieve a greater degree of equal treatment. The appropriations for the kindergarten sector will increase by DKK 1.4 billion in 2005. As a result, the sector’s appropriations have increased by nearly DKK 7 billion in nominal terms from 2002 to 2005. Higher expansion and lower parental pay have led to a significant increase in demand for full-day kindergartens and a decrease in part-time places. So far, this means that capacity growth has largely agreed to meet increased demand for full-time facilities from families with children who already had a part-time offer for their children. As a result, the queue has not been significantly shorter either. The Government therefore considers that it is not realistic to achieve the objective of ‘almost full coverage of needs’ in 2005, as envisaged by the kindergarten agreement for the introduction of step 2 at the maximum price. Therefore, in line with the kindergarten agreement, priority is given to measures to increase the provision of places rather than to a further reduction in prices in the next year’s budget. The harvest's TV action "Heart Room" will remind us of the sad aspects of our own society. Fortunately, in recent years, mental health has become more transparent in Norway, but we have still done a lot of work. This applies both to the way in which some of us and the public encounter these problems. In the draft budget, the Government continues to escalate the psychiatry. The appropriations for increased operations are increasing by 850 million. kr. Local authorities are given greater priority in terms of operational resources in the 2005 budget than in the past. In addition, more than 700 million are proposed. kr for investments related to the plan. In view of the specific challenges faced by major cities in this area, it is proposed to set up its own large-scale urban development effort. Some of those who need our help most do not get a good enough offer. The renewal of the welfare society therefore requires that we do more than extend existing universal arrangements. Public welfare needs more help to the individual in his or her specific situation. As the first government, the government has therefore presented an action plan against poverty. Our main strategy to prevent and help people out of poverty is to enable more people to support themselves through their own work. That is why we continue to take measures to help more people return to work. At the same time, we target the welfare systems, so that services and transfers together contribute to the individual's getting into work. Several measures in the plan shall prevent social exclusion, in particular among children and young people. They are specifically targeted at the heaviest drug users. Following the accession of the PCF, a total of more than DKK 3 billion has been allocated to additional actions in this field for the years 2002–2005. As a rich nation, we have a separate obligation to help the poorest in the world. Therefore, the Government continues to step up international assistance. Next year, the appropriations will be increased by DKK 1.6 billion. The aid will thus be 0,95 pst. of estimated gross national income next year, up from 0,89 pst. in 2001. The development of the share of GNI in the aid budget must be seen in the light of the fact that the estimated national income has been greatly adjusted as a result of higher oil prices than previously foreseen. The government has prioritised the educational effort in our aid work. Only since 2002 have we doubled the appropriations for educational purposes. Among the most central areas are the further fight against HIV/AIDS, the work for good governance in developing countries and the fight against corruption in our countries of cooperation. In order for Norway to continue to be a rich country, we need to lay the foundation for future value creation now. We must make it possible for businesses and people with in-progress and creativity to develop profitable business. Business policy is not just about facilitating the job creation that already exists. We must also have a policy for the jobs to be created tomorrow. Then we have to be better at getting the good ideas out of the way, because more people dare to take the chance and bet on new projects. This has to be done both in existing enterprises and by several start-ups. I visited earlier this year Alnæs Marine Oils, as it is called. The farm is located in Kristiansund. Based on the large marine fishing resources, this company uses highly skilled labour, research and development to develop Omega-3 and fish oils to the world market. Over the 40 years it has existed, the company has evolved from being a trading company to becoming a fish oil refinery with leading technology and expertise. With the support of the SkattenFUNN scheme and the improvements in the general framework conditions for the export industry, this company has a good basis for investing and creating new jobs. Research and development is one of the main sources of innovation and long-term growth. From 2001 to 2005, public appropriations have increased by nearly 30pst. The government is now proposing to increase the Research Fund, so that the total capital of the fund will be NOK 36 billion. When the government took over in 2001, the fund was NOK 10 billion. In addition to increasing public research appropriations, the Government has stimulated private research efforts. We have introduced the TAX FUNN, which provides companies with tax credits for research and development expenditure. This scheme has become very popular. To date, almost 3 500 projects have been approved. For next year alone, the Tax Fund will provide a book tax bill of DKR 1.8 billion. The basis for a knowledge nation is already the first day of school for the very smallest children. They come to school with different assumptions and with great expectations of learning. The aim is a school that opens up greater diversity, with a focus on knowledge and quality. Only in this way will we enable the individual to meet later school and work in a good way. As part of the government's school effort, the government proposes to set an estimated 700 million. kr to launch the ‘Culture for learning’ reform. Most of the funding is given priority to development of skills, which will provide the individual teacher and each school with the professional promise necessary to increase quality. In addition, the development of new curricula is a key element of the reform. Last, but not least, we're using funds to further expand primary school hours. Thus, during this ageing period, there have been 12 more weekly hours in primary school. One of the central tasks of the State is to ensure the security of its citizens. In fact, the draft budget strengthens the police by 250 million. kr. It will provide better opportunities for the police to combat organised crime, deal with acute situations and, above all, take preventive action. The government also strengthens public transport. During the ageing period, this area has been strengthened by around NOK 1.7 billion. The largest increase in appropriations has taken place for investments in the railways and for the purchase of passenger transport by train. In particular, we have invested in urban areas, in order to reduce road congestion and improve the environment. Environmental resources are an important part of national wealth. The government's offensive environmental policy will continue next year. Among other things, it is added. up to a greenhouse gas allowance system. It should be in place from next year. 2005 is the year of Outdoor Life. We are proposing increased allocations for outdoor purposes, which will help to secure new open-air areas. Cultural memory protection, in the form of maintenance and maintenance of important cultural memories, is strengthened. Enova's revenues are increased by 90 million. kr to increase the investment in alternative energy sources. These priorities are carried out within a responsible framework. In order to build up fiscal policy under the positive development of the Norwegian economy, some constraints are also necessary, without compromising the safety and quality of the public welfare service. The government proposes to increase the proportion of the excess for health costs. At the same time, we improve the protection for those with high costs. When the free card system was introduced in 1984, the idea was to cover those who had high health costs. 140000 people were given a free card at the time. About 1 million people get it today. This is an example of how a good welfare system, which would help them with great needs, has evolved to include more and more of us. The limit for getting a free card is today set at NOK 1550. This ceiling is now proposed by the Government to increase to NOK 2500 for all except minimum pensioners. At such a limit, we assume that 750,000 people will still be issued a free card. In 2003, a self-employment allowance 2 was introduced for some health expenditures to cover them with high expenditures. Now this limit of $4500 is for a free card. We propose to make the scheme more favourable by reducing the limit to NOK 3500. Sick leave has increased every year from 1994 to 2003. This is a major problem, both for businesses and for the control of public expenditure. Therefore, an intentional agreement was signed in 2001 to reduce sick leave. However, instead of falling down, sick leave has increased. If the IA agreement had given the expected results, we would have had NOK 5 billion more for actions over the State budget. We would have had about 8.5 million fewer sick leave days in the workplace only during the year. It is worrying that, above all, long-term absences have increased in recent years. Today, employers have no direct costs for sick leave beyond 16 days. The government is therefore now proposing, in order to reduce long-term sick leave, that companies be given financial co-responsibility of 10 p.m. for sick leave extending beyond the employer’s period. At the same time, the number of days of absence for which employers have full financial responsibility is reduced from 16 days, as today, to 14 days. The financial co-responsibility of employers for the entire sick leave is in line with the recommendations of the so-called Sandman Committee of 2000. The Government proposes that the new rules apply to new cases from 1 April 2005. The Norwegian economy has been freshly informed after a few years of low growth, worsening competitiveness and increasing unemployment. Optimism is now back. Employment is increasing, unemployment is falling, and businesses are reporting good prospects for the future. This provides security for many people's everyday lives, and thus good well-being. In addition, good economic growth and profitable enterprises are essential grounds for public welfare. The government's budget proposal renews well-being and provides the basis for increased value creation. On this basis, I invite Stortinget to cooperate on the state budget for 2005.
ParlaMint-NO_2004-10-06.ana.ud2511e256	The President will propose that a comment round be opened, limited to one post of up to 5 minutes from each party group, in accordance with Section 34(a) of the Rules of Procedure. The President will then propose to depart from Paragraph 34(a) of the Rules of Procedure in such a way as to give rise to a comment by the Minister of Finance on each post from the opposition party and then to a final comment by the representative of the opposition party up to 2 minutes each. Furthermore, it is proposed that a comment by the Minister of Finance should be opened up to 3 minutes at the end of the debate. – This is deemed to be adopted.
ParlaMint-NO_2004-10-06.ana.ud2511e265	We have today been presented with a budget with a clear Right profile. Some get better, while others get worse next year, i.e. tax relief to those who need it the least, and cut welfare services for the others. The budget will not reduce differences and poverty in Norway. Difference Norway has become clearer during the Bondevik administration, several outside. Nor will the budget reduce the cuts in the school and welfare provision of municipalities. The economy of the municipalities has become disastrously worse during this government. What does this development tell us? Yes, the government is leading a policy in the wrong direction in several areas. The government is good at taking credit for the positive developments, such as: interest rate. Then they also have to take responsibility for the negative trends we now see, such as high unemployment, more social welfare recipients, poorer hospital economy and cut welfare services. The government has also much left before they have fulfilled their promises in the Sem-Declaration. There will continue to be more than 20 billion SEK before important Sem-lifts are fulfilled. The government has broken a new record of promises. So far, the government has given about $20 billion in tax reliefs, but to those who have the most from before. For the next year, the Government proposes to give about DKK 3 billion in new reliefs – mostly to those with high incomes and large assets in shares and dwellings. The government will reduce top taxes, property taxes and housing taxes next year. At the same time, the Government will tighten many deduction schemes for ordinary people. The 10 pst. The richest will receive tax relief of about NOK 5000, while the 10 pst. with the lowest income, will have tax incentives of about DKK 200. This is very unsocial. Fortunately, the government does not have the power to meet its tax commitments of 21 billion dollars in 2005. I think it's positive, because it would lead to further cuts in the welfare systems of our society. The Labour Party is also up to 16 billion kroner in new tax reliefs that the Government will provide until 2007. Unemployment has stuck to a high level. More than 100000 people are outside the ordinary labour market today. The current government has not done enough to combat unemployment, especially for the long-term unemployed. The government claims that tax relief will reduce the unemployment rate. The status so far is that unemployment has increased from 60,000 to 100,000 people under this government. At all intersections, the Labour Party has proposed to strengthen innovation, innovation and research, to increase the number of action sites and to strengthen business and district development in order to reduce unemployment. Despite the fact that the Government sets a new Norwegian record in the use of oil money, school, well-being, care and care are not given high enough priority. The government is unable to follow up the nursery contract. Daily, there are surveys of municipalities that need to cut welfare services for their inhabitants, whether they are leisure clubs or elderly centres that need to be closed down. This is serious. This is a consequence of the government's savings knife to Kommune-Norway. The right central says: more for the money. Right-wing rapporteurs say: more money. I agree with the rapporteurs, because if we are to create the world's best common school and safe care for the elderly, the municipalities must be given more resources – DKK 1 billion in free income for the municipalities is not enough. There are also some positive features in the Government's draft budget. An increase in the loan scheme for the shipbuilding industry is good. By the way, it's a follow-up to the Workers' Party's earlier proposals. There's also a certain increase to the police and the judiciary. We're going to follow that up. But one thing is certain, the budget presented is not adopted without changes. What changes are being adopted we do not know today. But it is clear from the Labour Party that in our alternative budget we will propose continued strong efforts to combat unemployment, more to school and education, increased efforts in terms of health, care and well-being, and to correct the social injustices proposed in the draft budget.
ParlaMint-NO_2004-10-06.ana.ud2511e280	I was very fond of parts of the ending, where you could at least know that there were a couple of proms of the used hundreds of billions that were positive. I'm very happy about that. However, I react a little when you're so bastful and say that the government doesn't reduce poverty. We have documented that there have been systematic use of new billions to increase efforts to reduce poverty through each year's budget, and I think this is actually used targeted in ways that work. With regard to what the representative Nordtun says that it is not money, I have not registered that the Workers' Party has actually made increased promises in this area, but in very many other areas. As regards the time off, I have to say that the time off in Norway has not been fixed at a high level. Unemployment in Norway is lower than in most countries and is declining. I want to draw attention to the situation in Sweden, where there is economic growth, but it is not able to reduce unemployment and where it is at a higher level than in Norway. So in every country we can compare ourselves to, even socially democratically overthrown countries – yes, where they have majority rule – they don't have to bring unemployment down. Rather, on the contrary: it increases, industrial relocation increases, and there are sad things in the countries we can study. I thank you for all the good advice on a whole budget. I am not quite sure if I got the bottom line of the post that was kept, but we look forward to an interesting treatment period in Stortinget. I might include a little quote from a former Finance Minister, Per Kleppe, who, not many days ago, on 30 September, wrote the following about taxes in the Newspaper: ‘In an open international economy, it may also be necessary for Norway to ensure a good distribution policy without the use of property taxes.’ Welcome, President!
