Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2004-05-28-lower	ParlaMint-NO_2004-05-28-lower.ana.ud2255e26	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-05-28	2004-05-28	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-05-28	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
ParlaMint-NO-en_2004-05-28-lower	ParlaMint-NO_2004-05-28-lower.ana.ud2255e29	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-05-28	2004-05-28	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-05-28	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.MMK	Kleppa, Magnhild Meltveit	F	1948	
ParlaMint-NO-en_2004-05-28-lower	ParlaMint-NO_2004-05-28-lower.ana.ud2255e34	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-05-28	2004-05-28	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-05-28	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
ParlaMint-NO-en_2004-05-28-lower	ParlaMint-NO_2004-05-28-lower.ana.ud2255e37	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-05-28	2004-05-28	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-05-28	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.HTN	Nesvik, Harald T.	M	1966	
ParlaMint-NO-en_2004-05-28-lower	ParlaMint-NO_2004-05-28-lower.ana.ud2255e42	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-05-28	2004-05-28	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-05-28	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
ParlaMint-NO-en_2004-05-28-lower	ParlaMint-NO_2004-05-28-lower.ana.ud2255e56	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-05-28	2004-05-28	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-05-28	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
ParlaMint-NO-en_2004-05-28-lower	ParlaMint-NO_2004-05-28-lower.ana.ud2255e63	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-05-28	2004-05-28	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-05-28	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.HEIS	Sørensen, Heidi	F	1970	
ParlaMint-NO-en_2004-05-28-lower	ParlaMint-NO_2004-05-28-lower.ana.ud2255e86	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-05-28	2004-05-28	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-05-28	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.ABA	Andersen, Anne Berit	F	1951	
ParlaMint-NO-en_2004-05-28-lower	ParlaMint-NO_2004-05-28-lower.ana.ud2255e105	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-05-28	2004-05-28	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-05-28	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_2004-05-28-lower	ParlaMint-NO_2004-05-28-lower.ana.ud2255e120	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-05-28	2004-05-28	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-05-28	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.TAS	Strøm, Tor-Arne	M	1952	
ParlaMint-NO-en_2004-05-28-lower	ParlaMint-NO_2004-05-28-lower.ana.ud2255e131	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-05-28	2004-05-28	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-05-28	-	Reference	English	Regular	notMP	Minister	V	Venstre	Coalition	Centre	person.TOSO	Skogsholm, Torild	F	1959	
ParlaMint-NO-en_2004-05-28-lower	ParlaMint-NO_2004-05-28-lower.ana.ud2255e167	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-05-28	2004-05-28	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-05-28	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
ParlaMint-NO-en_2004-05-28-lower	ParlaMint-NO_2004-05-28-lower.ana.ud2255e175	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-05-28	2004-05-28	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-05-28	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
ParlaMint-NO-en_2004-05-28-lower	ParlaMint-NO_2004-05-28-lower.ana.ud2255e418	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2003-2004, Sitting day 2004-05-28	2004-05-28	Lower house	Term 2001-2005	Session 2003-2004	-	Sitting day 2004-05-28	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
