ParlaMint-NO_2004-06-17.ana.ud979e245	The representative Audun Bjørlo Lighthouse will make a private proposal.
ParlaMint-NO_2004-06-17.ana.ud979e248	On behalf of the representatives of Åsa Elvik, Heikki Holmås and myself, I will put forward proposals on the living conditions of single-parents and possible measures to improve them.
ParlaMint-NO_2004-06-17.ana.ud979e253	The representative Magnar Lund Bergo will make a private proposal.
ParlaMint-NO_2004-06-17.ana.ud979e256	On behalf of the representatives of May Hansen, Sigbjørn Molvik, Siri Hall Arnøy and myself, I would like to propose measures to limit the use of doping drugs among children and young people.
ParlaMint-NO_2004-06-17.ana.ud979e261	The representative Per Sandberg will make a private proposal.
ParlaMint-NO_2004-06-17.ana.ud979e264	On behalf of the representatives of Torbjørn Andersen, Ulf Erik Knudsen, Øyvind Waksdal, Øyvind Korsberg and myself, I would like to make proposals to limit the county council's right of objection in municipal level and area matters and to review the access to appeal against political decisions.
ParlaMint-NO_2004-06-17.ana.ud979e269	The proposals will be dealt with in a regulatory manner. Before the matters on today's map are dealt with, the President will propose that the morning's meeting continue beyond the regulatory time until noon. 16:00. - It is deemed to have been adopted.
ParlaMint-NO_2004-06-17.ana.ud979e286	No one has asked for the floor. [[See page 3484]]
ParlaMint-NO_2004-06-17.ana.ud979e301	At the request of the Municipal Committee, the President will propose that the debate be limited to 1 hour and 25 minutes and that speaking time be allocated to the groups as follows: Working Party 20 minutes, Right 15 minutes, Advance Party, Socialist Left Party, Christian People's Party and Center Party 10 minutes each, Left and Coast Party 5 minutes each. Furthermore, the President will propose that there be a replication of up to three lines with replies after the speeches of the main speakers of each party group and five lines with replies after the contributions of members of the Government within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. - It is deemed to have been adopted.
ParlaMint-NO_2004-06-17.ana.ud979e312	I feel the need to thank the entire Committee for a clean process during the examination of the proposal as rapporteur of the municipality's 2005 proposal. Furthermore, I would like to thank the Progress Party for its constructive cooperation and a good agreement. Major challenges related to rising demand and increased demand for good and adapted services will characterise the municipal sector in the coming years. I am pleased that an overall committee sees the need for change and innovation. It is also gratifying that there is a broad political will to strengthen local democracy and increase municipal freedom of action. The proximity of citizens gives municipalities a good starting point for adapting services to local needs and for looking at different services in a context. The provision of equivalent services of good quality and with good availability adapted to individual needs, irrespective of their country of residence, shall be undertaken by citizens. Work on the decentralisation of tasks, powers and responsibilities must be continued. Together with the Progress Party, government parties contribute to a growth in income in the municipal sector of between DKK 2 and 2.5 billion from 2004 to 2005, an increase that is in line with the increase over the last five and six years. Within this growth, funds are available for the follow-up of ongoing reforms and action plans, primarily for kindergartens and psychiatry. The other parties have proposals that imply further economic growth for the municipalities, but I assume that they will explain this in their respective articles. It will always be the case that more money is needed in a public service sector. Me and the Christian People's Party too would have wanted us to spend more money, but the increase in income must be seen in the context of the financial situation in the country, among other things. expenditure on pensions and sick pay has resulted in a high level of use of oil revenues. For the Government, it has been an overall strategy to pursue a tight economic policy, where the challenge is to find the balance between income and expenditure in terms of interest and crown value. The crown value is of great importance to our competitiveness, which is essential for maintaining the welfare community and reducing unemployment. It's been years since interest rates have been as low as they are now. It also benefits the municipal sector with several billion dollars in saved interest costs. The financial framework for 2005 must also be seen in the context of a historically high income growth in the municipal sector in the current year - a maximum necessary growth, we know that many municipalities are still struggling. Together with the potential for efficiency of the municipal sector, government parties believe that this will give local authorities room to strengthen the economic situation of municipalities in 2005. The target of 3 pst. in operating results, all of which are agreed upon, we believe we are in sight. Demographic developments in the next few years with several secondary school students are moving towards increased expenditure for county municipalities. An overall committee therefore agrees that the growth of the free income should be allocated in a co-ordinated manner between municipalities and county municipalities, which means a significantly higher percentage growth for county municipalities than for municipalities. The entire Committee sees the importance of the continuous efforts of municipalities to ensure the best possible services at the lowest possible cost. It also does the municipal sector itself. The central association of the municipalities showed on the committee hearing that there is an overall efficiency potential of about half a billion dollars a year over the next few years. Both the Workers' Party, the SV and the Centre are planning to enter into an obligatory plan to correct the imbalance in the local economy. The Government Parties and the Advance Party have an understanding of the objections raised by the Government to commit to the multi-annual, concrete escalation of the free revenues. However, we would stress the need for the Ministry, through the consultation mechanism in cooperation with the KS, to continue to focus on strengthening the financial situation of the municipal sector, including assessing how the imbalance can be corrected. During the consultation, KS made it clear that the local government sector was very concerned about improving the situation and referred to the 2003 operating performance of the local government sector as a confirmation. Intermunicipal cooperation is increasing. The Government Parties and the Advance Party believe that such cooperation can never replace the need for a sustainable municipal structure adapted to the current situation and challenges, but is only a useful complement. Fundamental objections to intercommunal cooperation are primarily related to deficits in democracy, large red tape, lower cost control and unclear distribution of responsibilities. It is timely to ask the question of the extensive inter-municipal cooperation that is taking place today may be a major need for structural changes in order to provide citizens with a better and more efficient service provision based on larger units, a wider professional environment and coordination of services. As I see it, the entire committee is concerned that the municipal structure debate must meet in an open and appropriate manner. Several of the lots underline the need for a more robust municipal structure. On behalf of the Christian People's Party, I would like to stress that it is a fundamental principle that municipal associations should be based on volunteering. This is also in line with the Sem Declaration. We look at this background with anticipation to the outcome of the ongoing project between KS and the Department. The municipalities are given the opportunity to put municipal structure on the agenda and to assess whether structural changes can be one of the responses to the challenges facing the local government sector. The Government proposes to return a share of the corporation tax to the municipalities from 2005. It will give local politicians incentives to invest in industrial development and value creation. This is a positive reform that we believe will be reflected in better services. In order to maintain well-being and reduce unemployment, it is essential that new jobs are created, including locally. The Government Parties and the Advance Party support this proposal. But the reform is comprehensive. We therefore want a broader decision-making base and several models worked out before we decide on model selection, phase-in and device. However, in order to safeguard the low-tax municipalities and to find a fair redistribution between municipalities, it is very important that, in parallel with the reversal of corporation tax, it is converted into symmetric income balancing. The Working Party, SV and the Centre reject the proposal and request that the Committee on Income Systems carry out an assessment of this reform. I'm counting on these parts to lay this out in more detail in their articles. In order to ensure municipalities and county municipalities the greatest possible degree of freedom, the government parties believe that framework grants should be the main funding model for the local government sector. Obviously, such freedom does not want the opposition to give to the local government sector. Indeed, these lots oppose the inclusion of several earmarked grants in the framework of the next year and will not decide on inclusion in 2006. We have recorded that the number of committees believes that the condition for the inclusion of earmarked schemes must be that they are fully funded. The Christian People's Party wonders about such a argument. Most designated schemes are financed by a combination of designation and framework transfer. In our view, including everything in the framework will mean that the municipality itself can dispose of the entire transfer according to local and individual needs without taking into account detailed government reporting requirements. It is to show in action that one is serious about strengthening local democracy. However, it is gratifying that the Progress Party agrees that the grant to host municipalities is partly included in the framework. The aim of this grant has been to protect 33 host municipalities of central institutions for mental retardation against redistribution effects in the income system. As a result of a reduction in the number of mental retardants currently covered by this earmarked scheme, the Ministry proposes to transfer about 84 million. kr to the ordinary income system. The proposition does not assess whether these funds should be included in the transitional arrangements of the income system. The Government Parties and the Advance Party are committed to ensuring that host municipalities are released in a harmless manner and therefore ask the Ministry to come back with a detailed assessment of this inclusion in the State budget for 2005. Reference is made in this connection to the meeting of the Committee with the host municipalities and the agreement concluded between the Ministry of Social Affairs and the host municipalities in 2001. Our assumption is that the Government will follow up the agreement regarding the transitional arrangement in this agreement. An overall committee suggests that there has been a different perception between the Süd-Trøndelag County Municipality and the Ministry of the Compensation for Hospital Outreachs related to the capital costs of the RIT 2000 extension. The entire Committee agrees that there is a need to put a point in this case, and agrees that South-Trundellag County provides a total final compensation of 55 million. kr via the discretionary funds. Finally, I would like to make the suggestions in the vote that we have taken up with the Right Party, the Advance Party and the Christian People's Party.
ParlaMint-NO_2004-06-17.ana.ud979e361	The representative has taken up the suggestions he himself has referred to. It's going to be line change.
