ParlaMint-NO_2004-10-27.ana.ud698e27	The called alternate of the Hordaland County, Pål Kårbø, has taken the seat.
ParlaMint-NO_2004-10-27.ana.ud698e53	On Monday the Stortingen received notice from the Prime Minister's office that the following members of the Government would meet for oral Question Time: Prime Minister Kjell Magne Bondevik State Council Knut Arild Hareide The advertised members of the government are present, and we are ready to start the oral question procedure. The representatives who, in addition to the pre-announced representatives, would like to ask questions of substance. – We then start with the first main questions, from the representative Jens Stoltenberg.
ParlaMint-NO_2004-10-27.ana.ud698e69	I have a question for the Prime Minister. A unanimous increase has established guidelines for arms exports, but it is the government’s responsibility to manage the legislation and make the specific decisions. Yesterday, it was claimed that the Workers' Party and the Advance Party had given green light to the decision to lend military laser equipment to the United States. That's not right, and I'm glad the Foreign Minister cancelled these false claims last night. Norway has lent military equipment to a war of which we are opponents. It supports the need for better procedures on these types of issues. Last year, the Workers' Party, the Centre Party and the SV promoted proposals to establish a separate inspection body for the export of weapons. What is the Prime Minister's assessment of the proposal for a separate arms export control body?
ParlaMint-NO_2004-10-27.ana.ud698e78	Of course, the government takes responsibility for the decisions we have taken. We have usually never required a retail declaration of exchange of material between NATO allies. Nor have we done so in this case. This was as well-known material that was borrowed before the war in Iraq. To Stoltenberg's question: I would like to discuss with Stortinget the transparency arrangements of the Stortinget on such questions, if the Stortinget so wishes. I would like to remind you that the Government delivers an annual paper on the sale and export of weapons to other countries. Loans are made to a large extent, often also by minors. We're willing to see if one in this message can also include more information about loans. But if you want to go to a detailed information, one in practice will introduce a licensing obligation, which may have unfortunate sides. In the case of a possible control body or a sample, SV's head of radio said today that she wants it, among other things. in order to have a public debate, and then obviously in advance of individual cases. I must strongly warn against that. It will deal with relations with other countries and with allies and will, of course, be able to reveal their shortcomings in defence. One can ask the question: if Norway, for example, Should we be in a crisis situation, would we like to see what shortcomings we have in our defence, and where do we have to ask for loans from others? It also has one side to the defence industry in terms of sales, because it would create uncertainty for buyers whom they would hardly accept, if one were to discuss in advance in a major body and – as the SV leader says – also publicly whether to sell. So it's not enough that SV now has realized that they have to state the resistance to NATO, they also have to understand what it means in practice.
ParlaMint-NO_2004-10-27.ana.ud698e87	I fully understand that there can be no publicity about each decision. Nor is it appropriate for the Storting to deal with each individual decision on the sale or loan of weapons. However, precisely because there can be no publicity about each decision and the Storting cannot deal with each decision, it is all the more important that the control and transparency of the decisions be optimised. We have a parallel to the secret services. We have a separate control body for the secret services, precisely to ensure even more that the legislation is complied with, that the necessary judgement is exercised, and that it has the necessary anchoring. It is a similar idea that underpins the proposal that was promoted last year by the Workers' Party, SV and the Centre Party: precisely because there can be no full publicity about all individual decisions, it is important that we have control bodies that take into account the considerations and the rules laid down by the Stortinget Code. That is the background to the proposal.
ParlaMint-NO_2004-10-27.ana.ud698e92	An ex-post check will of course not be as problematic as what I said about an organ that will give advice to the Government in advance and create a public debate, as Kristin Halvorsen said. I understood that it was – at least from her side – meant as a body that would give advice in advance and initiate a public debate. It will lead completely wrong out of farms. I am sure that the Workers' Party understands whether SV has not understood this. We like to discuss with Stortinget arrangements that can increase transparency, but I just want to make it clear that in terms of lending, this is very extensive and, to some extent, also of a lesser nature, and it can be very detailed.
ParlaMint-NO_2004-10-27.ana.ud698e99	The President will allow four follow-up questions – first Thorbjørn Jagland.
ParlaMint-NO_2004-10-27.ana.ud698e102	I'm glad of what the Prime Minister is saying. After all, the proposal that Jens Stoltenberg refers to was promoted by the three parties last year and voted down here in the Chamber. Now you might see the importance of having done what we asked for, namely to have this investigated by the Government, so that you could make a good proposal for the Stortinget that everyone could live with. And I don't think the Prime Minister should use the expression so unproblematic, because I think that this can just lead to the reverse, namely that these issues don't become as problematic as they really are, by having a control function that can notify the Storting if you think it's something that could conflict with the regulation, or that should have been further illuminated. I believe that the Government here should view this as positive and confirm that it is appropriate to address this issue and make a proposal to the Grand Duchy.
ParlaMint-NO_2004-10-27.ana.ud698e107	I would like to remind you once again that we are reporting to Stortinget regarding the sale and export of weapons, through an annual bigotage report, so that is where the Stortinget in plenary has the opportunity to test the policy. There is a limited amount of lending, but we will consider whether one can increase the information also in terms of lending. As I have been informed by the Defence Department, this is very extensive and detailed, and it is happening regularly. In addition to having a separate body, we have to assess, but it is a crucial difference whether there is a body to discuss individual matters in advance, as SV has given the impression, or whether there should be a body to evaluate what has been done in retrospect, as I understand the Workers' Party's opinion. And if the proposers have completely different opinions on this, at least it is useful to clarify it.
ParlaMint-NO_2004-10-27.ana.ud698e113	Carl I. Hagen – for follow-up questions.
ParlaMint-NO_2004-10-27.ana.ud698e116	Throughout yesterday, it was claimed by the government that the Progress Party and the Workers' Party had given a clear signal to this loan. For the Progress Party, of course, I can confirm that if we had been asked, whether it was official, formal or informal, we would have given our support to the loan. But it has come to the debate that it is believed that because some representatives of the Stortinget are being asked, it is the same as the Stortinget being informed and having given its permission. I would like the Prime Minister to confirm that this is not the situation, and that the Prime Minister assures the Storting that if it ever comes to saying that this is approved by the Storting, it should either be on the basis of a formal decision in the Chamber or on the basis of a clearly stated position in the enlarged Foreign Affairs Committee – that any consultation with individual representatives can never replace the formal information of the Stortinget and the real decision-making decision in the Stortinget. I would like that confirmation from the Prime Minister. And I guess it wouldn't have been so stupid to complain about what happened yesterday, when the Progress Party and the Workers' Party were wrongly involved.
ParlaMint-NO_2004-10-27.ana.ud698e121	This was the foreign minister's response last night. Neither he nor I nor other members of the government have said that the Stortinget or the Advance Party and the Workers' Party have given the green light for this. On the other hand, the Minister of Foreign Affairs made it quite clear that it is of course the responsibility of the Government. We know that in case the Storting only gives a clear signal through consultations in the bodies of Storting, as it is called, or in the Parliament. Of course, talking to individual representatives never replaces it. We are fully aware of that, and the Foreign Minister clearly told us about it.
ParlaMint-NO_2004-10-27.ana.ud698e126	Kristin Halvorsen – for follow-up questions.
ParlaMint-NO_2004-10-27.ana.ud698e129	Yes, SV believes that there should be much greater transparency on these issues, not in the sense that in a public debate, every single loan of military material between NATO countries should be approved, but in the sense that the principles are transparent and open to debate. What SV is asking about is why this case was not taken up directly and in transparency with Stortinget. So it was a situation around the fact that the United States went to war against Iraq on 20 March 2003, where, of course, it would mean considerable public attention if it were known that while the Prime Minister was standing on the pulpit of the Stortinge on 21 March and stated that this was a war that Norway thought was not in line with international law, Norwegian laser meters to help the United States hit its bombing targets in Iraq were in place in Kuwait. Did Bondevik know that these laser meters were in place in Kuwait at that time?
ParlaMint-NO_2004-10-27.ana.ud698e136	I knew of course that these were lent to the United States before the war. We did not ask – something we never do to allies – for an end-user statement. I see that SV has gone in for it. I agree with those who have said that it will be in practice to notify Norway out of NATO, because we know that our allies will never, of course, accept it. So SV has to innovate that they have to accept Norwegian NATO membership if they're going into a government – it doesn't seem they've done the right thing yet. Secondly, I have to say that I am a little surprised at the SV's behaviour in this matter. Because there was a public debate on a similar matter in March and in April last year. SV's defence spokesman, Kjetil Bjørklund, had a written question-and-answer exchange with the Foreign Minister twice, in March and in April last year, one before and one after the war had broken out. And SV didn't persecute it. The Minister for Foreign Affairs explained what is Norwegian policy. SV did not prosecute the case.
ParlaMint-NO_2004-10-27.ana.ud698e143	Marit Arnstad – for follow-up questions.
ParlaMint-NO_2004-10-27.ana.ud698e146	I am pleased that the Prime Minister now says that the Government has not informed the Storting in the way that is correct in these kinds of matters. Because there is a problem that there is uncertainty about that question, both in terms of whether there is a single party that has received information from the Government, and in terms of the fact that, in yesterday's NATO debate, the Minister of Foreign Affairs actually gave the impression that answers to written questions were to be an adequate information between government and big business. When creating the kind of uncertainty about the information flow between government and collapse, could it not be a good solution to set up a control committee in this area that could have just been a sensible information channel between collapse and government beyond the two formal information channels we have in this type of context, namely an open-ended and the enlarged Foreign Affairs Committee? Does the Prime Minister not see that a control committee in this context could be a good link between government and big business?
ParlaMint-NO_2004-10-27.ana.ud698e153	I have answered questions from the representative Stoltenberg. A body that will discuss individual matters in advance with regard to the loan or sale of weapons, I would warn against. It will be to mix the roles between government and magnification. If the Government needs advice, of course, a person can use the extended Foreign Affairs Committee, and I would also like to consider other forms that the Workers' Party has requested. I don't know how to perceive Marit Arnstad's first sentence, that we haven't properly informed. It has not been common to go to Stortinget with such individual things, and we really had no reason to believe that was necessary either, because SVs Bjørklund had asked two questions about a similar case, which also applied to Iraq, and it was not persecuted into the hall here, something the Stortinge could have done, of course, if you thought it was right. I also note that the leader of the Central Party, Åslaug Haga, 17 March 2003, three days before the war broke out, said: As long as we have a weapons industry in Norway and do not want to put it down, we must be able to sell weapons to our closest allies. That's what we had to be able to build on.
ParlaMint-NO_2004-10-27.ana.ud698e164	Let's go to the next main question.
ParlaMint-NO_2004-10-27.ana.ud698e167	I have a question for the Prime Minister about the non-governmental organisations, the third sector, for which the Prime Minister often speaks hotly. Voluntary organisations and humanitarian organisations have received significant revenues from automated gambling for many years. For 30 years, the rescue company has only had billing bags and even more modern machines as its main source of income. The majority of the population, all except the Advance Party, have decided to give monopoly to Norwegian Tipping from 1 January this year. This was supported by the Red Cross and the Rescue Company as the largest, with protests from hundreds of smaller, non-governmental organisations and sports teams that thus lost income. Now the President of the Rescue Company, Magnus Stangeland, and the Secretary-General, Monica Kristensen Solås, have come to terms with this and in a letter asked that the decision to give monopoly to Norsk Tipping be repealed, and that the decision be reversed, because they are going to risk losing one third of their income next year. Will the Prime Minister suspend implementation and reverse this decision?
ParlaMint-NO_2004-10-27.ana.ud698e179	We do not intend to do that, because we do not agree with ESA's assessment that Norsk Tipping cannot be granted the exclusive right to operate vending machines in Norway. The background for this is that this had a discoloration. And I also hope the representative Hagen is taking over the significant social problem we've had with gambling addiction. The vending machines, more than any other legal gambling or lottery in Norway, are the things that now create great gambling addiction. This is a big problem for young people and families. This had to come under a completely different control, and going back to the release system we had, I hope no one in Stortinget will be in charge. ESA has disagreed with the way we've organized it. We do not agree with the premise or the conclusion to this. We believe it is right to try this case before the Court of Justice, and we will show that similar gambling monopolies are established in EU countries such as Sweden and Finland. It is not that we in Norway immediately speak against ESA, should flatten ourselves and say that OK, then we have to accept it or postpone the implementation of the scheme we have agreed to and have the Stortingen join. We think this is such a significant problem today that we intend to get this under control, and we will try on the good proposal that the bulk of the population is behind.
ParlaMint-NO_2004-10-27.ana.ud698e188	It is okay that the Prime Minister reads an answer to a question that was not asked, I have no problem with that. But I didn't ask any questions about ESA at all, I didn't touch ESA. I talked about the Rescue Company, which is in great fear of losing one third of its revenues next year and had to complete large parts of its operations along the coast, and about other non-governmental organisations losing their revenues. That's the issue. Otherwise, I'll just be allowed to say that I'm also deeply concerned about gambling addiction. It's just that a monopoly has nothing to do with it. It is fully possible for the Government to establish guidelines for the types of vending machines, how to deploy them, when they are to be used – completely independent of the operator of the vending machine. The regulation that makes sense to counteract gambling dependence, if any, can be made in completely different ways. Is the Prime Minister also aware, when he himself brings in ESA, that there is a risk of billions of dollars in the matter raised by ESA before the Court – and it is soon only the Government who believes Norway will win it – because the Government will not listen to the common sense of the organizations?
ParlaMint-NO_2004-10-27.ana.ud698e197	I actually answered Mr. Hagen's question, because it was whether or not we wanted to postpone the arrangement. And I said no to that. So he got the answer. He cannot turn away by saying that he did not take up ESA, for everyone knows that it was ESA that was behind the rescue company's letter. It was not to read up from a script written in advance, it was actually an answer to Hagen's question. I know the background of the question and therefore chose to comment on it. I am pleased that the representative Hagen obviously does not want to go back to the old scheme, where there was a kind of release for this, which created an uncontrollable situation and a great deal of gambling addiction. That has to be the starting point. We believe that the system we have set up is so good – and it has parallels in Sweden and Finland, which are EU countries – that we have no reason to be flattened for an ESA opinion at once. Of course, we consider all the questions raised by the representative Hagen – the question of compensation, that organisations should be kept harmless. If we do not agree with the EFTA Court, we must find other ways of regulating this, for the same social policy purpose.
ParlaMint-NO_2004-10-27.ana.ud698e208	There will be follow-up questions - Karin S. Woldseth.
ParlaMint-NO_2004-10-27.ana.ud698e211	The Prime Minister refers twice to Sweden. The EU has just sent a sharp letter to Sweden saying that this is contrary to EU regulations. The Prime Minister also refers to social policy in the case of gambling addiction. The ESA opinion states that it cannot be seen that gambling dependence is necessarily reduced by the introduction of monopolies. Now that we are also familiar with the Norwegian Typing strategy, which is to increase the number of players to double and increase turnover, my question is: Does the Prime Minister think monopoly is an instrument that reduces gambling dependence? And doesn't he see that there seems something self-contradicting with the increase in the number of players and the increase in turnover on the one hand and the decrease in the number of game addicts on the other?
ParlaMint-NO_2004-10-27.ana.ud698e218	We've had that debate before, but we can repeat it. The majority has agreed that a monopoly is the best way to regulate it. We've got a majority for that. And I guess that's because the Stortinget thought there was a good way to control this. I think that Norsk Typing, who also has experience from other big games, is in charge of this, gives the best control. That's why we want to fight for it. We are also aware that the European Union has sent a so-called sharp letter to Sweden, but this may indicate that we are getting our closest neighbours as allies in this fight. I do not have the position of the European Union and the EFTA bodies that we should be flattening as soon as they disagree with us. I have not understood that either should be the position of Stortinge. We have to stand up and fight for what we think is right, and then we'll see if we win. And if we're not going to do that, we're going to have to consider other ways to get as good a control as possible with this. Because I don't think anyone should underestimate the problem of gambling addiction today represents for many people.
ParlaMint-NO_2004-10-27.ana.ud698e227	Magnar Lund Bergo – for follow-up questions.
ParlaMint-NO_2004-10-27.ana.ud698e230	The government fully supports the initiatives taken to control the problem of gambling addiction. An industry that was out of control in 2001, with a turnover of DKK 8 billion on vending machines, has grown in three years to a turnover of more than NOK 22 billion. The private operators in the market operating these vending machines do all they can to doubt the settlement and the guarantee given by the accumulation and government to voluntary teams and organisations and humanitarian organisations that they will continue to have a level of revenue as they did in 2001. Can the Prime Minister confirm that this agreement is in place?
ParlaMint-NO_2004-10-27.ana.ud698e237	Yes, we have not changed that agreement, as far as I am aware, and I am pleased with SV's support in this matter. It shows, as I assumed, that we have a majority in the Grand Duchy to try to preserve the system that has been adopted and that I believe represents the best form of control.
ParlaMint-NO_2004-10-27.ana.ud698e242	Let's move on to the next main question.
ParlaMint-NO_2004-10-27.ana.ud698e245	I would like to ask the Prime Minister a question. On 8 February 1996, the Stortinget had five proposals from the SV on arms exports. One proposal was: ‘The granting of an export licence for the export of military materials shall require the submission of a certified end-user statement with a re-export clause irrespective of the country to which it is exported. This applies to exports of final products and to exports of parts of weapons.» This proposal was put together by the SV, the Christian People's Party and the Central Party on 8 February 1996. Today Prime Minister Kjell Magne Bondevik believes that the Christian People's Party voted in favour of Norwegian NATO withdrawal at this time. I would like the Prime Minister's explanation for this.
ParlaMint-NO_2004-10-27.ana.ud698e260	Yes, we have come to the recognition, with the government experience we have, that this will be extremely unwise. I also believe that the Kristin Halvorsen will come to that realization if she, for whom she is now in a violent state, becomes a member of the government.
ParlaMint-NO_2004-10-27.ana.ud698e265	I think maybe the prime minister should be dampening a couple of dots about what's going on in arms exports. Both yesterday and today, the Minister of Foreign Affairs and the Prime Minister have almost produced it as if this were a sort of expedition case for the Norwegian authorities. Is it really that Norway has no discretion? And how could it be that many bells have been ringing in the defense and saying that one was dependent on approval in the United Nations and by the Norwegian authorities for this loan to be carried out? Is there greater political discretion in Defense than in the Government?
