ParlaMint-NO_2004-03-30.ana.ud2301e55	The called alternate of the Akershu County, Harald Espelund, has taken the seat.
ParlaMint-NO_2004-03-30.ana.ud2301e63	The President will propose the election of a President-in-Office of the European Parliament today – and consider it adopted. The President is asking for proposals from the President-in-Office.
ParlaMint-NO_2004-03-30.ana.ud2301e68	I suggest Øyvind Halleraker.
ParlaMint-NO_2004-03-30.ana.ud2301e73	Mr. Øyvind Halleraker has been proposed as President-in-Office. – Other proposals are not available, and Øyvind Halleraker is unanimously elected president of the Stortinget meeting today.
ParlaMint-NO_2004-03-30.ana.ud2301e92	At the request of the Family, Culture and Administrative Committee, the President will propose that speaking time be limited to 5 minutes to each group and 5 minutes to members of the Government. Furthermore, the President will propose that five lines of response be given to comments by members of the Government within the allocated speaking time. In addition, the President will propose that those who sign up to the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2004-03-30.ana.ud2301e101	The question of establishing a government representation facility with Prime Minister residence was first raised in 1999. The Prime Minister's office then commissioned State Building to draw up a sketch project for a representation facility for the government with Prime Minister's residence based on an overall use of the State properties in Parkwegen 45, Riddervolds Gate 2 and Incognitogate 18 in Oslo. State buildings considered that the three State properties in common would provide a good starting point for a functional and not least safety solution. The revised national budget for 1999 decided to continue the project for a completed project before final decision on the possible implementation of the project was taken. In the 2002 government budget, it was announced that the government did not want to move forward with the project. However, it was announced that State Building had been asked to prepare for the Incognitogate project and also to assess whether it was possible to project a Prime Minister’s dwelling with a different location. The majority of the Committee, with the exception of the members of the Progress Party, have noted that it has not been possible to find another property with a central location of the Oslo Centre suitable for both representation facilities and Prime Minister residence. Based on this project, state buildings have been transformed. The up-to-date cost calculations show that the total cost of implementing an overall installation will be 254 million. kr. Total costs show that one is facing a highly complex project, where the main challenges have been to combine safety requirements with the care of antiques. State buildings have announced that they expect to spend one-and-a-half years on retail design, and a construction time of approx. two years. The majority believe that by this arrangement one will have a functional and comprehensive representation facility for government and Prime Minister. The majority have pointed out that recent events, both nationally and internationally, have revealed the need to establish better security around government and prime minister. The same majority therefore emphasise that for safety reasons it makes sense to establish a single installation. In addition, it will be practical and useful for the Prime Minister to live centrally in a dwelling with its respective representation facilities. In addition, it should be able to offer a guest facility to accommodate visitors for whom it is obliged to cover the costs. There is also a need to expand the meeting room capacity, both for guests and for other events. The establishment of a single government facility can draw on common resources with regard to different support functions. Therefore, on the basis of an overall assessment, the majority, all except the members of the Progress Party, will support the Government’s proposal to establish a representation facility for the Government and ask the Government to continue to implement the plans. However, the majority, the Labour Party and the Government Parties will point out that the project incurs considerable costs and will underline the importance of not exceeding the framework of the project. The centre party supports the proposal for an overall installation but will set a cost framework of 200 million. kr. The minority, members of the Progress Party and SV, have differing comments and suggestions, and ask, among other things. The Government to ‘establish the possible establishment of a Prime Minister’s dwelling with a different location from that proposed. The investigation should assess other locations in Oslo or in the surrounding municipalities that may be suitable for alternative location’. But I expect that the Progress Party and the SV themselves will justify their proposal. In conclusion, I would like to stress again that this is an overall representation facility for the entire government, and not a purely Prime Minister's dwelling, as the Progress Party and SV mention it in their comments and proposals. State Building and the Government have investigated this matter and found out that the Parkwegen complex is the best option. In our opinion, there is nothing to suggest that the Storting should review the safety assessments that the Government has made here, and I have full confidence that this is well taken care of.
ParlaMint-NO_2004-03-30.ana.ud2301e127	The time has come for Norway to think that the Prime Minister should have his own Prime Minister's dwelling, and then it was natural to think that this should also include the residence of representation and possibly a facility that contained the accommodation part for overnight stays, especially for foreign guests. The case of an investigation was launched in 1999, as the case-in-law rapporteur Sonja Irene Sjøli also said. Then it was the Bondevik I government that put in power. State buildings were to carry out the investigation according to criteria from the Prime Minister's office. Since then, different governments have had a hold on the matter. One of the strongest criteria was the importance of security. We all know that there have been events outside the world that have clearly highlighted the need for protection for the government and Prime Minister in Norway. With the terror we experience around the world, now last in Madrid, one should be leading were in terms of security around state heads. Another requirement was that the plant should be centred and contain all the facilities. I believe that these criteria are now met by what is described in the communication, and that the work has been carried out in close cooperation with the police security department. One of the reasons why the choice has fallen on the Parkweg and surrounding areas, where everything is concentrated in one facility, is that this will ensure security for both the Prime Minister and the Prime Minister's guests. The government’s representation facilities in Parkvejen 45, Ridervolds Gate 2 and Incognitogaten 18 will together consist of approx. 5,000 m2. There are large areas and in the notification there are no other buildings with a different location and size mentioned as a possible alternative to the Parkway. It is only in the message that no other centralized property has been found that appears to be more suitable than the Parkway and nearby area. Perhaps Stortinget should be better informed about the properties that may have been included in the assessments. It's just been five years since Statsbygg gave his first sketch in March 1999. For sketches and foreprojects, 5.5 million have been used. NOK and in addition, State Building has spent 1 million. out of its own budget. In 2000, the plant was calculated at 212.8 million. So it's going to be $254 million. kr. That's an increase of over 40 million. kr, and it goes without saying that as time passes without a decision being made, the project will be even more expensive. There is a safety margin of 36.6 million. kr for expected unknown expenses and a reserve of 21,9 million. NOK, which is required by Stortinget, and it would be very desirable if this money were not used. The Labour Party and the government parties have submitted a comment, which the case-rapporteur also said, that the framework should under no circumstances be exceeded, and that is what we expect to be respected. The working party believes that 254 million. kr is an enormous sum, and of course there are immeasurably large concerns about spending so much money for a Prime Minister to have an owner-occupied dwelling with its facilities. Nevertheless, the conclusion is that the time has come to make a decision on this matter, and that the Parkwegen plant, which is both central and functional for various receptions and arrangements, which can accommodate guests, who are easy to operate in safety, and which can also be easily used by the Ministry of Foreign Affairs, is a facility for which we can go. And then you're left to see who's going to be at the move-in party.
ParlaMint-NO_2004-03-30.ana.ud2301e150	To begin with, the previous speaker was relaxed: it is very nice to see the Prime Minister present during one of our debates. It's very rare we have that joy. The interest in housing issues may indicate that he intends to sit for a while. The Party of Advances and SV sees the need for a Prime Minister's dwelling, both in the interests of representation and security. However, we believe that it is important to balance the need for security for the Prime Minister against the disadvantages and uncertainties that this project imposes on others. The government has proposed that the Prime Minister’s dwelling be located in a strip containing many dwellings. There are already special security needs around events in the representative residence in Parkwegen that residents nearby see as a significant burden. It is evident that the security need for a future Prime Minister’s dwelling will far exceed what is necessary for the present residence of representation. Even in our part of the world, we have to assume that such needs can increase and thus impose additional pressures on the environment. With the Government's proposal, the Prime Minister's dwelling will be located near existing private homes. In the same street there is also a tram line that cannot take alternative trajectories in situations where security preparedness needs to be increased. The proposed location is also in close proximity to the Castle. Placing a new possible terrorist object in the castle's neighbourhood cannot be beneficial. The Progress Party believes that the security of which should be one of the key reasons for the location of Prime Minister’s residence should be placed elsewhere. In particular, sites with a greater distance from third parties should be considered. It's also clear that the project is going to be very expensive, over 250 million. kr is a significant sum. This should in itself be the basis for looking at other solutions. Against this background, we believe that a Prime Minister's residence should be investigated with a different location than the inhabited, densely trafficked directly behind the Castle. We recommend that you examine whether there are localisations in Oslo or in the surrounding municipalities that can be suitable as an alternative. For example, it has to be. be able to find suitable villas which could be purchased at a significantly lower price. It is, of course, difficult to assess the cost of such alternative locations, but it should be possible to obtain a good and safe housing within an orphanage, for example. 100-150 million. kr. On behalf of the Progress Party and SV, I would like to address the proposal referred to in the vote.
ParlaMint-NO_2004-03-30.ana.ud2301e163	The representative Ulf Erik Knudsen has taken up the proposal he referred to.
ParlaMint-NO_2004-03-30.ana.ud2301e166	The Christian People's Party believes there are clear advantages in establishing a representation facility for the Government with extended accommodation and meeting rooms as well as a separate Prime Minister's residence. I mean, two of the parties in the committee have been bombing here, because we're working on an entire representation facility with meeting rooms, accommodation for international guests and a prime minister residence. I will give tribute to the Government, which actually promotes a matter like this. This is a matter that can be quickly abused populistly in the media and by some parties. Now it is not certain that there is an imminent risk that these batches will be used for such a representation facility with the first, but it remains to be seen. The current guest house in Parkvejen 45 is already widely used for representation purposes, primarily for meetings, receptions and dinners. By expanding the two adjacent properties you will be able to have a larger and more functional and comprehensive representation facility for the Government. The monk tray in Bærum is played as an alternative through the media. The alternative has been assessed, but not found appropriate, including: in the light of lack of accommodation and representation facilities for the Government. State buildings have worked on the project. The updated cost calculations show, as several have mentioned, total costs of 254 million. kr. This is a lot, and the Christian People's Party will stress that in this project, which in all the projects in which the state is involved, it is important to have good governance and cost control. We also record the introduction of a buffer to ensure that the financial framework is respected. Landsbygg expects to spend one and a half years on retail design, and the construction time will be approx. two years. As I said, the Christian People's Party believes that there are clear advantages in establishing a representation facility for the Government with extended accommodation and meeting rooms as well as a separate Prime Minister's residence. The current guest house in Parkvejen 45 is used primarily for meetings, receptions and dinners. It is important to underline the safety aspect. We have seen that there have been events in the last year that also lead to an increased need for security around both the Prime Minister and the Government, and also when we have foreign guests visiting. And for security reasons, we think it makes sense to establish a single facility for representation and Prime Minister's residence. The State should be able to offer a guest facility to accommodate visitors for whom the State is initially obliged to cover expenditure under existing standards for visits to foreign delegations. In fact, it may be a bit awkward to think that today the state cannot offer a guest facility that can accommodate the number of visitors for which the country is obliged to cover the costs, i.e. up to 15 persons during visits to heads of state. Safety will be easier to handle if we can place them in one representation facility. There is also a need for an expanded meeting room capacity in relation to what we have today. Both for lodged guests and for other meeting events such a facility would be appropriate. Based on an overall assessment, the Christian People's Party, together with the majority of the Committee, will support the proposal to establish a representation facility for the Government, including a Prime Minister's residence.
ParlaMint-NO_2004-03-30.ana.ud2301e189	It could have been interesting and exciting to start a debate on who is going to sit in this future Prime Minister's building, as it has tended in the debate here. The Central Party supports the proposal to set up a representation facility for the Government with a Prime Minister's Building. The case spokesperson had a thorough review of the case, and therefore I do not see the need to repeat what the case spokesperson said in an excellent way. But we think that the frame has been set slightly high, and we therefore suggest that the entire project be realized within a 200 million frame. kr. 200 million. kr is also a significant amount. I take this up with me the proposal of the Centre Party, proposal No. 2, which is listed on page 3 of the option.
