ParlaMint-NO_2004-02-11.ana.ud831e28	The representative of John I. Alvheim will make a private proposal.
ParlaMint-NO_2004-02-11.ana.ud831e31	On behalf of the representative Harald T. Nesvik and myself, I propose that the Health Directorate should be given the approval authority of the crew plans at the hospital and in the home hospital, so that the treatment and care of sick elderly people is ensured a professionally sound level of staff, regardless of their place of residence.
ParlaMint-NO_2004-02-11.ana.ud831e36	The representative of Øyvind Korsberg will make a private proposal.
ParlaMint-NO_2004-02-11.ana.ud831e39	On behalf of the representatives of Kenneth Svendsen, Jan Arild Ellingsen, Thore A. Nistad, Per Roar Bredvold, Ulf Erik Knudsen, Øyvind Waksdal and myself, I propose that permission for the use of snowmobiles in special loops be made general, and that the authority granted by law be transferred from the county to the individual municipality.
ParlaMint-NO_2004-02-11.ana.ud831e44	The representative of Inga Marte Thorkildsen will make a private proposal.
ParlaMint-NO_2004-02-11.ana.ud831e47	On behalf of the representatives of May Hansen, Heikki Holmås and myself, I propose measures to provide victims for incest.
ParlaMint-NO_2004-02-11.ana.ud831e52	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2004-02-11.ana.ud831e74	On Monday the Stortingen received notice from the Prime Minister's office that the following members of the Government would meet for oral Question Time: State Council Hilde Frafjord Johnson State Council Einar Steensnæs State Council Kristin Krohn Devold The announced members of the government are present, and we are ready to start the oral question procedure. The representatives who, in addition to the pre-announced representatives, wish to ask themselves the main questions asked. – We then start with the first main question, from the representative of Øyvind Vaksdal.
ParlaMint-NO_2004-02-11.ana.ud831e93	My question goes to the Minister of Oil and Energy. The government has repeatedly stated that it wants to increase the use of gas in Norway. But despite these beautiful words, last year we experienced the government entering into an agreement with the Socialist Left to postpone this development. Again, the Government showed its total lack of power in energy matters. In the fall we were told that the government would come to Stortinget with a follow-up to this gas message before Easter. But this is now postponed until June, which means that a decision in Stortinget can only be made next winter. Once again, we are experiencing a decision-repudiation and paralysis on the part of the Government, which has gradually become a pattern. Will the Council of State explain why it is so important for the Government to prevent the Norwegian people and the Norwegian business community from having ample access to energy at reasonable prices?
ParlaMint-NO_2004-02-11.ana.ud831e104	This government has taken the initiative of a number of important measures to increase domestic use of gas. When the government presented its gas report last year, I found that the government in most areas had broad support for its strategy. That strategy did not join the Progress Party. I have explained on several occasions both the Progress Party and the representative, Mr Vaksdal, what is in the Government's strategy, among other things. the desire to build more gas power stations with CO2 management and the Government is in favour of allowing the three concessions granted for conventional gas power stations on both Forest, Kårstø and Kollsnes to go, so that it is up to the owners whether or not to build these gas power stations. The owners have so far found that the gas price in relation to the prices in the power market is such that it would not be profitable to build these gas power stations. I have also agreed with the Labour Party in last year's budgetary conciliation negotiations that a new big message should be submitted to follow up more concretely, among others. a programme of grants to pilot plants. This Communication will be followed up in spring 2004, as foreseen. This is an extensive work, including: NVE has several tasks in order to assess costs and technical solutions and other important clarifications that can provide a decision-making basis for the Stortinge to assess the various proposals. So this message comes in the spring of 2004, exactly as the Stortinge has suggested.
ParlaMint-NO_2004-02-11.ana.ud831e113	I thank the Council of State for the answer, which basically underlined the lack of strategy of the Government in this area. In the ordinary questionnaire a week ago, I confronted the Council of State with his follow-up to the Storting's decision in various energy areas, which he obviously did not like. He called this "sudden" and "untimely" accusations. When I asked questions about the follow-up by the Government to the Stortinget decision of 9 March 2000, that Norwegian gas power plants should be subject to the same framework conditions as others in the EEA area, I received the following answer: ‘This Council of State follows on to the point and points all the decisions of the Grand Duchy chosen in 2001’.» I'm somewhat amazed at this. If this means that the Council of State will only follow the decisions taken after this time, it is very serious in this case. Or will the Council of State here and now confirm that he intends to follow the decisions of big business in any case, and whether or not he likes them?
ParlaMint-NO_2004-02-11.ana.ud831e125	This is very easy to answer, because the government of course follows all the decisions that a big deal has made. However, if a new increase takes new decisions and sets other timetables and progress plans, it will also determine the government's own proposals. I have repeatedly pointed out to the Stortinget and to the representative of Øyvind Waksdal that the Government of course follows the decision of the Storting. Then I think it is bad that the representative Vaksdal repeatedly comes back and claims the opposite. I would urge the representative, Mr Vaksdal, to identify concrete issues in which the Council of State and the Government do not follow up decisions on the basis. In these matters for which I am responsible, which concerns the follow-up of gas power plants, which relate to the follow-up of increased use of gas in Norway, I have, to the point and point, followed up on all points what the Storting has adopted.
ParlaMint-NO_2004-02-11.ana.ud831e132	There will be follow-up questions – Øyvind Korsberg.
ParlaMint-NO_2004-02-11.ana.ud831e135	The energy research environment in Trondheim is at the forefront of the development of technology for CO2-free gas power plants. What they're saying is that such a solution lies approximately. 10 years in advance if this is also to be commercially possible with regard to the price of the power market. So when State Council Steensnæs and others use expressions like "old-fashioned technology" about the technology that exists today, which is the best on the market, it's about today's technology. The Labour Party has constantly called for Norway to build gas power plants within the framework of our climate commitments. How many gas power plants can be built in Norway such a situation is now, in the next years, without it happening outside our climate commitments? Then I am talking about the technology that exists today, and not about the future technology that others are talking about.
ParlaMint-NO_2004-02-11.ana.ud831e142	The government is taking seriously the ability to combine important considerations of energy supply and security of supply with the international commitments we have taken on in terms of the environment and climate. We believe that this can be done in a proper way by the Government spending considerable resources on developing technologies that can generate gas power plants with CO2 management. It explains the government's strategy and willingness to bet. We have agreed to co-finance both a substantial part of a pilot plant for gas power plants and to co-finance the additional costs that a full scale gas power plant will entail. If one is now putting this strategy aside and only wants to invest in conventional gas power plants, it is obvious that it will not be compatible with our international obligations – that is, contrary to what the Storting has also adopted.
ParlaMint-NO_2004-02-11.ana.ud831e150	Rolf Terje Klungland – for follow-up questions.
ParlaMint-NO_2004-02-11.ana.ud831e153	Norway as a welfare nation is built up because our ancestors used and have used the natural resources that we have had. Norway has approx. 40 pst. of gas resources in Western Europe and 1 pst. by the population. Land around us is now going to use the gas to meet its environmental obligations. Countries around us will actually subsidize Norwegian gas in relation to alternative energy sources. But in Norway, we have a government and a state council that only speaks well, and has not come to any action. My question to the Council of State is therefore: Why is there this labre interest in the Government? Is it related to the Bondevik I government choosing to leave because they would not build gas power plants, which has led to an increase in CO2 emissions?
ParlaMint-NO_2004-02-11.ana.ud831e160	I am very pleased that the Workers' Party was with the Government on this year's budget, where among other things. Significant attention was paid to gas power stations with CO2 handling. Just in the light of the budgetary agreement with the Workers' Party, the Ministry of Oil and Energy is now working with its own big business message, which will follow up more concretely the big business message presented by the Government last year. It is a responsible effort to ensure security of supply, while this strategy allows us to meet the international climate commitments we have entered into. I am very pleased that the Workers' Party has supported this – also widely – in the case of the Storing Message. I assume that the representative Rolf Terje Klungland is also part of the consensus behind the budgetary agreement. We work purposefully to realize these gas power plants. I think it's very interesting that we now also get an international initiative here, which makes it more realistic for us to see that this can be realized within a reasonable timescale, preferably before 2010. But this depends on how technology evolves.
ParlaMint-NO_2004-02-11.ana.ud831e167	Ingvild Vaggen Malvik – for follow-up questions.
ParlaMint-NO_2004-02-11.ana.ud831e170	The representative of Vaksdal highlighted in an excellent way the gas settlement made by the government parties with SV last year on a responsible energy policy and a responsible investigation into domestic gas use in Norway. But at the same time, in connection with that gas communication, there was also a unanimous committee in favour of Norwegian accession to the EU renewable directive. All members of the committee took part in the vote. It is a directive – now I am not initially very much in line with EU directives, but it happens that flowers also grow on dung – which is aimed at increasing the share of renewable electricity production. I would like the Council of State to tell us about the status of the negotiations with the EU, and when we can get a Norwegian vote in favour of this directive, which we have repeatedly called for on the table in Stortinget.
ParlaMint-NO_2004-02-11.ana.ud831e177	I would like to confirm that the Government is in favour of implementing the renewable directive in Norwegian legislation and that Norway is joining this directive. However, Norway is in a completely unique situation with regard to renewable electricity compared to all other EU countries. It's because of our environmentally friendly hydropower, which already makes 99 pst. of our electricity is produced by hydropower. It also makes us particularly need to adapt to the renewable directive. We are in dialogue with the European Union on this. I have hope that we will get a positive result. I cannot say anything more about the timetable and the progress plan. But I can assure you that this is a directive which, in its device, intention and purpose, is entirely in line with what the Government wants to achieve.
ParlaMint-NO_2004-02-11.ana.ud831e182	Let's move on to the next main question.
ParlaMint-NO_2004-02-11.ana.ud831e185	I have a question for the Minister of Defence. According to an NTB message yesterday, which is reproduced in the Evening Post, claimed, among others. Russia’s defence minister last weekend in Munich that the NATO leadership in Afghanistan secures loyalty from the warlords and other Afghan leaders by allowing drug trafficking. The article refers to the explosion of opium production in Afghanistan since the Taliban regime was overthrown. The UN estimates that last year 3600 tonnes of opium were produced in Afghanistan, an increase of 6 pst. from the previous year. This was two-thirds of all opium in the world. There is talk of drugs worth NOK 16 billion. I would like to ask the Council of State whether it is right that the ISAF forces and, for that matter, the other forces in Afghanistan also look through the fingers of the drug trade, which then leads to a sharp increase.
ParlaMint-NO_2004-02-11.ana.ud831e194	Let me first say that I share the concerns of the representative Marit Nybakk related to opium production and drug exports from Afghanistan. There's no new problem. Afghanistan has been the largest exporter of opium products for many, many years, even when I was in charge of the Justice Committee. This problem only shows that the situation in Afghanistan needs to be addressed in a number of areas and in far more areas than that of the military. If we are to get rid of opium production in Afghanistan, we need to do this by giving the farmers in Afghanistan something else to feed on, with alternative development, alternative activities. We need to cooperate with those who run civil institution building, with the police and the judiciary. We need to cooperate with the legal authorities of Afghanistan, President Karzai and his government, and give them the opportunity to put power behind their regime also in the districts. And then, of course, we have to provide security in the regions through military operations. NATO must act on the mandate of NATO. ISAF must act on the mandate of ISAF. And it's been primarily security and stabilisation. But the reason that both Kofi Annan and President Karzai have been so concerned about getting NATO and ISAF to engage outside Kabul is precisely the need to create a security situation in the regions that enables national authorities to exercise effective national control over the regions. That is why I think the best way to use NATO today is to move ahead with the development of the PRTs – the Provincial Reconstruction Team – that now SACEUR has a plan for last weekend in Munich, and that Norway is willing to take its share of responsibility, so that it is safe enough in each region to defeat criminal behaviour and unwanted behaviour, including drug exports and production.
ParlaMint-NO_2004-02-11.ana.ud831e201	I thank the Council of State for the answer, and I share far on the way to what she says. Norway is now participating in the stabilisation force in ISAF, and that is where we are going to concentrate in Afghanistan. It's as we know now a NATO-led force. As a result, Norway also has a joint responsibility to contribute to the efforts of the Afghan authorities to deal with drug traffic. And remember, this is also a security problem for neighbouring countries, i.e. the Central Asian countries, among others. Uzbekistan, taking into account the north-west route through Uzbekistan. The British Council of State Bill Rammel said at an expert conference this weekend that if this problem is not resolved, there will never be a safe and sustainable future in Afghanistan. I would therefore also encourage the Council of State that the Norwegian Government is even more committed to this very difficult issue, but a question that needs to be resolved.
