ParlaMint-NO_2004-12-07.ana.ud735e44	The representative, Karin Andersen, will make a private proposal.
ParlaMint-NO_2004-12-07.ana.ud735e47	On behalf of the representative May Hansen and myself, I would like to put forward proposals to cover expenditure on municipal services for women who are displaced from forced marriage and who are in crisis centres in a municipality other than the municipality of residence.
ParlaMint-NO_2004-12-07.ana.ud735e52	The proposal will be dealt with in a regulatory manner. At the request of the Committee on Transport, the President will propose that cases be brought before the Court of Justice of the European Communities. 1 and 2 are dealt with as a whole – and consider it to be adopted.
ParlaMint-NO_2004-12-07.ana.ud735e77	At the request of the Committee on Transport, the President will propose that the debate be limited to 2 hours and 40 minutes and that speaking time be allocated to the groups as follows: Working Party 40 minutes, Right 35 minutes, Advance Party 25 minutes, Socialist Left Party and Christian People's Party 20 minutes each, Center Party 10 minutes, Left and Coast Party 5 minutes each. Furthermore, the President will propose that there be a replication of up to three lines with replies after the speeches of the main speakers of each party group and five lines with replies after the contributions of members of the Government within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2004-12-07.ana.ud735e88	The budget to be adopted later today is the fourth budget for this period. It is a temporary end to a transport revolution that we have implemented with this budget and the three previous budgets. Even in a situation where we have had to have a tight government budget to re-establish the economy in the country, in order to make it possible to achieve economic development and secure jobs, we have found room for a significant increase in the opportunities for transport over the past four years. We've got a lot of things to do. triple the routes to Avinor, in support of regional airports. We have a budget of billions annually when it comes to the fees that the state has previously charged to air passengers, to bring down the flight prices. We have increased the permits to highways by well over 20 p.m., in fact, by just over 2.5 billion kroner over this four-year period, with a very strong emphasis on operation and maintenance, but it has also been a strong increase in investment. We have increased the licenses to Norwegian Railways by 20 pst. We have received a strong increase in the purchase of services from NSB, but also in operation, investment and maintenance in the area until the Railways Authority has received a strong increase. Many people have said that they want to increase their rights, that they want to take a force for Norwegian transport. This government and this government majority have shown that we are willing to do this, and that we are able to do it. I'm very proud of that as a committee leader and as a representative of the government party. But I am even more proud of the job we have now done in order to have a completely necessary transition in the Norwegian transport sector. The job we started, which we adopted for the autumn of 2001, we now have a very long time to do. We have separated the management part of Vegvesen, i.e. those who are responsible, and who have the opportunity to direct the work, from the performing part, in a private company – Mesta. We have released several other companies because they have become AS, still under state control. This is absolutely necessary to get more out of the money, to get more transportation for the heads we use on these important areas. What has probably created the biggest discussion in the last few days is what we are now doing in the railway sector, which we have done in the road sector and in other areas. Since there's been a lot of disinformation and a lot of misunderstandings about what this will mean, I'll go into it a little bit more. What we're doing in the railway sector is three things. And the only thing that I was in the past in the article is to increase the permissions, that is, that we're now investing significantly more than ever before on the railway, if we ignore exactly what happened during the extraordinary construction of the Gardermoban. It's the one. The second is a completely necessary strengthening of the role of the State as owner, the State's role as inspector, as inspector, as guarantor of the safety of the Norwegian railway system, by separating the part that is responsible, with management, with security, to do, from the part that goes on the carrying out production. We ensure that those who carry out the work are controlled by others other than themselves. The third part is that the production, that's what happens to normal production out there, is going to be competitive to try to get more out of the resources we use. The Norwegian railway system has been neglected for decades, and we are now taking into account both the promises and the reorganisation, it will strengthen security, it will provide us with a better rail system, and it will provide our customers – those who are passengers – with a significantly better supply in the long term. The experience from countries that can be compared with – Sweden and Denmark – also shows that there are gains to be gained, it is possible to get more railways out. So it's not like it's been claimed by some people, it's not about a saving campaign. There are extra permissions associated with reorganization. So it's going to be from the railway line, and so on. from the Norwegian Railway Federation, claims that they are not afraid of competition. No, we are not afraid of competition, says the Federal Secretary today in Political Quarter, but we are not allowed to compete! It's completely wrong. The whole point of the current switchover is that BaneService should be allowed to compete with others, and of course BaneService should take up the parts of the railway station that have to do with the pure production. Of course, as is the case in the State Road Service, the State Road Service cannot go out and compete with Mesta, nor can the Railway Works go out and compete with BaneService, but it is quite possible, as it has been in the railway works before, to compete with other operators coming in. I am sure that this conversion will also serve customers, passengers, in the long run. I am sure there are so many good forces in the Railway Agency and in the Railway Service today that we will get a better solution. I'm also pretty sure that there should be a government change – I hope it never goes this way, but it can happen – I don't think anyone will reverse this, when we've taken the trouble of converting in this area. Let me finally take one more thing. For very many of us who live on the coast, the ferries are a very important part of the national road network. What we're doing today – a historic decision, which unfortunately is not a full deal, but for which there is a clear majority – is that we make the coastal line open 24 hours a day by giving the two routes that are left without a night trip the means for a night trip from 1 January 2005. For many, this will be a detail, and it's not quite the big money, but it actually means that parts of our coast now are no longer closed. We get opening hours that both business and residents of these communities and along the whole coast will enjoy. Besides, the fact that we use resources to improve regularity to prevent too many cars remaining in two important ferry connections in Rogaland is part of complementing this image. For us, the highways are not only the roads, but also the ferry lines that connect them. All in all, this is a historic budget. We get plurals. I would like to thank the Progress Party for constructive support in this work, and I am overconfident that what we take when it comes to the promises, and the changes we make, will benefit Norwegian citizens for many, many years to come.
ParlaMint-NO_2004-12-07.ana.ud735e114	It's going to be line change.
ParlaMint-NO_2004-12-07.ana.ud735e117	I think maybe the government parties are quick out with their success stories about what has been achieved through these reorganisations that have taken place. Now, after all, there are other reports, which tell us about social costs far beyond what is believed to have been saved by the reorganization itself – costs that tell us about the brutalization of working life that I would have thought nobody would really be interested in getting in a welfare country like Norway. But I take the point that the government parties don't think this is a central issue. My question, however, is this: is it the opinion of the representative of Løvik that there is an unhealthy cameradericulture that stands in the way of better financial management and safety work within the Railway Agency?
ParlaMint-NO_2004-12-07.ana.ud735e124	First of all, with costs. Yes, there are costs of the conversion, and we take them very seriously, even in the government party. And we are aware that in the short term, costs are higher than savings and improvements. But in, for example, We're already starting to see that the savings, the improvements on the road network, are greater than the costs. We have paid ourselves out of the problems we have had with those who have not got a new job, and I am sure that we have managed in a proper way to deal with those who have been added, for example. in the Road Service, in a good way. We've been very concerned that this is going to happen, because the government as an employer has a special responsibility. When it comes to what the representative calls camaraderie, I see absolutely no reason to use such words, but it is my clear belief that separating those who decide, those who control, from those who do the work, is very healthy.
ParlaMint-NO_2004-12-07.ana.ud735e131	We have a road network in this country that leads to heavy accidents for the population and that leads to delays for business. In addition, we have seen that there have been many races this autumn that have led to tragic deaths. We have also seen that the tunnels in this country are too low in height, so that much of the heavy transport has to go by road. This costs business large sums, and of course it also costs the population large sums. Fortunately, in the negotiations the Progress Party managed to get 350 million. NOK extra for this work, which helps solve some of the problems. Of course, it's too little. My question is whether Løvik sees the challenges we have in the future, and whether he will be involved in raising the appropriations further.
ParlaMint-NO_2004-12-07.ana.ud735e138	The answer is yes. Here, there are enormously bigger challenges than the ones we've been able to solve so far, but we're on our way. A Swedish politician once said about the results of his years in government that «we are proud, but not satisfied». I think it characterizes a little bit of what we feel. We have managed to reverse a falling trend, for example. in road investments, which have lasted for 10 years. We've turned him around and got a big boost. There is a lot left before we have completed this work. It will take several decades to correct the omissions that have occurred over several decades on behalf of Norway. We hope that we will also be in a similar situation in the next period, where the Progress Party can support a center-right-relationship in further increasing these permissions. That's the challenge we have in common, and then we get to fight about the voters.
ParlaMint-NO_2004-12-07.ana.ud735e143	Let me first say that I am a little surprised that the committee leader refers to BaneService AS as a company operating and maintaining the Norwegian railway system. That's not the case. Nor does it say anything in the papers we have received that it should be the future state operating and maintenance division for the railway. But to the question: This fall we have experienced a situation in Norwegian aviation that I don't think anyone dares to be proud of. We have major migration problems in Avinor – and we know it can be solved in security. We have increased competition, and we have major difficulties in the aviation oversight. Even representatives from the government parties have admitted that it has been unfortunate that all these changes take place at the same time. Now the government will repeat the success, but this time by the railway. We have to compete for the track and major shifts in the railway works at the same time. Can the chairman of the committee explain to me: Has he not learned anything from what has happened in aviation today?
