ParlaMint-NO_2004-05-25.ana.ud2044e34	The called alternate of the South-Trøndelag County, Ola Røtvej, has taken the seat.
ParlaMint-NO_2004-05-25.ana.ud2044e43	The President will propose the election of a President-in-Office of the European Parliament today – and consider it adopted. The President is asking for proposals from the President-in-Office.
ParlaMint-NO_2004-05-25.ana.ud2044e48	I suggest Elisabeth Røbekk Nørve.
ParlaMint-NO_2004-05-25.ana.ud2044e53	Elisabeth Røbekk Nørve is proposed as president. – Other proposals are not available, and Elisabeth Røbekk Nørve is unanimously elected president of the Stortinget meeting today. The representative of Sylvia Brustad will make a private proposal.
ParlaMint-NO_2004-05-25.ana.ud2044e58	On behalf of the representative Olav Aksensen and myself, I would like to make proposals to ensure the development and growth of regional power companies by providing opportunities for access to increased public equity.
ParlaMint-NO_2004-05-25.ana.ud2044e63	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2004-05-25.ana.ud2044e77	No one has asked for the floor. [[Fotation, see page 2862]]
ParlaMint-NO_2004-05-25.ana.ud2044e97	First, I wish the Council of State welcome back. It is good to see that she has recovered again. Every day, we receive, as magnification representatives, several requests from frustrated contributors who feel very unfairly treated. Most people who turn to it see that the rules for the distribution of children, association or child contribution are balanced, even though many would like to think of the right to care, more association or less to pay in contributions. Therefore, it may be extra difficult that the arrangements do not ensure that the other party does not respect the facts. I would like to refer from such an enquiry: ‘In our case, and probably many others as well, the beneficiary has found a ‘smuthole’ in the system that she is now exploiting for her own economic gain. That she disputes the existence of a relationship with father is automatically taken as a result of [...] the local Social Security Agency. We have a parental agreement, signed by both parties at the Family Protection Office with a therapist present [...]. We thought it would continue until we were told that the beneficiary's information was based on the form we were asked to fill in in the conversion of the grant rules. The reason why the parental agreement is not valid is that it does not have coercive force, I have been informed by the head of the Translation Centre that I was able to speak. This means that the county must enter the picture in order to determine association, and this can only be done if both parties agree. This is not the case in our case, and therefore has no other option than to go to court, which costs between $100,000 and $200,000, and which cannot be for the benefit of children either? ‘... So here we have an example of a mother depriving her child of contact with father, and the result is that father has to pay more contributions or undergo a long and expensive trial. Note that the beneficiary does not risk anything by doing so. I know that we will come back with an evaluation of the new contribution scheme for the autumn. When the Stortinge dealt with the new rules on child contributions, the Progress Party agreed with most of the principles laid down in the new scheme. The position that we had at the time, we're standing by. At the same time, we knew at the time, and have been confirmed now, that in some cases the new arrangements will become unreasonable. It also includes those cases where one party either sabotages association or does not sign the consensual certificate. Unfortunately, it takes all the time, and in the middle of it, contributors have unfair claims on themselves. Yes, even some have been subjected to both police investigation and other investigations because the beneficiary has notified the person for incest or other abuses, which in retrospect are found not to be a team, and the case is dismissed. The other side of this case is that with the new contribution scheme, the less you have with your children, the higher the contribution – which in itself is no more than fair and reasonable. However, when the beneficiary can then sabotage the association and at the same time receive a higher contribution, it is flawed. I don't want to attack the new contribution scheme with this interpellation, but what I want is that we focus on instruments to prevent beneficiaries from making serious accusations, which can actually help to deprive the child of valuable time with their parents. At the same time, we know that such accusations can destroy a person for a long time to come. The builder is one of the monsters that seems to wake up as soon as you hear the word incest. A sneaking suspicion that there is enough truth in the claim can be very burdensome for the person concerned, regardless of whether one is acquitted or the case is dismissed. It should therefore have implications for persons making such claims against others. In the case of sabotage of association, we should also be able to find tools that can be used. Too many contributors experience not meeting their children because the other party sabotages the company. It may be anything from not putting the child on the plane despite the fact that the ticket has been paid by the contributor, to not opening the door when one of the parties has come to have sex with the child. The UN Children's Convention says that all children have the right to both their parents. This Convention has now incorporated Norway into its laws. There should therefore be no doubt that it is every parent's duty to ensure that the child's rights to both parents are the same. For the Advancement Party, it is the child and what is best for the child, who will always be in focus. We therefore believe it is very important that we discuss this issue which is linked to false reports and sabotage of association. The Progress Party does not believe that conflicts between two parties go beyond just by legislating that such and such should be the case. But we have faith that if the Storing and the Government indicate that false reports and sabotage of association can actually mean a criminal reaction, it will help prevent and even prevent such conflicts from occurring. Children are the most loyal one can imagine, and that adult people contribute to creating loyalty conflicts in their own children should in itself be punishable. Now I have to hurry to make it clear that the vast majority of life breaks and child sharing things are actually going very well. It shows that the vast majority of parents are able to see what is best for their own child, and find practical solutions that allow the child to get together with both parents. But then there is a group – in percent not as big as maybe, but in number actually significant, you have to consider it after the number of requests we receive as a big-time representative – who is struggling very hard: contributors who are punished several times, so to speak, by not having to meet their children and get a significantly higher contribution because they do not have a relationship with their children. When these parents contact the social security office, they are told to arrange a written association agreement. In other words, they must be shown that they really have association, even if they do not. Complicated? Yes, and perhaps even unrealistically – believing that a party who deliberately does everything it can to sabotage a relationship would write it down on a paper, might well be something naive, to say it carefully. Thus, some contributors end up between bark and wood and have to pay a lot more than they really should, despite the fact that they would like to be with their children. To argue, as the Single Parent Association does, that some lonely dependants have very poor finances and that the contributor should pay more is hardly a good argument for sabotaging association. The economic situation of single dependants needs to be discussed elsewhere and not become an additional burden on the contributor. The most important thing is the child, and if children are to grow up with a safe and sound foundation, there is clearly a need for both parents, whether their parents are able to live together or not. The problem for the Storting and the Government is whether we are going to legislate for this in a special law, or whether it is going to be covered by the already existing law. This can, and should, be discussed on a broad basis. I think a right way to go is to identify the extent of co-conspiracy bottling and fake reviews. I think you're going to have to learn a little bit about a difficult problem, so you can get a hold of it and actually do something about it. Some numbers on how many there are that have actually been or are exposed to sabotage and false reviews, I don't have. But when we know that there are loopholes in the law that make you earn money to sabotage, we should do something that ensures the children right to both parents, and then the parents start acting like adults and responsible people and making sure that the children get rid of both the conflict and the rope pull. So maybe both parents should be heard by the social security office, so that not everything depends on one party, while the other stands back indiscriminately. Therefore, I would like to ask the Council of State: what will the Council of State do to bring about life's false accusations or sabotage of children's rights from parents involved in child-sharing or child-care matters?
ParlaMint-NO_2004-05-25.ana.ud2044e147	Child-distribution or child-support cases where abuse claims are made or where association is refused will consistently be difficult and serious issues of high conflicts between parents. Our main task in such serious matters must be to take care of the child. Karin S. Woldseth addresses the issue with false accusations, both in relation to child distribution matters and in relation to contribution matters. The situation will be different in the two types of cases, and I will therefore treat them separately and start with the child-distribution issues. It is terrible if a parent makes false accusations of assault in order to win a claim to have the child live with him or her or to prevent the other party from getting together. It is for the courts to decide on the claims made. False accusations of justice could lead to criminal liability. In addition, in a child-sharing case, it could be very negative in relation to the possibilities of winning in the case. The personal characteristics of the parents are a component of a child’s best judgment, and it is clear that it would be considered a very negative feature of a parent’s making such claims if they were false. In my opinion, therefore, there is no lack of sanctions against the person making false allegations of infringement, the biggest problem. The difficult issue is what to do in cases where it is impossible to decide whether the claims are correct or incorrect. It can be hard to prove that assault has taken place. If the claims are made without correctness, it is tragic both for the parent affected and for the child, who is at risk of losing or having his or her contact with him or her. If the claims are true but not weighted, a child may be subject to continued abuse. My main concern is whether allegations of abuse are given sufficient emphasis in the courts. I have met many parents and received many letters that express doubt that the children must stay with or be sent together to an offender who commits a crime against the children, and who may also be convicted of violence, without the courts having taken this into account in the decision. It is also important for me to focus a little on this issue here today. In this context, the Ministry set up a working group to discuss issues related to issues of parental responsibility, permanent residence and association where there is a suspicion of violence and abuse. It appeared from the mandate that attention should be paid to the need to protect the child from the adverse effects of any future abuses initially to outweigh the consideration of potential adverse effects by losing contact with one of the parents. The report of the working party shows, among other things: for two research projects, the Fobik project, Tjersland et al. 2002 and Kristin Sjørten’s study, Children’s Distribution cases for Lawyers’ Rights 1998–2000. The review of the skirt shows, for example: that the claim of violence against the child is attributed little or no weight in most of the cases, and that out of ten cases where there is a claim that father has committed sexual assault against the child, it is only in one that the court suggests that this has happened. The analysis of the Fobik project indicates that the claim for evidence of child abuse is raised alarmingly high in the case of sexual abuse. The working group has made proposals for amendments to the Children’s Act to ensure that the courts are adequately aware of the seriousness of the adverse effects that the child may have on the child by being subjected to abuse and place sufficient emphasis on this in demonstrably difficult cases. The report is now out for consultation. It is, of course, terrible to be subjected to groundless accusations, and no emphasis should be placed on any allegation of abuse. But when assessing the conflict between parents and justice considerations in relation to them, we must not lose sight of the child. We need to ensure that children are not sent to live together or are permanently resident with a parent who is subjected to abuse. We need to protect children from injuries caused by abuse. Therefore, the requirement of proof must not be unduly high. So for children's contributions: disagreement between parents about the association and sabotage of association between one of the parties has also become topical in the context of new rules on contributions. The level of conflict is high in some cases and it is too difficult to reach an agreement. I am following this development carefully. The size has in Innst. S. No 227 for 2002-2003 asked the Government to carry out a continuous and thorough evaluation of the impact of the new rules on contributions in line with Ot. pp. No 43 for 2000-2001, cf. Inner. O. No 127 for 2000-2001. The evaluation process requested by the Stortinget is under way, and the factors that will be assessed in this context are whether the rules for deduction of association work after the intention. The evaluation may contribute to knowledge of the reasons for disagreement and how to resolve such conflicts between parents. As promised, I will give the Stortinget a first feedback on the experience of this work in the context of the budgetary procedure in autumn 2004, i.e. later this year. As promised in the past, a separate forecast will be submitted to the Stortinget by the end of 2005. If the evaluation work shows that the new legislation produces adverse results, I would suggest that the necessary regulatory adjustments be made. From 1 April this year we have also received new rules of procedure in child distribution cases before the courts. The rules include, inter alia: that the best interests of the child shall be decisive both for the decisions taken and for the proceedings themselves. It is statutory for the court to expedite the proceedings as much as possible, and for lawyers and judges dealing with such cases to assess the possibility of reaching a settlement between the parties and to facilitate this. The judge may, at an early stage in the case, be assisted by qualified children in a more targeted way in order to contribute to contractual solutions. Experts may include: assist and mediate between parents and parents in the practice of agreement for a probationary period. So this is a completely new approach that has recently been implemented. The age limit for unconditional rights of expression for children has also been lowered from 12 to 7 years, in order to ensure that even smaller children are given the opportunity to express their views on child distribution matters. The government also wants to strengthen the mediation system by offering an extended offer to the couples who need mediation the most in order to conclude parental responsibility agreements, where the child will live permanently, and the extent of association – not least in order to establish association agreements. In this context, it is working to increase the competence of the mercenaries in complex family matters. The size has also joined the Government's proposal in the family communication that mandatory mediation be introduced for cohabitants with common children in the event of a breakup, similar to that for married couples. Legislative proposals on this will be sent to the hearing during the year. I hope that the new rules of procedure and a strengthened mediation system will help more parents reach agreement on good arrangements and that this will reduce the level of conflict between parents.
ParlaMint-NO_2004-05-25.ana.ud2044e188	What is common to all cases with the issue we are now facing, whether in matters of contributions or child distribution, is the high level of conflict. We agree on that. But I do not agree with the Council when she says that it is the courts that judge a father who has received an incest or assault charge against him. Often you are reported, but then the report is withdrawn, or the case is dismissed and never comes to the courts due to a lack of evidence. In such cases, it is important that sanctions be available to the parties making such false reports. It must be clear that it is terrible for a person who really just wants to have a relationship with his child, to experience such a report. I would like to thank the Council of State for its complementary response. It was good to hear, and it will be exciting to look at the Storing Message that comes after the evaluation of the new rules on contributions. But anyway, I have to be allowed to say that I think it takes a long time. It is now two years from the start of the new contribution scheme to the evaluation and the EEAG is due in 2005. Over the two years, many children in Norway are actually prevented from being with one of their parents. We have to discuss whether it is possible to find tools even during this period, or whether, as I said in my main post, the social security office can listen to both parents, and not just one, in relation to association when a certificate of association is not signed. But nevertheless, the Council of State and I agree that the most important thing is to protect the child. But I also want to say that protecting the child means that the child is entitled to both his or her parents.
ParlaMint-NO_2004-05-25.ana.ud2044e195	I fully agree with the representative Woldseth that it is incredibly important for children to have – and have – contact with both parents. A child has the right to contact both mother and father. It is clear that it is our responsibility to facilitate this as much as possible and as much as possible. The representative and I also agree that there is an enormously high level of conflict in many of these cases where a father – mainly a father – can experience that association is being boycotted. It is also true that not all cases that are reported are brought to justice. But that's also why we've started some other tools, which the Storting has also joined. It has been a very short time since the introduction of both the new mediation system and the new rules of procedure, which I went through in my first post. These changes will also be important to see how they work over time. With regard to the evaluation of the new rules on contributions, it is precisely association that we have started up with immediately. We have already carried out a survey on the state of association before the introduction of the rules on child care, and it will now be followed up in retrospect. I think that already in 2004, that is, in the budget proposition coming to the harvest, we might see the outlines of how this is handled. And then we'll see if we already see such serious features that you might have to see if there are any other tools we can put in. I'll be willing to evaluate most of it. It is difficult to find the right and important means to do this, and it is clear that neither a government council nor the government can intervene in individual cases, and much of this must be solved by the parents. The Ministry will follow up on evaluations and, as I said, the major message in 2005 will be the most important one. I am aware that it may feel like a long time for those in conflict. I have a lot of understanding for that. At the same time, there is a huge reform we have implemented, and any changes must also be based on a good and thorough evaluation.
