ParlaMint-NO_2004-10-01.ana.ud1012e29	If no one has anything to object to, I will comply with the request.
ParlaMint-NO_2004-10-01.ana.ud1012e41	The President-in-Office will ask the Secretary of the last Storting, Signe Eye, to act temporarily as a secretary. A roll call was then made. The following representative was absent: Bjørgov Froyn. The following representatives had notified the case: Gunnar Halvorsen, Bjørn Hernæs, May Britt Vihovde, Kenneth Svendsen, Jens Stoltenberg, Øyvind Waksdal and Henrik Rød. From 11 of the other representatives present the application for leave [[see below]]
ParlaMint-NO_2004-10-01.ana.ud1012e55	The President-in-Office shall propose that the Rules of Procedure used last time be put into effect. – It shall be deemed to have been adopted. A number of permit applications are available: from the representative of Marit Nybakk on leave from 1 October to 8 October and from the representatives of Bent Höie, Ingmar Liones, Hill-Marta Solberg, Inga Marte Thorkildsen and Karin S. Woldseth on leave from 1 October to 15 October, all to take part in the 59th General Assembly of the United Nations in New York from Stortinget's Delegation to the 111th Conference of the Interparliamentary Union in Geneva, signed by the Head of the Delegation, Grand Representative Karin Andersen, on leave from Friday 1 October for the representatives Karin Andersen and Thore A. Nistad. from the representatives of Olav Aksen, Heikki Holmås and Åse Wisløff Nilsen on leave from 1 October to 15 October, all to take part in the total defence course at the Defence College On a proposal from the President, it was decided unanimously: 1st@item: inlistbox The applications shall be examined immediately and granted.2. The following alternates are invited to meet during the leave period:For Hedmark County: Helge Bjørnsen and Yngvar AarebrotFor Hordaland County: Pål Berberfjord, Jan Koløy and Pål KårbøFor Nordland County: Tomas NorvollFor Uppland County: Morten Ørsal JohansenFor Oslo: Ragnar Bøe Elgsaas and Akhtar ChaudhryFor Rogaland County: Inger Lise AarrestadFor Vestfold County: Lars Egeland
ParlaMint-NO_2004-10-01.ana.ud1012e153	Helge Bjørnsen, Yngvar Aarebrot, Pål Berenfjord, Jan Koløy, Pål Kårbø, Tomas Norvoll, Ragnar Bøe Elgsaas, Akhtar Chaudhry, Inger Lise Aarrestad and Lars Egeland are present and will take the seat.
ParlaMint-NO_2004-10-01.ana.ud1012e158	The Presidents and Secretaries shall then be elected. The President-in-Office will refer to the fifth and sixth paragraphs of Section 4 of the Rules of Procedure, which reads as follows: ‘In the first election of Presidents and Vice-Presidents, the votes shall be in the case of non-signatured banknotes. In subsequent elections in the same parliamentary term, the rules of § 44, first paragraph, points (d), first and second sentences apply. more than half of the votes cast. If none of the candidates reaches such a majority in the first election or in the case of free re-election, the two candidates to whom the highest number of votes has been cast shall be re-elected. [[(see section 4.4). § 45 para. (b)]] That provision of the Rules of Procedure means, therefore, that the election of Presidents and Vice-Presidents can now be made in a normal manner, without the use of ballots. The President-in-Office will then propose that we vote in the usual manner. – No one has objected to it, and it is deemed to have been adopted. The President-in-Office of the Council is asking for proposals from the President of the Grand Duchy.
ParlaMint-NO_2004-10-01.ana.ud1012e175	I am delighted to propose Jørgen Kosmo.
ParlaMint-NO_2004-10-01.ana.ud1012e183	Jørgen Kosmo has been proposed to the President of Stortinget. – Other proposals are not available.
ParlaMint-NO_2004-10-01.ana.ud1012e192	The President then asks for proposals to the Vice-President of the United Kingdom.
ParlaMint-NO_2004-10-01.ana.ud1012e198	I have the pleasure of proposing Inge Wohnning.
ParlaMint-NO_2004-10-01.ana.ud1012e206	Inge Wohnning has been proposed to the Vice President of Storting. Other proposals are not available.
ParlaMint-NO_2004-10-01.ana.ud1012e215	The Secretary of State and the Secretary of State, the First and Second Vice-President and the Secretary of State of the Stortinget shall then be chosen. The President is asking for a proposal from the Secretary.
ParlaMint-NO_2004-10-01.ana.ud1012e223	I suggest Signe Eye.
ParlaMint-NO_2004-10-01.ana.ud1012e230	Signe Eye is proposed. Other proposals have not been made.
ParlaMint-NO_2004-10-01.ana.ud1012e240	The President is asking for a proposal to the Secretary of State.
ParlaMint-NO_2004-10-01.ana.ud1012e246	I suggest Sonja Irene Sjøli.
ParlaMint-NO_2004-10-01.ana.ud1012e254	Sonja Irene Sjøli has been proposed as Secretary of State. Other proposals have not been made.
ParlaMint-NO_2004-10-01.ana.ud1012e263	The first and second vice-presidents of Stortinget shall then be elected. The President will first ask for proposals for the first Vice-President.
ParlaMint-NO_2004-10-01.ana.ud1012e269	I suggest Eirin Fallet.
ParlaMint-NO_2004-10-01.ana.ud1012e277	Eirin Faldet is proposed as the first Vice-President. Other proposals are not available.
ParlaMint-NO_2004-10-01.ana.ud1012e286	The majority has then come to the election of the other vice-president. The President is asking for proposals.
ParlaMint-NO_2004-10-01.ana.ud1012e292	I suggest Kari Lise Holmberg.
