ParlaMint-NO_2004-05-13.ana.ud1171e58	The representative of Øystein Hedstrom will make a private proposal.
ParlaMint-NO_2004-05-13.ana.ud1171e61	On behalf of Per Roar Bredvold, Ulf Erik Knudsen, Øyvind Korsberg, Thore A. Nistad, Henrik Rød, Lodve Solholm and myself, I would like to propose that forest owners who are exposed to expropriation or various forms of protection of forest property be awarded compensation at the same level as when selling forest properties under the concession law.
ParlaMint-NO_2004-05-13.ana.ud1171e66	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2004-05-13.ana.ud1171e79	At the request of the Committee on Energy and the Environment, the President will propose that the debate be limited to 1 hour and 30 minutes and that speaking time be allocated to the groups as follows: The Working Party 25 minutes, Right and Advance Party 15 minutes, Socialist Left Party and Christian People's Party 10 minutes, Center Party, Left and Coast Party 5 minutes each. Furthermore, the President will propose that there be a replication of up to three lines with replies after the speeches of the main speakers of each party group and five lines with replies after the contributions of members of the Government within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – This is deemed to be adopted.
ParlaMint-NO_2004-05-13.ana.ud1171e90	The store today deals with St.meld. No 15 on predatory game in Norwegian nature. The notification is a follow-up to the decision taken by the previous magnificence that a new stockpiling notification on wild game would be submitted by the end of 2003. The debate on Norwegian poaching policy engages and affects many. The case itself has many contradictions and conflicts of interest that may seem irreconcilable and incompatible. Conflicts are many and large in the relationship between protection interests, local communities, district industries and public administration. As a result, the overall aim of the policy must be to seek measures that can help to mitigate the level of conflict, as the Government also states in the Communication. In addition, we experience that there are ripples between the political parties and also within some parties. In sum, the lines of conflict are many, and loose threads have marked the debate of the Committee beginning its proceedings and almost to the finish line. This shows that predatory policy is a typical issue for compromises, where the will for majority solutions is a key word. In view of this, the Committee has spent more time than usual in its work on the notification. There have been trips, and there have been a number of meetings and seminars, as well as open hearings. In this way, the Committee has provided a good overview of the problems and challenges associated with predatory game and the management of predatory game. It is my opinion that all those who are somehow in contact with predators in their neighbourhoods, or who for various reasons have an interest in the matter itself, have been addressed. However, coming to an order does not necessarily mean that all one’s primary wishes are reflected in the conclusions of the Storting. However, it shows that many views have been met by the majority. Some of these I would like to explain in my article. The majority state that Norway has a separate responsibility for maintaining its own family groups of the four major predatory species of wolf, bear, gaupe and yerv. The question has therefore not been whether we should have predators, but how many we should have, where they should have their habitats, and how best to manage them. However, our obligations have been called into question in relation to the wolf and the Berne Convention. The majority use the many legal assessments carried out prior to the submission of the notification, which conclude that Norway also has a separate responsibility in relation to the wolf. In its Communication, the Government proposes to limit the areas of life of the wolf in view of the need for the greatest possible distinction between the wolf and the buffalo on the field. This, in the government's view, will help to reduce the loss of sheep during the grazing season and at the same time reduce the negative impact of wolves on both domestic and wild rain. The majority enter the setting for a limited wolf area, but larger than that proposed in the message. In this way, the majority have been responsive to the desire for a slightly larger wolf zone, which has emerged during the treatment process. Furthermore, there has been a need to clarify the number of wolves that Norway will take responsibility for. Also, it takes the majority of the consequence of numbering the number of juveniles to three. In the extension of these conditions, the majority would like to transfer the administrative responsibility of the wolf to the regional predators concerned, as proposed by the Government, in order to bring the wolf management more into line with the management of the other major predatory species. Fear and quality of life have been central to the debate on predators, especially focused on wolves. A joint committee acknowledges this problem and takes it seriously. Fear may not be adopted but must be met by remedial measures as far as possible. It is therefore recommended that measures against fear be continued and reinforced. Furthermore, the setting of the problems particularly represented by the wolf in cases where it moves or is regularly close to population and population. It therefore facilitates the killing of these individuals if no other effective action can be taken. An important objective of the Government has been to better facilitate the local and regional management of predators. It is important to draw on local experience and knowledge in stocktaking, monitoring and management. A common picture of reality is also a prerequisite for mitigating the level of conflict. The notification and the conclusions of the Committee are therefore to establish local and regional ownership of the predatory game policy. This will also be an important contribution to the necessary trust between the users of the out-field, on the one hand, and the public administrations, on the other. Furthermore, new regional predators are now being set up to be politically elected. It would therefore be natural for the Ministry of the Environment to assume responsibility for the appeal, while the Directorate of Nature Management should be able to give its opinion before the appeal is finally settled. Administratively, only a higher political level can overcome a lower elected body. Furthermore, it is important that the denominators in their work involve business organisations and other relevant organisations, so that their interests are also safeguarded in the decision-making processes. Carnivores are perceived by many as an idyllic contribution to biodiversity. Of course it could be. But we must not forget that too many people are more serious than idyll. The loss of animals on the outback is experienced by many who are very stressful, both economically and humanly. Of course, we have to take this into account, which I also believe is a sign of the adjustment. Therefore, the two-part objective of the management of predators taking into account the desire for living areas and an active establishment is defined as an overall objective. This includes, inter alia: the sum of measures relating to the prevention, replacement and, where appropriate, conversion to agriculture as a result of predators must not have a negative impact on the basis of the presence of the industry. It is therefore also important to ensure the rapid extraction of pests as a necessary and effective precautionary measure that will reduce the loss of bovine animals. Prevention is a central concept of the Government's message. The setting also underlines the need for increased focus on this in order to reduce the loss rate. The majority therefore propose that, in addition to measures above the budget of the Ministry of the Environment, a separate pot be set aside with funds to be managed by the regional authorities. These means shall be placed at the disposal of local authorities, upon request, for their own selected prevention measures in the neighbourhood. In this way, local communities are also even more involved in the work of a locally anchored ownership of predatory wildlife policy. The regional authorities will also be allowed to determine where predators have their habitats within their region, referred to in the Communication as differentiated management. Furthermore, within the national target figures for each predatory game, the names will be given the necessary authority when taking out animals in the form of quota hunting or licence hunting. The national stock targets are set by the Storting, while the Ministry of the Environment, in cooperation with the body concerned, sets the targets for each region, but emphasises that account is to be taken of the level of wild game loads in the different regions. The majority have agreed on the following national stocking targets: three breeding wolves, 65 annual globular mounds, 39 dykes, 15 bear ewes and 850-1 200 nesting pairs of queens. Loss of dogs to predators is significant. Similarly, predators are claimed to be able to represent reduced hunting values for a number of landowners who have hunted as an important revenue. The majority therefore support the Government’s proposal to investigate whether the loss of not only hunting dogs, but dogs in general, is part of the compensation scheme. At the same time, the majority wish to continue and evaluate the testing scheme with compensation for lost hunting income due to predators. The proposal for a new replacement scheme has met with a lot of resistance, including justification. in the fear that it would create injustice between animal owners and concerns for the absence of real compensation in the event of loss of animals on land. The Government's intention with a more intensive substitution scheme is that it will increase the focus on prevention measures. Through an advance risk-based payment, it is the government’s view that over a period of time, such a scheme would be economically advantageous to the individual animal owner. However, the resistance has been so great that the majority, in agreement with the Ministry of Environmental Protection, has chosen to ask the Government to return to the Stortinget on its own matter in connection with the 2006 State budget. However, the majority consider some assumptions in line with the Government’s proposal, while at the same time taking up the concerns expressed. The majority further state that until the Storting has re-examined the case, the current compensation scheme is continued on the basis of a legal right to full compensation for real losses, as established by the law of the wild. Let me conclude by saying that it has been an objective to ensure the widest possible political agreement on the broad lines of predatory policy. It is important for example: in the interests of predictability of industries and districts. I am pleased with the goodwill and constructive cooperation that the Workers' Party and the SV have contributed to ensure this broad political platform. Let me also say that my post clearly shows that the committee has actually listened, that it has not been impossible to reach us. At a very large number of points, the policy has been adjusted as a result of external input, while the government, on its side, has been over-implemented in its policy, while at the same time expressing its willingness to make the necessary adjustments and changes to ensure sound and predictable decisions on predators in Norwegian nature. Let me also clarify in relation to the part of the position in which the Committee refers to the Ministry of the Environment as the appeal body before the Directorate of Nature Management. There's my opinion that the Center Party has fallen out of the majority, and I point out that it hasn't been the intention. With this in mind, I recommend the Committee's position and mention the proposal which is at the disposal of the representatives and which expresses a wish for further clarification of an area of wild game policy and management that has been created uncertain by the vote.
ParlaMint-NO_2004-05-13.ana.ud1171e136	The President assumes that the proposal referred to by the speaker is Proposal No. 13th@item: inlistbox The representative, Brother Yngve Rahm, has taken up the proposal he referred to. It's going to be line change.
ParlaMint-NO_2004-05-13.ana.ud1171e141	I think it's a little surprising that the agreement between the government parties, the Workers' Party and the Swedish Labour Party has actually become so strong that you don't repeat each other, especially in view of the noise that was in front of the processing of this message. I agree with the representative Rahm that there has been an attempt by the government parties, SV and the Workers' Party to reach a broad political agreement. Unfortunately, it does not result in a good and sensible predatory policy. I have never in my time as a politician recorded such a strong commitment from the local population as when it comes to the view of predators. We have experienced this through the inspections we have had, the hearings that the Committee has had, and the input that has been made as a politician – either by mail, e-mail or telephone. There have been two clear messages: the local population will have fewer predators, and they will manage these predators themselves. None of this is the result of the deal you've made. A settlement has been made that will increase the level of conflict quite strongly. Then is the question of the Christian People's Party: Why does not the Christian People's Party take into account the input made during the processing of the message? Why do they not listen more strongly to people in the community, or take into account their needs and the input they have made?
ParlaMint-NO_2004-05-13.ana.ud1171e150	The President will note that, in his experience, it is not uncommon that when the noise level has been high for some time, it seems strikingly quiet afterwards.
ParlaMint-NO_2004-05-13.ana.ud1171e153	What I said in my post coincides quite well with Øyvind Korsberg's description of the commitment and the interest attached to this matter. This has been exceptionally strong, perhaps some of the strongest thing I've ever been to in my time in Stortinget. In that way, we've done the exact same experience. Now I don't know if Øyvind Korsberg was entirely present during my post, but I can only repeat – so that also Korsberg can capture it – that on most points that I touched, and more, there have been quite significant changes and adjustments in important areas, just as a consequence of a strong commitment and of the many recordings that have come. I would therefore like to reject a claim that the majority does not take into account the realities of this matter, as they have arisen during the Committee's proceedings and in meetings with many of those affected in some way. I can offer Korsberg a copy of my post to confirm just that.
ParlaMint-NO_2004-05-13.ana.ud1171e160	It is quite right, as has been said, that there has been a strong commitment to this matter, both among people living in Building Norway, among various organisations and in political parties. I believe that there is reason to praise the setting for some improvements in relation to the way the message was when it came. But the worst problem has not been solved. The number of predators is too high. The majority add up to a large predatory pressure in parts of Building Norway. But it is also known that several of the members of the committee are happy to release predators in domestic areas, and I have every understanding of that. But the question is, why should it be necessary to put so much pressure on other parts of the country?
ParlaMint-NO_2004-05-13.ana.ud1171e167	I'm actually a little excited that the Center Party is giving some honor to the majority vote. I think that's right, because I think we've got a majority position that has a broad platform, and that takes a number of important steps to improve predatory game policy and create predictability. Knowing what to stick to, both in business and in community, I think is important, not least when it comes to mitigating the level of conflict. It's, as I said in my post, an overall goal. The question of the location, i.e. the habitats of predators, has no connection with the origin of the different representatives. It is simply linked to a reasonable management based on the natural geographic location of predators. It is a relatively strong, professional assessment of this which is contained in the Communication. This is primarily the background for it, as well as trying to protect the areas that are most vulnerable to the loss of sheep and other bofe on the outback.
