ParlaMint-NO_2004-12-09.ana.ud1490e91	The called alternate of the Troms County, Knut Werner Hansen, has taken the seat.
ParlaMint-NO_2004-12-09.ana.ud1490e100	The President will propose the election of a President-in-Office of the European Parliament today – and consider it adopted. The President will propose Ranveig Frøiland. – Other proposals are not available, and Ranveig Frøiland is unanimously elected president of the Stortinget meeting today. Before the matters on today's map are dealt with, the President will propose that the Storting depart from the provision of the first paragraph of Section 43 of the Rules of Procedure and complete voting after the 1 to 4 cases have been dealt with on today's map, and then total voting after the 5 to 12 cases at the end of today's meeting. – No objections have been raised to the President’s proposal and it is deemed to have been adopted.
ParlaMint-NO_2004-12-09.ana.ud1490e119	At the request of the Business Committee, the President will propose that the debate be limited to 1 hour and 45 minutes and that the speaking time be allocated to the groups as follows: Working Party 25 minutes, Right 25 minutes, Advance Party 15 minutes, Socialist Left Party 15 minutes, Christian People's Party 10 minutes, Center Party 5 minutes, Left 5 minutes and Coast Party 5 minutes. Furthermore, the President will propose that there be a replication of up to five lines with replies after the speeches by the main speakers of each party group and after contributions by members of the Government within the allocated speaking time. In addition, the President will propose that those who sign up to the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2004-12-09.ana.ud1490e130	Things are going better in the Norwegian economy. There's more investment, the number of bankruptcies goes down slowly, it's sparkly in parts of the industry, and we hear that optimism in large parts of the business world is increasing. Perhaps part of this could be due to the budgetary agreement with the Workers' Party last autumn, where we got filled in the empty toolbox with funds for innovation and job creation. But the picture is not unique. Despite the fact that the last month of unemployment showed signs of improvement, unemployment has stuck to an unacceptable high level. By the end of November this year, 84 000 people were registered entirely unemployed. However, the number of participants in ordinary labour market measures has increased. Therefore, we can conclude that in the last six months there have been only slight changes in unemployment. So many unemployed people worry about the Committee and will require active action. In addition, we see Norwegian companies moving their investments abroad. We saw it last Monday, when we could read in the newspapers that Norsk Hydro has to invest $20 billion in Saudi Arabia, while several hundred employees at the aluminium mills in Høyanger and Årdal lose their jobs. The Industry Committee also met a company from Bergen which had moved export production to Praha and which now wanted such conditions that the goods for the Norwegian market could also be produced from Praha. The Labour Party is concerned that so many companies are moving production out of Norway. The fact that production does not pay off in Norway is not to be established. Business policy is one of the most important things we work with. It's about creating values and creating jobs, which are once again part of and funding our welfare society. Here we have to dry to be active within the limits set by international legislation. The stronger and more open international competition, the more important it is that we use the means we have. The World Economic Forum has recently selected the Nordic welfare countries as the best countries for business. This means that Norway has the sixth most competitive economy in the world. I believe this proves that it is not tax laws that are the only driving factor in the economy. We see countries with good welfare arrangements coming out best. The countries that are good at sharing are also good at creating. At one point, the industrial policy of the Workers' Party and the Government is consistent. We both believe that an important pillar of sustainable industrial policy is the order of the economy. A stable exchange rate, low inflation, low interest rates and sound budgetary policies are crucial for the profitability of Norwegian enterprises. But the Workers' Party wants something in addition to order in the economy. We want an active industrial policy – away from a market-driven society with business neutrality and tax relief. Therefore, work on all is a main field of action for the Workers' Party in our alternative budget for next year. We say no to treasures. We would rather have a stronger effort to secure and create new jobs. The working party wants the authorities to participate actively in business and district development together with industry and industry organisations. The industrial policy of the Workers' Party is very much involved. We want what is called an active industrial policy – that the state should engage and not just lean back and leave as far as possible to the market. We're totally dependent on business going well. As I said, that is what is needed for our welfare society to include everyone. Some time ago, the message came that 350 Norwegian seafarers were fired. The government gets what it wants. Fjord Line must be flagged out as a result of the government's policy. The Color Line evaluates to follow. By removing the net pay regime for Norwegian seafarers on foreign ferries in NOR, the political majority has taken away their opportunity to compete with seafarers from countries around us. The government has got through to exacerbating the framework conditions, making our seafarers 40 pst. more expensive overnight. The EU pursues an active policy in this area and imposes good conditions on its seafarers. The Labour Party will take care of and further develop the maritime sector. That is why we also want to continue the arrangements we have had in this area and extend them to other vessels in NOR that are in direct competition. We're following up our promises to this industry. The parties of government do the opposite. The Labour Party will increase the appropriations allocated to Innovation Norway to ensure innovation, growth and employment. There is a lack of enough risk capital in Norwegian business. In order to create growth and new jobs, the country needs to be involved, especially in the start-up phase. Through the public agency, entrepreneurs and others with good ideas can put these into practice. Studies show that such investment brings both business and socio-economic benefits. That is why it was right for us in the Workers' Party to increase the appropriations in this area. The Workers' Party wishes to pursue an active policy of increased value creation, conversion and preservation of jobs in the fisheries sector and in the processing industry. In our Labour Party pointed out how difficult the situation in Finnmark is. With what is behind us, we are proposing to increase the allocation of the marine innovation programme in addition to the government's proposals. We also see that, in order to ensure small and large coastal communities, we need to increase the contribution to the management of fish, because the lead grant is such a clear prerequisite for achieving these objectives. With the difficult situation in which the fishing industry is in, we believe it is wrong to impose new taxes on industry. We are therefore opposed to the inspection fee. As regards the Framework Area 11, the Ministry of Agriculture and Food is clearly expressed in both the budgetary position of the Financial Committee, the Budgetary Section. S. I, and in the budget configuration of the Economic and Social Committee, Budgetary revenue. S. No 8, that there is a significant difference between the government's policy and the opposition's policy. These relate to the proposed tax austerity, to the changes in the profit tax and to the average tax on income from forestry. It is surprising, in my opinion, that the Workers' Party, the Socialist Left Party and the Central Party are becoming minority when it comes to a remark about a longer-term forestry policy. This minority believes that there is a need for a more holistic and long-term forest policy. We believe that the market alone cannot be long-term enough for values to be extracted in 70-80 years. It will also have a major impact on all those who depend on the forest industry, forest owners, entrepreneurs, timber industry and other industries. Why it's so hard to take a round to look at the whole of forest policy, to me, it's a little incomprehensible. However, we see that the Right and Christian People's Party and the Labour Party agree that there is a need for a greater review of the agricultural situation after the WTO negotiations have been completed. We have a little bit of different formulations, but the intentions are the same, and that's good. The Labour Party is also pleased that it will continue to be a national agricultural policy and that it will be ensured that ‘settlement, value creation and viable communities throughout the country’, as it is called in the main priorities of the Right and Christian People’s Party. The Labour Party considers that the framework adopted is not acceptable in relation to the measures necessary to pursue an active industrial and rural policy. We refer to our alternative budget in the Committee on Budgets and therefore do not promote own proposals for funding within the agreed framework. I am addressing the proposals that the Workers' Party has with others.
ParlaMint-NO_2004-12-09.ana.ud1490e170	The representative Aud Gaundal has taken up the suggestions she has referred to. It's going to be line change.
ParlaMint-NO_2004-12-09.ana.ud1490e175	The working party has the ambition to reign with the Socialist Left Party and the Center Party from the next fall of the year. When we cross the industrial policies of these three parties, they break in every direction, not just in fiscal policy, in competition policy and in ownership policy. Two of these parties wish to terminate the agreement involving free market access to 25 European nations. Then is my question to the representative Gaundal: Should not employees of businesses selling their goods and services, for example, 25 of the closest, best paid and most important countries in Europe really have reason to lose their night sleep, given what kind of industrial policy the nation could risk waking up to in September 2005?
ParlaMint-NO_2004-12-09.ana.ud1490e184	An attempt is being made to create a fear of the cooperation that might be put on the left-hand side of Norwegian policy. It's unjustified. The fact that there are three different parties, and that there may have to be negotiations, the representative of Kristiansen should be used to it, because it has been practised in his government on the right. He's trying to scare me that it's the worst thing that can happen to business, but I think that's completely wrong. I am aware that the Central Party and SV will terminate the EEA Agreement, but it is clear that for the Workers' Party it is important that it is there. Kristiansen said there were a lot of workers in the Norwegian industry who were going to lose their night sleep now. I think if there's anyone who's lost the night sleep now, it's those who work in Color Line, and who's worried about what's going to happen. In the case of Fjord Line, we know what's going on. But there's no good situation, so there I think they're having trouble with the night sleep.
ParlaMint-NO_2004-12-09.ana.ud1490e193	I'm going to pick up the thread from the representative Kristiansen, because I feel that the representative Gaundal did not respond specifically to consensus. I will therefore try to be a little more specific in the question. She said she was very concerned that we should preserve jobs and prevent the relocation of industry. In the light of the Declaration of Will of the Centre Party, the SV and the Workers' Party on a so-called red-green government, if you get a majority after the elections, I will take some examples of business policy: When we look at this with conventional gas power plants, the Labour Party says yes, while SV and the Center Party say no to gas power plants without total CO2 cleaning. In the case of oil drilling in the Barents Sea, the Workers' Party said yes, while SV said no. The EEA Agreement, which Kristiansen had in mind, which is the most important agreement we have with our main trading partners in terms of selling goods and services, will repeal SV. The work party will keep the matmoms, the centre part will remove the matmoms. And then net pay arrangements, then: SV does not want to have net pay arrangements, for example. for the ferry companies, and they do not want to do anything about the tonnage tax. How does this relate? How can we achieve a comprehensive industrial policy?
ParlaMint-NO_2004-12-09.ana.ud1490e203	The goal for us on the left hand side of Norwegian policy is that we get a government that has a majority in Stortinget, and that in itself will be stable and okay, because there is something that has been unforeseeable, that is where our current government has gotten support. Sometimes it's been with us, and sometimes with the Progress Party. And I have to honestly admit that I might think it's going to be easier to talk on the left hand side than that, for example. has been for the current government to talk to the Progress Party. It hasn't given us any good and stable conditions. We know that we disagree on some things. But, as I said, negotiations are negotiations. As far as gas power plants are concerned, many people believe that using more of our natural gas is right, but the question is how to deal with the pollution that comes with it. I think most people think that producing the power of natural gas is okay, as long as we can handle the pollution that comes from it. Of course, we disagree about food moms and stuff, but it's kind of a little bit of detail. A comprehensive policy is to be able to come up with.
ParlaMint-NO_2004-12-09.ana.ud1490e212	It was an interesting post by the representative Aud Gaundal. But the most interesting statement, I think, was that she said the following: we want to "grow away from a market-driven society". Knowing that the Labour Party through the 1980s and 1990s has been one of the engines for getting a more market-driven society, where we have removed a number of societal tools for political governance, I think it's nice that you now want to get back. That's why I want government cooperation with the Workers' Party where we can actually take back some political governance, a little more political governance both of business and of other societal tools. Is it right for me that Aud Gaundal and the Workers' Party actually now want to reverse some of the market thinking that is in society, and that we get a little more political governance into Norwegian society again?
ParlaMint-NO_2004-12-09.ana.ud1490e219	It is right, as the representative Ryan pointed out, that in a way we will have more governance and less market. Then of course we can be accused that we in the government have done some work. But there is no doubt that we, who belong to the left side of Norwegian politics, see what real market policy is for something, with the government we now have. I think we should be able to stack on our legs an alternative that is kind of a little market, but also political governance.
