ParlaMint-NO_2004-06-04-lower.ana.ud1023e45	The representative, Jan Arild Ellingsen, will make a private bill.
ParlaMint-NO_2004-06-04-lower.ana.ud1023e48	On behalf of the representatives of André Kvakkestad, Karin S. Woldseth, Ulf Erik Knudsen and myself, I would like to propose an amendment to Law No 8 April 1981. 7 on children and parents - in order to prevent a parent, if the parent kills the other parent, from being automatically granted the parent's right to share children.
ParlaMint-NO_2004-06-04-lower.ana.ud1023e53	The legislative proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2004-06-04-lower.ana.ud1023e67	At the request of the Judicial Committee, the President will propose that speaking time be limited to 5 minutes for each group. In addition, the President will propose that there be no repetitions after the individual speeches, and that those who have to sign up on the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. - It is deemed to have been adopted.
ParlaMint-NO_2004-06-04-lower.ana.ud1023e74	Today, the police are placing very many issues of competition crime because the rules of the penal code are complicated and pose interpretative problems. This is worrying. Enrichment at the expense of creditors is unacceptable and involves a distortion of competition that cannot be accepted. The amendments to Chapter 27 of the Criminal Code on Indebtedness are aimed at facilitating the practice of the Code and thereby contributing to the more effective fight against economic crime. It has also been an objective to make the rules of Chapter 27 more comprehensible to those against which the provisions are addressed. This also justifies legal simplification and clarification. The limits on which offences are punishable are broadly maintained in line with the law in force. However, some important adjustments are made in Chapter 27 of the Criminal Code. Several of the provisions currently have conditions under which the debtor is insolvent. However, insolvency shall no longer be required when a creditor-damaged disposition is made. After the amendment of the law, it will be sufficient for the debtor concerned to face a real risk of becoming insolvent in the course of the action. Some hearing bodies have expressed concern that the condition of ‘clear danger of becoming insolvent’ could affect arrangements which, at the time of action, appeared to be sensible but which subsequently proved to be unlucky. In this respect, it is important for me, as the rapporteur-in-Office, to make it clear that it is the future prospects of the debtor at the time of disposal that will be crucial for criminal justice. Penalties may be imposed following amendment of the law if the debtor has grossly negligently or intentionally infringed accounting rules. This change will typically affect debtors who throw the accounts to make legal prosecution difficult, reflecting, in the Christian People's Party's view, a completely necessary approach to today's competition criminality. Indebtedness is consistently revealed at a late stage of the follow-up. This is often due to attempts to cover the criminal offence through breaches of accounting law. On this basis, the limitation period for criminal offences shall no longer be subject to bankruptcy and indebtedness proceedings under the law. A suspension rule is introduced, which is limited to infringements of Chapter 27 of the Criminal Code and the first paragraph of Section 8-5 of the Accounting Act. The absolute time limit for suspension shall be set to five years. An overall committee asks the Department to consider whether other criminal penalties relating to financial crime should also be covered by that suspension rule. Nor is it a requirement that the action should affect the creditor community. It will now be sufficient for criminal liability to affect a single creditor. On the other hand, Chapter 27 limits criminal liability. Unlike the applicable criminal law § 285 first paragraph, a condition is introduced that the losses of creditors must be significant in order for a risky entrepreneur to be punishable. Furthermore, the liability of creditors is reduced. In addition, the receipt of settlements for debt shall be punishable only if the creditor has used undue means to obtain the benefit. In its examination of the proposal, the Committee has stressed in particular the need to simplify the certification requirements of Chapter 27 of the Criminal Code. Dark figures are high in financial crime. Later this month, the Government will present a separate action plan against financial crime. It will be a central element in the fight against this type of crime. It is a goal for the Christian People's Party to strengthen its efforts against, among other things. competitivity. In my opinion, the changes that are now being made to the Penal Code and the changes that the Storting made to bankruptcy legislation by Besl. O. No In total, 64 for 2003-2004, lead to a significant improvement in society’s ability to detect and sanction anti-competitive crime. With this background, I would recommend that Odelstinget support the suspension of the Judicial Committee.
ParlaMint-NO_2004-06-04-lower.ana.ud1023e110	The government invites Stortinget to take new action in the fight against financial crime, and the Stortinget is following up. This time, there are changes to the criminal law on crimes in debt. There is unanimity on everything in this proposition, and the rapporteur has very well explained the proposed changes - therefore only a few brief comments from my side. The fight against economic crime is becoming more and more important, and corruption and government are placing great emphasis on this work, which is not least reflected in the forthcoming presentation of an action plan on economic crime. The studies have shown that as many as two out of three business bankruptcies are suspected of a criminality of competition. Often, these matters are dismissed. The reason is that the penalties in Chapter 27 of the Penal Code are complicated and raise problems of interpretation and proof, as the Criminal Felony Council has pointed out in its investigation. So this is going to do something about it. We are making a number of changes to the law that will make it easier to follow up such bankruptcy cases. More stringent penalties are also proposed in several areas in Chapter 27 of the Criminal Code. Economic crime is serious in itself, and more and more often we see the link between economic crime, organised criminal groups and, ultimately, terrorists present. The right, therefore, welcomes the simplifications and the punitive shrapnel.
ParlaMint-NO_2004-06-04-lower.ana.ud1023e125	I am pleased that the Committee supports the Government's proposals in Ot.prp. No 37 for 2003-2004 amending the rules of Chapter 27 of the Criminal Code on Indebtedness Crimes. The current provisions on competition crime in Chapter 27 are complex and complex. The aim of the amendments is to make the rules more effective and easier to practice. This is part of the government's effort to combat financial crime. Today, many reports of breaches of the rules on indebtedness are passed on, for example: the complexity of the rules and the difficulty of interpretation and proof. At the same time, we know that criminal offences are suspected in a large number of business failures. In order to simplify the presentation of evidence, the Ministry has proposed a principle that it is sufficient for the debtor to be in danger of becoming insolvent by an act, in those criminal penalties in which insolvency is currently a criminal offence condition. It will often be difficult to prove that a person or a company has been insolvent at a certain time back in time. As the Committee has also pointed out, it is, in principle, a random advantage for a debtor who is clearly at risk of becoming insolvent by an act, that insolvency does not occur. The criminality of a creditor offence is thus the same in such cases as when the debtor is actually insolvent. It is also important to propose the amendment of Section 283 of the Criminal Code on Property Impairment in the event of insolvency, that there should be a presumption of insolvency in the event of intentional or gross negligence on the part of the accounting officer. For example, if the debtor: if the accounts have been broken in such a way that it cannot be ascertained whether he was insolvent, at the time of action, it shall be assumed that he was insolvent, unless the opposite can be proved. This would significantly simplify the evidence in such cases. I would also like to highlight the proposal that the limitation period for criminal offences covered by the Chapter on crimes indebtedness and for infringements of the Accounting Act should not run as long as the debtor's residence is bankrupt or indebted. Offences affecting creditors are often revealed at a late stage in bankruptcy proceedings. Without an extension of the limitation period, it may be possible that the circumstances have expired before the bankruptcy procedure is completed. At the same time, for reasons of legal certainty, a maximum limit of five years has been set for the extension of that period. I have noticed that the committee asks the Department to consider whether the same principle applies to other criminal offences involving financial crime. I have also noticed that the Committee supports the Ministry's proposal that simple negligence should not be sufficient to penalise anyone under the debt chapter. It is the unfair conduct against the creditors that is sought under Chapter 27 of the Criminal Code. Reasons for legal certainty indicate that simple negligence shall not be sufficient to punish for such offences. The proposals under consideration by Odelstinget today must be seen in the context of the changes in bankruptcy law regarding the means of settlement adopted by Besl. O. No 64 for 2003-2004. Reinforced settlement and clearer and simpler rules on debt offences will, hopefully, help to ensure that bankruptcy does not pay off. This government will strengthen its efforts to combat economic crime in various ways. In a few days' time, together with the Minister of Finance, I will present the Government's new action plan on financial crime.
ParlaMint-NO_2004-06-04-lower.ana.ud1023e146	Several have not asked for the floor on case No. 1st@item: inlistbox [[See page 506]]
ParlaMint-NO_2004-06-04-lower.ana.ud1023e162	At the request of the Judicial Committee, the President will propose that speaking time be limited to 5 minutes for each group. In addition, the President will propose that there be no repetitions after the individual speeches, and that those who have to sign up on the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. - It is deemed to have been adopted.
ParlaMint-NO_2004-06-04-lower.ana.ud1023e169	The amendments to the Financial Contracts Act deal with the question of equalising loan options, regardless of whether you borrow directly from a municipality, borrow directly from the Husbank or borrow from the Husbank via a municipality. As a consumer, there is the same need for protection, regardless of whether you have used the first, second or third loan options. The Committee agrees with this point and with the other points in the vote. In this context, I would like to point out that there has been an error on page 4 of the setting, where it says that everyone, "except the members of the Progress Party, supports the amendment of the limitation law §§ 10 and 17". That's not right. There shall be a unanimous vote on this matter. In the case of the retirement law, three substantive changes are proposed. One is to interrupt the limitation period when a case has been promoted to the Ombudsman of the Storting for administration. It is desirable to make use of the Ombudsman's services where appropriate. It would be unfortunate if either the requirement could become obsolete during the Ombudsman’s term of office or the Ombudsman’s proceedings would have to be brought at the same time as the Ombudsman’s proceedings in order to maintain the period of time within which to avoid limitation. That is why it is now proposed that the deadline be suspended when the case has been brought before the Civil Ombudsman, and that a new three-year period be granted if the Civil Ombudsman finds something critical, and a one-year period if he finds no criticism. The second change is linked to the problem of debtors who have chosen to settle abroad after having received a claim against them in Norway. Norway has agreements with some countries on enforcement, and it is natural that Norway, in the same way as the other countries, is implementing this agreement. This would essentially benefit Norwegian creditors. A third change concerns compensation for personal injury, where the absolute limitation period is now set to 20 years. This will be particularly important in relation to sensitivities and injuries caused to children and young people, which first appear or become aware of, at a much later stage. Where there has been a slight disagreement, the issue is to remove the maximum limitation period. The proposal stated that the Ministry did not wish to remove the maximum limitation period without a wide consultation. We from the Progress Party could well imagine having this hearing, not necessarily because we would jump to the conclusion that we will eliminate a maximum limitation period, but we could well imagine how this would be received especially in relation to injuries, including injuries caused to minors. I have understood it so that the majority justifies their comments on the basis of an oral feedback from the department. But it can also be good to get a deepening of this directly from the Council of State.
ParlaMint-NO_2004-06-04-lower.ana.ud1023e188	In Ot.prp. No 38 for 2003-2004 the Government proposes four main changes to existing legislation. Firstly, it is proposed that the limitation period be interrupted when claims against the administration are promoted to the Civil Ombudsman. The limitation period is extended by 1 to 3 years, depending on whether or not the Ombudsman expresses criticism of the administration. This will give the individual reasonable time to deal with the decision without having to do unnecessary and possibly parallel processes. However, this suspension does not apply if the case concerns a relationship between two private parties. It is important that the Civil Ombudsman appears to be an appropriate body for persons who consider themselves to be subject to critical administrative conditions. Today, the limitation period does not end by bringing a case before the Ombudsman. It is therefore possible that a claim against the administration may become obsolete while the Civil Ombudsman is considering it. One consequence of today's limitation rule may be that a case must be brought before the Court while it is still pending before the Ombudsman in order to stop the limitation period. This is unfortunate. The Christian People's Party is pleased that the limitation period is suspended when a case is pending before the Ombudsman of the Storting for administration. Secondly, the Government proposes that the limitation period be interrupted by the imposition of enforcement proceedings against the appropriate authority of a foreign country. A prerequisite for this is that Norway has an agreement with that country on the approval and enforcement of such requirements. Today, the rule is such that a person must go to specific proceedings in the State in which the claim is to be enforced in order to interrupt the limitation period. In cases where we do not have an approval and enforcement agreement, the Government proposes a rule on the additional period as an alternative to going to court in the country in question. The purpose of this is to improve the coverage prospects for creditors who have their claims receivable abroad. Furthermore, the Government proposes an exemption from the absolute limitation period of 20 years. The exemption shall apply to personal injury suffered while the person was a minor. The purpose is to prevent such claims from being obsolete when the injured party becomes aware of the damage and the possibility of claiming compensation. The exemption from the absolute limitation period of 20 years is a strengthening of the position of claimants in respect of persons who have suffered injuries after they have been injured in their childhood. Several of those who have been seriously assaulted, or who have suffered an unreasonable burden in young years, may need a long time before they have the power to place the person or persons responsible in charge. An important consideration behind the limitation rule is that the person responsible should be able to consider the matter to be settled at a given time. But abuse against children and young people is so serious that, in my clear opinion, consideration for them must be given more weight to determining the length of the limitation period. The Christian People's Party therefore considers it appropriate and very important that the limitation period in Section 9 of the Legacy Act be changed in order to better care for that group. Furthermore, it is proposed that the Financial Contracts Act Chapter 3 on Loan Agreements and Chapter 4 on Security apply in full where a municipality or county is a lender or a bankruptcy creditor. For each individual consumer, the need to be properly cared for is equally important regardless of who is one's creditor. There is therefore no reason to operate with different regulatory frameworks depending on whether loans are granted through a municipality, such as intermediary loans through a municipality or directly from a credit institution that provides for intermediary loans through a municipality. On behalf of the Christian People's Party, I would advise Odelstinget to support the position of the Judicial Committee as it stands.
