ParlaMint-NO_2004-06-16.ana.ud568e49	The representative of Ola D. Glötvold will make a private proposal.
ParlaMint-NO_2004-06-16.ana.ud568e52	On behalf of the great representative Eli Sollied Överaas and myself, I would like to make a proposal to prohibit the acquisition, possession and use of doping drugs.
ParlaMint-NO_2004-06-16.ana.ud568e57	The representative of May Hansen will make two private proposals.
ParlaMint-NO_2004-06-16.ana.ud568e60	On behalf of Mr. Inga Marte Thorkildsen and myself, I would like to make proposals for the establishment of crisis centres for children in the five child protection regions. And on behalf of Mr. Inga Marte Thorkildsen and myself, I will put forward proposals to introduce a new model for questioning children who are exposed to or are witnesses to a traumatic crisis situation.
ParlaMint-NO_2004-06-16.ana.ud568e67	The representative of Mr Kjetil Bjørklund will make a private proposal.
ParlaMint-NO_2004-06-16.ana.ud568e70	On behalf of the representatives of Kristin Halvorsen, Øystein Djupedal and myself, I would like to propose that Norway go in favour of the arms embargo and other forms of sanctions against Israel and contribute to an international debate on this.
ParlaMint-NO_2004-06-16.ana.ud568e75	The proposals will be dealt with in a regulatory manner. Before the matters on today's map are dealt with, the President will propose that the morning sitting - if necessary - continue beyond the time of regulation. 15 to the current map has been completed. - No objection has been raised against the President's proposal, and it is deemed to have been adopted.
ParlaMint-NO_2004-06-16.ana.ud568e90	The President shall request a proposal for a new alternate to the Electoral Committee.
ParlaMint-NO_2004-06-16.ana.ud568e93	I suggest Rita Tveiten.
ParlaMint-NO_2004-06-16.ana.ud568e100	Jens Stoltenberg has proposed Rita Tveiten as a new alternate to the Electoral Committee after Leif Lund. Other proposals are not available, and the President assumes that they can be voted in the usual way. - It is deemed to have been adopted.
ParlaMint-NO_2004-06-16.ana.ud568e111	It was so far that the Storting managed to make this election while there were still enough people in the hall. The president thinks it's strange that people start walking when the president has brought up a case for a vote. But now it's passed.
ParlaMint-NO_2004-06-16.ana.ud568e127	No one has asked for the floor. [[See page 3413]]
ParlaMint-NO_2004-06-16.ana.ud568e142	At the request of the Supervisory and Constitutional Committee, the President will propose that speaking time be limited to 10 minutes to the rapporteur, 5 minutes to each of the other groups and 5 minutes to the Council of State. Furthermore, the President will propose that there be an opportunity for a replacement of lines of up to three lines with replies after contributions from members of the Government. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. - This is deemed to have been adopted.
