ParlaMint-NO_2004-04-22.ana.ud941e41	The called alternate of the Hedmark County, Helge Bjørnsen, has taken the seat.
ParlaMint-NO_2004-04-22.ana.ud941e63	At the request of the Social Committee, the President will propose that the debate be limited to 1 hour and 15 minutes and that speaking time be allocated to the groups as follows: The Labour Party and the Right 15 minutes each, the Advance Party, the Socialist Left Party and the Christian People's Party 10 minutes each, the Centre Party, the Left and the Coast Party 5 minutes each. Furthermore, the President will propose that there be an opportunity for a replacement of lines of up to five lines with replies after contributions by members of the Government within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – This is deemed to be adopted.
ParlaMint-NO_2004-04-22.ana.ud941e74	In St.meld. No 40 for 2002–03, on the reduction of disability barriers, the Government comes up with its strategies, objectives and measures in the policy for people with disabilities. In this message the Government strongly specifies the traditional way of looking at disability as a property of the individual. The title of this large-scale message, ‘Disaster of Disability Barriers’, just underlines this fact. The message indicates that the societal barriers are what causes disabled people to become disabled. The Committee endorses the Government's view of this area and stresses that it is not obvious that people with disabilities become disabled, but that this will depend on how society can adapt. Disability occurs only when there is a gap between the individual's requirements on one side and the design of the environment on the other side. A collective committee supports the Government's vision and its objectives that people with disabilities should have the possibility of personal development, participation and life-long development in society in the same way as all other citizens of society. This clear view of value, provided by the biomedical way of looking at disability and the focus on building down societal barriers, changes the focus of this debate. This is a change that a collective committee has chosen to follow up. The Committee's plurality, the members of the Advance Party, the Right Party and the Christian People's Party, have agreed with the Government that there are no simple measures that can solve all the challenges we face in terms of education, working life, culture and leisure and health and social services for this group. If such simple measures existed, one would of course have implemented them a long time ago. Future-oriented results depend on targeted and systematic work over time, where awareness-raising and wide mobilisation at all levels of society and administration must be central. A comprehensive committee is busy with the need to increase the accessibility of disabled people so that all disabled people can enjoy good access to buildings, the outdoor environment, the product and services. The Universal Design Principle is also one of the main keys to the Government to increase accessibility for disabled people. As a result, the Committee supports the principle of universal design as a basis for new buildings and new acquisitions, and that the principle is mainly applicable in areas such as transport, construction, outdoors and information. The Universal Design Action Programme started in 2002, and this message will signal very clearly that it should be improved and significantly expanded. The Committee believes that the dissemination of knowledge on universal design is crucial and supports the work of the Delta Centre and the four-year cross-cutting effort under the direction of the Norwegian Research Council to increase the availability of information and communication technologies. The Committee supports the Government's view that the principle of universal design should be assessed in all relevant matters of State administration, and the Committee has good reason to believe that we have a great potential for improvement in this field. A joint committee has also noted the efforts made by the Government in the field of research and the efforts made by the Government in this area. A gathering committee should call this offensive. The creation of a documentation centre to gather information and develop tools to report on developments within these different social sectors in relation to the situation of people with disabilities, together with the strong commitment to IT Funk, is being promoted as a decision for the Committee. The Committee also supports the Government's desire to strengthen user involvement at municipal level for disabled people and supports the proposal to legislate for user representation. The Committee also wants municipalities to be given some freedom in the field. The Committee's plurality, the members of the Progress Party, the Right and the Christian People's Party, know that in municipalities that have already established municipal councils, there has been a greater awareness of the needs of the user groups and that the actual changes that have taken place have had a positive impact on the life situation of disabled people. This plurality therefore asks the Government to come back to Stortinget with a proposal for the legalisation of municipal councils during 2004. The Committee's plurality, the members of the Right, the Progress Party and the Christian People's Party, support the Government's intention that organisations for people with disabilities should have great freedom to organise their own work, and that umbrella organisations should obtain legitimacy from the participating organisations. The majority therefore believe that there are many good reasons why the funding of umbrella organisations should be channelled through membership organisations. The majority will stress that no organisation should tend or lose its involvement in one umbrella organisation rather than another, and it should be entirely possible to choose which umbrella one would like to be a member of. This builds up under the self-destination principle, where each organisation legitimises the umbrella organisation they want to participate in. So this multiple goes in for 5 million. kr in FFO fixed contributions, to maintain the important support and support provided by the FFO to its organisations, and that the rest is distributed abroad as operational support to the organisations before the FFO today. Work and education are a central gateway to participation in the community. Allowing humans to use their creative abilities through an active professional life is good for individuals, but also for society as a whole. The Committee has therefore given a clear signal that all people should be seen as a resource and not as a burden on society. The transition between school and work may be difficult for people with disabilities. The Committee therefore welcomes the fact that the Ministry of Education and Research will give priority to developing cooperation procedures between the School and Aetat in order to facilitate the transition, thereby clarifying the responsibilities of the various actors. The Committee also welcomes the provision of funds to establish a national driver and network function in NTNU linked to the promotion of a better learning environment. The Committee’s plurality, the members of the Right, the Progress Party and the Christian People’s Party, ask the Government to consider whether to facilitate practical arrangements and summer work projects for young people with disabilities in education, when the Ministry of Education and Research and the Ministry of Labour and Administration, in cooperation, are to draw up a circular to stimulate cross-sectoral cooperation at local level in order to facilitate the transition between education and work. The Committee believes that a key to better living conditions for people with disabilities is related to the possibility of paid work. One of the measures taken by the Committee is the report to be prepared by the AAD on the situation of disabled persons in carrying out annual additional studies for the Labour Force Survey. The Committee is also pleased that legal involvement of users in Aetat was established in 2003. The Committee has decided to focus heavily on families with disabled children. The Committee believes that the objective of the provision of services to families with disabled children is to provide them with services that are coordinated and adapted to the needs of the family, so that the family is able to care for their children. Children with reduced function often need extensive and extensive assistance from various parts of the public utility. This very often implies that families must be in contact with many auxiliary services because of lack of coordination and coordination of service provision. This message takes important cleanups here to improve the situation, and the committee follows it up and reinforces it. The Committee is busy avoiding the wear and tear of families and their care ability and underlines the need for easily accessible unloading schemes. The Committee also believes that it is important for one to exchange experience with others in the same situation, and believes that it is important to create meeting places for families with disabled children. It is also stressed that it is important that schools set up and cooperate with those who coordinate the individual plans according to health and social legislation, so that the health concerns surrounding the children and the need for family members are taken care of. In order to facilitate the coordination of families with disabled children, families should now be given a permanent coordinator in social security matters. The Committee also believes that it is important to have a permanent coordinator at municipal level for families with disabled children, who are responsible for coordinating the work of family members. The Committee believes that it is important for parents who have children with disabilities that they receive adequate information and guidance. The Committee therefore supports the establishment of an offer for families with children with disabilities under the direction of learning and mastering centres throughout the country. The Committee believes that competence for service providers is crucial in this context, and is therefore satisfied with the Government's commitment to a two-year plan aimed at care managers who have a lot of contact with families with disabled children. The Committee is very concerned that having a child with disabilities can be a major burden on society. The Committee therefore supports the establishment of a nationwide provision of life guidance for parents with disabled children. This strong focus is very fond of the Christian People's Party, a focus we have long tried to have on this matter. I'm counting on the other parties to take up their main proposals. This message contains 120 actions and is a good starting point for further work on reducing the gap between the individual's aspirations and society's demands by changing society's demands and the individual's aspirations. It is important that in this debate we do not make great promises that we cannot fulfill. The most important thing today is that we are able to send a signal that the biomedical way of looking at disability is old-fashioned and expired. I would therefore recommend the Roma in the setting behind the government party.
ParlaMint-NO_2004-04-22.ana.ud941e116	Tomorrow is World Book Day. All 6th and 7th grade children will receive a book tomorrow as a gift from the Learning Center, just not the children who are blind, who are faint, or who have other reading problems. It upsets me. Every day, disabled people in Norway are discriminated against, through attitudes and through actions. Man-made disability barriers prevent disabled people from participating in the workplace, in school and in leisure under the same conditions as health care. And they have far worse living conditions than the average. Examples of everyday life are many, and a random example is from Westfold. In Tønsberg's magazine on 31 January this year you can read that Kristian Aslaksen tried to get into the Brygga Cafe in Holmestrand, but was told that he could not come in because he had not wanted to knock the door. That's just an example. We are aware that the blind and partially sighted give away the mini-bank code to random people, and that public transport is not organised for disabled people. We all have a responsibility for that being the case. No politician can be proud of the job done for disabled people. In all social planning, we should think about the disabled. Through the work of the Manneråk Committee, as set out in NOU 2001:22, from user to citizen, a thorough effort has been made to shed light on the living conditions of disabled people in Norway. The Manneråk Committee's investigation gave the people with disabilities hope that systematic work would be started to improve their chances of life development and participation in society. The detailed description of the reality of disabled persons by the Manneråk Committee is reproduced in the Official Journal of the European Communities. No 40 for 2002–03 Destruction of disability barriers, which are being addressed today. There is a basis for developing a comprehensive policy and strategy to improve the living conditions of people with disabilities. But the government has not used this occasion. The notification details small and large actions that have been completed or are being implemented and contains little new ones. The policy and the whole is difficult to understand in detail. The message bears the impression that the Government does not want to take up work on measures for disabled people now, if it is concluded that disabled people are systematically excluded from different social arenas. Clearly, there has been no room for spending money on disabled people in the entire government policy, where tax relief is to be financed by cuts in welfare schemes. The working party considers that binding action plans are necessary, with concrete measures and deadlines. Only then can we achieve the goal of full equality and participation for people with disabilities. In the Workers' Party, we are pleased that, together with the other opposition parties, through the processing of the notification, we require the Government to draw up an action plan to increase accessibility in key areas for the disabled. When we demand deadlines and obligations from the state related to the financing of the action plan, we understand that this is laborious and long-term work. The more important it is to have a systematic plan. Discrimination against people with disabilities shall be combated. The Labour Party therefore believes that we need to use the most powerful tool we have. That is why we are in favour of the creation of an anti-discrimination law. We expect the government to come back to Stortinget with a bill. We believe that there must be control and supervision that ensures compliance with the law, but that is what we will get back to when we deal with the law. Accessibility in the transport sector is a prerequisite for the participation of people with disabilities in society. Therefore, the Workers' Party considers that the granting of concessions on transport requires accessibility for disabled persons. It is with interest that we have noticed that the Government places great emphasis on user involvement both in this message and in other contexts. Users’ perceptions shall be given great importance in the design of public schemes. It is then alarming that the Government and the Committee number choose to disregard the unique advice provided by the organisations of disabled people about the grant schemes of their organisations. The Workers’ Party agrees with the organisations of disabled people that the State must facilitate the organisation’s having a common political speaker. We think it's best to do that by continuing today's funding of the umbrella organisations. There have been improvements in the living conditions of people with mental retardation in the last decade, but in the Workers' Party we are nevertheless concerned that the focus on other groups has been at the expense of further development of the supply of mental retardation. We are particularly concerned that small municipalities lack the competence to provide this group with an adequate range of services. Recruitment measures and empowerment measures should be implemented in our view. Where small municipalities are not able to guarantee this competence, the habilitation service must assist. In conclusion, I would like to say a few words about the situation of disabled children and their families. Despite good intentions and measures, children with disabilities and their dependants face a demanding everyday life. The auxiliaries are very fragmented and often uncoordinated. Parents need to make a significant effort to make the relief measures work together and on a day-to-day basis. A strategy plan has recently been presented to address the organisation and development of health services for children with disabilities and chronically ill children and their parents. We assume that the department follows closely the implementation of this plan. I am therefore addressing the proposals on which the Workers' Party has been involved.
ParlaMint-NO_2004-04-22.ana.ud941e146	The representative of Gunn Olsen has taken up the suggestions she referred to.
ParlaMint-NO_2004-04-22.ana.ud941e149	Disability arises in the gap between the demands of society and the assumptions of some of us. It is important to note this definition, because it underlines that disability cannot only be understood as characteristics of the individual. It's e.g. not just the paralysis that creates disability, but the obstacles created by those who believe that everyone can walk. Nor is it just the lack of vision that creates disability, but obstacles created by anyone who can see. The main issue of accessibility is that there is a low level of awareness and poor competence of many in the public and private sectors who are investigating, planning and deciding on the design of buildings, the outdoor environment, products and services. There's a huge gap between the overall goals we've set ourselves and the reality that people with disabilities are living with today. The challenge, therefore, is to think anew. Not least, it's about getting the users on board. The government will legislate user participation at municipal level and the government parties have intervened to do so in the form of municipal councils. The Communication focuses specifically on accessibility, education, work and services. Having a job to do is the most important factor in good living conditions. The government has set itself the following objectives: to ensure economic and social protection for individuals. Service, training and qualification shall be based on individual needs. More people who can benefit from their abilities and facilities for the benefit of sea and society must be able to get to work. The objective is therefore active participation and full equality, both in terms of access to higher education and to the labour market. In order to facilitate the recruitment of more disabled people, the Government has taken various measures. For example, the Memorandum of Understanding between the social partners and the authorities can be mentioned. The abstinence of enterprises in the provision of facilities at the workplace for people with disabilities has now been eliminated for all enterprises. The Ministry of Labour and Administration will draw up a plan of measures for the increased recruitment of persons with disabilities to the public sector. It is important that the public sector takes responsibility and takes the lead and shows private employers that it benefits. A new training programme has been launched in the country on the UN standard rules, which is part of a strategy for enhancing competence, in order to ensure a high level of awareness of universal design, investigation, planning and procedures in the departments. Important measures in the plan will relate to the empowerment of staff, enhanced user involvement and cooperation with the Government’s Disability Council. At the same time, it is important to impose requirements on investigations and procedural procedures. The main challenge will be to create awareness and knowledge of the conditions of the disabled, to create a willingness to build up the barriers of the disabled and to disseminate knowledge of universal, good solutions. The government will therefore stimulate universal design to take all planning into account. Transport challenges are significant, as also mentioned in the national transport plan. The testing scheme for work and training travel shall be evaluated. In the light of the evaluation of the experiment, the Government will decide whether the scheme should be permanent. There are many different social benefits and transport schemes, and there is a need to see them in a context. The Ministry of Social Affairs and the Ministry of Social Security will set up a working group to review public schemes and social benefits, such as the TT system and the benefits of popular interest, with the aim of proposing changes that ensure a good transport offer and contribute to the more comprehensive, coordinated and rational functioning of the schemes than they do today.
ParlaMint-NO_2004-04-22.ana.ud941e166	This communication, which is currently being discussed, is a major and very important matter for many individuals and organisations. Making clear the goals, measures and strategies for how to overcome all the barriers that disabled people face today in society is something we really need to take seriously. The decisions taken today are not the solution to all the day-to-day problems facing disabled people. We cannot push under the carpet that if we are to get to a society that gives an almost equal access for everyone to all areas of society, this will not only cost money, but also require all of us as citizens to change our attitude as to how society must be structured in the future. It is not acceptable to, for example: a wheelchair user is not free to move in a city in today’s Norway or that blind persons are not able to find their way into a public building because lifts and entrances are not arranged in such a way that the blind can be briefed. However, it is important to innovate that some of the changes that need to be made will take some time to put in place. Looking at developments in recent years, a number of positive measures have been taken in society to better include people with some major disabilities, so that they can function as normally as possible in society, but there should only be a lack of such action. However, it is important to take inward that very much remains. There was a great deal of discussion on how to finance the umbrella organisations in the future in the context of the presentation of this Communication. This was known to come, as the Government initially proposed to remove the entire grant to the umbrella organisation FFO, and then, in the next round, to distribute these funds to all disabled people's organisations, whether they were members of the FFO or not. The main argument for doing this was that it had to be up to individual membership organisations themselves to fund their own umbrella organisation. This argument would be very comprehensible and sensible if the JRC had only been responsible for the interests of its own organisations. However, this is not the case. In addition to being a pure umbrella organisation, the JRC has also undertaken a number of other important tasks — the operation of the rating centre, which is useful for all disabled people, they are an important negotiating partner in connection with, for example, the use of the rights centre. the establishment of social security schemes and they carry out a number of investigations and consultations. It is therefore gratifying that the Progress Party has managed to achieve a financing solution that would ensure both a more organisationally managed umbrella organisation, and not least that the JRC will be able to continue its work both with the Rights Centre and as an important social contact and cooperation partner for the public and, where appropriate, others who need the knowledge and guidance information provided by the JRC in the various fields. By ensuring that the FFO now has a basic allocation of 5 million. It should now be an affordable task to secure the remaining amount of money to be used to continue at the current level, if desired by the individual membership organisations, as it appeared during the consultations with the Social Committee, and in particular since the contribution between this amount and the funds currently allocated to the JRC is to be allocated by reference to the number of members of the FFO's own membership organisations. It is gratifying that one of the proposals that the Progress Party has been promoting for a number of years is now finally receiving majority support from the government parties. This is, of course, about the proposal to legislate on the establishment of municipal councils for disabled people. This is very important, so that municipal councils for people with disabilities are given a status and an important place in most municipalities. It is a fact that many of the obstacles and problems that disabled people face in everyday life are largely due to lack of knowledge and local organisation. We as legislators will never be able to solve all these problems a hundred percent, as many of the problems that this is about, including. is due to attitudes and lack of knowledge and understanding of the problems of the disabled. The actual design of how municipal councils are to be organised and the size of a municipality in order for such a statutory council to be required, the Government will have to come back in 2004. I have to say that it is disappointing that the Socialist Left Party and the Workers' Party do not support the legalisation of municipal councils for disabled people. The Progress Party believes that today's organisation of social action, social security and the labour market situation in itself is an obstacle to the possibility of a more rapid reduction of disability barriers. Persons with disabilities who wish to work depend to a large extent on a well-organised job in order to function as fully as possible. In a number of different situations in life, disabled people face all three existing institutions. As these floors are organized today, as they work, with watertight bulkheads in between, they become as much an obstacle to the individual user as organizers. In connection with the submission of St.meld. No 14 for 2002-2003 The Government proposed a new organisation of welfare services in Norway. The government's proposal was that one should continue to maintain two state agencies, but with a slightly different division of labour. In the opinion of the Progress Party, such reorganisation into two institutions will not contribute to a system that meets the needs of users for effective, rapid and correct solutions in today's society, where time factors, economics and the desire to work as far as possible characterise everyday life. Today's organisation with three autonomous levels of government to cover their respective costs of different benefits has created unnecessary time use, long waiting times, unnecessary use of funds and inefficient processes. The Party does not wish to continue a system in which reasonable solutions are rejected in favour of significantly more expensive means of saving part of the administrative expenditure, which others have to cover. It is important to point out that there are currently large differences between municipalities in the provision of social assistance and in the quality and quantity of social services provided by municipalities. A greater feature of private services, generally in competition with public authorities, will improve choice for users and a better economic approach for society. The introduction of a new funding system, better adapted to individual needs, is required in the future. One has been able to notice for a long time the strong weight of the Government is putting more people into work and fewer passive benefits. In this case, this cannot be said to apply, as the Government is proposing insufficiently sufficient and effective measures that could make disabled people fit for a good and long-term job. If a few more are going to do this, it depends on getting a new organization of the agencies that are currently running welfare and planning tasks. It is therefore important that, on the part of the Council of State, progress be made in bringing forward a case for the Storting, where the result must be a single welfare centre to replace the current social, labour and social security system. It is important that a person has the overall objective of being able to work as much as possible and thus be an active participant in society, both socially and in the form of participation in the labour market. It is worth noting that, despite the agreement on an inclusive working life, the number of people with disabilities has actually fallen recently. The work done by individual organisations on equal opportunities is perhaps the most effective and profitable aid received by disabled people in order to deal best with the challenges that everyday life often presents. In future, the Progress Party will give priority to channelling funds into this area. It's sad that the other parties are not in the position to step up this grant in the future. It is a fact that being able to receive help and support from people who are either in or have been in the same situation as themselves is of great benefit and importance, so that they can best cope with the problems and challenges of meeting people with disabilities in society. Finally, I would like to address the minority proposal from the Progress Party included in the vote.
ParlaMint-NO_2004-04-22.ana.ud941e189	The representative Harald T. Nesvik has taken up the proposal he referred to.
ParlaMint-NO_2004-04-22.ana.ud941e192	The matter we are dealing with today should be a follow-up to the 2001 Manneråk Committee's suspension, from user to citizen. This public investigation provided a very good basis for formulating a policy aimed at building up and removing the social barriers that close disabled people from active and full participation in all areas of society. These are areas such as education, employment, housing, transport, leisure and cultural life and other social arenas. In working with this big message, SV has focused on just this. We have therefore put forward a number of proposals aimed at ensuring both important rights and implementing measures in different areas, which should contain deadlines, and not least financial obligations on the part of the country in implementing the measures. The lack of concrete and committed action is the major weakness of Government policy in this area, as expressed in this message. The reason seems to be obvious: this will cost money, some quite a lot of money! The organization says it correctly in the following message: «Completing a full availability target for all will require very large investments which the government considers incompatible with the requirements of a tight budget and the needs for action in other areas.» These are pure words for the money. Despite beautiful words about a noble view of value and good, ideal goals, there are other areas in which this government wants to prioritise more than improving the situation of people with disabilities. I would like to remind you that disabled people are among the groups with the lowest level of education, the lowest level of professional participation and the lowest level of living in our society, as well as the many challenges these encounters are about accessibility in terms of construction, facilities, transport, leisure and cultural services, etc. An important issue to ensure full rights is the issue of an anti-discrimination law. The Manneråk Committee recommended that such a law be drawn up, and the sample also provided clear and important guidance as to the purpose and scope of a law. The government has set up a legal committee to assess this issue, and SV will fully support the development of such a law. In line with the recommendation of the Manneråk Committee, SV also proposes to establish its own independent supervision in order to prevent discrimination and safeguard the disabled with special rights. In addition, SV believes that there is a need to review existing legislation in many different areas in order to ensure that people with disabilities have the same rights as others. The most important means of achieving equality for people with disabilities is to increase the opportunities and availability of education and work. Education and skills are an important prerequisite for participation in the labour market in a modern society. For people with disabilities, this may be even more crucial. There are currently very many disabled people who will and can be in work but do not enter the labour market. And the situation is getting worse, unfortunately. According to the Central Statistical Office, 20,000 disabled people have fallen out of the labour market in the last year. A recently published survey shows that among 40 countries surveyed, Norway is one of the worst causes of exclusion from work. This unacceptable trend can only be reversed by the fact that the actions taken, directed towards education and work for this group, become far more concrete, targeted and committed. Since education is so fundamental to participation in the labour market, extensive measures need to be introduced in the education sector from primary to higher education. The right to organised education is enshrined in the Training Act, but unfortunately it is still a long way to go before this is a real right for all. The strained resource situation in many municipalities is an important obstacle to creating a school that provides equal opportunities for all. Not least the investments needed to make school buildings and facilities much more physically accessible. I am therefore pleased that a majority consisting of the Workers' Party, the Progress Party, SV and the Centre Party are asking the Government to present an action plan to increase the accessibility of transport, buildings and other social arenas and that this plan should contain both deadlines and state co-responsibility for funding. This is absolutely necessary in order to take some important steps forward in terms of accessibility and equality. The same majority also agree to ask the Government to propose that the quality reform in higher education must ensure quality and equal accessibility also for disabled students, and to ask the Government to ensure that the study funding schemes do not impose additional costs on students related to the disability. These are important areas where the majority of population facilitates a more offensive and targeted policy for the reduction of disability barriers than the Government has provided in the Single European Act. It is an important objective for SV that, as far as the level of function of an individual allows, everyone can have responsibility for and control over his or her own life and everyday life. In this context, the system of user-led personal assistance, the so-called BPA scheme, is a very important tool. Many have put this system into operation, and the feedback we get is that this system is good, but it needs to be expanded and improved in order for it to work even better. I am therefore also very pleased that the opposition parties here in the Chamber are gathering on a proposal where the Stortinget asks the Government to investigate improvements to this scheme, both in terms of rights, scope and content of the service, and in terms of how the State can contribute to the financing of the scheme together with the municipalities. With regard to this last point, which concerns funding, experience shows that the use of the scheme is severely restricted by a tight local economy. It is to remedy this that the majority wants some state co-financing. In Sweden they have an arrangement where the municipalities finance the first 20 hours, while the state finances the excess. This is a system that reminds us a lot of the one we have here in this country when it comes to particularly resource-intensive users. So, the question of financing disabled people's organisations. Through the work of the social committee, both in this matter and in many other cases, I get at least a clear impression of the important work these organisations are doing for their members, both as an arena for meeting and sharing mutual experience, in order to get concrete support in different contexts and not least as a spokesperson of interest to local and central authorities. Many of these organisations are small and have little ability to carry out effective and comprehensive policy-making on their own. For this reason, these organisations consider themselves to be well organised in a larger umbrella organisation, as is common in other areas of organisation, such as: in the sport movement. The Government is now proposing to remove the grant to the umbrella organisations and, in the Grand Duchy, is supported by the Progress Party to significantly reduce the grant to the FFO and distribute these funds to the individual membership organisation. This is done despite the fact that all member organisations under the umbrella of the FFO are opposed to such a conversion. One can only wonder what lies behind the majority's desire to give these organizations the freedom to organize their own work, which they do not want. But I notice that the majority in their comments, when they describe the important work that the FFO is doing, does not mention what member organisations do most, namely the FFO as a strong, interest-oriented organisation that can influence and lobby on behalf of different groups of disabled people. On the basis of this, I can imagine a desire to weaken this part of the umbrella organisations' business, and in that case it is worth noting. To sum up, my claim is that the bulk of the population through the treatment of this message has facilitated greater inclusion and better opportunities for education and work, in order to create better living conditions and a better living situation for people with disabilities. Finally, I would like to address the suggestions in the setting that SV has promoted alone or with others.
ParlaMint-NO_2004-04-22.ana.ud941e229	The representative, Sigbjørn Molvik, has taken up the suggestions he referred to.
ParlaMint-NO_2004-04-22.ana.ud941e232	We had an action plan for people with disabilities that was valid from 1998 to 2002. Then we got a public investigation, NOU 2001:22, when the Manneråk Committee put forward its position. It is therefore time that we now adopt a plan for this work further on. The Manneråk Committee presented a very thorough and thoughtful proposal, and what was mentioned in the NOU in 2001 is most topical. There is sufficient evidence that disabled people have lower overall living conditions than the average in the population. These incomes are consistently lower than those of the rest of the population, and many have high expenditures on health care services, medicines, etc. It is important that a person take this inward when dealing with this, and that in such a plan, it is not just about physically facilitating the situation. Of course, it is important that people who are wheelchair users can develop in the big community, whether they are in town or in the country. It is important that the blind and the deaf also come out into society and get information similar to that of those who have hearing and vision. As you can see, there are many physical barriers that have to be dismantled and rebuilt. But that's the whole thing, how we're going to achieve a balance between these different groups and those that are so-called functionally healthy, which is crucial. It is therefore disappointing that the Government is to a small extent following up the changes and strategies put forward in NOO 2001:22. There is something that several of the organisations of the disabled have also pointed out in the hearings we have had in connection with the notification. The Manneråk Committee provided a good basis for a comprehensive policy and strategy to improve the situation. But it doesn't have to be that we're just aiming to reduce the gap between disabled and disabled people's health. We also have to aim to remove it. We see that many of those with disabilities have complex problems, and that they want to be able to access a user's device and for assistance that is complete. It is therefore important that we now have competence in this area, and that we can get an ombudsman system that allows those in need of help in private and public terms to get this, and that there is a complete aid that can be provided. Therefore, from the centre, we are not prepared to have representations for the different types of disability and for the different types of public schemes, but to establish a user office system in all municipalities, possibly in an intercommunal direction, so that those in need of help and assistance can get it. We will show you, among other things: to what the Cancer Association and the LHL said in the hearing on the user’s office that has been tried in the Løten municipality. We are a little disappointed that no more can agree that this should now continue in an inter-municipal cooperation in Hedmark together with the patient representative of Hedmark and Uppland and be funded by the state, so that the state takes responsibility for the proper provision of assistance to those in need in all the municipalities of the country. I've looked at the employment of the disabled and the disabled. It is very worrying that the number of unemployed in this group is increasing. In January 2004, there were over 80 000 disabled persons registered as unemployed at Aetat, with an increase of about 4000 in the last year. It is important that you now get organized so that more people can get work, get additional income and thus feel that it is a more meaningful life they go into. It is therefore of great importance that one follow the recommendation of the Manneråk Committee to have an anti-discrimination law, which is designed in accordance with the leadership of the Manneråk Committee. I believe that this law should be in place as soon as possible, and that one does not need to determine whether to have such a law. So finally a little bit about financing the organisations of the disabled. I think it is very regrettable that we are changing these arrangements now. The FFO is a large and strong organisation, which we should not be afraid of. It is an organisation that also carries out control and quality work, which we need in decision-making.
