ParlaMint-NO_2019-12-04.ana.ud111e37	The representative, Lars Haltbrecken, will present a proposal for a representative.
ParlaMint-NO_2019-12-04.ana.ud111e42	On behalf of the big business representatives Une Bastholm, Audun Lysbakken and myself, I would like to put forward a proposal to protect the trainer and surrounding areas from environmentally harmful oil activities.
ParlaMint-NO_2019-12-04.ana.ud111e47	The proposal will be dealt with in a regulatory manner. Before the matters on today's map are dealt with, the President will state that today's meeting continues, if necessary, beyond 1 p.m. 16th@item: inlistbox
ParlaMint-NO_2019-12-04.ana.ud111e67	We are now going to begin the discussion of the framework area 14, which deals with the budgetary chapters dealt with by the Control and Constitutional Committee. I am pleased with the fact that the proposal put forward by the Presidency to the government in its time has been found right by the government to present to the Grand Duchy, and the Grand Duchy has adopted the framework area as Framework Area 14. It is also a unanimous vote by the Committee. The only small deviation was that when the framework area was adopted, the Centre Party considered that the framework area could be reduced by 31.8 million. kr, probably related to the Riksrevisionen, but it is also the only disagreement that has occurred in this process. That is why it is a unanimous committee that proposes that we allocate 91.1 million. Mr Stortinget's Ombudsman for the administration, as we usually refer to as the Civil Ombudsman. I just want to say briefly that in recent years, too, it has shown that it is an important part of democracy in Norway that we have an institution that can address on behalf of the population whether they have been treated poorly by public Norway. The recent events related to Nav and other things show that it's important that we have such an independent function that does a good job for us. The same applies to the Intelligence, Surveillance and Security Control Committee of the EEAS. Here, in connection with the 26 million allocation. Notes that, on several occasions, the Committee has been concerned that developments in the field of intelligence and surveillance, where much more of what is going on, are taking place digitally, require those who are going to work and those who are going to check that it is functioning within the framework of the law, to also be allowed to build up the capacity to follow up on the new technological developments; And then it's finally the Riksrevision, which has an important function in looking at the effect of the Storting's decision, and whether the Storting's decision is being followed up. Last night we dealt with issues here where we first had a thorough review of a lot that goes well here in the country, but not least an indication of the areas where there is improvement potential. I have no doubt that the reason why the majority of the administration works well is that the Riksrevision makes a significant contribution to it by keeping them under control and giving feedback on the developments that are taking place. To the National Audit Office, we propose to allocate $550.1 million. NOK and in Appendix 27 million. kr to the National Audit Office’s work on developing countries. I believe it is a significant contribution from Norway to other countries that developing countries can also have good audit and control of their use of money, where many see that they can learn from Norway. With this I present the unanimous vote of the Committee.
ParlaMint-NO_2019-12-04.ana.ud111e82	Several have not asked for the floor on case No. 1st@item: inlistbox
ParlaMint-NO_2019-12-04.ana.ud111e99	At the request of the Committee on Energy and the Environment, the President will organise the debate as follows: the Labour Party 25 minutes, the Right 25 minutes, the Progress Party 15 minutes, the Central Party 10 minutes, the Socialist Left Party 5 minutes, the Left 5 minutes, the Christian People's Party 5 minutes, the Green Party 5 minutes and the Green Party 5 minutes, and the Red Party 5 minutes. Furthermore, within the allocated speaking time, up to four lines will be given with replies from the main number of participants and six lines with replies from members of the government. In addition, those who have to sign up for the speaker list in addition to the allocated speaking time will have a speaking time of up to 3 minutes.
ParlaMint-NO_2019-12-04.ana.ud111e108	As chairman of the committee, I must first of all thank the committee and our distinguished committee secretary for a good cooperation. We have done an important job, because the chapters and posts for 2020 that we are going to discuss here today – like thousands of dollars, tons or species, millions of kilowatt-hours, barrels, cubics or liters – become a bit of the legacy of young people, young people, those who have been outside here in 2019 in thousands and created this year's new word: climate change. They want us to cut a lot and do less of something. That's absolutely right and necessary, but we're also going to do more of something. We have to do more by nature. We have world heritage to secure, like wild and wild, so we spend a lot of money on it in 2020. We have water to secure, so we spend more money than ever on water management. We have seas and lakes that need to be protected against plastic pollution, so we spend a lot of money cleaning up and making sure that less plastic comes out into nature. We have forests that need protection. By 2020 we will pass 5 pst. forest protection in Norway because we spend money on it, in fact almost half a billion in 2020. The Oslo soil needs to get the cod back, so we spend money on a whole plan. We're going to develop nature and cultural parks, create national parks, deploy new technologies in nature, like drones and sensors, to monitor, rescue, recycle or clear. An important part of our heritage and the planet of the future is more nature – and good nature. I am pleased that in Norwegian policy there is a broad willingness to protect, clear and secure nature, but we need to do more. The UN Panel on Nature says that one million species out of eight million in total are under threat. Land seizures, pollution, climate change and environmental crime are the main challenges. I am pleased that the Minister for Climate and Environment of the Left, Ola Elvestuen, is so clear that Norway is going to be a driver in order to reach a Paris agreement for nature, too, when the world's country is going to meet in China in October 2020. Last year, Norway was the only country with Barna’s Climate Panel at the climate summit in Poland. In the Nordic region, we have said that we will jointly bring young people to the China Summit on the nature of the world in order to reach an agreement. Young people have to vote. In the Nordic Council, I have also taken the initiative to set up a Youth Foundation for Climate and Nature. When pension managers in the Nordic region say that there is a lot of money, but few projects, while young people are roaring, we adults have to take action. Speaking of action: Norway cuts the climate emissions for the third consecutive year, while the world is increasing its emissions. The left got a lot of pepper in 2016 because we stood so hard on blending requirements for biofuels. No one believed in 20 pst. in 2020. The 2019 fasite can be 25 pst. It is therefore quite natural that we raise the list to 25 pst. in 2020. Emissions are falling, and investments in Norwegian and Nordic biofuel production are increasing. Together with the large growth in the number of electric cars, the sales of fossil fuels are now falling. We're in the middle of a big change, but we have to go. Totally electrical is the answer. Norway can be the first full-electric society in the world. We have gone ahead, with cross-border cooperation in the Nordic region. A common power system and turnover on the Nord Pool electricity exchange is much of the policy that the EU is now pursuing in its clean energy packages. Together with the EU, we must convert from coal and gas and fossil to renewable energy. They tail inside with large-scale expansion of both the sun and the wind as well as CO 2 pricing. The next stage in the electrical revolution is digitization. It's happening in full moon now. Batteries are at full speed and will balance, just as Norwegian hydropower is involved, but we need to continue developing renewable power in Norway. We're going to take advantage of the hydropower's magazine advantages, build windmills on the sea and put several solar panels on the roof. New industries in Norway need more power, oil platforms need more power, and the Nordic countries and Europe need more renewable energy. The North Sea has given us adventurous opportunities. It can also continue to provide us with adventurous solutions – producing power from the wind, giving power to hydrogen and storing carbon. Norwegian offshore solutions and maritime competence become green gold in the green shift we are now in. Norwegian shipyards build more electric and hybrid vessels than the rest of the world together. The green shift that is now happening has not come entirely by itself. The left has gone ahead, in front, for all the measures that everyone here today is talking about: more to collective more to railway The electricity policy is set at 2021. That's $12. SEK in subsidies in 2020. 20 pst. renewable fuels in 2020 We have established a fund for business transport. More than 600 million are granted. kr for carbon capture and storage in 2020. The CO 2 tax goes up 5 pst. Climate action, Nysnø, SkattenFUNN and KapitalFUNN There are plenty of measures to take.
ParlaMint-NO_2019-12-04.ana.ud111e162	It's going to be line change.
ParlaMint-NO_2019-12-04.ana.ud111e167	In this debate last year, the representative Ketil Kjenseth took a line after the main posts of the Central Party. As usual, the government's representatives were most concerned about hanging it itself failed, on old red-green decisions – so no exception for Kjeseth, who had the following to notify: ‘In the case of biofuels, the centre party of the red-green government, which amended the user fee and made sure that biofuels in Eastfold were not built in the representative’s own home state.’ It is tempting to ask Kjeseth what he feels now, because neither the government's original nor adjusted arrangements will lead to the construction of more biofuels, either in Eastfold or elsewhere, but perhaps the use of palm oil will increase.
ParlaMint-NO_2019-12-04.ana.ud111e177	I feel very satisfied. The big difference from the decision of the Central Party, the red-green government, in 2009, was that the share of biofuels was zero. Now the fraction is 25 pst. We're replacing the fuel from fossil to both biofuels and electricity. That's a pretty big difference, and that's probably why Shell, among other things. enters Biozin's factory in Åmli – with 3.5 billion. kr in investment – and investments in Norwegian biofuel production are continuing. That means that the representative Myhrvold and others, like myself, who live in the districts and have a lot of bio-resources to take off, can now organize and continue to spend money on the idea and get people to work, to a great extent different from what happened in 2009, when a person parked all the investments and got no fuel on the idea.
ParlaMint-NO_2019-12-04.ana.ud111e182	The representative, Kjeseth, said in his post that Norwegian greenhouse gas emissions had fallen for the third consecutive year. In one of those years it was due to the government’s climate policy bathing in palm oil through record imports of palm oil-based biofuels. In the evening post on Sunday we could read what was the government's proposal in the heated biofuel discussion, and their solution to it. It led the Rain Forest Fund to critically criticise the solution and warn that we can once again get large imports of palm oil. My question to the representative is: why won't the Left join in on any of the proposals that will prevent us from getting a new record high import of palm oil for next year?
