ParlaMint-NO_2019-03-13.ana.ud100e28	The representative, Martin Henriksen, will put forward a proposal for a representative.
ParlaMint-NO_2019-03-13.ana.ud100e33	On behalf of Jorod Asphjell, Torstein Tvedt Solberg, Nina Sandberg and myself, I would like to make a representative proposal to conduct a new student life study and a survey of the students' learning environment.
ParlaMint-NO_2019-03-13.ana.ud100e38	The representative, Mr Henriksen, will put forward a proposal for a representative.
ParlaMint-NO_2019-03-13.ana.ud100e43	I forgot the document. Can I be allowed to...
ParlaMint-NO_2019-03-13.ana.ud100e48	Then I can help.
ParlaMint-NO_2019-03-13.ana.ud100e53	That's very cool. Thank you very much, President. This shall not be repeated. I am pleased to present a proposal by the representatives of the big business Elise Bjørnebeck-Waaagen, Siri Gåsemyr Staalesen, Lise Christoffersen, Maria Aasen-Svensrud, Torstein Tvedt Solberg and myself on strengthened crisis services for women with drug problems.
ParlaMint-NO_2019-03-13.ana.ud100e60	The representative of the Bears Moxnes will present a proposal for a representative.
ParlaMint-NO_2019-03-13.ana.ud100e65	I would like to make a proposal for a representative to stop the NSB's name change – and that it can be dealt with urgently, as the NSB has a general meeting on 22 March and it is non-meeting in the Stortinge next week. Tomorrow's the last big meeting before the NSB has a general meeting.
ParlaMint-NO_2019-03-13.ana.ud100e71	The representative, Sverre Myrli, will present a proposal for a representative.
ParlaMint-NO_2019-03-13.ana.ud100e76	And we can continue, because on behalf of the big business representatives Kirsti Leirtrø, Øystein Langholm Hansen, Steinar Karlstrøm and signed a proposal to postpone the issue of naming for the NSB so that the matter can be discussed in Stortinget – and also to ask that this proposal be dealt with in accordance with point (c) of the second paragraph of Section 39 of the Rules of Procedure.
ParlaMint-NO_2019-03-13.ana.ud100e81	Thank you! [[Laughter]]
ParlaMint-NO_2019-03-13.ana.ud100e86	You want the president to have it, too?
ParlaMint-NO_2019-03-13.ana.ud100e91	Gerne! - Thank you very much. The proposals will be dealt with in a regulatory manner. Before the matters on today's map are dealt with, the President will propose that case No. 3 – Unit – to be addressed before case No. 1st@item: inlistbox – It shall be deemed to have been adopted.
ParlaMint-NO_2019-03-13.ana.ud100e141	On Monday the Stortinget received a message from the Prime Minister's office that the Councils of State, Mr. Jon Georg Dale, Mr. Ola Elvestuen and Mr. Kjell Ingolf Ropstad, will meet for oral Question Time. The announced members of the government are present, and we are ready to start the oral question procedure. We'll start with the first main questions, from the representative Sverre Myrli.
