ParlaMint-NO_2019-05-08.ana.ud164e28	The representative of Audun Lysbakken will present two proposals for representatives.
ParlaMint-NO_2019-05-08.ana.ud164e33	On behalf of Kari Elisabeth Kaski, Karin Andersen, Katrine Boel Gregussen, Eirik Faret Sakariassen, Lars Haltbrecken and myself, I would like to make proposals to declare the climate crisis a national emergency. And on behalf of the representatives of Mona Fagerås, Lars Haltbrecken, Kari Elisabeth Kaski and myself, I will propose a decentralised higher education for quality, well-being and sustainable communities.
ParlaMint-NO_2019-05-08.ana.ud164e40	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2019-05-08.ana.ud164e56	On Monday the Stortingen received a message from the Prime Minister's office saying that Prime Minister Erna Solberg will meet for oral Question Time. The Prime Minister is present, and we are ready to start the oral questioning process. We then start with the first main questions, from the representative Jonas Gahr Støre.
ParlaMint-NO_2019-05-08.ana.ud164e65	I would first like to congratulate the Chamber on the day of release and the day for veterans. It's worth doing it in this room too. My question is about the everyday life of all those who travel by train in this country. The other day, a driver posted a message on Facebook that he would have read if he had been a driver on a train to Moss. It read as follows: ‘Good evening [[...]] This post could have been from reality, and it actually shows a more serious case, namely a very unbridled system and a recipe for liability powdering. It's also a waste of money. It's spent 1.5 billion. EUR 280 million for this railway reform. kr on the name change to Vy, and the use of money on consultants and directors' salaries in the increasing number of companies is part of this structure. There was a marked increase in the appropriations for trains under the Stoltenberg government, and this government should be praised for continuing this effort. The tasks are great, however, there are many unresolved situations out there in Railway Norway – the intercity expansion that the government has exposed, electrification of the Trander Railway that is exposed, rail between Voss and Arna, to mention some examples, the Folloban, what happens to commuters on the Eastfold Railway, etc. Action is needed in the area of fragmentation, but the ability of implementation to improve the provision of travellers is lacking. My question is: is a total increase in funding for the railways, it is good for the climate, but can the Prime Minister prove that this form of organisation, this fragmentation, provides better train services for the country's commuters and travellers, and more for the money that the community grants?
ParlaMint-NO_2019-05-08.ana.ud164e81	It is such that the Norwegian rail service is getting better. After many years of not investing enough on rail, there is a shift in railway investment, with large plans for the development of a good railway in our country. It began under the former government, and it still has under this government. It is also such that this government has made very clear and clear priorities to make the offer today better for the travellers. That means that there are more trains running, we've got more and more modern train sets because we've bought it, there are more and more people choosing to travel by train, and the number of departures has increased on several routes. The results are clear with regard to railway investment. Then we also carry out a major rail reform that will provide more rail for the money and better train provision for the travellers. The competition for driving passenger trains on Sørlanden, Arendalsbanen and Jærbanen was decided in the autumn of 2018 with great savings as a result. In addition, we also build at full speed out of intercity. But we don't build it as quickly as we ever wanted, for example. because there were very little planning materials, so you were very in the back when it came to planning new routes. In addition, there are ground conditions in some places that make the cost picture of some sections much larger. Then it requires taking this into account in the work further. The railway is a bet area, we get several departures, there are several who travel by train – it's actually a good success story.
ParlaMint-NO_2019-05-08.ana.ud164e90	The tasks are many and the challenges are many in Norway, but this fragmentation causes people to lose confidence in how the railways in Norway are organised. They experience it when they travel. Many want to drive trains, even when they are going far. Many want to sleep on the train and come forward the next morning to the place they have traveled to. But now you find that the sleeping cars on the night eyes are often sold out, and many have to fly instead. It's a climate challenge. This can be solved by purchasing several sleeping cars for the trains, but we have recently been illustrated by the responsibility powdering, where the Vy-Manager says they cannot buy trains – it is not their responsibility. He points to another in this unbridled structure and is corrected on Twitter by the Minister of Transport, who says that yes, they can. It's an expression that it's pretty chaotic. Can the Prime Minister now clarify – it may be useful to know for those who are thinking about a trip – who is responsible for buying more sleeping cars, so we can get such vehicles in place?
ParlaMint-NO_2019-05-08.ana.ud164e97	It's simple: in the area of rail services, it's the state that buys, that ensures and delivers to them. If a company provides more services than what we buy, it's the ones who can buy that material. So that's how Vy can buy the night and if they find it available and want an extra offer in addition to the basic service that the government buys and that we provide as a structure at the bottom. Today we use approx. 150 million. NOK to buy night and night services to have a night and offer. It's not a profitable investment; the purchases and services we subsidize. If we are to have more services, we must allocate more money for this in the state budgets – if the state is to be responsible for it. But it is clear that anyone who runs a train on a route and has received a tender on it can increase the offer, just as that Onkøe is running something on a tender from the state and some extra departures completely profitable for themselves.
ParlaMint-NO_2019-05-08.ana.ud164e106	There will be follow-up questions – first Jonas Gahr Støre.
ParlaMint-NO_2019-05-08.ana.ud164e111	So it's still the state that grants the money, and that's good. We are willing to give a lot of money and give more money. However, it says a little about the powdering of responsibilities – perhaps early in the phase – that the head of the NSB, now called the Vy Manager, is not aware of his responsibilities, the powers he has, the possibilities he has, and that there is an outbreak of discussion with the Minister of Transport. Does the Prime Minister see this flora of ASs, many directors and extended bureaucracy in the Norwegian railway sector as inconspicuous? The fact that the state grants the money may be good enough, but who really steers the direction of this, there is doubt about it, and when what we associate with a leading person in this sector, otherwise a very enlightened person, is not aware that he has responsibility and the ability to buy sleeping cars, isn't that an expression that this sector is powdered in responsibility?
ParlaMint-NO_2019-05-08.ana.ud164e118	We're in a review of a new structure. It always takes some time for the structure to sit down and people to see exactly what it is. But I think the comparison with e.g. Onions will be quite simple. It's not that hard to see that a company like Vy, if they're responsible for one route, will have to deliver a basic offer that they've been offered. In addition, they will be able to make an extra offer if they find it economically viable. Then the material they supply in connection with it is, if necessary, something they themselves can purchase. That's also the case in a lot of other areas. We're going to provide a basic good structure for rail and departures, and then there's always a discussion about whether it's night and night that's most important, or whether there's enough commuting to bring down climate emissions on day-to-day travel. Is it most important to have the most material where people travel the most, or more night and night for people like this. going out of the country?
