ParlaMint-NO_2019-11-07.ana.ud580e42	The representative, Mr Solfrid Lerbreck, will present a proposal for a representative.
ParlaMint-NO_2019-11-07.ana.ud580e47	I am delighted to present a proposal for a representative on behalf of the representatives of Audun Lysbakken, Karin Andersen, Solveig Schaugvoll Foss and myself for the immediate introduction of further care allowance in the period after the child's death.
ParlaMint-NO_2019-11-07.ana.ud580e52	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2019-11-07.ana.ud580e71	The measure currently deals with a proposition in which a general rule of circumvention is laid down in the Tax Act and the VAT Act. I would like to thank the Committee on Cooperation in this matter, and I would also like to thank the many actors who have contributed to the Committee's work. That was also why the Financial Committee wanted to spend a little more time dealing with the proposition. This is a complicated and legal technical matter, but there is also a lot of policy in it. The proposition is based on a public investigation delivered in 2016. In the opinion of the Financial Committee, the Financial Committee considers that a rule of law is to be adopted which has so far been based on case-law. The general nature of the provisions adopted is important in order to take account of new methods of circumvention that we do not yet know. The legislator’s preparatory work to this rule will therefore be an important guide for the Court’s understanding of the Storting’s will. I will now go briefly through parts of the committee's attitude. During the examination of the case, questions were raised as to whether the case law established by the Court of Justice in 2014 page 227, the so-called ConocoPhillips judgment, or the Tangen judgment, should remain in force after the adoption of new § 13-2 of the Tax Act. The Committee concludes in its opinion that the legal status of this type of transaction will not be altered by this legislative decision. Furthermore, there has been discussion of a problem relating to whether it has been stated or mentioned by the legislator or the authorities that they intended to circumvent, but not in line with those intended circumventions with specific rules prohibiting them in particular, should be to the detriment of the State in legal proceedings. To this end, the Committee today makes clear the following principle: the fact that a legislator knows or has mentioned a possible circumvention without complying with specific rules shall not count at the disadvantage of the State in legal proceedings. An example I'm sure we'll hear more about, is how, for example. cryptocurrency enters this by deducting taxes. The Stortinget as legislator must be able to discuss this and address it without having to follow up legal work immediately. Furthermore, the Committee considers in its opinion that the proposed Section 13-2, fifth paragraph, should only be used where there is no basis for other ways in which the legal situation should be rehearsed. There may be cases where the taxpayer has not had a nearby possibility of carrying out a re-characterised disposition, or it is not possible to imagine any alternative arrangement at all. In such cases, probably few, this provision is intended to be used. Nevertheless, it is important that the law is effective in relation to new and unknown circumvention cases, and from such a perspective it is necessary to have alternatives to re-characterisation in order to establish the appropriate tax base. The legislative proposal also deals with the legalisation of a general rule on value added tax. To this end, the Committee has received many input from different bodies. The proposal states that a legislative act in this area shall not lead to a change in the application of the law or impede the development of the law in this area. The starting point for the courts shall continue to be an interpretation of the provisions of the VAT Act, but unacceptable circumvention may also occur in this area which cannot be offset by a purpose-oriented interpretation. The law will clarify the conditions and effects of a circumvention of VAT. The Committee considers that there is no reason to consider the general principle that the threshold for the use of circumvention in the two areas should be equal or have specific deviations. Finally, the taxpayers who are uncertain as to whether an arrangement could be challenged by the tax authorities may ask for binding ex ante statements. This mechanism ensures predictability for taxpayers, and the Committee considers this to be a good tool. The Committee also takes the view that the government will ensure that such requests are dealt with as quickly as possible by the tax authorities. It is also good that the government in the next year’s state budget proposes to strengthen the tax complaint issue by 8 million. kr to strengthen staffing and reduce the length of proceedings. Finally, there is a typing error in point 2.4, third paragraph, of the setting where the word 'om' has occurred once too much. I would also like to inform you that the parties to the Government will vote against proposal No. One from the Center Party.
ParlaMint-NO_2019-11-07.ana.ud580e101	This matter we are dealing with here is an important matter. It's a demanding thing. I would like to thank the case rapporteur both for doing a thorough job, and for having arranged for us in the committee to spend a good amount of time on the matter. It just illustrates a little bit of the point – that you have to get a statutory rule of conduct – that you get through the process to clarify both what is the current state of law and what is the will of the Stortinge in the various aspects being addressed here. It shall be clear to Norwegian citizens, to Norwegian businesses and to others affected by Norwegian law, what is the law in force and how it is to be practised. We've seen in other things how important it is that you just have clarity about it. That's why it's important that you don't, as in the past, just have an illegal rule of circumvention, but that you actually now have a proposition from the government to base. There is a recommendation, the consideration of the financial committee and further correspondence with the ministry on questions that need to be clarified. Finally, there is a debate, a discussion in the Chamber and a decision on the matter. I believe that I am in favour of strengthening Norwegian law, which also makes it easier for those affected by Norwegian law to know what they actually have to do. The centre party is generally in favour of having a general bypass rule statutory, and lowering the threshold, which is laid down here. At the same time, it is important in relation to the different ways in which this threshold is lowered, that one has a conscious relationship with the kind of consequences it can have in different contexts. There have been some hearings from different agencies, which problematize and believe that there has not been a good enough response and an assessment of the possible consequences of this, for example. in the case of taxation and relationships between Norwegian and foreign companies. The lot of the centre supports what is underlying the proposition for the decisions taken. We believe that there is a weakness in the fact that no more is actually going into and making careful assessments of how different proposals are in relation to Norwegian interests. What surprises us a little bit is that the majority cannot participate in our proposal, which is generally designed to make an assessment in future cases, it is incredibly important to make assessments of how different laws, different rules, to be adopted in this Chamber, affect Norwegian interests, for Norwegian companies competing with foreign companies and between different companies. That's what's at the heart of that proposal, and I'm a little surprised that you can't be willing to assess it. Finally, the case rapporteur was also concerned with the subject of the tax complaint, and that there is a strengthening of the subject of the tax complaint in this year's budget. It really should be missing. It is absolutely essential that we have the necessary capacity in the subject of the tax complaint, so that those who are unsure about whether they have received the right tax and have tax-related complaints should be dealt with promptly. This has been a challenge over time, as the Center Party has pointed out several times before. It is only right and fair that it should be strengthened. This attention should be given to the future and further strengthen the position and capacity of the tax complaint subject. I would like to deal with this in the vote on the proposal put forward by the Central Party.
ParlaMint-NO_2019-11-07.ana.ud580e114	The representative of Sigbjørn Gülsvik has taken up the proposal he referred to.
ParlaMint-NO_2019-11-07.ana.ud580e119	A country must have tax income in any case. That means that when someone sneaks away from paying their taxes, someone else has to pay more. Therefore, tax evasion is unfair and, frankly, quite provocative. I am now pleased that an overall committee is in favour of legislating a general circumvention rule. It is an important step towards clarifying the law more and combating tax evasion. However, we must remember that the purpose of this legalisation is that the transactions should be assessed to a greater extent according to the objective nature of the case on the basis of the circumstances of the case. One such case, where a company was in the law on tax evasion, was in 2014, which the case-rapporteur has already referred to as the ConocoPhillips case or the Tangen judgment. The case was decided in the Supreme Court and finally went to ConocoPhillips’ favour, although many were rightly critical of this. Otherwise, on a day of joy — in which tax avoidance rules are laid down — it is a pleasure that the Stortinget facilitates the continuation of the practice of the judgment, which was, of course, strongly criticised.
ParlaMint-NO_2019-11-07.ana.ud580e129	Several have not asked for the floor on case No. 1st@item: inlistbox
ParlaMint-NO_2019-11-07.ana.ud580e146	No one has asked for the floor.
ParlaMint-NO_2019-11-07.ana.ud580e162	At the request of the Finance Committee, the President will arrange the debate as follows: 3 minutes for each party group and 3 minutes for members of the Government. Furthermore, within the allocated speaking time, there will be a reply to replies from members of the government, and those who have to subscribe to the list of speakers in addition to the allocated speaking time will have a speaking time of up to 3 minutes.
ParlaMint-NO_2019-11-07.ana.ud580e169	The background to this matter is a central party proposal on the position of cash in society, and I would like to thank the Cooperation Committee. Cash has an important role in society, and consumers should be able to pay with cash in situations where we have a legitimate expectation of it, and where appropriate. The government has announced that they will investigate any legislative amendment to the Financial Contracts Act that strengthens or clarifies cash payment, and return to the Storting appropriately. The majority therefore believe that the intention of this bill is respected in the job already announced by the government and will therefore not support the proposal. How far the right to cash payment should go and how these limits should be drawn should, in our view, be carefully assessed and in conjunction with the many areas where payments are made today. For example, there is no cash payment in online shops or when renting an electric car outside Stortinget. Put on the tip: Setting up vending machines on Voi and Lime is hardly a forward-looking solution. As pointed out in the Committee's position, cash is less and less used in today's society. Seamless digital payment methods via mobile or bank cards have led to simplification for both businesses and customers. In 2015, Norway’s Bank reported that banknotes and coins in circulation totaled slightly over 50 billion. kr. In 2018, the value was about 45 billion. kr. The arrows pointed downwards for the use of cash in Norway as digital developments progressed. Finally, I would like to refer to the work done by the Bank of Norway in connection with a digital central bank currency. I believe that this work is important and should be prioritised in the continuation.
