ParlaMint-HR_2020-02-21-0.u181371	The next one will speak to a respected independent representative, Bruno Esich, here you go.
ParlaMint-HR_2020-02-21-0.u181372	Thank you very much, Mr. Vice President. Honorable MPs. She's a lawyer. Here's something I'd like to say once again about this terrible tragedy in Croatian or how in 30 years we discovered that in Croatia there are two full-time refugees and, as it turns out, it's very positive, except for the Germans, of course, and one Mason for real, and not only in Mark Perkovic-Thompson's songs. We have been listening for days, which in the Parliament, and what in the media, is a very serious analysis of how Mr. Attorney General Jelenic's membership in the secret mass association and mutual support of members is a major danger to an independent state attorney and the judiciary in general. It was taken seriously by everyone, and his resignation was called by those who, behold, had never sinned against the system. Jelenic was then dragonishly punished by being the deputy chief state attorney and the problem has been solved. No one, therefore, will be responsible for the fact that the legislative and intelligence system, as a result, stole a mistake in the way of missing a security check because what we don't do ourselves, we're used to, will be done by someone else for us. Thus, two Croatian seditaries lustrated Germany, with the general enthusiasm of the then prime minister, and today's President of the Republic, and a Croatian masseuse lustrated himself. Lustration was in Croatia and is still a very unpopular word because it knows something about someone who will rule our fates tomorrow, it is a violation of his human rights and freedom. Risking now to be called again by the hearthist or conspiracy theorists, I'll ask. Which would be the difference between secret Masonic lodges, secret Yugoslav services and their associates, of course, a bunch of civil society associations and that on... those who finance foreign governments and foreign organisations, certain traditional associations, secret lovers of Croatian electricity, Russian oil derivatives or semi-secret circles with the smell of peppermint. [[The speaker doesn't understand.]] These are all stakeholders whose sole objective is to achieve and maintain the positions achieved in order to achieve a certain profit, at the expense of the State, of course. It is all dear gentlemen, and dear peoples, who are exploring and disgusting Mr. Jelenić, the cause of the damage that Croatia has been beating for decades, and we can bring him down by one single denominator, which is Balkan clientelism. Will it finally become clear that these systemic errors are in fact designed to function and reflect this system? Policy, corrupt judiciary and rich recentities, is a crazy centrifuge in which our Croatia is turned, and without any real prospects, while, for the development of entrepreneurship, for remaining young people, for self- realisation on the basis of their own work, for any perspective of a successful state. Because how to survive and stay in a country where politicians, intelligence systems and the judiciary are funded by our money, and these funds are not allocated to optimization of the system. A system in which you will not, for example, become obsolete with your righteous claims on which you may have already paid taxes, but rather, by multiplying that already rotten system. There's no room for pathetics here today. Even less for any of the people's tattoos. The elections are getting closer, and that same people will already tell who they want in power. And the rest of you thank you for, behold, making such an effort to stage this play so that we can see clearly what they have done with our Croatian. Thank you very much.
ParlaMint-HR_2020-02-21-0.u186963	Dear colleagues and colleagues, good morning. Although we are in a rather modest number we will begin with the work as it was announced and will first be: - Final proposal of the Law on Official Statistics, first and second reading, P.Z.E. No. The proposal is proposed by the Government of the Republic of Croatia on the basis of Article 85. The Constitution of the Republic of Croatia and Articles 172 and 204 and 206. Rules of Procedure of the Croatian Parliament. In accordance with Article 206 on the occasion of the establishment of the agenda, we accepted the proposal from the applicant that this legislative proposal should be discussed as a matter of urgency. In accordance with Article 204. The Rules of Procedure shall unite the first and second readings, and the amendments may be submitted by the end of the debate, in accordance with Article 197. Rules of Procedure. The debate was conducted by the Committee on Legislatives, the Committee on Finance and the State Budget, and the amendments were submitted by the Committee on Law and the Committee on Finance. Would the applicant's representative like to give an additional explanation? Yeah. Respected State Secretary at the Ministry of Administration Katica Prpic. Here you go.
ParlaMint-HR_2020-02-21-0.u186964	Thank you very much. Dearly beloved, I welcome all of you from the bottom of my heart. Here means the area of official statistics in the Republic of Croatia has been regulated by the applicable Law on Official Statistics since 2003, and it has been amended and supplemented in two times in 2009 and 2012 and therefore in 2013 the consolidated text of the law has been published. The State Statistics Office as a body of the state administration is the main holder, disseminator and coordinator of the official statistics system of the Republic of Croatia and the main representative of the National Statistical System under the European and international statistical authorities responsible for statistics. Official statistics play an important role in a democratic society because the state, economy, public provides objective and impartial information on economic, demographic, social, health and environmental conditions, activities or events that can be measured by statistical methods and ensures compliance with the international obligations of the Republic of Croatia relating to the production and dissemination of official statistics. The European Statistical System was regulated by the 2009 Regulation of the European Parliament and of the Council and also by the 2015 Regulation, as well as by other EU acts, constitutes a legal framework for the development, production and dissemination of European statistics. Given the need to introduce new measures and instruments of harmonisation of the official statistics system of the Republic of Croatia with the European statistical system, adaptation to the European legal framework and the need to introduce a simpler normative solution, organisation and functioning of the official statistics system of the Republic of Croatia, the creation of a new legislative act is considered to be a necessary and optimal solution. This bill aims to ensure that the statistical system of the Republic of Croatia is further developed as part of a European statistical system in line with the EU legal framework and tailored national needs. Regulation (EU) No 515/2013 of the European Parliament and of the Council of 17 December 2013 on the financial rules applicable to the general budget of the Union and repealing Council Regulation (EC) No 2111/2005 (OJ L 348, 30.12.2013, p. 1). 5.a of the 2015 Regulation provides for the obligation of Member States to provide that the recruitment and appointment procedures of the heads of national statistical offices are transparent and based solely on professional criteria and that the reasons for the dismissal of the head of national statistical offices or their transfer to another post do not prejudice professional independence. As regards these provisions of the State Administration System Act, it is prescribed that public administration bodies are managed by state officials, and that a special law can be prescribed that the State Administration is managed by a state official, if necessary in order to take over or ensure the implementation of legally binding EU acts. In accordance with the Law on the System of State Administration, the Director-General of State Administration shall appoint and resolve the Government of the Republic of Croatia on a proposal from the Prime Minister. Following those provisions, the proposal of the Law on Official Statistics, as a special law, provides that the DZS is managed by the Director-General, who is the Head of State Officer and appointed by the Government of the Republic of Croatia on the proposal of the Prime Minister, on the basis of a public tender carried out for a period of five years. The law also lays down the rights and obligations of the Director-General, the conditions for selection and appointment and resolution. In order to ensure better coordination and to ensure the efficiency of quality of development of production and dissemination of official statistics, the Republic of Croatia provides for the establishment of a working body i.e. The Committee for Official Statistics Systems of the Republic of Croatia, composed exclusively of representatives of the holder of official statistics, i.e. representatives of the DZS, the CNB, and other bodies of the public authority which are through the statistical programme to certain holders of official statistics. Currently as holders of official statistics there are also HZJZ, Ministry of Finance, Ministry of Agriculture, Ministry of Environment and Energy and the administrative body of the city of Zagreb responsible for official statistics services for the City of Zagreb area, which, through this proposal, becomes an integral part of the State Statistics Institute. The obligation of the holder of official statistics is to organise official statistics in a way that ensures the quality and timely implementation of statistical activities from their parts and the adequate protection of confidential statistics held by the official statistics holders and which are transferred to the European statistical system in accordance with the 2009 Regulation. It is also prescribed by this legislative proposal that the State Statistics Office may, at the request of the user, provide statistical data processing services using previously collected data and that the funds are made available from the provision of such services, the means of purpose used to finance the additional costs incurred by the operations resulting from which the revenues were also incurred for the settlement of the costs of official statistics. Furthermore, in practice so far, it has been shown that the coordination of the draft programme of statistical activities with the holders of official statistics and the statement of the assessment of the fiscal impact of the draft programme also raises difficulties which make it difficult to draw up that document within the time limit of the applicable Official Statistics Act, which was until 31 May of the current year for the next period covered by the statistical activity programme. Therefore, this proposal established a new deadline, i.e. has been extended to 31 October of the current year for the following period. Also, due to the prescribed legal deadlines and the obligation to draw up a previous fiscal impact assessment for the annual implementation plan of the statistical activities of the Republic of Croatia in the current practice, the problem of its inability to adopt it in a timely manner has emerged, and the deadline is also extended. This proposal for legislation introduces a simplification of the procedure by adopting the annual implementation plan of statistical activities and related to the proposed change of competence regarding the adoption of the annual implementation plan of this legislative proposal, and provides for a report by the State Statistics Institute on the implementation of the annual implementation plan to the Government of the Republic of Croatia. In addition to that, the holder of official statistics shall determine the time limit for the submission of the statistical activity proposal from its section and the obligation and delivery of the assessment of the financial resources necessary for the implementation of the proposed statistical activities. The proposal also provides for a detailed review and deadlines for the implementation of official statistics, as opposed to the current legal solution according to which official statistics have been found to be disseminated in accordance with the deadlines set for the annual implementation plan, which only provides for indicative deadlines for the publication of official statistics. In accordance with the European legal framework, international recommendations and best practice, cases of exceptional dissemination of confidential statistics are prescribed. For better organisation of business official statistics, the bill regulates the National Statistics Institute to take over official statistics from the administrative body of the City of Zagreb, responsible for official statistics and employees found in the performance of these tasks, equipment, food and other documentation, means of work and rights and obligations of the exchange of jobs. The takeover of jobs and employees has been planned since 1 September 2020. This law also regulates that the statistical council has 13 members instead of 19 existing members in the future, and makes them, the Director-General of the DSZ, acting as the Office of Finance, for the Economy, Representative of the National Bank, the Croatian Chamber of Commerce, Croatian Chamber of Commerce, the bodies of the unit of local and regional (regional) self-government, scientific organisations enrolled in the register of scientific organisations, employers, trade unions, civil society organisations and media. Finally, the application of this bill will ensure the completion of the reorganisation of the business of official statistics of the Republic of Croatia in the section relating to the data collection process and the establishment of the status of the official statistics holder, which began on 1 January 2010, by taking over official statistics from the Office of the State Administration in the counties as well as officials and subsistences found in the conduct of these tasks. The centralised organisation of state statistics businesses will allow faster integration of new IT technologies and methods in the process of collecting, producing and disseminating official statistics and harmonising the RS official statistics system with EU regulations. The resources for the work of the statistical council are provided in the State budget of the Republic of Croatia, given that the statistical advice is already established by the applicable Law on Official Statistics. Compared to taking over official statistics from the administrative body of the City of Zagreb, the responsibility for official statistics services is also provided in the State budget for 2020 as well as in projections for 2021 and 2022. Thank you for your attention.
ParlaMint-HR_2020-02-21-0.u186965	Thank you very much. We have two replicas, a type of don replica, this first respected representative of Anka Dark Taritash.
ParlaMint-HR_2020-02-21-0.u186966	Thank you very much, Vice President. Dear Secretary of State, therefore, the draft law that goes into emergency procedure among other things provides for the abolition of the competent administrative authority in the City of Zagreb in charge of statistics. For years this competent body has been doing statistics for the City of Zagreb, it seems to me according to those brochures that they regularly publish and there is this very regular tradition, and these brochures are extremely useful in the processes and management of the city and spatial planning of the abolition of that body, which were the reasons why it was made, so I understand that you are doing some kind of reformity at state level, but I am not sure that this will improve anything in the system of statistical data, so please why, what was the decision and what was the reason? Thank you very much.
ParlaMint-HR_2020-02-21-0.u186967	Thank you, next replicas of the esteemed representative Grodana Peric.
ParlaMint-HR_2020-02-21-0.u186968	Thank you very much, Your Honor, Your Honor, Your Honor, Secretary of State, Director of the State Department with Associates. We must stress the importance of the statistics and the data that we are getting and which we are serving and in this sense, and this harmonisation is also very important for the adoption of this law, however, as it is important for both human and human potentials, and also for the electronic aids to be served, it is important to strengthen the entire system. In relation to this law that goes on, in the first and emergency procedures, we, as a committee, feel that there is no need to change jurisdiction or that it should be returned to the old law authority of HS to bring forward the annual implementation plan. [[Intruder: Thank you]]
ParlaMint-HR_2020-02-21-0.u186969	Thank you very much, the next replica of the esteemed representative, Ivan Shuker.
ParlaMint-HR_2020-02-21-0.u186970	Thank you very much. So unfortunately, there are very few representatives in the assembly today, we are discussing a very important law for me, and I have been talking for years in this assembly about what is important for the State Statistics Office for the Republic of Croatia, given its communication with Brussels, and therefore my personal thinking and I think that the government should have thought about it, when you take the institutions the State Statistics Office is coordinating, I don't know how much of the status of a leading civil servant if it is at the head of the State Statistics Institute with this as adequate as it is, I think that the head of the State Statistics Office should have received a completely different position precisely because of this importance, because everything that the Republic of Croatia will financially need to carry out obligations to Brussels, and also the rights that will follow, the most of it comes from the data processed and preparation of the National Statistical Office. Therefore, we as Parliamentarians must be aware of the importance of this body and of the law We must give this importance. [[Intruder: Thank you]] Thank you very much.
ParlaMint-HR_2020-02-21-0.u186971	Thank you very much. Does the committee's rapporteurs want to take a word for it? No, I don't. I am opening the debate and the first one will speak on behalf of the HDZ Representatives' Club, Commissioner Marijana Balic, please.
