ParlaMint-HR_2020-11-12-0.u9691	It is now up to Mr Domagoj Hajdukovic, who will be the SDP's position. Here you go.
ParlaMint-HR_2020-11-12-0.u9692	Thank you very much, Mr. Vice President. My colleagues and colleagues. At the beginning of this week, we could witness a terrible and ruthless event in my city in Osijek, and we could read these headlines, “Horrow in Osijek, the mad man attacked my wife and daughter, help me kill my mom,” or “I heard screams, I saw a woman in a pool of blood, stabbed a woman, hurt a man and myself. ” We learned from the media that it was an attack by an ex-partner on a woman with whom she was involved and her daughter, and if there were no accidental passerby as some say the media or the master or locksmith who came to change the locks, probably headlines that would have been much more tragic, would have been unfortunately fatal cases. And this case, like many before that, is a terrible case of how inadequately we fight and deal with the issue of domestic violence. Namely, this same bully who tried to take his life and his wife, and then reported to himself on Friday, and this unfortunate event took place on Saturday, was reported for domestic violence Friday, was detained in the Osijek-Baranja Police Administration and detained for 24 hours. He was allowed to defend himself from freedom, although he was given precautions against the damaged in this case, so I guess it was a restraining order, but obviously it wasn't enough. If there was a breach, we could talk about it. That day means Saturday when the attack itself occurred in the late afternoon hours he was reported to the DORH by the damage that he tried to contact her, about 45 minutes later there was an attack. And I'll draw your attention to the fact that the attacker has been known to the police for violent behavior since then, even as a suspect in attempted murder. What does this unkind event tell us about our system of protection victims of domestic violence? First of all, he's inadequate. Could this tragedy have been avoided? It is not enough for colleagues and colleagues just to ratify the Istanbul Convention, some clear and concrete steps need to be taken. In several cases, I asked the government how much money was provided for the implementation of the Istanbul Convention, the answer I received was that nothing was provided because the Istanbul Convention was implemented through other programmes. We see how your colleagues and colleagues are doing, we see. Unfortunately, the injuries that women and daughters sustained are not just physical, they are much deeper than physical ones. And in the medical dictionary, as I always like to say, one kuna invested in prevention was saved five kunas in recovery. How many resolutions will it take for these two lives and those affected by them, and that's much wider, so we're talking about families, broaders, friends, relatives, acquaintances, how much money we're going to spend, solving scenes, trauma, and then ultimately physical injuries to which the wife and daughter were exposed. Could we have prevented that and how? Well, first of all, the education of colleagues and colleagues, the police and the judiciary. I'm afraid that our police have no elaborated measures and procedures in such unsuspecting events entirely and that often they don't know themselves how to act in such and similar cases because they are very delicate cases, domestic violence is always a delicate subject and it's always not just a physical threat, not just physical violence, but something full of deeper, psychological violence, trauma and a lot of other things. First of all, police officers who receive these applications should be educated to work on it, and then the judiciary, which unfortunately in many cases, honors exceptions, is uninterested in education, which is crucial. It is crucial that we have an educated frame that will be able to deal effectively and professionally with such cases so that we do not have to read more of these titles and that we do not have to worry about what will happen to the lives of a young woman and a young daughter. Thank you very much.
ParlaMint-HR_2020-11-12-0.u9693	Thank you. Mr Tomislav Tomašević will be the position of the Green-left bloc's Club of Representatives. Here you go.
ParlaMint-HR_2020-11-12-0.u9775	I thank the parliamentary staff, thank the chairman, today I want to talk about the National Development Strategy by 2030. I'll remind you a little bit of how we got here and where we should move on. So on 28 September 2017, the Government has pompously set up a governing committee to manage the development and end the adoption of the National Development Strategy from 2020 to 2030, which will set a new development direction for the Republic of Croatia. On the board of directors of the Management Board is absolutely the entire government, so all ministers, there was then the president, there were different chambers of commerce, representatives of the union, representatives of the Croatian Academy of Science and Arts and one, one representative of the Croatian Parliament. It shows how long it was then and how long the government had kept the parliament involved in drawing up a strategy that eventually comes and has to come to the Croatian Parliament because the Croatian Parliament must adopt it after the parliamentary debate. How'd the strategy go? It went in such a way that the strategy that should, means one of the main objectives of mobilising domestic capacities, based on knowledge, a new, new developmental direction of Croatia to keep as much new value as possible in Croatia and to stay in the local community has spent 32 million kunas to create analytical bases for the national strategy that we have paid the World Bank. So besides all the domestic knowledge capacities, all the institutes, all the colleges, all the private companies, consular firms, etc., we just had to pay the World Bank more than 30 million kuna for making analytical bases. It was said that on March 1st of this year, it was a plan to find this strategy in the Croatian Parliament so that, by the end of the year, the operational programme for the withdrawal of structural funds from one side would succeed, and what eventually happened for the same development of the national recovery and resilience plan that we need to withdraw funds from the next-generation European Fund of the EU that was created after this whole crisis started. So here is now the November strategy in the assembly is still missing, we are closest as the Assembly to come to the development strategy when the pompous prime minister showed it here the other day in front of parliamentary MPs and said the strategy was over because in this way, these are the closest the parliamentary representatives were involved in the creation of the national development strategy itself. When you look at for example on the development strategy website you look at the news and says there is no content, there is no content, under the news from the website for the national development strategy. And then what happens these days? The government is sending a letter and requesting the Office of the President of the State that now that the strategy has been completed after the prime minister showed it in the assembly, he appointed it to the board of directors of his representative today when he goes to public debate strategies. So in a normal state three years ago, parliamentary representatives, clubs of different, opposition would be included in this development of a strategy or the management of a strategy in order to reach some consensus. It didn't happen, for a year it waited I don't know why to include the President's Office in this because it was elected almost a year ago and now the President's Office has proposed to include an opposition in the management of this. on the board of directors and we welcome it. In the normal state, it was supposed to be done 3 years ago, but better ever, better ever than never, because now after a public debate, it will take a finalisation of that document before it enters the parliamentary procedure, and we from the opposition are very open to reach a consensus that will make a destructive turn, which will make it less energy imports, less food, to go towards green transformation of the economy, to reduce social inequalities, to increase crisis resistance, to climate crisis, to social, economic, health crisis. which we are currently in, and this is our chance not to miss because for 30 years Croatia has been going the wrong way. [[Intruder: Thank you.]]
ParlaMint-HR_2020-11-12-0.u9776	Thank you very much. And the last Mrs. Anka Mrak Taritash will be the position of the IP, Smart and Glass Club. Here you go.
ParlaMint-HR_2020-11-12-0.u9835	Thank you, well-respected Vice President of the Croatian Parliament. Dear colleagues and colleagues, we live in an era that is completely different, we live in the Corona era, we live in some other conditions, and at that time there is a constant constant that has not changed, which is the sustainability of the relationship between Mr Milan Bandic and HDZ when it comes to the City of Zagreb. They loved each other in secret for years, so they loved each other in public, so they fought a little bit, so they made little peace, so they made a little arrangements in secret, and now in the last city assembly they showed the proportions of their love, and it's about a project that is harmful to the citizens of the City of Zagreb and not only to the citizens of the City of Zagreb, it's an absolutely harmful project and it's about the establishment of a company that's named, regardless of what we can call it, Block Badel, and we can call it Block Kvatrić. What's this about? A decision has been made to establish a company in which the city will enter its property called Kvatric of 155 million kuna, then an investor who has to invest as much money in the company, but when that investor comes, then the relationship will be owned by the investor, and 49 of the City of Zagreb. It is clear to everyone who has already finished and to those children who have completed that popular school that 51 is more than 49, that the investor who will be in the company will manage everyone, and the City of Zagreb will air-conditioned there. And look at the wonders, at that same session was the decision to do urban planning for that space. We who were the opposition in the city assembly pointed to the harmfulness of the project, pointed to the harmfulness of this decision, indicated that this should not be done because, in any event, the urban planning of the arrangement was adopted then, in accordance with the applicable Real Estate Assessment Act, this property could no longer be assessed in one amount of 155 million kuna than that amount should be 30% higher. So the Realty Assessment Act says that real estate is assessed if a spatial plan has been accidentally adopted, and it's a urban plan, then it can't have a certain reduction. The same session therefore decides that the urban planning of the arrangements will be financed by the City of Zagreb, by taxpayers and a decision will be made to establish a new company in which the City of Zagreb will enter the property, and the investor will come and will become the owner of 51%. Mr Plenkovic, such decisions in the City of Zagreb cannot be made without you knowing it and you knew it. You knew that was the case. They probably warned you or offered you your attention that it wasn't good. For what reason? The colleagues in the City Assembly discussed and spoke, even more strongly than we did from the opposition, about the harmfulness of the treaty, about the harmfulness of the City of Zagreb's budget, about the harmfulness of the development of the City of Zagreb, and see when the vote was loudly silent. We have already been through such a story since the GUP and when it was a story with Manhattan, when you also made Mr. Plenkovic a decision not to vote GUP in Zagreb and that this great project Manhattan went into history as a bunch of projects. But here you either grumbled or didn't want to know or knew, so now you decide what's more harmful, but what's done is the damage done for the development of the City of Zagreb, for the budget of the City of Zagreb, for future projects, and then I'll say, '94. and '95, 1994 and '95. a similar company for Kvatric or Block Badel has already been established, so after a year it turns out it's not good, but I'm afraid this time It won't be like that. [[Intruder: Thank you]] Thank you.
ParlaMint-HR_2020-11-12-0.u9836	Thank you very much. Now I'm setting a break for airing out the hall, the hall. Stanka will last until 14 hours when we will continue to discuss tax laws clubs. It's 1:00 P.M. It is time to take a stand on behalf of the club of representatives and independent representatives. The first is Mr. Hrvoje Zekanovic, who will present the position of the Croatian Sovereigns Club.
ParlaMint-HR_2020-11-12-0.u9865	Free speeches are now.
ParlaMint-HR_2020-11-12-0.u9866	Yes, yes, you have the right to speak, please.
ParlaMint-HR_2020-11-12-0.u9867	Here's a little bit, I have to admit, I thought I'd talk about tax reform, but here I liked to talk about any subject, but I'm still going to talk about tax reform so I can stay on the subject that we're all in. So, this tax reform, as well as many other tax reforms so far, seems to relieve the most people who already have the most and that in the next period, we will grow even more savings. Not saving those who live from retirement, not saving those who live on the minimum, not saving those who live on average, but saving those who are the richest, the most wealthy. And while those who are poor today or live on the edge of poverty will continue to live equally modestly, they will continue to survive. A key question that I would ask the entire Croatian public here, and, of course, to our Prime Minister Andrej Plenkovic and Minister Maric, who has just left the assembly, is it possible to survive from the average Croatian salary or even more radically, is it possible to survive the whole month with two minimum Croatian salaries? I'm responsible for saying it's not. Especially if it is a normal Croatian family that Andrej Plenkovic advocates, so two, three and more children, because if we are for demographic restoration, for demographics it means demographic catharsis, then we will, then we will want such families. So of the two average salary with three kids, and if you're out of a loan, you can't live, you can't pay the director, you can't take the loan, you can't pay your kid's driving test, you can't buy your kid a prom dress and you can't send your kid on a prom trip. So that's what's key. And then all these cosmetic measures that we have today, which sound nice, actually don't help the poorest, those who barely survive the end, to live something better, and that's what I'm talking about often, and I'd like this one here, the speech, to get these words to the ears of those who determine what kind of Croatian laws will be. It's not us in opposition, it's them in power. I will be honest here so I will say that even the Government of Andrej Plenkovic is not, not guilty of the current situation completely, but is responsible in that sense for taking over the position of government. I would also like to hear from Minister Maric and Prime Minister Andrej Plenkovic that from this pay phone, and not only must he from this pay phone and anywhere, let them say what I said. That out of two minimum or two average salaries in Croatia, I'm talking about one family can't live. And that, in fact, the instructions of all those who have these receipts, let them get on the side a little bit, let them find another kuna because otherwise they will end up in the soup kitchens, or the system will have to take care of them. Here's so much for free speech, and a little bit on the subject of tax and tax reform a little later, when the time comes to discuss the law.
ParlaMint-HR_2020-11-12-0.u9938	Now it is Mr. Damir Habian who will present the positions of the HDZ Club of Representatives. Here you go.
