ParlaMint-HR_2020-11-05-0.u9682	Mrs Barbara Antolic Vupora will be the position of the SDP Representatives' Club.
ParlaMint-HR_2020-11-05-0.u9683	Respect to the chairman. Dear MPs and MPs, today I will talk about the lack of systematic and quality care for the most vulnerable groups of citizens, for most of all those older and powerless persons who are due to this Covid crisis are actually the most endangered and some say in this wave, the sixth wave of Covid actually the most needed aid of the state. The countries we've heard about are the best, that there's everything they need, but those who live with people we hear from them everything that says it's not like that. The transition to TVBT2 signal is under way and, of course, people are locked up in their homes and homes, protecting their health at the opportunity or difficulties to ensure that they see this window in the world a new, new device and the arrival of a master or friend who will enable them to do so. It can be made possible for them where it can be viewed, but today we have many areas in Croatia where it is not possible to track that same signal and it is also necessary to ensure it. So, Zadar County can't even follow the TV signal of the earth today, it's got to be paid satellite or some other channel to get to people, but we're talking about old and powerless, so those who are locked up in their homes, so we're giving them help that these people can track what's going on in the world or what's around them. The second thing that has been disabled today by many citizens with the most important things about health care is those who are not sick so far, and they want to buy a flu vaccine, they are not able to do that. So, the vaccine.../incomprehensible/... is not available on the free market, and we know how important it is to protect yourself with that same vaccine in order to better overcome with, overcome the virus if this infection occurs. We're talking about being a social state, but the social state seems to be going through the system on its own. You're on your own in homes for older and powerless governments that same policy. In homes for older and powerless we've heard they've been provided with enough means of protection, enough personnel, it's not like that again. So the means of protection are constantly coming in, but in symbolic quantities. It happens that homes also had to be organized with new departments where they were suspected or even infected by Covida-19 and, of course, they need to be provided with much, much larger, much larger means to protect.../incomprehensible/... employees and everyone around them, but also new jobs, new staff they have. We've heard they're at the Employment Service, and they're calling the government, but she can't hear. The government has a plan for itself, not enough to ensure that those who are unemployed or healthcare professionals at the Employment Service can get jobs in those same homes for older and powerless or in hospitals where they need them. How does this work, our country? Is it really the state we're hearing about from this pay phone from the ruling or is it just us in opposition that we have something to object to? People today who are very hard to live on who have to allocate new resources for the most basic are not satisfied with how we work. They're not happy with us either as an opposition, let alone those who manage this COVID crisis. I think it takes a lot more to do especially for the elderly and the powerless, especially in those three areas that I have now pointed out to make them live easier and better. Thank you very much.
ParlaMint-HR_2020-11-05-0.u9684	Thank you, too. It is now up to Mrs. Sandra Bencic, who will speak the views of the Green-Left bloc's Club of Representatives. Here you go.
ParlaMint-HR_2020-11-05-0.u9760	Thank you, Vice President. Dear colleagues and colleagues today, I will talk about the proposal for Maric's tax reform as a model of disseminating the social state and even an idea of what a social state is. So, we do not need to repeat because we all know that we are in a serious health crisis but also in the economic crisis we saw indicators of GDP decline, we saw a projection for next year, and we also know that Croatia, not only Croatia, but also globally, is threatening this type of crisis to a longer-term recession. What was the lesson in the last global economic crisis? The lesson could be summed up like this, we were wrong we shouldn't have saved should encourage consumption. Here, former Minister Lalovac certainly knows that because he's actually running a cycle of exits from the last recession, allowing the lowest income classes to have slightly higher incomes. Why? Because if you want to run a cycle, especially in the context of the Croatian economy that depends heavily on internal consumption, you have to ensure the growth of those minimum salaries for the simple reason that the first 7 and even 8 decimals means 8 out of 10 or 80% if you want to receive salaries in the Republic of Croatia their entire salary goes to consumption. Those last two kids are saving, it's us here, they can save. In order to get this effect of pushing the economic cycle plus returning to the budget through VAT because spending is increasing plus eliminating the need for social benefits should work on a tax reform that is diametrically contrary to the one done by Mr Maric. Tax policy plays a key role in achieving the principle of the social state. So the idea of a social state is that those who have more pay more, those who have less pay less. That's the basis. What's Maric doing? In 2020, Minister Maric opted for tax reform which is de facto the introduction of a flat war, we have a de facto flat rate after this law is passed. Flat rate means that everyone, but in Croatia not all but 99.5% of employees will pay taxes at the same rate. Only 0.5% of what is about 6500 people in relation to you, so if we look at the number of legal persons employees will pay by, part of the salary at a higher rate than 30, all others, the worker who has a gross salary of 5,500 and here is Prime Minister Plenkovic, who has a gross salary of 33,000, 5,500, 33,000 salaries of tax at the same rate. I'm talking about gross amounts. Same foot. It's a flat war. 2020 when the countries of Central and Eastern Europe, which were the only ones with a flat rate, or a flat tax in their countries, such as Lithuania and Latvia, decided to abolish it and move on to a progressive system, and introduced as much as 3 feet. Why? Because they saw it was their flat war, what did he bring them? It has brought them a huge increase in inequality, which is why you have countless studies on the EU's website that have been the effects of the uranium hunt in these countries, tax uranium. Today, the prime minister said it was a tax discharge that should be seen on an individual level. So let's watch it on an individual level, let's go. So, that worker I mentioned with 5,500 gross wages, he's going to be paid 16 to 20 kuna. How much will the Prime Minister's salary increase be? About 1000 kunas minimum depending on who has been reported as a abstention, etc. Is that in line with the principle of the social state? Is that a fair tax system? Are you going to raise your hand to raise your salary by 1000 kuna, and that your secretary in the assembly as ours to increase her salary by some, here ours will increase from 5,5,000 kuna, VSS, to 5,050 kuna, madness? So, are we really going to vote that kind of tax reform here? Will we also vote that those who receive millions of kuna per year through capital revenue, pay only 10% of the tax rate, and those who work pay a minimum and first rate of 20%? So how is that normal? What kind of social state is this? Thank you.
ParlaMint-HR_2020-11-05-0.u9761	Thank you. Finally, Mrs Dalia Oreshkovic will be the position of the IPE and Glass Representatives' Club. Here you go.
ParlaMint-HR_2020-11-05-0.u9824	Honored Chairman, fellow MPs and MPs. A number of distortions have occurred in the way many state institutions and state bodies operate. Every problem has its place of origin, and in the Republic of Croatia it starts from non-compliance with the legal rules whether it is the provisions of the Constitution, the law or the measures to combat the spread of the corona infection, which is daily prescribed by the national headquarters. And if that's the problem we want to solve, we need to start solving it from the top, from the Constitution. In the last few weeks, we have witnessed the relationship between the presidents of the state and the Prime Ministers and the individual ministers who certainly do not contribute to the preservation of the stability of the constitutional order, nor to the regular and coordinated action of the state government. And the inappropriate rhetoric and dictionary that could be heard on both sides certainly did not contribute to the culture of public dialogue and to the preservation of citizens' trust in public authorities. A part of the problem certainly stems from the character of those we have chosen to act as the most public duties. Part of their animosity. But part of the problem certainly stems from insufficiently defined, underdeveloped provisions of the Constitution that speak about the powers of the President of the Republic and his relationship with the Government and the Prime Minister. A situation in which the president of the state publicly calls on the prime minister to call a meeting of the National Security Council on which the Prime Minister, regardless of the responsibility, says I will not, I find inappropriate, unacceptable and harmful to the constitutional order and rule of law. There have been many examples lately in which it seemed that from the execution, and even from the failure of certain constitutional obligations of one hill or another, there is a certain kind of dispute, and I believe that in this dispute the Croatian Parliament must take over the role of the arbiter. I advocate that the special law defines relations between the President of the Republic and the Prime Minister in accordance with those provisions of the Constitution in which they share certain powers. Therefore, the development of clear rules, obligations and responsibilities, and if necessary since there is no minimum of cooperation and agreement between them, could be regulated by law and by certain obligations and in the event of compliance with certain protocols. Rules binding officials and politicians must be clear so that citizens can check whether the government behaves as it is expected. The government must have clearly defined obligations and clearly prescribed restrictions, and political culture must be built in society where there is a clear public expectation and that officials must respect the prescribed rules. It is a legal minimum without which justice cannot be achieved. We cannot allow the authorities to behave the way citizens are allowed, which is to violate the regulations that apply to them. In the existing Constitution, in the part in which the relationship between the presidents of the state and the Government is defined, there are indeterminates, and precisely because of these indeterminateities, there is a situation where important political processes take place in a way where the public has neither the possibility nor the insight nor control whether their relationship is such that it is a guarantee of the protection of public interest or the private interests of either the president of the State or of the Prime Minister shall take place solely in accordance with their own wishes or the interests of the political party from which they come. Here are a few topics in which I believe that the Croatian Parliament should draw up specific rules. This is the development of the way in which the President of the State takes care of the regular and coordinated action and of the stability of the state authority within the meaning of Article 94(2). The Constitution. Then, a detailed discussion of the procedures for directing the work of the security services. Next, the government's obligation to hold a meeting and to consider certain issues and to regulate the process of co-creation of foreign policy and the way in which the President of the State or Prime Minister will represent and represent the Republic of Croatia in the European Council within the meaning of Article 144(5). The Constitution of the Republic of Croatia. Given the subject we discussed yesterday on this last issue today, I'm going to commit a little bit more. Therefore, the necessity of defining these issues stems from the fact that, on the basis of the already established European Council, the Republic of Croatia is always represented by the Prime Minister. But such a situation does not stem from constitutional provisions, but from the relationship between the two branches of the state government and the contradictory provisions of the Constitution itself. I therefore believe that this issue must be resolved by the Croatian Parliament. In doing so, the existing practice ignores the fact that the Prime Minister and the Government, in accordance with the Constitution, can only lead foreign policy in the frameworks that are subscribing with the President of the State. The Republic of Croatia does not have foreign policy, because it has never been created in the way the Constitution prescribes Thank you. [[Intruder Radin: Time.]]
ParlaMint-HR_2020-11-05-0.u9825	Thank you very much. Now we're going to have a little break by 13.50 because we need to clear the hall. Traditional epidemic break. It's 1:00 P.M. The club of representatives of Croatian sovereigns will be presented by Mr Marko Milanović litre.
ParlaMint-HR_2020-11-05-0.u9857	Thank you, Vice President. Dear colleagues and colleagues. Last week, at a meeting of the Government of the Republic of Croatia, Prime Minister Andrej Plenkovic made a decree to increase the minimum wage by 187 kuna and 49 June gross and 150 kuna net compared to 2020, which would mean that he would legally impose that the minimum wage in 2021 would be 4.250 kuna gross and 3,400 kuna, respectively. Let me be perfectly clear at the very beginning. The average Croatian family cannot survive with the average Croatian salary, and I don't want to think how they live with the minimum. That amount is simply not enough for a normal and dignified life. The increase in income and quality of life of our fellow citizens is one of the main objectives of Croatian sovereigns in this term of parliament. But increasing the minimum wage by decree at the time of the global pandemic, the global economic crisis, the planned 8% GDP drop in the current year with more than 150 thousand unemployed and 250 thousand blocked citizens are being questioned by jobs in industries that should be helped by this provision. I must admit that this is one of the brave moves of the ruling that we can agree on in her intention. But in order for businesses to raise wages, there must be growth, and income and traffic for most of them are not growing but falling drastically. If you remember gentlemen ruling precisely why you shared the subsidies that were intended to... craftsmen, small and medium-sized entrepreneurs could pay their salaries to their workers, and now these decisions are additionally burdened with business that will eventually cost them exactly those whom they want to help, and these are workers. A healthy and more natural way of raising minimum wages is to regulate the market, to increase from healthy market competitiveness and growth in the economy and competitiveness in the labour market. Compensation measures such as the release of contributions to the payment of minimum salaries are for each commendation, but these compensatory measures will no longer be available since the beginning of 2021. We need the state to ensure normal business and legal frameworks for those who create, not to impose new obligations on those who barely survive like this. This and similar moves by rulings place an additional burden on traditional industries that are working intensively and which are already working with a loss or are on the verge of negative business. Because the share of labour costs in such industries is up to 80%. By legally imposing a minimum wage increase, we are jeopardizing the business of these industries and jeopardizing business security for those who are apparently supposed to help them. If we aim to increase the minimum wage, we need to think about increasing the untaxable amount of wages that are not below 4 000 kuna so that employers can find additional funds that could finance such decisions, because such legally imposed provisions do not ensure higher income for workers, and neither do employers' incomes. More likely to reduce non-taxable parts of workers not because employers do not want to pay higher wages to workers, but a large majority of them do not have room for it. Once again, I want to repeat that all of our top priorities must be to raise the minimum wage and quality of life in Croatia for our citizens. But we will not achieve this through the provisions imposed, but by creating a healthy business climate where the public sector does not suffer from co-operation with the state and state appliances, but rather sees it as an opportunity to improve its work. Thank you.
ParlaMint-HR_2020-11-05-0.u9858	Thank you, too. It is now Mr Goran Ivanovic's turn to be the position of the HDZ Representatives' Club. Thank you.
ParlaMint-HR_2020-11-05-0.u9920	Thank you very much, Mr. Vice President, distinguished parliamentary representatives and MPs. Here let me spend these five minutes on something that I think is worth a lot more than 5 minutes in HS, is essentially life in the east of Slavonia, especially in relation to the east of Croatia, especially when we are in these circumstances of the crown virus. KBC in Osijek began its work on November 1, 1874. and since then, with some minor upgrades today is essentially in a state where we need to know the fact that Slavonia, Baranja and Srijem is an area that has about 700,000 inhabitants. A new agreement to the Council for Slavonia, Baranja and Srijem included a project to build a new KBC in Osijek and the government approved the first 35 million kunas for the project documentation of the construction of the same KBC. The investment itself will be worth about 2 billion kuna. I believe that this is the life theme of people living in the east of Croatia, both primary and all other health care is the foundation of every society. In addition to KBC, something will be built which is equally crucial for the development of Slavonia, Baranja and Srijema, which is an upgrade and adaptation of the Osijek Airport which was put on the market sometime on April 31st 1980. I'd say that Osijek Airport should be what we're all talking about here, and that's development, we're a agricultural area, we know what Airport Kargo Transport means if we establish conditions and preconditions. The construction of Corridor Vc is currently under construction of a 23km section from Osijek to the White Manastir, leaving more shares from the White Manastir to the border with the Republic of Hungary and thus the Croatian part of the story of Corridor Vc, the Svilaj Bridge, would be built. The railway corridors that are the vessels of the housewives are also important, both in the direction of Vinkovac and in the direction of Virovitica, Zagreb. And what makes me as a man, as a representative here at HS rejoiced that this consensus of 5 mayors, Slavonian, Slavonian counties who have found priorities, who have found time to sit at the same table regardless of the politics and all that can possibly share them. It's important, it's our task to help our end, to help the people who sent us here to HS to make life at least for a moment better, to bring it to that level and the level that every responsible policy will say is real at that moment. What I think is very important, and here we are going to spend all afternoon and spend all day changing our budgets in these other changes in the 2020 budget. where agriculture, if you have followed well, even has an increase of these 200 million kunas, which is for our farmers, not only in Slavonia, Baranja and Srijem, but in general for the OPGs, farmers in the whole of Croatia very important. This is a clear sign that the government has a vision of how to help those who can return this aid through what is most important through healthy food, through the increase in the end and gross domestic product. And in the end, he would send an appeal to our leaders of local self-government especially here at my place in Slavonia and Baranja and Srijem not to forget cultural and artistic societies, not to forget singing groups, not to forget the Tamburian compositions that have no business. Corona has taken a great toll on these people who spend their whole lives pervading our national culture, our heritage by that we are what these people do. They're in difficult conditions today. There's practically no joy, there's not all those places where they could perform. Well, I appeal to the leaders of local self-government to help them. They're living people. They're living organisms. These are the people who guarantee that our tradition, heritage and culture will also be tomorrow what we have been proud of throughout history. Thank you very much.
ParlaMint-HR_2020-11-05-0.u9921	Thank you, too. It is now up to Daniel Spajic, who will present the position of the Association of Representatives of the Homeland Movement.
