ParlaMint-HR_2020-11-13-0.u9694	- Mrs. Crescent. Andreja Maric will be the position of the SDP Representatives' Club. Here you go.
ParlaMint-HR_2020-11-13-0.u9695	Thank you, Mr. Vice-President, or Chairman, dear colleagues and colleagues. And today I'm going to talk about health care, about the need to finally be more orderly and accessible to all our fellow citizens and fellow citizens. I've worked in the Croatian health system for over 20 years. I know his strengths and flaws very well. The benefits are valuable health and health care professionals who, with their knowledge, expertise, skills stand by a number of experts around the world. Especially a heavy burden on their backs at this time of the pandemic when they give maximum energy and sacrifice to patients but our government obviously does not appreciate it enough because it did not foresee a salary supplement for those who work hard in COVID departments and intensive treatment units by risking their health as well. He's negotiating with the unions, whether there will be a delay in the previously agreed additions to the collective agreement. Mane and trouble, there's a bunch of 'em. Especially in this pandemic. They haven't been created since yesterday, and they're not created by the current resolution minister, but they don't get rid of them. And there's no time to wait. We keep saying that health care is a supersede issue and that consensus is needed. This was agreed by Ministers Beros and Maric at a recent extraordinary session, i.e. the thematic session of the Committee on Health and Social Policy, which was convened by the lists of six opposition committee members. We have articulated problems, offered assistance and solutions, the debate was really good, but everything the opposition proposes seems to be not accepted, not even recommendations and conclusions of that debate. There's no health reform recovery program, we haven't seen a plan to settle the accumulated debt in health care, a plan to pay off the debt to the wholesalers. The health institutions' limits are uneven, the state delivers money to hospitals according to some of its criteria while the founders of general and county hospitals invest but also staff their own criteria. The national anti-cancer strategy is not yet in the parliamentary procedure. There are numerous organisational and personnel problems. I'll remind you that at the Employment Office, over 1200 healthcare professionals are waiting for a traineeship. That's what I was talking about at a recent actuator, asking Minister Beroš to urgently hire them and hire them in the health care system and take them in for a start-up interview. That conversation should be held today, let's at least do something, and hopefully it won't just stop for a chat. Imagine how much it would mean for a hospital like mine in Čakovec or in neighboring Varazdin, and help our tired employees to get young trainees who will also allow them to obtain the conditions for passing a professional exam and obtaining a license. Furthermore, we have a wide range of available medicines on the list, modern diagnostic devices in a number of health institutions but still do not have systematic monitoring of treatment outcomes especially expensive medicines and now we are witnessing that more and more patients in different hospitals indicate and complain that they cannot get the necessary oncology medicines, hepatitis therapy, there are antibiotics, corticosteroids, respirators, etc. Who's to blame? When are we gonna figure this out? In certain environments, patients, for example in Slavonia, in Djakov as they called us a few days ago, do not have a weekend-on-the-spot medical clinic, general medicine. Where is there a network of available health institutions and services? Short on national headquarters. For some time, unfortunately, there has been no complete trust in citizens or professions, because it has been a virtue with recommendations, and it is not possible for them to deprive themselves of the political omen and cannot present their work and decisions on the parent board and in the Assembly, so that we have valid legitimacy, and what we have suggested on several occasions. Are we prepared to welcome the second wave of pandemic? Unfortunately, we didn't. The healthcare system is short-listed, pre-collapsed. That's what a number of healthcare professionals tell you. As an opposition, we will not give up, we will persist in detecting problems and seeking and offering adequate and meaningful solutions in order to find a way out of the existing poor health situation as soon as possible to the common forces. I stress, we need a consensus. Health care is an over-the-counter issue. We hope that the ruling will finally listen to us and accept our help because time for waiting and outwitting really does not exist. Thank you.
ParlaMint-HR_2020-11-13-0.u9696	Thank you, too. Okay. This, Mr. William Matula, will be the position of the club of representatives, the mask, the mask you forgot, Mr. Mlinarić, Mr. Mlinarić, you forgot the mask. Mr. William Matula will be the position of the Green-Left Block Representatives Club. Here you go.
ParlaMint-HR_2020-11-13-0.u9778	Thank you, Vice President. Good afternoon, colleagues and colleagues. I will use this speech to warn about the systematic harassment suffered by people from NGOs dealing with the protection of human rights and the defense of refugees, migrants, asylum seekers. So, international protection, these are people who ask the Republic of Croatia for international protection. One very prominent such NGO is the Arius Sirius organization which has become known to other organizations such as the Centre for Peace Studies and that I do not list everything, but this prominent organization, if you remember, has unfortunately become known in that tragedy of the death of the little Madina Husiny, and on that occasion Minister Bozinović has just begun to question Arius Sirius in various ways to perform he and the MUP pressures to come up with now an employee of an NGO whose partner who was an asylum seeker has received that asylum, 2.5 years of integration here, the language has been integrated I say they are partners, he is the man who worked here who really integrated and could spread a voice about the Croatian state as a country that really helps and provides international protection. However, after that, suddenly because of all the pressures that otherwise take place apparently on the Arius Sirius organization in late 19th, he was invited to an official conversation where he was treated very roughly in Petrinj, seeking information about a man he knew while still in, at a shelter for asylum seekers in Porin. After that, he was deprived of his residence permit without any explanation and imagine that he was then deprived of his right to stay, deprived of his right to protect international, asylum and requested that he leave the Republic of Croatia. There's no explanation because SOA doesn't give any explanation, and you can't defend yourself at all even though the Constitutional Court has made it very clear that people in legal protection have to know what's been said like this SOA 2.5 years before it gave him all the rights and said he's not at all dangerous in any way. And we can't have that in a relationship, but precisely because of the employee of our employee in that I say to a respected civil society about it, Frontal, the Front Line Defender portal is more internationally written, which is why we already have pressures from the European Commission telling us that this is not the way to treat migrants. However, it is obvious that the Croatian state on the one hand wants to be around this government and by the Prime Minister as very European we do not want to act like the introductions of Orban and Hungary, but because when there are no lights in the dark to harass migrants, asylum seekers and send them a message precisely through this man and through this couple that we do not give the opportunity, be careful that it is a couple who live together for 2.5 years, 2 years together, 2.5 years together, I guess how total they are together, and they send messages to everyone else you do not come, do not seek protection from the Republic. What kind of republic is that?
ParlaMint-HR_2020-11-13-0.u9779	Thank you, thank you very much. Let's move on, Ms. Marijana Puljak will be the position of the IP, Smart and Glass Club. Here you go.
ParlaMint-HR_2020-11-13-0.u9838	I thank the chairman. Dear colleagues and colleagues, today I will warn you of a local problem from this pay phone. Since tomorrow in Split, or Vranjica, one protest is being held that speaks of the next. So Split port is preparing for the construction of an oil terminal for the reception of tankers and the transport of oil by rail and trucks to the interior of Split's northern port. So it's a strategic project and it's a terminal with 4 tanks of a total capacity of 50,000 m3 fuel, so it's in Split's northern port. I don't know if you know what it looks like, where Vranjic is, what the Bay of Kaštelan looks like, they've closed one bay and the Vranjics are so with their peninsula in the middle of that bay. By using the terminal for several years or in case of an accident, there is the possibility of environmental pollution and endangering the health of people in the area, and because of my location as I said whether the Bay of Kastelan was closed any pollution would be felt by the inhabitants of Split, Vranjica, Solina and Kaštel, that is, the entire Gulf of Kaštelan. For many years, crows have fought the battle against environmental threats from neighbouring ports, such as the landing of scattered cargo, oil leaks, sandboats in the open air without protection, the grinding of plastic ships, the burning of waste, the overload of oil and coal in the open at the northern port, the sea is polluted, the sea is filled with waste, a large number of inhabitants are struggling with asbestos. Environmental incidents have become a daily routine, a rioting government in the area of the northern port itself and the plants that operate there. So there's the former Vranjic Shipyard, the former Salonite. In the remont shipyard, it often happens and waste is often burned, so smoke is seen from the remont shipyard, firefighters come to the citizens' applications even happens not to let them into that remont shipyard and when they are released as recently happened, they have what they see, so it's on fire, they tell them they simply don't have the money to get rid of that waste in an appropriate way, so they're going to light it up a little bit, nothing's going to happen. If we add to this whole situation the announced traffic to flammable liquids in the northern port, at certain times there may be an outbreak of fires, explosions, thus jeopardising both health and human and animal health, nature, material goods, so there cannot be a significant negative impact on the environment and people in the area of a total of 4 towns of Split-Dalmatia County. On the other hand, in Kaštel, there is already a location of the fuel tank owned by the MRLs, so it is maintained by the MRLs, the location has existing approaches and lines, underground installations, underground tanks, so there is already one such location that will justify this study, a double risk of oil spilling in view of the existing and planned location. The Bay of Kaštelan in this part, as I said, is quite closed, the truth is that the slow current of the sea and maybe someone will talk, and when there is an incident, it will easily be resolved, but the recovery of marine life, the resolution of the waste is actually a long-term process on which the Kaštelani are waiting, I would say here for 20, 30 years, struggle with living in an ecologically clean environment and here every little project appears that makes it impossible for them to live. Here, thank you.
ParlaMint-HR_2020-11-13-0.u9839	Thank you, too. Finally, Mr Goran Ivanovic will be the position of the HDZ Representatives' Club. Here you go.
ParlaMint-HR_2020-11-13-0.u9941	Thank you very much, Mr. Vice President. Honorable MPs, distinguished MPs, when someone becomes a legend for their lives, then it's the most that a man can possibly become in his life. Krunoslav Kico Lošinac gained the status of legend especially us Slavs, Baranjac and Srijemac whose song he performed throughout not only our Republic but also abroad. Today in 76, Krunoslav Kico Losinac died a man whom I personally knew, much with him and as an author worked, was also a representative in the Croatian Parliament, so here I want on behalf of all the tambourians, all the cultural artistic societies, singing groups who in any way collaborated with this great man to say one great thank you for what he did for our end, what he did for our country of Croatia, and that we will always be able to say with piety but of course and with great pride that he was one of us. Therefore, let him be an easy Croatian and Slavonic lump, and it is our duty to always remember him. Thank you very much.
ParlaMint-HR_2020-11-13-0.u10008	And we move on to the last item of the agenda. In fact, to make a point on behalf of the club of representatives and independent representatives. The first in front of the Homeland Movement is Mr. Stipo Mlinarić.
ParlaMint-HR_2020-11-13-0.u10009	Thank you very much, Mr. Chairman. Ladies and gentlemen, in 1990 in Zagreb for the Eurovision Song Competition won the song Toto Cutugno – Insieme, a united Europe together. World media comments were totalitarian Communism is in the fundamental phase of decay. Europe unites, a time of long peace and prosperity arises. After a year of BBC commentators, ARD, CNN, when they commented on the entry of Serbian troops who sang Free Send us salads, there will be meat, we will slaughter Croats. They said it was the worst and that the world could allow these crimes. The same Serb troops killed journalist, our colleague Bojan's father, Sinisa Glavasevic, but also a colleague of Sinisa Glavasevic, Branko Paulino, who was otherwise Serbian people. Yeah, Vukovar was a shock to the whole world, but not to the DORH. But not for the HDZ coalition partner, the leading people of the SDSS who asked the other day in Negoslavci not to investigate the crimes committed in Vukovar. I'm asking the DORH question, who are these people who sing that morbid song on their way into Vukovar? Did they identify them using Shakespeare's dictionary? Did they arrest them and transfer them? Or is it to identify, arrest and transfer reserved for Croatian patriots only? Ladies and gentlemen, 2,717 brothers and sisters, husbands, husbands, Croatian daughters and sons were killed in Vukovar. 86 children were killed in Vukovar. One man was.../incomprehensible/... one boy was a valuable handiwork and a day before he was taken to Ovchara sitting with his mother in the basement he carved a small dolphin. His mother, who lives in Rijeka today, identified him from that dolphin years later. I'm going to paraphrase Franjo Tudjman and his speech on June 8, 1997 in Vukovar. In Vukovar, Croatia was built for eternity. Tudjman also said at the rally, a winner who can't forgive, sows the germs of a new conflict. I'll add today, a criminal who doesn't know how to repent calls for new conflicts. As long as we don't experience a scene experienced by the Poles by German Chancellor Brandt, who in 1972 on the protocol bed of his newlyweds in Warsaw unpredictably kneeled and bowed down. As long as the Serbian side denies crimes in Vukovar, Shkabrnja or Srebrenica, it is impossible to obtain the conditions of sincere reconciliation. 18. I go to Vukovar because I am a Vukovar, for there are the bones of my comrades. I'm going back with bitterness in my chest and stomach because I know justice isn't served. I'm going with chest pain, because I'm going to watch some politicians hypocritically pay their respects there again, and they're insulting both the victims and the city and the Croatian people. I'm going to pain, I'm going to pain. It gets harder and harder every year. But I'm going because I have to and I don't know how far. Dear Chairman, I thought I'd ask you for a minute of silence for Vukovar and Skabrnje, but I won't, because this is embarrassing that there are 15 people in the assembly of 151 MPs. We didn't deserve to give.../incomprehensible/... give a minute of silence to those people in '91. Mr. for Croatia. Thank you.
ParlaMint-HR_2020-11-13-0.u10010	Thank you very much. Mr. Miro Bulj will be the position of the Club of Representatives of Independent Lists.
ParlaMint-HR_2020-11-13-0.u10063	Thank you very much. I will now talk about what is before us, which is the budget next week we are discussing and these are the issues most important at this moment for our citizens, although these budgets are unreal, unreal, and I will talk about Dalmatia forgotten, about a meeting in Split of the Croatian Government, meetings of the Croatian Government where projects of 2 billion, decisions on projects of 2 billion kuna, can count them. It's a transport infrastructure, from a Vrgorjek tunnel.../incomprehensible/... Drvenik to the fast road Zagvozd-Imotski, a fast road connection between Sinja-Drniš, here is Mayor Knina, all of these projects are essentially at zero by now. I know that the pre-election time will go again, but I do not understand why the Croatian government treats Dalmatia as if it is not part of Croatian territory. Not a single significant project. 5 billion kuna in 2020 boasts Oleg Butkovic, 5 billion kuna in transport infrastructure, mostly around his municipality, he is a village bećar I am glad that he loves his cities and municipalities, the rest of Croatia zero, nothing. In particular, my Dalmatia, zero, plus that we have only harmful projects like Krš-Padjane, such as the attempt of harmful projects of the Perici thermal power plant, on a clean drinking lake located on the river Cetina, where we have a problem of non-resolving waste management because at this point the Vrgoračka dump is closed, threatens Sinjskoga, and the center for, the regional waste center is not even started, and 30 million kunas have been invested on, in Lečevica, I repeat this harmful project because it should be managed differently by waste. Today in Dalmatia, and mainly in Dalmatia, and in all of Dalmatia, it depends essentially on concessions and power. I am not going to comment on this ruling today, I told Sanader about 2007 when I was well-explored by those Sanaders who don't know him now, bags and the like, but I am going to talk about that the only thing that is good and successful in Dalmatia is the concession on the beaches, and that's why we have most of the county congregations, Kerum HDZ, it's the redwashing of the Croatian, people's good that it's amazing and that's how my Dalmatia works. Dalmatia gives a lot of Croatia, a lot, nothing returns to it. We won't just talk about tourism, I'll talk about energy now, 40% of the hydroenergy gives the river Cetina RH, absolutely nothing, zero, zero river would the prime minister, nothing. But they come neatly to Sinjska Alka and I'm glad, on Vrhorak days of prosciutto, to the brazijski prosciutto, my colleague Begonja I know that it's hard for you to come and you don't know how to greet me but I don't care, I come for the people there, just to see people to talk about their problems. The only thing that mess up the tables neatly is the only neat thing they make. And therefore, in the budgets that are always 5n unrealistic, unreal, not ecological, there are always budgets that are promising, but I once again warn Dalmatia is part of Croatia, this government has forgotten Dalmatia, the Dalmatian Zagora, and, of course, Lika. Thank you very much.
ParlaMint-HR_2020-11-13-0.u14178	Good afternoon, everyone. Thank you very much, thank you. Before we move to today's agenda item on the debate, I would like to inform you that when we have finished the debate by the clubs, with the debate of this point to the end, we will actually move on to the presentation of the position of the club representatives. So when we're done with that point this free speech is that club, the club stand. So today's item on the agenda is: - Final proposal of the Law on Amendments and Supplements to the Insurance Act, emergency procedure, first and second reading, P.Z.E. No. 42 The applicant is the Government of the Republic of Croatia pursuant to Article 85. The Constitution of the Republic of Croatia and Articles 172, 204 and 206. Rules of Procedure of the Croatian Parliament. In accordance with Article 206. The Rules of Procedure have also been established and accepted that the proposal from the applicant for this law is being discussed by an urgent procedure. This Regulation shall enter into force on the twentieth The Rules of Procedure unites the first and second readings, and amendments can be submitted by the end of the debate. The debate was conducted by the Committee on Law and the Committee on Finance and the State Budget. The amendments were submitted by the Legislative Committee. Would the applicant's representative like to give an additional explanation? Mr. Stjepan Curaj, State Secretary at the Ministry of Finance, please.
