ParlaMint-NO_2002-01-10.ana.ud1968e39	The representative, Inge Ryan, will make a private proposal.
ParlaMint-NO_2002-01-10.ana.ud1968e42	I would like, on behalf of my seas, to present proposals for the creation of a new industrial development fund for economically poor areas.
ParlaMint-NO_2002-01-10.ana.ud1968e47	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2002-01-10.ana.ud1968e61	The first speaker is in the place of the case-rapporteur, Mr Rød.
ParlaMint-NO_2002-01-10.ana.ud1968e64	The Audit Committee has examined the examination by the Court of Auditors of the time-limits for review of complaints concerning value added tax and investment taxes. The results of the investigation show that the average overall duration of proceedings for complaints decided by the complainant or converted by the Tax Directorate in 1998 and 1999 was 21.6 months and 19 months respectively. For the complainants, length of proceedings may lead to a period of significant uncertainty related to the outcome of the complaint. Long processing times can have a negative impact on both business, workplaces and private economic facilities, and may also lead to some refusing to complain. The Committee is of the opinion that it has been important that the Riksrevision has examined the procedure for such complaints and considers that the time taken to deal with such cases has been and remains unacceptable. The Ministry of Finance’s requirements for the overall duration of proceedings are 12 to 15 months. Therefore, the Committee is of the opinion that the time period covered by the investigation, 21.6 months and 19 months respectively, is not acceptable. The Committee has understood that the length of time is half the time of proceedings in the Directorate-General for Taxation. The Committee therefore takes the view that the key to a shorter and more effective procedure is to improve and streamline the procedures of the Tax Directorate. The Committee expects a significant focus to be placed on its implementation in the near future. The Committee is unanimous in its recommendation.
ParlaMint-NO_2002-01-10.ana.ud1968e77	Most of the points made by the Committee include: in the case of processing time, has already been complied with. As an example, I can mention that in the 2002 Tax Directorate’s letter, a 12 month treatment period is required. It's a lot better, and it's going in the right direction. The Committee is also of the opinion that a written voting system is not a well-suited appeal procedure and that the appeal subject should hold meetings so that voting can take place promptly and continuously without the necessary time-playing. The Committee assumes that the Ministry is considering the implementation of such a scheme. The Ministry of Finance will show that at kgl. Resolution of June 2001, last year, was amended by Regulation of 19 December 1969 No. 5 on the organisation, organisation and handling of complaints, etc., so that it is organised for increased proceedings in the field of complaints. Following this, the Tax Directorate, in consultation with the head of the denominator, has developed detailed procedures for proceedings in meetings, etc. I assume that the new legislation, which is from last year, meets the Committee's wishes. The Committee asks the Ministry that the limit for the handling of a case by the complainant should be increased from NOK 15 000. I would like to inform you that the limit on the amount of the complaint was raised from NOK 1000 to NOK 15 000 in the event of a change in the law on 21 December 2000. The law was amended after ordinary consultation. And considering that it's so short a time since a relatively drastic lifting of the border was done, I think this is not a topical issue in the near future. The Committee also has a number of other points. They have been largely answered in correspondence with the Committee.
ParlaMint-NO_2002-01-10.ana.ud1968e90	Several have not asked for the floor on case No. 1st@item: inlistbox [[Fotation, see page 1276]]
ParlaMint-NO_2002-01-10.ana.ud1968e106	The position on the minutes of the Government is based on a basis of the Constitutional Act § 75(f) and § 12(f) of the Rules of Procedure. 8 and is the only means of control that automatically gives the Storting insight into the exercise of authority by a government. This was traditionally motivated by a desire for constitutional control, but has gradually been overruled by political responsibility after parliamentaryism, and the control work of the Grand Duchy has gradually changed forms, such as: by the Riksrevisionen, the Civil Ombudsman, interviews, deposit notices, an active press, etc. But the system is still constitutional, and although in more recent practice it has not played a greater role than the fact that the protocols are sounded quickly and through – usually the time of the night – without any comments, there are diverging remarks about the treatment of the Oasen Bible Centre by the former Council of State. A minority in the committee, but a majority in this room – there are not so many sitting here now – find reason to note a little discretionary political treatment of Oasis’ complaint against the application for approval under the private school law. From the Innst Opinions O. No 53 for 1984-85, where the majority stated that: ‘The ‘collective assessment’ rule opens up to a certain discretion, but the majority would stress that schools fulfilling the requirements laid down should normally be approved’; to date, there has been a solar-clear majority with a positive relationship with the Private School Act. This majority, however, chose to ignore in total the former Council of State, with a partly well-developed ego in relation to how a minority government relates to the Storting, and under the cover of legal assessments which at least in a political sense are approaching abuse of discretionary authority in relation to what a minority council can expect in relation to a repeated and expressed opposite view from the majority of the population. Governments acted formally within the framework of the Private School Act. Otherwise, completely different penalties than notes would have been the sanctioning theme here. Now the voters were also going to say their own in September, so that the Council of State might have returned to this room. If this had not happened, it is not unthinkable that the wording ‘The Grand Duchy regrets the proceedings of the Council of State Giske’ had been the proposal for a decision in the autumn. Now, the comments of the Control and Constitutional Committee constitute a political ex-post criticism and control which, preferably, will motivate both past, present and potential government councils to show greater caution towards a clearly expressed majority view of administrative decisions. The political disagreement about private schools between majority and minority is not the main issue here. It is primarily a question of principle of the relationship between accumulation and government that is addressed in the comments on the matter we have to deal with, although it would of course have been tempting to comment that the Workers' Party is obviously more concerned with the few percentages who choose to go to private schools for different reasons than with the 98 pst. in public schools. In the case of the Workers' Party and the SV's comments on the defence of the former Council of State, there are a few things to address. In the notes, the Labour Party and SV underline the ‘right of the majority to review the Ministry’s discretion’. Very well-known means over-testing to convert, as most of the state-law theory and practice clearly rejects the fact that the Storting has competence to do at all. Then I must be allowed to ask the Workers' Party whether these alert a whole new parliamentary and constitutional practice. The second, and far more remarkable, is that 117 years of parliamentary development seems to have passed the Workers' Party's house when, in the form of a comment, it is only considered to be the task of the Control Committee and the Grand Duchy of Great Britain: «verify that decisions have been taken in the framework of applicable powers and legislation». In practice, the Labour Party here believes that the Stortinget should only exercise legal control over a government. The Labour Party has thus taken a line over the parliamentary control of the Storting with the government at all times. I think that's relatively alarming, and it could have been okay with a clarification and possibly a change of comment if that's not what you think. Finally, in the case of purely factual matters, the Workers' Party and the SV state that approval ‘is somewhat more than showing tolerance to the views of different groups’. This is quite interesting given that in this case, Giske originally placed more emphasis on what some local government representatives said than for example. on the right of parents and children to choose training. Genuine liberality is shown when you approve something you don't like yourself. There was an opportunity former State Council did not take advantage of in this case. Rather, he chose to run slump between different bases, so even Kjus and Aamodt would get dizzy, in need of justice! This procedure considers the Right Party, the Christian People's Party and the Advance Party to be of little political discretion.
ParlaMint-NO_2002-01-10.ana.ud1968e150	As the representative Dahl said, the Right Party, the Advance Party and the Christian People's Party have gathered in this position on a note that addresses the former Council of State Giske's handling of the application for the establishment of the Oasen primary school. If I understand the comment correctly, these parties conclude that the former State Council was acting correctly, but wrong! And they do that by saying that the Council of State «in this case, it may be assumed that it has acted formally within the framework of the Private School Act». I'm assuming they're not just assuming. They are absolutely sure that the former Council of State acted correctly. If they only assumed this, this might have been a matter for the Control and Constitutional Committee and looked into it more closely. The criticism expressed by these parties is that they are: «of the opinion that the parliamentary procedure of the Council of State has been less fortunate». But it is not uncommon for a minority in this room to find the government's handling of both the one and the other as less fortunate! The new is that it is considered appropriate to entrust this to an assessment by the Control and Constitutional Committee. To go back a little bit in time, because the Christian People's Party is one of the parties that is in this note: when the representative Jon Lilletun ruled the department in question, he approved the establishment of a private, Muslim school. The representative Lilletun is an observant man, and he had probably understood that there was nothing particularly strong in this room that this school was to be established. But even if it was a proposal to direct instruct the Council of State in this matter, the Storting said no to it. They would not instruct the Council of State in this matter, but they clearly stated that this school did not want the Stortinget, because the Stortinget thought that here one would cross a boundary in the relationship between the magnificence and the government. You didn't instruct, but you expressed what you meant. Similarly, government council Giske was not later instructed by Stortinget. The individual Council of State, based on different parties and constellations, gets issues on its table on the basis of a social overall assessment based on its best judgement, and on the political basis on which the government is based. Former State Councillor Lilletun made his decision on the basis of his best judgement. And former State Council Giske handled this matter on the basis of his best judgement. So here in the house we can alternately agree or disagree on how the councils exercise their discretion. The alternative to this is either that the Storting instructs the Council of State by decision, or that we create such a detailed regulation that our councils become advanced case handlers when they sit and decide matters. I don't think any of these procedures are a good development. Since the governing parties of the Right and Christian People's Party support the criticism of the ex-Government's discretion, not as a fresh contribution to a debate, but as part of the work of the Control and Constitutional Committee, it might be of interest to know whether this is a work form that is considered appropriate. In this form of work, as we now see, a new increase by a new majority is also noted in the Committee on Control and Constitutional Affairs on the exercise of discretion by former government councils. If this is the type of work you want to do, this committee will seize a large part of the time on this pulpit in the future.
ParlaMint-NO_2002-01-10.ana.ud1968e173	I'm not going to repeat the entire speech of the representative, Mr. Engeretsen, but there's a fundamental difference between having a democratic system in which a legislator adopts laws and assigns others the opportunity to exercise judgement, and having a democratic system in which the legislator first confers on others the opportunity to exercise judgement because one wants to take certain considerations, and then this withdrawal of judgment is the case if one believes that the judgement is being misapplied. It will be completely meaningless if what kind of issues appear in the media, what kind of issues are supported by strong press groups, are to decide when the Storting should go in and try out. We in SV assume that the majority that was behind the current private school law had a meaning in saying that the department should exercise a judgement. We also believe that it is right that the Stortinget actually allows the Ministry to exercise this discretion. I'm going to agree with the representative Dahl in one thing about the comment from the majority, and that is that talking about the Storting's right to review the government's judgement might have been formulated in a more fortunate way. But the basic thing is that if we're going to have a state of law, if we're going to have something left by a distribution of power, it has to be that when the legislator decides that someone should exercise judgment, they also have to be allowed to exercise that judgment. I believe that it would be a much better procedure for those parties that now want to criticise the Council of State's exercise of discretion, actually to agree to a change in the law if you think that the law opens up a way you don't like, than to try to limit the discretion you have actually said to the ministry that the ministry should exercise.
ParlaMint-NO_2002-01-10.ana.ud1968e184	The case spokespersons have done very well for the substance of this matter. A little discretionary is the conclusion of the government party plus the Progress Party. In other words, the majority of Stortinget finds the management of a former government council so that there is reason to warn against similar behaviour. The right that a parent has to choose a school battle for his children has been strong in Norway, especially since the private spherelova got in place. The fact that a state council, like in this case, chooses to challenge the majority of population repeatedly, is nothing more than a wake-up call. Yes, it tells of a minister who does not fully take the seriousness of being part of a minority cabinet. Among other things, the control bodies in the three levels of administration — the local government, the county council and the Grand Duchy — have a role to play in improving procedures in the proceedings and the people’s confidence in public administration. If there's something that needs to be done today, it's just building trust between the people and the people who are elected. In my opinion, the behaviour of the former Council of State in this matter is a clear example of the opposite. For this reason, the consideration of this matter in the Control and Constitutional Committee is also very important for future government councils which need to have a diffuse view of the constitutional relationship between government and accumulation.
ParlaMint-NO_2002-01-10.ana.ud1968e197	The matter under consideration is therefore the minutes of the Council of State for the period from 1 January to 30. ==References== Normally, this is a matter that goes well without any special debate in Stortinget. Nevertheless, this time there is one important case of principle which provides the basis for a debate in this Chamber. It is true that even if we now have a treatment period, it is 1 January–30. In June 2001, it is necessary to include the knowledge on the matter after the time that is widely known. Therefore, there is now reason to look at the treatment of this matter that the former Council of State Giske was responsible for in its time as the Council of State. I am amazed at the anticonceptions and arguments of the representative of the Engretsen because he goes very far in suggesting that it is entirely on the side that such a case should be dealt with by the Control and Constitutional Committee. That's what I think is shooting far beyond the goal. On the contrary, it is a very important part of Storting's control work and the ability to control the government's discretion that is expressed here. I would like to quote from an article written by Fredrik Sejersted, where he writes the following: ‘The control of the Storting shall mean the subsequent examination, assessment and penalty of the executive.’ Further: ‘Control is in principle the opposite of ‘burden management’, which means that the Storting instructs the government in individual matters, thereby obviating the division of labour and responsibilities of the Constitution. On the contrary, such a distribution shall be subject to control.’;» It is true that it is not common for the Storting to consider it necessary to instruct. This has not been done in this case, but a very clear political signal has been given as to what should be done in relation to non-discrimination. The funny thing about Giske's position in this case is that both the time when decisions and decisions are taken, and the time spent seems very special, if I should be careful to express it. In different rejections of different cross-roads, there has been a constant shift of justification — from emphasising the gender equality law at one time to emphasising a municipal government decision at another time — and it all seems rather arbitrary. Furthermore, we know from what happened after 30 June, that the Council of State, based on the debate on 5 April of this year, was given the time to make an assessment and reach a decision. So he used it badly. In fact, his refusal of the new application from the Oasen came on 16 October. At that time, it was quite obvious, even to Giske, that the government was on its way out, for the new government joined on 19 October. I think it was a rather provocative behaviour, if I may say so, that the Council of State, which had to know that after the election there was an even clearer and clearer majority for an appropriate position on such a matter, in a situation where the outgoing government had to be perceived as a business ministry, three days before the new government acceded, chose to reject the application. I think that was a rather unacceptable behaviour on the part of Giske. That is why the criticism is also so strongly formulated in the vote. There can hardly be any doubt that if Gishe had still been a state councillor, this would have had consequences in terms of having to resign.
ParlaMint-NO_2002-01-10.ana.ud1968e222	As a member of the Church, Education and Research Committee, I had the opportunity to follow up on this matter in all its various stages. I wondered a little about the statements made by the representative, and also about the wording of the committee's view in the setting, because it has a very loose connection – it is even carefully expressed – to what has actually happened in this case. In principle, it is true, of course, that the division of labour between the legislative authority and the executive authority is generally such that the Grand Duchy exercises its powers by means of legislation and explicit decisions, and that the Government and the Council of State at all times have reasonable discretion within the framework of the laws adopted by the Grand Duchy. There is no disagreement about, as far as I can understand, nor between the fractions in the committee in the vote. But the practical problem is, of course, that between the legal system, which lies in the explicit legislative function of Stortingen, and the political one lies a very far-flung frontier country. And that's this frontier country, between the political and the legal, this case is about. In general, it is not desirable for the Storting to take very detailed decisions in individual cases dealt with by the Government. There's no disagreement about that either. But if you are to maintain this proper division of labour between the legislative and the executive, it requires the musicality of the government at all times. In this context, by «musicality», I believe that a council of states in a minority government has to deal with the fact that a majority in the Grand Duchy has a different view of how the law is to be understood than that of the Council of State. If a state council repeatedly demonstrates that he is uninterested in how the majority of the Storting perceives the law administered by the council, it is a direct provocation. And it's the Storting's duty to respond to such provocations. In this case, the Stortinget has done so, I had almost said, for the first time by adopting a clarification of the legal text after the Council of State's first handling of the matter, in order to exclude any possible doubt as to how the law was to be understood. Secondly, the majority of the Norwegian Trade Union Committee clearly stated in the budget position the same harvest that there was very little satisfaction in the further handling of the Council of State, more specifically his delay in the matter in time. It was also quite unambiguous, and there was a majority in this room behind the criticism. So the Stortinget took a decision last 5 April, which, of course, was not a legally binding instruction to the Council of State. The Council of State asked the Ministry of Justice's law department to help draw the conclusion that it was not an instruction. There was no need for a law department, because it was clear that the Storting did not take any instructions. On the other hand, the Stortinge said clearly that when it comes to practicing a law, there are two principles that apply to every council of states and in every context: one must take into account the general purpose of the law. And the general purpose of the Private School Act is not to ensure the free exercise of discretion by the State Council at all times. It would have been strange in a democratic society. Legislation does not provide for the protection of the freedom of expression of state councils. This law has a very explicit purpose: to secure the right to establish and operate private schools, understood: for minorities. Then I also have to be allowed to say that I am surprised that the representative of the Engebretsen seems to have the understanding that it is what there is at any time a majority of people who like and, if so, dislike school services, which will determine whether or not this right to establish and operate private schools should be honoured. That can't be a correct view. The explicit aim of the law is to ensure the ability of minorities to make use of an alternative school offer to the public. This was clearly stated in the decision of 5 April. In addition, one more thing was said that is very important in principle, namely that there is a general rule of law in this country that equal cases should be treated equally. In this case, it would mean that when the department of trade, the Ministry of Education, Education and Research, in cases similar to the Oasen case, had given approval under quite specific conditions, it was not only access to it under the law. It is a law and an obligation for the Council of State if he believes that there are certain conditions that must be imposed in order for the approval to enter into force, to formulate those conditions. In similar cases, the ministry had done this before. What the Council of State Geske did, was – eye-catchingly enough – to use what had previously been set as a condition for approval, as a justification for rejecting the Oasen application. And it's simply on a collision course with elementary management. One cannot put a condition for approval at one moment and at the next moment use the same condition as the reason for refusing an exact parallel case. I have to say that I am very pleased with the comment that has been put into the vote and that both the representative Dahl and the representative Engeset said. I think this criticism is quite timely, and that in principle it provides an important rule of action for the future. There is a lot of evidence to suggest that we must be prepared to stay with minority governments in this country even in a reasonable future. And at least as long as you have a system of minority governments, it demands the musicality of the councils. In this case, it would have been useful if the Council of State had at the beginning of its Council of State had taken some sort of course at a reasonable music school.
ParlaMint-NO_2002-01-10.ana.ud1968e239	The next speaker is André Dahl. Then Kjell Engebretsen.
