ParlaMint-NO_2002-05-22.ana.ud696e28	The called alternate of the Rogaland County, Inger Lise Aarrestad, has taken the seat.
ParlaMint-NO_2002-05-22.ana.ud696e36	The President will propose the election of a President-in-Office of the European Parliament today – and consider it adopted. The President is asking for proposals from the President-in-Office.
ParlaMint-NO_2002-05-22.ana.ud696e41	I allow myself to propose Elisabeth Røbekk Nørve.
ParlaMint-NO_2002-05-22.ana.ud696e46	Elisabeth Røbekk Nørve is proposed as president. – Other proposals are not available, and Elisabeth Røbekk Nørve is considered unanimously elected president of the current meeting. The representative Jens Stoltenberg will make a private proposal.
ParlaMint-NO_2002-05-22.ana.ud696e51	On behalf of Kristin Halvorsen and myself, I would like to make a proposal for measures to achieve greater transparency and awareness of leadership wages.
ParlaMint-NO_2002-05-22.ana.ud696e56	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2002-05-22.ana.ud696e79	On Thursday, the Storting received a message from the Prime Minister's office that the following members of the Government will meet for oral Question Time: Prime Minister Kjell Magne Bondevik Council Torild Skogsholm The advertised members of the government are present, and we are ready to start the oral question procedure. The representatives who, in addition to the pre-announced representatives, wish to ask themselves the main questions asked. – We then start with the first main questions, from the representative Jens Stoltenberg.
ParlaMint-NO_2002-05-22.ana.ud696e95	I have a question for the Prime Minister. The Christian People's Party, the Right Party and the Advance Party have secured a majority for a change in law that allows for a strong adjustment of the Party fees. It affects hundreds of thousands of people who today live in a home at the party site. The result of the legislative changes for which the civil parties have secured a majority entails increased housing costs for a large number of people. I am afraid we have only seen the beginning of the examples we have now obtained in the media, because we have to expect that much more party fees will be adjusted as the contracts open for adjustments and old contracts expire. We've seen the consequences. In the smoking sector, an older pensioner couple have been charged NOK 23 000 in increased fees per year. years, and in the current outside Oslo, a housing strike has been demanded 20 million. extra kr, or extra 200000–300000 kr to take over the apartments. This entails a sharp increase in the cost of living. The question is whether the Prime Minister considers this to be reasonable.
ParlaMint-NO_2002-05-22.ana.ud696e104	The law of 1996 is a law of 1996 which, moreover, came into force from the New Year, on a proposal from the Stoltenberg Government. I am aware that the Labour Party voted against some of the proposals in the law. This law aims to balance the consideration of those who attach to the land and those who are derelict by the land. This applies to parties from before 1983, which is now about to be 20 years old. For many of these fastening contracts, there are provisions that allow a regulation of the charge to be consistent only with general price increases and nothing more than that. Where there are major regulations, they are in cases where they have a land value clause. According to the law, there is access to regulate the charge up to a maximum of 9 000 kroner per person. target if it is the market value of land in that area. In many cases it will be smaller and will not give rise to such an increase. The law shall be evaluated by 2004 at the latest. For its part, the government is open to do so earlier if it becomes unreasonably and unintentionally large. I would also like to draw attention to the fact that the issue that has been raised in the media – as far as I remember about the current – about possible demands for the purchase of land on which the dwellings are based – has nothing to do with the law of 1996. The problem had been exactly the same with the old law, so here it's suffocated together some things that have nothing to do with each other.
ParlaMint-NO_2002-05-22.ana.ud696e115	I can't see that the Prime Minister at all was close to answering my question. What I asked was whether he thought it reasonable that an older pensioner’s pensioner’s partner who has lived a long life in a dwelling on a fixed land would receive NOK 23 000 in increased housing costs in a year. It is a direct result of the law, which bases market values on the basis of which landowners have a significantly greater opportunity to adjust the fastening charges. I repeat the question: does the Prime Minister think that 23 000 kroner in increased fees are reasonable for an older pensioner’s spouse?
ParlaMint-NO_2002-05-22.ana.ud696e122	In this case, this must be an empty space up to 3 dimensions if the increase is NOK 23000. One, as I said, only has access to the max to increase by up to NOK 9 000 per person. target, so that in case it must be a significant empty. I cannot go into individual cases here and now take a decision on it. We have agreed to look at the effects of the law, if necessary also earlier than in 2004, which have been set as an evaluation date. The regulatory mechanisms laid down in the law are an attempt to balance the interests of those who fasten the land and those who fasten the land, with a maximum price of NOK 9 000 per year. measures with a plot value clause. In all other contracts where one does not have it, one does not have access to such regulations. This case may seem strong and unreasonable, but I cannot handle individual cases over the Spokesman's Chair. I think the previous Prime Minister fully agrees with that. I was absolutely close to answering the question, it was very close.
ParlaMint-NO_2002-05-22.ana.ud696e133	The President shall not undertake to make a distance assessment in this context. There will be follow-up questions – Knut Storberget.
