Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2002-05-07-lower-2	ParlaMint-NO_2002-05-07-lower-2.ana.ud2215e42	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-05-07	2002-05-07	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-05-07	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2002-05-07-lower-2	ParlaMint-NO_2002-05-07-lower-2.ana.ud2215e51	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-05-07	2002-05-07	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-05-07	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.TOA	Andersen, Torbjørn	M	1957	
ParlaMint-NO-en_2002-05-07-lower-2	ParlaMint-NO_2002-05-07-lower-2.ana.ud2215e97	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-05-07	2002-05-07	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-05-07	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
ParlaMint-NO-en_2002-05-07-lower-2	ParlaMint-NO_2002-05-07-lower-2.ana.ud2215e120	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-05-07	2002-05-07	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-05-07	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.KLH	Holmberg, Kari Lise	F	1951	
ParlaMint-NO-en_2002-05-07-lower-2	ParlaMint-NO_2002-05-07-lower-2.ana.ud2215e142	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-05-07	2002-05-07	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-05-07	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.KAAN	Andersen, Karin	F	1952	
ParlaMint-NO-en_2002-05-07-lower-2	ParlaMint-NO_2002-05-07-lower-2.ana.ud2215e159	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-05-07	2002-05-07	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-05-07	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.AAS	Sæle, Anita Apelthun	F	1951	
ParlaMint-NO-en_2002-05-07-lower-2	ParlaMint-NO_2002-05-07-lower-2.ana.ud2215e174	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-05-07	2002-05-07	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-05-07	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.MMK	Kleppa, Magnhild Meltveit	F	1948	
ParlaMint-NO-en_2002-05-07-lower-2	ParlaMint-NO_2002-05-07-lower-2.ana.ud2215e208	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-05-07	2002-05-07	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-05-07	-	Reference	English	Regular	notMP	Minister	H	Høyre	Coalition	Centre-right	person.VN	Norman, Victor	M	1946	
ParlaMint-NO-en_2002-05-07-lower-2	ParlaMint-NO_2002-05-07-lower-2.ana.ud2215e234	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-05-07	2002-05-07	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-05-07	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ASK	Kristoffersen, Asmund	M	1944	
ParlaMint-NO-en_2002-05-07-lower-2	ParlaMint-NO_2002-05-07-lower-2.ana.ud2215e238	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-05-07	2002-05-07	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-05-07	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.TOA	Andersen, Torbjørn	M	1957	
ParlaMint-NO-en_2002-05-07-lower-2	ParlaMint-NO_2002-05-07-lower-2.ana.ud2215e243	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-05-07	2002-05-07	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-05-07	-	Reference	English	Regular	notMP	Minister	H	Høyre	Coalition	Centre-right	person.VN	Norman, Victor	M	1946	
ParlaMint-NO-en_2002-05-07-lower-2	ParlaMint-NO_2002-05-07-lower-2.ana.ud2215e248	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-05-07	2002-05-07	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-05-07	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ASK	Kristoffersen, Asmund	M	1944	
ParlaMint-NO-en_2002-05-07-lower-2	ParlaMint-NO_2002-05-07-lower-2.ana.ud2215e258	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-05-07	2002-05-07	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-05-07	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ASK	Kristoffersen, Asmund	M	1944	
ParlaMint-NO-en_2002-05-07-lower-2	ParlaMint-NO_2002-05-07-lower-2.ana.ud2215e757	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-05-07	2002-05-07	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-05-07	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ASK	Kristoffersen, Asmund	M	1944	
