ParlaMint-NO_2002-12-18.ana.ud519e28	The representative of Olav Gunnar Ballo will make a private proposal.
ParlaMint-NO_2002-12-18.ana.ud519e31	I want to make a proposal on behalf of Karin Andersen, Sigbjørn Molvik and myself on the future structure of the emergency medical communications centres.
ParlaMint-NO_2002-12-18.ana.ud519e36	The representative Magnhild Melting Group Kleppa will make a private proposal.
ParlaMint-NO_2002-12-18.ana.ud519e39	I would like, on behalf of the representatives of Ola D. Glötvold, Jorunn Ringstad, Rune J. Kjellaaen and myself, to put forward proposals to postpone a change of practice in the printing of patients.
ParlaMint-NO_2002-12-18.ana.ud519e44	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2002-12-18.ana.ud519e67	On Monday the Stortingen received notice from the Prime Minister's office that the following members of the Government would meet for oral Question Time: Prime Minister Kjell Magne Bondevik Council Børge Burnde The advertised members of the government are present, and we are ready to start the oral question procedure. The representatives who, in addition to the pre-announced representatives, wish to ask themselves the main questions asked. – We then start with the first main questions, from the representative Jens Stoltenberg.
ParlaMint-NO_2002-12-18.ana.ud519e83	First I wish the Prime Minister a really good Christmas, and then I would like to ask him a question. It's about the power prices. Power prices are now rising sharply. Many may experience increased electricity costs of DKK 4000–5000, and many may experience even stronger increases. The basic reason is that we use more electricity in Norway than we can produce ourselves. We will then have to implement both energy saving measures to dampen the growth of consumption and to provide more electricity. But both of them take some time, so those who get problems, not least those who from before have the least, the poor, the underprivileged and the retired, we have to help through the winter. This involves more short-term remedial measures. The Labour Party has pointed to two things. One is a major improvement in the housing aid scheme. The government has proposed NOK 450 more per year. years. It is far too small and involves too few people compared to the large groups that will be affected. My question is whether the Prime Minister is satisfied with 450 kroner per year. years.
ParlaMint-NO_2002-12-18.ana.ud519e94	First, I want to sign back to the head of the Workers' Party and wish you a really good Christmas. It has been a special year for many, even for Stoltenberg, with whom I congratulate – I have done so before – that he has been a party leader this year. The first Christmas leading in the Workers' Party, it's probably gonna be a good Christmas. In terms of power prices, the government is also worried that these have become so high. This was explained yesterday by the Minister of Oil and Energy in the Storting, and the parties expressed their reactions to it. I agree that balancing the power market can only take place through long-term measures that bring more power into our production. Now we have a free energy market in the Nordic region, so this also depends on imports in periods where we need it. The transmission system and its capacity are also too poor, as an contributing factor. The government, as the Council of State explained yesterday, first proposed an increase in the stencil contribution for light and heat within the housing aid scheme. Interestingly, the Workers' Party now considers this to be too modest when the Workers' Party actually proposed to wind up this scheme in its draft budget for 2001. But thanks to every famous budget agreement in Plaza, the centre parties were brought back into this system, which we can now use and target. In addition to this, the government will go in by 20 million. kr for information measures for NVE, for guidance for consumers in the market, so that they can also identify measures that will reduce electricity billing. But we will follow this further beyond the winter and will of course have a continuous assessment of any further measures.
ParlaMint-NO_2002-12-18.ana.ud519e105	It is typical of the Prime Minister to refer to what happened in Plaza in the autumn of 2000, in order to defend the government’s inability to act in the winter of 2003. Firstly, we proposed a conversion of the housing support system, and we proposed more money for housing support for both 2002 and 2003. But the crucial thing now is that there is an urgent need to do something for tens of thousands of people who are going to labor with an extra charge of NOK 4000 – 5000 for heating and lighting in Norwegian homes. And there's an increase in the housing stock of a little over 30 kroner per year. month for a very limited group too small. The second is that many people are at risk of double clicking – first increased electricity bills and then they have to pay high interest rates on overdraft, mortgage purchases in the power companies, which now say that customers can get deferred payments, but that they have to pay 15-20 pst. interest rate. The Workers' Party believes that we both need to strengthen the housing support system and to enter into guarantees or other arrangements to ensure that the credits granted by the Power Corporations have an interest rate around the same level as the house-bank rate.
ParlaMint-NO_2002-12-18.ana.ud519e114	As far as I know, the Labour Party has delivered a Document No. 8 proposals, and it will be subject to normal treatment in the Stortinget where the Stoltenberg proposals now mentioned will be considered. I will not now prejudge the treatment of it. In the case of the housing aid scheme, further improvements are made to the next year’s budget. The housing aid scheme for disadvantaged families of children is improved by no longer requiring housing to be financed by the Husbank. Some 5,000 more disadvantaged families with low incomes and high spending will be helped. This is also one of several measures in the Government's poverty plan, which has received broad support in the 2003 budget. The measures we proposed both for 2002 and now further for 2003 are targeted at those groups that need it the most, and they need it not least in a situation of high electricity prices.
ParlaMint-NO_2002-12-18.ana.ud519e121	A lot of people have signed up for follow-up questions. The President will allow three follow-up questions. The first is from the representative Carl I. Hagen.
ParlaMint-NO_2002-12-18.ana.ud519e124	As Jens Stoltenberg said, the high electricity prices are a result of a lack of balance between the demand for electricity and the production capacity in Norway. Lack of production capacity is due to the government parties, the Workers' Party and, in particular, the SV, which over many years have listened to partial hysterical protection interests and reduced the plans and applications for power development that have come. The result now is that the other parties have actually prioritised special smaller groups at the expense of ensuring a proper supply of electricity to the country's inhabitants, which the Progress Party has voted for all along. We have opposed the idea that we should not expand more power generation. We should have finished expanding also conventional gas power plants, which the other batches have actually stopped. Can we expect the new government, Bondevik, to put this line around, so that we get a marked expansion of force in the years to come?
