Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2002-02-26	ParlaMint-NO_2002-02-26.ana.ud2154e30	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-02-26	2002-02-26	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-02-26	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2002-02-26	ParlaMint-NO_2002-02-26.ana.ud2154e109	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-02-26	2002-02-26	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-02-26	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2002-02-26	ParlaMint-NO_2002-02-26.ana.ud2154e114	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-02-26	2002-02-26	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-02-26	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.JES	Stoltenberg, Jens	M	1959	
ParlaMint-NO-en_2002-02-26	ParlaMint-NO_2002-02-26.ana.ud2154e119	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-02-26	2002-02-26	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-02-26	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2002-02-26	ParlaMint-NO_2002-02-26.ana.ud2154e127	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-02-26	2002-02-26	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-02-26	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2002-02-26	ParlaMint-NO_2002-02-26.ana.ud2154e130	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-02-26	2002-02-26	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-02-26	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.PES	Sandberg, Per	M	1960	
ParlaMint-NO-en_2002-02-26	ParlaMint-NO_2002-02-26.ana.ud2154e136	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-02-26	2002-02-26	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-02-26	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2002-02-26	ParlaMint-NO_2002-02-26.ana.ud2154e139	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-02-26	2002-02-26	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-02-26	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.KES	Svendsen, Kenneth	M	1954	
ParlaMint-NO-en_2002-02-26	ParlaMint-NO_2002-02-26.ana.ud2154e144	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-02-26	2002-02-26	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-02-26	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_2002-02-26	ParlaMint-NO_2002-02-26.ana.ud2154e156	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-02-26	2002-02-26	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-02-26	-	Reference	English	Regular	MP	Minister	H	Høyre	Coalition	Centre-right	person.JP	Petersen, Jan	M	1946	
ParlaMint-NO-en_2002-02-26	ParlaMint-NO_2002-02-26.ana.ud2154e375	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-02-26	2002-02-26	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-02-26	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.KE	Engebretsen, Kjell	M	1941	
