Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2002-05-06-2	ParlaMint-NO_2002-05-06-2.ana.ud417e28	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-05-06	2002-05-06	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-05-06	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.OKD	Djupedal, Øystein	M	1960	
ParlaMint-NO-en_2002-05-06-2	ParlaMint-NO_2002-05-06-2.ana.ud417e41	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-05-06	2002-05-06	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-05-06	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.SRH	Hansen, Svein Roald	M	1949	
ParlaMint-NO-en_2002-05-06-2	ParlaMint-NO_2002-05-06-2.ana.ud417e63	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-05-06	2002-05-06	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-05-06	-	Reference	English	Regular	MP	notMinister	V	Venstre	Coalition	Centre	person.TSG	Grande, Trine Skei	F	1969	
ParlaMint-NO-en_2002-05-06-2	ParlaMint-NO_2002-05-06-2.ana.ud417e81	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-05-06	2002-05-06	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-05-06	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2002-05-06-2	ParlaMint-NO_2002-05-06-2.ana.ud417e96	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-05-06	2002-05-06	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-05-06	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.PEM	Monsen, Per Erik	M	1946	
ParlaMint-NO-en_2002-05-06-2	ParlaMint-NO_2002-05-06-2.ana.ud417e107	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-05-06	2002-05-06	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-05-06	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2002-05-06-2	ParlaMint-NO_2002-05-06-2.ana.ud417e124	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-05-06	2002-05-06	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-05-06	-	Reference	English	Regular	MP	notMinister	A	Kystpartiet	-	Centre-left	person.KSWE	Swensen, Karl-Anton	M	1965	
ParlaMint-NO-en_2002-05-06-2	ParlaMint-NO_2002-05-06-2.ana.ud417e140	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-05-06	2002-05-06	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-05-06	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.PEM	Monsen, Per Erik	M	1946	
ParlaMint-NO-en_2002-05-06-2	ParlaMint-NO_2002-05-06-2.ana.ud417e152	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-05-06	2002-05-06	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-05-06	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.SRH	Hansen, Svein Roald	M	1949	
ParlaMint-NO-en_2002-05-06-2	ParlaMint-NO_2002-05-06-2.ana.ud417e161	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-05-06	2002-05-06	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-05-06	-	Reference	English	Regular	MP	Minister	H	Høyre	Coalition	Centre-right	person.PKF	Foss, Per-Kristian	M	1950	
ParlaMint-NO-en_2002-05-06-2	ParlaMint-NO_2002-05-06-2.ana.ud417e170	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-05-06	2002-05-06	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-05-06	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
