ParlaMint-NO_2002-02-07.ana.ud1617e38	The representative of Heidi Sørensen will make a private proposal.
ParlaMint-NO_2002-02-07.ana.ud1617e41	On behalf of the representatives of Inge Ryan, Hallgeir H. Langeland and myself, I propose the use of biofuels to reduce the emissions of dangerous greenhouse gases from the transport sector.
ParlaMint-NO_2002-02-07.ana.ud1617e46	The representative of Bendiks H. Arnesen will make a private proposal.
ParlaMint-NO_2002-02-07.ana.ud1617e49	On behalf of the representatives of Olav Aksensen, Aud Gaundal, Grethe Fossli and myself, I would like to make a proposal to equalise working fishermen with others in the community.
ParlaMint-NO_2002-02-07.ana.ud1617e54	The representative Karl-Anton Swensen will make a private proposal.
ParlaMint-NO_2002-02-07.ana.ud1617e57	I would like to put forward a proposal on the requirements for citizenship and linguistic and social knowledge tests before Norwegian citizenship is granted, in order to ensure the integration of immigrants into Norwegian society.
ParlaMint-NO_2002-02-07.ana.ud1617e62	The representative of Arne Sortevik will make a private proposal.
ParlaMint-NO_2002-02-07.ana.ud1617e65	On behalf of the representatives of Gjermund Hagesetter, Karin S. Woldseth and myself, I would like to make suggestions on the construction of alternative sailing routes from Hjeltfjorden to Herdlafjorden and on to Bergen.
ParlaMint-NO_2002-02-07.ana.ud1617e71	The proposals will be dealt with in a regulatory manner. Before the matters on the current map are dealt with, the President will propose that the morning meeting – if necessary – continue beyond the scheduled time of 9 p.m. 15 to the current map has been completed. That's also true of the Odel Sting. – No objections have been raised to the President’s proposal and it is deemed to have been adopted.
ParlaMint-NO_2002-02-07.ana.ud1617e89	At the request of the Judicial Committee, the President will propose that the debate be limited to 1 hour and 15 minutes and that speaking time be allocated to the groups as follows: Working Party 15 minutes, Right 15 minutes, Advance Party 10 minutes, Socialist Left Party 10 minutes, Christian People's Party 10 minutes, Center Party 5 minutes, Left 5 minutes and Coast Party 5 minutes. Furthermore, the President will propose that there be an opportunity for a replacement of lines of up to three lines with replies after contributions from members of the Government. Furthermore, it is proposed that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2002-02-07.ana.ud1617e100	The paper on the investigation of sexual abuse against children has been referred to in the media and in public opinion as the establishment of Barnecryptus. However, the measures now being taken are not to establish a new investigation unit responsible for sexual abuse of children. What we want, on the other hand, is to strengthen the existing section of Kripos. But perhaps the most important thing is to increase the knowledge and competence of the individual police districts. A unanimous committee is behind the setting. We agree that the police in the next few years must give priority to this work. The police reform and reorganization of police districts believe that the Workers' Party will help to improve the professional environment of individual police districts and that resources are released to prioritize such issues. The entire Committee supports the establishment of a host facility at Kripos. This adds Kripos more resources, but at the same time it contributes in the longer term to more expertise in the individual police districts. Kripos shall be the national centre of expertise with which police districts can obtain assistance through advice or direct assistance on each case. The number of incest-related offences recorded and the number of perpetrators with children under 14 has quadrupled over the last 40 years. In addition, we know that the dark numbers of this type of crime are high. In the last ten years, public focus on this type of offence, while police competence in investigating such cases has increased, has now revealed far more incest and sexual abuse of children. The emergence of crisis centres, various public relief measures and legislative changes have also resulted in less of this type of crime being a taboo area. The strong growth in such cases means that the police need more expertise and resources. Several reports have told us in recent years that the investigation of sexual abuse against children is complicated, and that very many police chambers and county councils lack knowledge and competence. The quality of the investigation is also very variable. Nor is it possible to place a trust in the fact that the interest in taking on such tasks in the police has been small. Experience in recent years shows that Kripos's competence is used very differently from police districts to police districts. The number of requests for assistance is low. In some cases, there is little knowledge of the possibility of assistance. In addition, many people believe that their own skills are sufficient and that they do not need assistance from Kripos. A unanimous committee believes that there is clear evidence that the police use Kripos' competence to a great extent. We therefore ask the Ministry to draw up guidelines that require police officers to assess requests for assistance in each case. The Workers' Party agrees that legal certainty and orderly investigation do not mean that a multidisciplinary unit should be set up at Kripos. We believe this would easily create unclear responsibilities and mixing roles in dealing with individual matters. We believe it is a good solution for the police to establish closer contact with external trade unions and to establish a knowledge base for people with the necessary skills. The Labour Party does not wish to establish a regional unit for the investigation and prosecution of sexual assaults. We believe that the investigation of sexual abuse is best carried out by the individual police districts. It is in any case the local police officer/woman who comes first to the scene. Important evidence assurance must be carried out as early as possible. We therefore believe that it is extremely important that as much of the competence as possible lies in the individual police districts. A report by Åse Texmo and Lisbeth Aarvik shows that from 1993 to 1998 it was 80 pst. of the most serious cases, repeated forgeries with children under the age of ten, laid down. 11 pst. was freed, and only 9 pst. of the cases ended in a judgment. The main reason for the large number of provisions was justified by the ‘position of the certificate’, i.e. the fact that it is not considered to be able to provide sufficient evidence to obtain a conviction. The same report shows that improved police professional work would have resulted in several cases being brought before the courts. Moral matters have been largely left to newly educated police service women and inexperienced lawyers. Such matters are so complicated and complex that there is a need for experienced policemen and lawyers to do this work. They must have knowledge of evidence assurance, be able to see what is to be regarded as possible evidence, have insight into the competence of cooperative bodies and have a good knowledge of the law.
ParlaMint-NO_2002-02-07.ana.ud1617e128	The members of the Committee are very pleased that an overall committee is behind this position and that there is a broad consensus that this work needs to be strengthened. It gives a strong signal of the importance of the fight against sexual abuse against children, and it has not least been important from the recent reports that we have read, which have pointed out that there is a need to strengthen and improve the treatment of sexual offences. The investigation of sexual abuse against children is the responsibility of police officers in the individual police districts. But this is no simple matter to deal with for the police. It is therefore very important that these matters are adequately addressed, and such matters are very complex and often difficult to deal with for each police officer. There is therefore good reason why police officers are now well-followed along the way. Some police districts have considerable competence in this field. But we're not going to hide that so far it's been varying in quality on the investigation. In many cases this is due to the fact that each police officer has worked all alone on the matter, and that there has been no continuity in the work. The high school provides training on sexual abuse, both as part of basic education and as part of the provision of continuing education. The possibility of continuing training is valuable to enable police officers to understand the problem of sexual abuse. This is why the right considers it important what we have written in the note, that police officers who are motivated and want to participate in the continuing training offer at the Police College will have the opportunity to do so, and not least that the Police Directorate has to look at the costs of the offer in order to find out the arrangements that make each police district a priority. The return on training at the Police College, based on what I have heard from various police officers, is very good. Therefore, the Right is pleased that we agreed on this comment, so that it could make it easier for more people to participate in this offer. The right looks like we're getting family violence coordinators in the individual police districts. These coordinators give us acute competence in this area, and they also have a special responsibility for, among other things. child management. Police districts will be provided with valuable competences in matters that are often very difficult to deal with. When a child is a victim, it requires knowledge and methods of questioning and documenting that best protect the child in a difficult situation. Therefore, the proposed measures in this Communication are very good, including: in the case of the first meeting of the victim, the possibility of increased knowledge in order to ensure safety in the handling of the victim and its dependants. It is very important that individual police districts avail themselves of the opportunity they have to receive assistance from Kripos, both in the field of technical and tactical investigations. This strengthening of Kripos increases the availability of personnel who can assist locally. There have been discussions about whether Kripos should relate to other disciplines. The most important thing for the right is that you relate to such professionals when you see the need for them, and that you consider the child’s need for such an offer on a case-by-case basis. I am therefore very pleased with the initiative that Finn Kristian Marthinsen took in the throne debate in the autumn of 2000, in which he asked for an investigation of the possibility of establishing a central knowledge base. So now Kripos can take advantage of the external trade unions. Professionals who are willing to assist are easily accessible and can provide rapid assistance are very important for the further work in Kripos. Although one knows that Kripos is doing a very good job, and that the police's role in such matters is now being strengthened, it is important that the individual police districts use the skills that Kripos possesses. In addition, it is important that those in contact with children also take responsibility for the detection and reporting of infringements. It is only when there is a report that the police can start their work. However, it is also important that professionals are available to assist the child and its relatives through a difficult process. Finally, I want to bring forward two agencies that are working very well, and that are making an invaluable effort, namely the Save Children and the National Resource Centre. That is why I also hope that good cooperation between the police and these organisations will continue.
ParlaMint-NO_2002-02-07.ana.ud1617e152	Sexual assault on children is one of the most serious violations that can occur. Therefore, any strengthening of the investigation of such abuses will be important and, of course, welcome. The increased coverage of these problems unfortunately shows the extent to which they have now received, and that it is important to get to the increased bet that we want here. It is worrying to see that the quality of the investigation carried out varies greatly from police districts to police districts. Now there may be different reasons for this variation, but there is a lot of evidence that it is due to – to some extent at least – who is being put into the investigation: is it led by a person with long experience, or is it a newly educated person? What kind of professional insight does he have? Does he/she have continuing training in the field, or is he/she rarely involved in a subject? And to what extent are you willing to send inquiries to Kripos for assistance? It is often the case that you need to have some insight and knowledge in a subject area in order to know what questions and what input you need to get in touch with. Thus, it is unfortunate that there has been a practice that young people, inexperiencedly, are set to lead such investigations, which in themselves are complicated matters. At the same time, this is a matter that will be mentally demanding for those who are responsible for the investigation. Therefore, it will be important not only to have a coordinator in the individual police chamber, but also to ensure that you have a network where those responsible for this type of investigation can seek contact and help before you may be burned out, and before you get any problems yourself because you have many impressions that can be tough for everyone to process. In the case of Kripos, it's very important that we get a base of knowledge and competence. So one question has been whether this should then be directly linked to Kripos, or whether Kripos should out and acquire this competence. From our point of view, it must be essential that the necessary and adequate knowledge and competence are present and can be used at all times. Whether this competence is through a direct employee or directly related to Kripos is less important to us. In fact, we believe – and agree with the Government – that the flexibility, the variation, in the various matters may mean that you need to look a little further, and that it is more important to relate to yourself and have access to good skills than to have a direct employee, and thus limit the skills you can use. We are also very pleased with the host system that has been set up, and we want it to expand as much as possible. It is clear that it is not possible to initiate a hospitant scheme to such an extent that it reduces the quality of the hospitant system or results in Kripos being treated with so many hospitants as to impair the quality of its policies. Here it's important to find a balance sheet. But at the same time, the problem is that every two years, four of them will be small if you think about the number of police districts. It is also important that, in addition to this hospitant scheme, further training is considered. It is worrying that the costs of continuing training are used as an argument for not sending police lawyers on such continuing training. It is necessary to establish a mechanism whereby the economy and money cannot be used as an argument against necessary training in this area. Such continuing training will not give policy-makers a direct economic advantage, even if a professional will have a high return. We could well imagine the possibility that the various police districts were reimbursed for the expenses they had in connection with further training, because even if the education part itself is reimbursed, the cost and travel will be charged to the individual police districts. In this way, it will be possible to find a situation where the economy of the police means that the police districts near Oslo, those close to the Police College, have opportunities to train and train their staff, while police officers in the districts have a clearly greater problem in that area. I hope the Council of State I hope that the Council of State will take a closer look at that issue. It is also true that in the case of sexual abuse against children, it is very important to be able to secure tracks. Then it is important to know which tracks to ensure, but also that you have the necessary equipment to secure the tracks. It would be essential to have access to modern and good equipment so that evidence does not go to play because there is no possibility of using the equipment needed to secure the tracks. In this context, the party of progress is the only party that has made a reference to the economy. I guess that's the case in this case as in other things we have in this house: you can all go together for good words, you can all agree on better research, but at the end of the day it's probably also a question of economics, probably also for parties other than the Advance Party.
