ParlaMint-NO_2002-06-17-2.ana.ud761e30	The representative of Ursula Evje, who has been on leave, has once again taken his seat.
ParlaMint-NO_2002-06-17-2.ana.ud761e33	An overall committee supports Section 1-1 of the Biotechnology Act, which states: ‘The aim of this Act is to ensure that the medical use of biotechnology is exploited for the benefit of people in a society where there is room for all. This shall be done in accordance with principles of respect for human dignity, human rights and personal integrity and without discrimination on the basis of heritage based on the ethical standards enshrined in our Western cultural heritage.» This purpose paragraph is and shall be a general guideline also in the evaluation of the applicable law. The Committee points out that developments in biotechnology are constantly facing new ethical challenges. Technical progress and new discoveries related to the human heritage contribute to creating expectations about the future health of conditions and diseases that can currently be severely disabled or which can directly affect the life prospects of individuals. Different legislation in comparable countries cannot and should not be an argument for liberalisation or tightening up Norwegian legislation. There has to be our own passed value choices that form the basis of our laws. The centre party is clear that the precautionary principle is important in the field of genetic and biotechnology. The consequences must be satisfactorily identified and clarified before techniques and treatments are made available to the general public. In the case of stem cell research, the majority are opposed to research on fertilised eggs. But the source of stem cell research can also be cells from born individuals, so-called adult stem cells. The centre party and the majority refer to the promising results of research in this area and that Norwegian researchers have recently gained international recognition for research in adult stem cells. We want this research to be prioritised, and that we can make a strong contribution here in an international perspective by being at the forefront in this area. Artificial fertilisation should be described as assisted fertilisation, as the rapporteur also pointed out. This area has been regulated since 1987 in Norway. The use of microinjection, the so-called ICSI method, possibly combined with the collection of sperm from testicles and bit testicles, gives some uncertainty as to whether the method can increase the frequency of malformations compared to traditional in vitro fertilisation. The majority therefore agree with the Government that the approval of the ICSI methodology is still being made temporarily until more extensive studies and research results on the medical consequences of the method are available. But it is to hope that research can quickly demonstrate that this method is sound, so that it can provide more general opportunities for the childless. The centre party and the majority favour a continued ban on research on fertilised eggs, but consider it unreasonable that there should be a similar prohibition in the case of unfertilised eggs. An overall committee states that it shall be illegal to extract eggs only for the purpose of fertilising them for research purposes. The centre batch supports a modification of current legislation as regards the storage time of fertilised eggs. We believe that this time can be extended from three to five years, as this is now fully medically-technologically sound. This will give childless persons more possibilities of assisted fertilisation over a longer period of time without the need to take out and fertilise new eggs. However, a majority, all except the Advance Party, believe that the conditions for assisted fertilisation must be satisfied before each conception attempt is carried out. The center party believes it should be every human right to be able to get to know his biological origin. That is why we are pleased that there is now a broad majority, all of whom, except for the Workers' Party, support the abolition of the anonymity of sperm donors. This may mean that fewer sperm donors will be available. It is therefore important that the Government facilitate the establishment of semen banks, and cooperation with countries that have legislation in line with us in the field of semen donation. The centre batch supports the possibility of autotransplanting of organs producing germ cells so that the re-entry of ovaries is possible for women who have to ensure this in relation to serious disease and disease treatment, in order to ensure the future possibility of pregnancy. On the other hand, we do not support the possibility of transplanting ovaries and tissues from one woman to another to relieve childlessness. The majority believe that an opening for preimplantation diagnostics could involve emphasising the special properties of the foetus so that unacceptable sorting practices can be achieved. It is also important to note that, among other things. Norway’s Handicap Association opposes preimplantation diagnostics based on the same argument. The views of the majority and the Central Party in the field of foetal diagnostics are broadly in line with those of the Government. [[The President clubs.]] There is reason to stress that these proposals do not constitute an obstacle to ultrasound, diagnostics or treatment, but are a strengthening of the qualitative aspects of such studies. I would rather come back later with a few more moments.
ParlaMint-NO_2002-06-17-2.ana.ud761e74	Yeah, if that's absolutely necessary, then.
ParlaMint-NO_2002-06-17-2.ana.ud761e77	Research is, and must be, carried out within the scope of the Biotechnology Act. Then one might ask what biotechnology can mean for future patient treatment. The answer – and the problem – is that we do not know that in concrete terms. But what we know is that it's only through continuous research and knowledge development that we can move on to solving many of the problems we're facing in the health sector. It's e.g. hopes that research on stem cells can provide new opportunities for the treatment of diseases that are currently incurable, e.g. Parkinson’s disease, Alzheimer’s disease and other diseases caused by brain damage, possibilities for repairing damaged tissues in e.g. the heart and culture of insulin-producing cells that can be transplanted to diabetic patients. Today's patient treatment is based on previous research, and the research of the future will be even more dependent on the research we do now, and on what we do in the future. And above all, our ability to avoid or prevent disease will depend on biotechnological research. With an ageing population, we will face new health challenges. Their management will require the development of new knowledge. It can only happen through research. In this respect, we can say that research means everything to the patient treatment of the future and to the ability to prevent. Then the question is whether we in Norway can avoid the difficult balancing problems research in these areas confronts us, simply by not researching, perhaps concentrating our research on areas that are not affected by such difficulties. Then we can import the research results of other countries. I believe this is wrong for several reasons. Firstly, we should be aware that the same balancing problems that we are struggling with are also central in all other countries. It is not that we have any higher ethical standards in Norway. Secondly, it is not easy to be an importer of research results if you do not have research competence in this area itself. The assessment and clinical application of new technologies and knowledge requires own knowledge. Thirdly, I think it's a very doubtful ethics if we say we don't want to participate in the research, but we want to share in the results. And if you don't want to take advantage of the results, I find it very difficult to say that the Norwegian population is not going to get involved in new medicines and treatments. It is a common problem that we are afraid that research results may be abused, cf. cloning. This applies to almost all research. For example, terrorist bombs are made of fertilizer and diesel! If, in certain areas, we decide not to believe in our ability to democratically control the exploitation of research results, I think we are playing totally unsuccessfully. This research is becoming increasingly international. It is through participation in international projects that we can exploit our potential. And if we're going to participate, we also need something to offer. As mentioned, I also believe that we will reduce our ability to select and apply the results of research from other countries if we do not have a corresponding competence ourselves. We should also bear in mind that basic training itself in e.g.: Medicine is highly research-dependent. If we don't have research in an area, we can't expect to have any good education in this area either. I think that such a development over time will also weaken people's confidence in our own health care system. People will seek treatment in other countries because they believe that in Norway we do not have the skills or treatment options available in other countries. Finally, there are probably a lot of people who think that this can't mean that much. We're talking about marginal outcomes in some small areas where we might choose to stay out of it. Isolatedly, that's right. However, in relation to the challenges facing us in the health sector, biotechnology research is not a small area. It may be the most important thing for the prevention and control of some of the most common public diseases. And in this context, I believe that it is fundamentally and ethically very unfortunate that we should put more stringent restrictions on research in Norway than what is done in the countries with which we have extensive cooperation in all other contexts.
ParlaMint-NO_2002-06-17-2.ana.ud761e94	A child is born. The happy mother-in-law rejoices with the legal father. The biological mother died three years ago, and the biological father knows no one who is. This is not the beginning of a science fiction, but a situation that is not unique in many countries, and which we could have got in Norway if not a majority of the social committee had put down their feet. By continuing to say no to both egg donation and ovarian transplantation, and by canceling the sperm donor's anonymity, a child will constantly know who its biological parents are. And the biological mother will still be one person – not one genetic and one that has brought the child forward. As one who owns the majority of the population who don't have problems having their own children, I'm very humble to that grief and despair couples feel when they can't have children. Fortunately, today we have many tools and methods that help a lot. But wanting to help a woman bear a child is not a goal that sanctifies all means. By allowing egg donation, you break one of the so far most unbreakable bonds: that mother is a mother, and that the biological bond between the woman who gives birth, and the child, is indisputable. What right do we have to remove this tape? And what right do we have to deprive future children of the basic truth that the woman who has brought the child is also its genetic mother? Nor can I see any reason to introduce egg donation in that a woman herself should bring forth a child. For the child does not become more her own than by e.g. adoption of a child. And then I think the price you pay for a woman carrying a child is very high, that you break the basic biological bond between mother and child. I also do not understand the argument about equality between men and women, which the Workers' Party draws up in its justification for equality between sperm and egg donation. That's not all that can, or should, be equalized. Carrying out and giving birth to a child has always been the task of the woman. Let's hope that's still going to be like this. There has never been any doubt about who is the biological mother, while the biological father has not always been as well known – perhaps even completely unknown. So sperm donation is going to be something completely different. But also in this area, the entire committee, with the exception of the Workers' Party, has realized that the time has come for a child to be assured of knowing who the biological father is. It is not only the desire to have children challenging the ethical boundaries of society, it also makes the continuous development of medical-technical equipment in relation to the kind of children to be produced. Fortunately, most of us will take a great deal of distance from producing ‘design babies’, while there is a broad acceptance that we should be able to choose if we want to bring a child or not if we are talking about some serious deviations. Nevertheless, there should not be so much imagination to understand that these are limits that some will constantly be tried on. In a situation where the woman or a couple will increasingly receive more detailed information about the condition of the foetus at an increasingly early stage, it is obvious that we need strict procedures for the use of foetal diagnostics. It is necessary to ensure that the health professionals responsible for carrying out the studies are well qualified and that any deviations are followed up in the best possible manner. This is not least important for the couple to feel safe throughout the process and for the woman to make the right choice if serious deviations are detected. In this context, there is a minority in this room who are trying to attribute a different attitude to ultrasonic studies to the Government and Government parties than is the case. The government has not in any way proposed that the woman should not take part in the knowledge gained by health professionals during an ultrasound examination carried out as part of the pregnancy control. This is of course a right and is also governed by the Patient Rights Act. However, the majority states that if, in the course of such ultrasound examination, there is evidence of anomalies, the woman shall be referred to a hospital with sufficient competence. This will ensure professional information and guidance for the woman and will allow for either more advanced ultrasonic studies or foetal water tests. Since ultrasonic studies are increasing, the majority would like it to be carried out only in institutions approved by the Directorate of Social and Health to be covered by the provisions of the Biotechnology Act if the study is to be used to detect or confirm the suspicion of non-conformity. This will give the woman the best offer. This will reduce the risk of decisions made on the wrong basis. It will also help to prevent us from moving towards a sorting of foetuses on the basis of, for example: gender or physical anomalies — a sorting society from which most people take a great deal of distance. This is particularly important for studies conducted before the 12th week of pregnancy, which is the limit of self-determined abortion. Setting limits to preventing abortion based on child characteristics is not an attack on the woman's right to self-determined abortion, which is a right to decide whether to want children, but not what kind of children you want. The minority, therefore, by attacking the majority, is at the same time failing to address the challenges facing us in the face of ever-increasing ultrasonic studies.
ParlaMint-NO_2002-06-17-2.ana.ud761e135	The treatment of the evaluation of the Biotechnology Act by large reduces important markers. The position of the Social Committee is based on a policy that is in favour of medical progress, but at the same time sets clear boundaries where research is at risk of violating human dignity. The starting point for us to have a biotechnology law at all is that these issues are too important to be left to professionals alone. It's about ethics, about society and about the position of human dignity. It is a clear social responsibility to include frameworks and guidelines in legislation. The setting shows that the government parties, together with the SV and the Central Party, are creating a new policy in important areas. This applies, inter alia, to: in view of foetal diagnosis, artificial fertilisation and research on germinal human life. The majority clearly mark the unacceptable in that human life is made a clean means and not a goal in itself. I note with satisfaction that the Government in this important matter has the approval of the majority of the committee on all important points. In the Communication, the Government proposes the changes it considers to have underlined the need for the outcome of the evaluation. The government has sought to strike a good balance between exploiting the potential of technology in research and medical treatment and the consideration of human integrity and dignity. Biotechnological knowledge and its practical use in healthcare have been an important part of the innovations in modern medicine. We have gained extensive knowledge of the diagnosis of diseases and of the risks of future disease, treatment and prevention. Developments are revolutionary in many ways, while many issues remain unresolved in understanding basic biological and genetic processes relevant to development, treatment and prevention. Therefore, it is important to focus on research in this field. It is totally wrong when the debate today has been made so that the Government and the majority of the population are almost anti-research and anxious for new knowledge. I have to remind you that this year it is actually worth 100 million. on a comprehensive research programme in the field of genetic research, in which part of the funds will also be devoted to research on ethical issues. Extensive and resource-intensive research is needed to make use of the new knowledge for the benefit of the individual. However, it is important to ensure that research is carried out within an ethically acceptable framework. It's not that the good intention can sanctify any means. This area has been the subject of a wider societal debate than many other areas, as the use of technology raises a number of difficult ethical issues. Like all new technologies, this technology can also be abused. One of the aims of the law is to ensure that the medical use of biotechnology is done in the best interests of all in a society, and here it is a potential for the development of new class divisions in society that we should all be concerned with combating. Foetal diagnosis is defined by law as an examination of the foetus or pregnant woman in order to detect or exclude genetic disease or developmental abnormalities in the foetus. The extent to which pregnancy should be offered foetal diagnostics may raise the ethically most difficult questions in the Biotechnology Act. This is especially where we meet the dilemma of what kind of society we want, and the place of society for and accepted for people who are different. Foetal diagnostics is good in helping to treat serious diseases in the foetus, but it is essential to ensure that the framework for the establishment is such that it cannot develop a practice that could threaten respect for human equivalency. It is therefore with satisfaction that I note that a majority in the Committee agrees with the Government on this important point. Therefore, foetal diagnostics shall be a tool when there is a specific risk of serious illness or developmental abnormalities. In this debate, representatives of the Workers' Party have sought to create the impression that the message and the majority are unclear as to the treatment of ultrasound. There's no basis for that. The offer of routine ultrasound given to all pregnant women during the 18th week as part of the regular pregnancy control shall and should be maintained. Similarly, of course, ultrasound examinations must be carried out if there are medical reasons for such examination. Healthcare professionals shall provide the patient with information available, as the patient is entitled under the Patient Rights Act. There are no changes here. Although ultrasonic studies are defined as post-statutory foetal diagnostics, at present only the rules on information and guidance apply to this type of study. No rules have been laid down as to when ultrasonic studies may be offered to pregnant women, nor is ultrasonic studies subject to the rules of the Biotechnology Act on Authorisation and Control. When ultrasound is used as foetal diagnostics, the offer should be subject to legal provisions on approval and control. That's where the message and the majority add up to a change. I am otherwise very critical for the routine use of ultrasound examinations early in pregnancy if it does not occur on medical indications. To the extent that the purpose of the study is to detect or exclude serious heritable diseases or developmental abnormalities, the ultrasonic study should be subject to the provisions of the Biotechnology Act irrespective of the stage of the study in pregnancy. There is reason to stress, as the Social Committee has done, that the development of ultrasonic techniques today makes it possible to diagnose more diseases and malformations than in the past. It is also possible to carry out studies with greater precision than before and diagnosis can be made at an earlier stage of pregnancy than before. It is this that makes us, as politically responsible – and the Stortinge, as legislators – have to deal with the frameworks of development. The quality of ultrasonic studies also depends on the person conducting the study. The knowledge and experience of the person is of great importance. This latter is important when ultrasound testing is carried out in order to diagnose the foetus. It has therefore been important for the Government to facilitate such investigations by approved institutions, as there is a risk of both false positive and negative findings in such diagnostics. The identification of human genetic material and the ongoing research on the relationship between genes and disease development continue to detect new genes associated with disease. Gradually, it is also likely to be possible to test for the risk of several of the major public diseases where the risk of developing a disease is not necessarily linked to a single gene, but where several genes work together and where environmental factors also play a role. Such tests will not be possible only on born persons. Gradually, it is likely that one will be able to detect the disposal of the same genetic diseases in early life. It could have an impact on the extent of foetal diagnostics. It is currently possible, through an analysis of a regular blood test, to investigate whether a pregnant woman is at risk of giving birth to children, for example. with Down's syndrome. Such screening of substances in the blood of the woman could indicate whether he is in a risk group and could provide a basis for possibly further follow-up and confirmation or confirmation of this with more precise foetal diagnostics, such as: fetal water test. This type of survey is currently being carried out in some countries, and there is reason to believe that there could be an increasing pressure for such surveys to be carried out in Norway as well. There are already some requests for this. Therefore, in the Government’s view, it is important to have control of the methods used for diagnostics, as proposed. On this basis, the government believes that guidance and information to the woman and the couple before fetal diagnosis is important. In particular, they should be provided with information on the study itself — and on what information the study can provide — on the uncertainty related to the outcome, and for those who have received indications that the child may be ill or disabled, it is essential that they are provided with good information on the disease in question, on their rights, on what assistance measures the society can offer, etc. A comprehensive social committee supports such a legal right to information. Preimplantation diagnostics also raise major ethical dilemmas, as this method involves genetic testing on a fertilised egg before it is introduced into the uterus. This method has not been used in Norway because in practice such activities require access to research on fertilised eggs. The government is very critical of this type of diagnostics, among other things. due to the ethically problematic sorting of fertilised eggs by the method. That is why we have proposed to maintain current regulation in the Biotechnology Act. I have noticed that the majority is asking the Government in the notified proposition to consider whether the chapter can be replaced by a ban on such diagnostics, and I will make such an assessment. One of the methods used for artificial fertilisation is the insemination of semen from a sperm donor. Under current legislation, health professionals are obliged to keep the identity of the sperm donor secret. The Government has proposed to abolish the anonymity of the sperm donor, since the possibility of getting to know its origin is a fundamental right. The decision on this position has been to care for the best interests of the child. Strengthening the child’s rights is important. Children born by means of donated semen should be able to gain knowledge of their biological origin in line with those adopted. It should be up to the child to decide for himself whether or not to provide information. For some people, this kind of information might not be interesting, while others will experience it as very important. On the part of society, as I see it, a system should be set up to enable children to find out who their biological father is. The experience of Sweden, which lifted the sperm donor’s anonymity as early as 1985, shows that they have been able to maintain the offer of artificial fertilisation despite the lifting of anonymity. Statements in the debate today that the opposite will happen here in the country if we follow the example of the Swedes, there is no evidence for this. In conclusion, let me say that I have noticed the majority of the views of the Social Committee on the provision that regulates outreach genetic activity, and that has worked from 2000, where today, under certain conditions, access is granted to treating physicians to seek out the relatives of the patient with a view to providing genetic guidance, studies and possible treatment. The majority ask the Government to reconsider this paragraph in the announced odelstingsproposition on changes in the Biotechnology Act. That will be done, and the Stortinget will have the opportunity to discuss it in conjunction with the proposition.
ParlaMint-NO_2002-06-17-2.ana.ud761e175	It's going to be line change.
ParlaMint-NO_2002-06-17-2.ana.ud761e178	The Council of State emphasises that the choices we face in the medical use of genetic engineering are complex and difficult, and that there can hardly be any simple black and white response. Therefore, it does not matter how you reach your conclusions. The choices must be made in transparency and dialogue based on widely accepted values and rules of the game. I am therefore concerned about the way in which views are presented in the communication that the Council of State is now presenting. Controversial views are presented as the position of the Biotechnology Study, where they are shared by the Council of State, without telling that the Biotechnology Study in its view is shared in the middle. Where the Council of State does not share the views of the majority, the notification relates only to the minority in the Biotechnology Study. But the real violation occurs when you say on page 26 of the Communication that you join the Biotechnology Study Opinions on Egg Donation. This is done by quoting one point in a longer pro a counter-argument, without including the initial words of this point: ‘On the other hand...’. It's taken out, and it's almost so that you can feel that you're moving at the limit of quote cheating. I just want to ask the Council of State whether he will facilitate in the further work that all views are expressed in the dialogue that needs to come, which really requires... [[The President clubs.]]
ParlaMint-NO_2002-06-17-2.ana.ud761e189	The President will ask the representative to respect the speaking time, especially when it starts to go quite far beyond the time frame.
ParlaMint-NO_2002-06-17-2.ana.ud761e192	I agree with the representative Hildeng that the debate on these questions should be marked by the fact that not all questions can be answered in simple terms. I certainly believe that the message presented by the Government bears the mark of such humility. It will always be such that issues that are difficult and sensitive can be presented even more balanced from a single point of view than from a different point of view. However, I would clearly like to distance myself from Mr Hildeng's suggestion that the Ministry and the Minister of Health in this communication should have been guilty of making a sign of the diversity of opinions underlying this evaluation. It is also the case that all these opinions have been made available to the Committee at its examination. I think the debate is well served that we do not correct such accusations against each other, because I think an open dialogue is absolutely necessary, not just here in this Chamber and in this matter, but in this field in general in the future. I will try to contribute to that, and then there is no reason why anyone's arguments should be tried to fade down or hidden – on the contrary. The arguments put forward in this case and in this kind of case, must withstand being broken against each other in an open discussion. That's what I want to contribute to.
ParlaMint-NO_2002-06-17-2.ana.ud761e202	The Minister of Health gave a visit to the Workers' Party in his statement on our emphasis on the importance of research. When I heard the intervention from the Minister of Health, I became partly in doubt about what the Minister of Health really thinks about the importance of research for a better health care system in Norway. The purpose section of the Biotechnology Act, § 1-1, states in the first sentence: ‘The aim of this Act is to ensure that the medical use of biotechnology is exploited for the benefit of people in a society where there is room for all.’ And then it goes on to say in the paragraph what principles are to be applied, as the government Gro Harlem Brundtland suggested, and as the Stortinget decided. As I mentioned in my post, there are many serious diseases that seem to be incurable, but that might find their solution to treatment in just research in this area. Is it, then, that the Minister of Health believes that Norway should not be involved in this research with full gravity, when one might know the hope of new research and expanded knowledge? Is it not true that there must be a right for Norwegian patients to participate in new medical research and new therapeutic knowledge based on Norwegian research?
