ParlaMint-NO_2002-02-06.ana.ud218e28	Magnar Lund Bergo will make a private proposal.
ParlaMint-NO_2002-02-06.ana.ud218e31	On behalf of the representatives of Ågot Valle, Karin Andersen and myself, I would like to propose measures to prevent people from being recruited to depend on automated games.
ParlaMint-NO_2002-02-06.ana.ud218e36	Karl-Anton Swensen will make a private proposal.
ParlaMint-NO_2002-02-06.ana.ud218e39	On behalf of the Coastal Party, I would like to propose Norwegian accession to the Western Nordic Council to improve the interface between the Western Nordic nations and to strengthen the Council as a body for cooperation on the management of the major natural resources in the North Atlantic.
ParlaMint-NO_2002-02-06.ana.ud218e44	Per Sandberg will make a private proposal.
ParlaMint-NO_2002-02-06.ana.ud218e47	On behalf of the representative Torbjørn Andersen and myself, I propose to stop all attempts and designs of private residence of asylum seekers.
ParlaMint-NO_2002-02-06.ana.ud218e52	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2002-02-06.ana.ud218e75	On Monday the Stortingen received notice from the Prime Minister's office that the following members of the Government would meet for oral Question Time: State Council Valgerd Svarstad Haugland State Council Lars Sponheim State Council Svein Ludvigsen The advertised members of the government are present, and we are ready to start the oral question procedure. The representatives who, in addition to the pre-announced representatives, would like to ask questions of substance. – We then start with the first main questions, from the representative, Marit Arnstad.
ParlaMint-NO_2002-02-06.ana.ud218e94	My question goes to the Minister for Fisheries. The Deltakers Act is one of the bottom boards of the Norwegian fisheries policy. In short, the law states that fishermen own the fishing fleet, they are the owners of the fleet and thus also a large part of the fishing resources. I do not think the importance of that law can be overestimated in terms of history and fisheries policy. But at the same time, it's interesting to see what's going to happen to the law in the future. It has now come to the conclusion that the Ownership Committee will assess the law and the requirement for ownership interests. And it's no secret that the Right in its program wants to remove this Act of Attendance, while the Left and Christian People's Party together with the Center Party in many contexts has been guarding this important law. Now the Minister for Fisheries has also created some uncertainty in the industry when he has gone out and signaled that the law should be liberalised. Is there an attitude that reflects the views of the entire Government? And will the Minister for Fisheries's signals be followed up in the ownership message?
ParlaMint-NO_2002-02-06.ana.ud218e105	It is true that the Act of Participation is a central piece of legislation linked to this with a fishing gear fleet. It is also right that we in the Sem Declaration have made it quite clear – and that is why I and the Government are managing the fisheries policy – that a fishing fleet should be the rule in the future. So the previous government appointed a commission of ownership, which investigates aspects of ownership of the fishing fleet: I haven't seen reason to limit the assessments that those people make. When the suspension comes in during the summer, the Government will go into it and look at which of the proposals they had to make that might be relevant. But it is clear from the Sem-Declaration that the starting point is still a fishing rage fleet, so it should not have created any uncertainty about. However, I do not think there is any reason to give signals to a wide-ranging committee on the limitation of the mandate.
ParlaMint-NO_2002-02-06.ana.ud218e112	I thank you for your answer. My supplementary question goes to another State Council, namely the State Council of Valgerd Svarstad Haugland, the Christian People's Party leader. It is true that the Sem declaration seems to ring around the law of participants. Nevertheless, the Fisheries Minister’s opinions have created uncertainty in the fisheries environment about how to manage this legislation in the future. The Christian People's Party programme says that the law of participation should not be eroded. Can the leader of the Christian People's Party guarantee that the law of participation will not be eroded, by the fact that the ownership of the fishermen in the case of fishing vessels does not go below 50 pst, as the rule is today, and not down to, for example, 50 pst. 34 pst.? It would, if that happened, give the situation that the Christian People's Party, together with the Centre Party, has warned against earlier, namely that the fishing industry can go in with capital and buy fishing vessels and help us to lose the diversity of Norwegian fisheries policy, while also creating a breeding ground for monopolising the ownership of fishing resources.
ParlaMint-NO_2002-02-06.ana.ud218e119	The President finds reason to recall that the Council of State is here on behalf of his department, and chooses whether to go in and answer the question asked.
ParlaMint-NO_2002-02-06.ana.ud218e122	I have no problem answering the question, because it is very clear in the Sem Declaration, which was also stated by the Council of State Ludvigsen. Besides that, I will not comment on it, now it is Ludvigsen who is handling this matter. The representative Arnstad knows that when one sits in government, there are three parties that are going to be a few about a policy, but in this area, and according to what is in the Sem statement, I'm not afraid either.
ParlaMint-NO_2002-02-06.ana.ud218e127	There will be follow-up questions – Lodve Solholm.
