Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2002-11-07	ParlaMint-NO_2002-11-07.ana.ud2481e32	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-11-07	2002-11-07	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-11-07	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2002-11-07	ParlaMint-NO_2002-11-07.ana.ud2481e46	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-11-07	2002-11-07	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-11-07	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BHH	Hanssen, Bjarne Håkon	M	1962	
ParlaMint-NO-en_2002-11-07	ParlaMint-NO_2002-11-07.ana.ud2481e51	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-11-07	2002-11-07	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-11-07	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2002-11-07	ParlaMint-NO_2002-11-07.ana.ud2481e54	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-11-07	2002-11-07	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-11-07	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BEHA	Arnesen, Bendiks H.	M	1951	
ParlaMint-NO-en_2002-11-07	ParlaMint-NO_2002-11-07.ana.ud2481e59	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-11-07	2002-11-07	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-11-07	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2002-11-07	ParlaMint-NO_2002-11-07.ana.ud2481e73	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-11-07	2002-11-07	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-11-07	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.PEM	Monsen, Per Erik	M	1946	
ParlaMint-NO-en_2002-11-07	ParlaMint-NO_2002-11-07.ana.ud2481e88	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-11-07	2002-11-07	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-11-07	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2002-11-07	ParlaMint-NO_2002-11-07.ana.ud2481e91	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-11-07	2002-11-07	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-11-07	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.THA	Hansen, Torbjørn	M	1972	
ParlaMint-NO-en_2002-11-07	ParlaMint-NO_2002-11-07.ana.ud2481e102	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-11-07	2002-11-07	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-11-07	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2002-11-07	ParlaMint-NO_2002-11-07.ana.ud2481e120	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-11-07	2002-11-07	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-11-07	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.SAF	Flåtten, Svein	M	1944	
ParlaMint-NO-en_2002-11-07	ParlaMint-NO_2002-11-07.ana.ud2481e143	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-11-07	2002-11-07	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-11-07	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.TON	Nordtun, Tore	M	1949	
