ParlaMint-NO_2002-12-19-upper.ana.ud180e109	There is no record available.
ParlaMint-NO_2002-12-19-upper.ana.ud180e123	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be to send the King in accordance with the Constitution.
ParlaMint-NO_2002-12-19-upper.ana.ud180e139	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be to send the King in accordance with the Constitution.
ParlaMint-NO_2002-12-19-upper.ana.ud180e155	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be to send the King in accordance with the Constitution.
ParlaMint-NO_2002-12-19-upper.ana.ud180e171	On behalf of the Workers' Party, I would like to make the following proposals: «The decision of the Nodelsting is not accepted.Note: § 7-2, second and third paragraphs of the Law are assumed to be deleted.»
ParlaMint-NO_2002-12-19-upper.ana.ud180e183	Anne Helen Rui has taken up what she presented referred to. No more people have asked for the word.
ParlaMint-NO_2002-12-19-upper.ana.ud180e194	The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be to send the King in accordance with the Constitution.
ParlaMint-NO_2002-12-19-upper.ana.ud180e208	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be to send the King in accordance with the Constitution.
ParlaMint-NO_2002-12-19-upper.ana.ud180e224	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be to send the King in accordance with the Constitution.
ParlaMint-NO_2002-12-19-upper.ana.ud180e240	On behalf of the Labour Party, the Socialist Left Party and the Centre Party, I would like to make the following proposals: ‘The decision of the Nodelsting is not accepted.Note:§§7-2, 7-3 and 7-5, and §15-11, fifth paragraph, first sentence, are assumed to be deleted.’
ParlaMint-NO_2002-12-19-upper.ana.ud180e252	Anne Helen Rui has taken up what she presented referred to. No more people have asked for the word.
ParlaMint-NO_2002-12-19-upper.ana.ud180e263	The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be to send the King in accordance with the Constitution.
ParlaMint-NO_2002-12-19-upper.ana.ud180e277	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be to send the King in accordance with the Constitution.
ParlaMint-NO_2002-12-19-upper.ana.ud180e293	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be to send the King in accordance with the Constitution.
ParlaMint-NO_2002-12-19-upper.ana.ud180e310	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be to send the King in accordance with the Constitution.
ParlaMint-NO_2002-12-19-upper.ana.ud180e326	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be to send the King in accordance with the Constitution.
ParlaMint-NO_2002-12-19-upper.ana.ud180e342	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be to send the King in accordance with the Constitution.
ParlaMint-NO_2002-12-19-upper.ana.ud180e358	No one has asked for the floor. The decision at Odelstinget has thus been accepted by Lagtinget, and the law decision will be to send the King in accordance with the Constitution. We're done with today's maps. Before the President cancels the meeting, the President, on behalf of the Presidency, will thank you for your cooperation in the fall session and wish everyone a blessing, peaceful and good Christmas and New Year's Eve. Choose a meeting for a new work year in 2003!
